"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","20.39212417602539","20.39212417602539","20.39212417602539","15.948880195617676","15.948880195617676","15.948880195617676","8.944287300109863","8.944287300109863","8.944287300109863"
"59","18.504241943359375","18.504241943359375","18.504241943359375","12.610121726989746","12.610121726989746","12.610121726989746","11.1596040725708","11.1596040725708","11.1596040725708"
"89","14.124906539916992","14.124906539916992","14.124906539916992","9.466988563537598","9.466988563537598","9.466988563537598","10.313068389892578","10.313068389892578","10.313068389892578"
"119","9.389753341674805","9.389753341674805","9.389753341674805","7.297924518585205","7.297924518585205","7.297924518585205","8.74077033996582","8.74077033996582","8.74077033996582"
"149","35.8988151550293","35.8988151550293","35.8988151550293","37.28523254394531","37.28523254394531","37.28523254394531","7.848089218139648","7.848089218139648","7.848089218139648"
"179","36.756065368652344","36.756065368652344","36.756065368652344","36.716224670410156","36.716224670410156","36.716224670410156","7.266096591949463","7.266096591949463","7.266096591949463"
"209","6.651956558227539","6.651956558227539","6.651956558227539","5.955540180206299","5.955540180206299","5.955540180206299","7.060420989990234","7.060420989990234","7.060420989990234"
"239","6.721502304077148","6.721502304077148","6.721502304077148","5.299543857574463","5.299543857574463","5.299543857574463","6.884249687194824","6.884249687194824","6.884249687194824"
"269","6.297823905944824","6.297823905944824","6.297823905944824","5.1362481117248535","5.1362481117248535","5.1362481117248535","6.521820068359375","6.521820068359375","6.521820068359375"
"299","5.101411819458008","5.101411819458008","5.101411819458008","4.5569071769714355","4.5569071769714355","4.5569071769714355","6.160586833953857","6.160586833953857","6.160586833953857"
