"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"10799","136.4170379638672","136.4170379638672","136.4170379638672","140.31231689453125","140.31231689453125","140.31231689453125","186.33575439453125","186.33575439453125","186.33575439453125","136.3873291015625","136.3873291015625","136.3873291015625","139.92759704589844","139.92759704589844","139.92759704589844","170.45489501953125","170.45489501953125","170.45489501953125"
"11399","128.54335021972656","128.54335021972656","128.54335021972656","134.23248291015625","134.23248291015625","134.23248291015625","177.7162322998047","177.7162322998047","177.7162322998047","128.69863891601562","128.69863891601562","128.69863891601562","133.67144775390625","133.67144775390625","133.67144775390625","162.57369995117188","162.57369995117188","162.57369995117188"
"11999","126.78010559082031","126.78010559082031","126.78010559082031","130.64553833007812","130.64553833007812","130.64553833007812","174.26829528808594","174.26829528808594","174.26829528808594","126.78911590576172","126.78911590576172","126.78911590576172","130.35057067871094","130.35057067871094","130.35057067871094","159.55984497070312","159.55984497070312","159.55984497070312"
"12599","121.119873046875","121.119873046875","121.119873046875","126.42070770263672","126.42070770263672","126.42070770263672","169.150634765625","169.150634765625","169.150634765625","121.0330581665039","121.0330581665039","121.0330581665039","126.09020233154297","126.09020233154297","126.09020233154297","154.7307586669922","154.7307586669922","154.7307586669922"
"13199","117.60002899169922","117.60002899169922","117.60002899169922","123.23509979248047","123.23509979248047","123.23509979248047","164.64962768554688","164.64962768554688","164.64962768554688","117.7008056640625","117.7008056640625","117.7008056640625","122.87886047363281","122.87886047363281","122.87886047363281","150.72642517089844","150.72642517089844","150.72642517089844"
"13799","117.0338363647461","117.0338363647461","117.0338363647461","121.7906265258789","121.7906265258789","121.7906265258789","161.74734497070312","161.74734497070312","161.74734497070312","117.0905532836914","117.0905532836914","117.0905532836914","121.31774139404297","121.31774139404297","121.31774139404297","148.74008178710938","148.74008178710938","148.74008178710938"
"14399","113.75081634521484","113.75081634521484","113.75081634521484","118.1374282836914","118.1374282836914","118.1374282836914","157.8740692138672","157.8740692138672","157.8740692138672","113.8116226196289","113.8116226196289","113.8116226196289","118.020263671875","118.020263671875","118.020263671875","144.25979614257812","144.25979614257812","144.25979614257812"
"14999","109.55425262451172","109.55425262451172","109.55425262451172","114.67913055419922","114.67913055419922","114.67913055419922","153.53172302246094","153.53172302246094","153.53172302246094","109.6844711303711","109.6844711303711","109.6844711303711","114.56571197509766","114.56571197509766","114.56571197509766","141.03038024902344","141.03038024902344","141.03038024902344"
"15599","107.9095230102539","107.9095230102539","107.9095230102539","111.4967269897461","111.4967269897461","111.4967269897461","149.3571014404297","149.3571014404297","149.3571014404297","107.85389709472656","107.85389709472656","107.85389709472656","111.3814697265625","111.3814697265625","111.3814697265625","137.04624938964844","137.04624938964844","137.04624938964844"
"16199","104.13701629638672","104.13701629638672","104.13701629638672","109.06685638427734","109.06685638427734","109.06685638427734","147.06309509277344","147.06309509277344","147.06309509277344","104.11687469482422","104.11687469482422","104.11687469482422","108.9085464477539","108.9085464477539","108.9085464477539","135.00125122070312","135.00125122070312","135.00125122070312"
"16799","102.22846984863281","102.22846984863281","102.22846984863281","107.43428802490234","107.43428802490234","107.43428802490234","142.70452880859375","142.70452880859375","142.70452880859375","102.36788940429688","102.36788940429688","102.36788940429688","107.3866195678711","107.3866195678711","107.3866195678711","131.0831756591797","131.0831756591797","131.0831756591797"
"17399","100.44902038574219","100.44902038574219","100.44902038574219","105.90480041503906","105.90480041503906","105.90480041503906","141.228759765625","141.228759765625","141.228759765625","100.50390625","100.50390625","100.50390625","105.6988525390625","105.6988525390625","105.6988525390625","129.7239990234375","129.7239990234375","129.7239990234375"
"17999","100.23455810546875","100.23455810546875","100.23455810546875","104.74617004394531","104.74617004394531","104.74617004394531","137.84083557128906","137.84083557128906","137.84083557128906","100.18058013916016","100.18058013916016","100.18058013916016","104.61565399169922","104.61565399169922","104.61565399169922","127.00007629394531","127.00007629394531","127.00007629394531"
"18599","96.96308135986328","96.96308135986328","96.96308135986328","102.43790435791016","102.43790435791016","102.43790435791016","134.01576232910156","134.01576232910156","134.01576232910156","96.97216033935547","96.97216033935547","96.97216033935547","102.27521514892578","102.27521514892578","102.27521514892578","123.1032943725586","123.1032943725586","123.1032943725586"
"19199","94.83216857910156","94.83216857910156","94.83216857910156","98.8744125366211","98.8744125366211","98.8744125366211","132.3225555419922","132.3225555419922","132.3225555419922","94.85514068603516","94.85514068603516","94.85514068603516","98.68709564208984","98.68709564208984","98.68709564208984","121.71160888671875","121.71160888671875","121.71160888671875"
"19799","92.680419921875","92.680419921875","92.680419921875","97.96971893310547","97.96971893310547","97.96971893310547","129.07412719726562","129.07412719726562","129.07412719726562","92.530029296875","92.530029296875","92.530029296875","97.74905395507812","97.74905395507812","97.74905395507812","118.9850845336914","118.9850845336914","118.9850845336914"
