"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","22.9265079498291","22.9265079498291","22.9265079498291","22.817184448242188","22.817184448242188","22.817184448242188","22.514789581298828","22.514789581298828","22.514789581298828"
"59","21.40167999267578","21.40167999267578","21.40167999267578","15.399750709533691","15.399750709533691","15.399750709533691","26.572423934936523","26.572423934936523","26.572423934936523"
"89","16.489730834960938","16.489730834960938","16.489730834960938","11.321755409240723","11.321755409240723","11.321755409240723","20.988855361938477","20.988855361938477","20.988855361938477"
"119","12.838862419128418","12.838862419128418","12.838862419128418","9.631230354309082","9.631230354309082","9.631230354309082","17.075571060180664","17.075571060180664","17.075571060180664"
"149","39.368309020996094","39.368309020996094","39.368309020996094","50.84904098510742","50.84904098510742","50.84904098510742","14.823847770690918","14.823847770690918","14.823847770690918"
"179","41.38115310668945","41.38115310668945","41.38115310668945","52.57887649536133","52.57887649536133","52.57887649536133","12.902515411376953","12.902515411376953","12.902515411376953"
"209","10.115987777709961","10.115987777709961","10.115987777709961","8.241460800170898","8.241460800170898","8.241460800170898","12.290793418884277","12.290793418884277","12.290793418884277"
"239","10.454949378967285","10.454949378967285","10.454949378967285","7.236234664916992","7.236234664916992","7.236234664916992","10.694021224975586","10.694021224975586","10.694021224975586"
"269","10.55916976928711","10.55916976928711","10.55916976928711","7.4316277503967285","7.4316277503967285","7.4316277503967285","10.298910140991211","10.298910140991211","10.298910140991211"
"299","8.333857536315918","8.333857536315918","8.333857536315918","6.463793754577637","6.463793754577637","6.463793754577637","8.855765342712402","8.855765342712402","8.855765342712402"
"329","64.4773941040039","64.4773941040039","64.4773941040039","35.82282638549805","35.82282638549805","35.82282638549805","9.080284118652344","9.080284118652344","9.080284118652344"
"359","60.90373992919922","60.90373992919922","60.90373992919922","29.18629264831543","29.18629264831543","29.18629264831543","8.538392066955566","8.538392066955566","8.538392066955566"
"389","49.97257614135742","49.97257614135742","49.97257614135742","24.999589920043945","24.999589920043945","24.999589920043945","8.210545539855957","8.210545539855957","8.210545539855957"
"419","53.47710418701172","53.47710418701172","53.47710418701172","25.021989822387695","25.021989822387695","25.021989822387695","7.559413909912109","7.559413909912109","7.559413909912109"
"449","52.095428466796875","52.095428466796875","52.095428466796875","21.9970703125","21.9970703125","21.9970703125","8.135363578796387","8.135363578796387","8.135363578796387"
"479","50.04239273071289","50.04239273071289","50.04239273071289","20.179656982421875","20.179656982421875","20.179656982421875","6.766111850738525","6.766111850738525","6.766111850738525"
"509","50.50765609741211","50.50765609741211","50.50765609741211","20.75142478942871","20.75142478942871","20.75142478942871","7.091258525848389","7.091258525848389","7.091258525848389"
"539","40.169734954833984","40.169734954833984","40.169734954833984","42.71385955810547","42.71385955810547","42.71385955810547","6.402202129364014","6.402202129364014","6.402202129364014"
"569","44.43891525268555","44.43891525268555","44.43891525268555","19.051025390625","19.051025390625","19.051025390625","6.448282718658447","6.448282718658447","6.448282718658447"
"599","52.42460632324219","52.42460632324219","52.42460632324219","19.41242790222168","19.41242790222168","19.41242790222168","6.146049499511719","6.146049499511719","6.146049499511719"
"629","45.75664138793945","45.75664138793945","45.75664138793945","19.41730499267578","19.41730499267578","19.41730499267578","6.0815863609313965","6.0815863609313965","6.0815863609313965"
"659","51.63563919067383","51.63563919067383","51.63563919067383","21.1329345703125","21.1329345703125","21.1329345703125","5.783157825469971","5.783157825469971","5.783157825469971"
"689","56.14788055419922","56.14788055419922","56.14788055419922","54.99462890625","54.99462890625","54.99462890625","5.607574462890625","5.607574462890625","5.607574462890625"
