"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12080.69140625","12080.69140625","12080.69140625","100","100","100","12078.3583984375","12078.3583984375","12078.3583984375","2093.19287109375","2093.19287109375","2093.19287109375","11789.71484375","11789.71484375","11789.71484375","100","100","100","11834.8310546875","11834.8310546875","11834.8310546875","1861.729736328125","1861.729736328125","1861.729736328125"
"1199","12122.748046875","12122.748046875","12122.748046875","100","100","100","12119.7275390625","12119.7275390625","12119.7275390625","1626.74169921875","1626.74169921875","1626.74169921875","11671.3037109375","11671.3037109375","11671.3037109375","100","100","100","11712.3896484375","11712.3896484375","11712.3896484375","1397.1124267578125","1397.1124267578125","1397.1124267578125"
"1799","12126.7607421875","12126.7607421875","12126.7607421875","100","100","100","12122.30078125","12122.30078125","12122.30078125","1380.5543212890625","1380.5543212890625","1380.5543212890625","11540.3271484375","11540.3271484375","11540.3271484375","100","100","100","11581.3984375","11581.3984375","11581.3984375","1161.5963134765625","1161.5963134765625","1161.5963134765625"
"2399","12126.400390625","12126.400390625","12126.400390625","100","100","100","12121.560546875","12121.560546875","12121.560546875","1224.960205078125","1224.960205078125","1224.960205078125","11210.2119140625","11210.2119140625","11210.2119140625","100","100","100","11271.1279296875","11271.1279296875","11271.1279296875","1020.7797241210938","1020.7797241210938","1020.7797241210938"
"2999","12129.537109375","12129.537109375","12129.537109375","100","100","100","12124.8505859375","12124.8505859375","12124.8505859375","1093.385009765625","1093.385009765625","1093.385009765625","10738.171875","10738.171875","10738.171875","100","100","100","10810.5224609375","10810.5224609375","10810.5224609375","902.8244018554688","902.8244018554688","902.8244018554688"
"3599","12130.4755859375","12130.4755859375","12130.4755859375","100","100","100","12125.91796875","12125.91796875","12125.91796875","1008.7553100585938","1008.7553100585938","1008.7553100585938","10270.828125","10270.828125","10270.828125","100","100","100","10349.8193359375","10349.8193359375","10349.8193359375","825.4766845703125","825.4766845703125","825.4766845703125"
"4199","12134.2919921875","12134.2919921875","12134.2919921875","100","100","100","12128.8193359375","12128.8193359375","12128.8193359375","936.1692504882812","936.1692504882812","936.1692504882812","9932.1015625","9932.1015625","9932.1015625","100","100","100","9999.0498046875","9999.0498046875","9999.0498046875","757.6683959960938","757.6683959960938","757.6683959960938"
"4799","12125.3037109375","12125.3037109375","12125.3037109375","100","100","100","12119.390625","12119.390625","12119.390625","880.6985473632812","880.6985473632812","880.6985473632812","9599.9111328125","9599.9111328125","9599.9111328125","100","100","100","9659.9208984375","9659.9208984375","9659.9208984375","710.4185180664062","710.4185180664062","710.4185180664062"
"5399","12113.8369140625","12113.8369140625","12113.8369140625","100","100","100","12109.2421875","12109.2421875","12109.2421875","838.3400268554688","838.3400268554688","838.3400268554688","9301.4755859375","9301.4755859375","9301.4755859375","100","100","100","9360.1005859375","9360.1005859375","9360.1005859375","672.3834228515625","672.3834228515625","672.3834228515625"
"5999","12117.7607421875","12117.7607421875","12117.7607421875","100","100","100","12112.5107421875","12112.5107421875","12112.5107421875","795.2079467773438","795.2079467773438","795.2079467773438","9065.0908203125","9065.0908203125","9065.0908203125","100","100","100","9127.5986328125","9127.5986328125","9127.5986328125","634.0906372070312","634.0906372070312","634.0906372070312"
