"Step","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"8999","12060.2001953125","12060.2001953125","12060.2001953125","100","100","100","12045.5048828125","12045.5048828125","12045.5048828125","220.26931762695312","220.26931762695312","220.26931762695312","10593.931640625","10593.931640625","10593.931640625","100","100","100","10578.3896484375","10578.3896484375","10578.3896484375","219.87889099121094","219.87889099121094","219.87889099121094"
"9599","12083.322265625","12083.322265625","12083.322265625","100","100","100","12074.0078125","12074.0078125","12074.0078125","204.103759765625","204.103759765625","204.103759765625","10661.5703125","10661.5703125","10661.5703125","100","100","100","10641.0205078125","10641.0205078125","10641.0205078125","203.8306121826172","203.8306121826172","203.8306121826172"
"10199","12078.1796875","12078.1796875","12078.1796875","100","100","100","12076.2177734375","12076.2177734375","12076.2177734375","197.20774841308594","197.20774841308594","197.20774841308594","10658.4873046875","10658.4873046875","10658.4873046875","100","100","100","10642.1689453125","10642.1689453125","10642.1689453125","196.8521270751953","196.8521270751953","196.8521270751953"
"10799","12061.9208984375","12061.9208984375","12061.9208984375","100","100","100","12076.806640625","12076.806640625","12076.806640625","187.5830841064453","187.5830841064453","187.5830841064453","10685.5283203125","10685.5283203125","10685.5283203125","100","100","100","10658.0849609375","10658.0849609375","10658.0849609375","187.07669067382812","187.07669067382812","187.07669067382812"
"11399","12071.9736328125","12071.9736328125","12071.9736328125","100","100","100","12095.9580078125","12095.9580078125","12095.9580078125","174.0993194580078","174.0993194580078","174.0993194580078","10711.4755859375","10711.4755859375","10711.4755859375","100","100","100","10681.6943359375","10681.6943359375","10681.6943359375","173.9199676513672","173.9199676513672","173.9199676513672"
"11999","12057.3125","12057.3125","12057.3125","100","100","100","12025.6318359375","12025.6318359375","12025.6318359375","169.09414672851562","169.09414672851562","169.09414672851562","10732.2529296875","10732.2529296875","10732.2529296875","100","100","100","10697.8505859375","10697.8505859375","10697.8505859375","168.37107849121094","168.37107849121094","168.37107849121094"
"12599","12061.9873046875","12061.9873046875","12061.9873046875","100","100","100","12061.5166015625","12061.5166015625","12061.5166015625","160.18472290039062","160.18472290039062","160.18472290039062","10770.71484375","10770.71484375","10770.71484375","100","100","100","10732.5517578125","10732.5517578125","10732.5517578125","159.6396942138672","159.6396942138672","159.6396942138672"
"13199","12094.0615234375","12094.0615234375","12094.0615234375","100","100","100","12071.4765625","12071.4765625","12071.4765625","153.1033172607422","153.1033172607422","153.1033172607422","10778.943359375","10778.943359375","10778.943359375","100","100","100","10756.09375","10756.09375","10756.09375","152.5773162841797","152.5773162841797","152.5773162841797"
"13799","12073.8359375","12073.8359375","12073.8359375","100","100","100","12059.4267578125","12059.4267578125","12059.4267578125","151.60208129882812","151.60208129882812","151.60208129882812","10775.9111328125","10775.9111328125","10775.9111328125","100","100","100","10747.5556640625","10747.5556640625","10747.5556640625","150.81602478027344","150.81602478027344","150.81602478027344"
"14399","12062.4990234375","12062.4990234375","12062.4990234375","100","100","100","12057.478515625","12057.478515625","12057.478515625","144.76394653320312","144.76394653320312","144.76394653320312","10776.5126953125","10776.5126953125","10776.5126953125","100","100","100","10754.9462890625","10754.9462890625","10754.9462890625","144.08389282226562","144.08389282226562","144.08389282226562"
"14999","12066.5","12066.5","12066.5","100","100","100","12053.0166015625","12053.0166015625","12053.0166015625","137.527587890625","137.527587890625","137.527587890625","10772.974609375","10772.974609375","10772.974609375","100","100","100","10749.5908203125","10749.5908203125","10749.5908203125","137.2086639404297","137.2086639404297","137.2086639404297"
"15599","12057.2138671875","12057.2138671875","12057.2138671875","100","100","100","12057.6943359375","12057.6943359375","12057.6943359375","135.1340789794922","135.1340789794922","135.1340789794922","10782.9814453125","10782.9814453125","10782.9814453125","100","100","100","10755.9248046875","10755.9248046875","10755.9248046875","134.63279724121094","134.63279724121094","134.63279724121094"
"16199","12073.650390625","12073.650390625","12073.650390625","100","100","100","12058.921875","12058.921875","12058.921875","130.47984313964844","130.47984313964844","130.47984313964844","10785.9873046875","10785.9873046875","10785.9873046875","100","100","100","10767.345703125","10767.345703125","10767.345703125","130.0719757080078","130.0719757080078","130.0719757080078"
"16799","12052.0537109375","12052.0537109375","12052.0537109375","100","100","100","12057.65625","12057.65625","12057.65625","126.7723617553711","126.7723617553711","126.7723617553711","10777.9287109375","10777.9287109375","10777.9287109375","100","100","100","10751.3447265625","10751.3447265625","10751.3447265625","126.22344207763672","126.22344207763672","126.22344207763672"
"17399","12060.8564453125","12060.8564453125","12060.8564453125","100","100","100","12057.609375","12057.609375","12057.609375","122.9601058959961","122.9601058959961","122.9601058959961","10770.1279296875","10770.1279296875","10770.1279296875","100","100","100","10738.5087890625","10738.5087890625","10738.5087890625","122.5846176147461","122.5846176147461","122.5846176147461"
"17999","12067.5654296875","12067.5654296875","12067.5654296875","100","100","100","12056.8193359375","12056.8193359375","12056.8193359375","120.22004699707031","120.22004699707031","120.22004699707031","10767.2021484375","10767.2021484375","10767.2021484375","100","100","100","10737.478515625","10737.478515625","10737.478515625","119.66912078857422","119.66912078857422","119.66912078857422"
"18599","12045.4599609375","12045.4599609375","12045.4599609375","100","100","100","12068.2080078125","12068.2080078125","12068.2080078125","115.76982879638672","115.76982879638672","115.76982879638672","10775.3701171875","10775.3701171875","10775.3701171875","100","100","100","10745.1943359375","10745.1943359375","10745.1943359375","115.3060073852539","115.3060073852539","115.3060073852539"
"19199","12066.2421875","12066.2421875","12066.2421875","100","100","100","12073.6298828125","12073.6298828125","12073.6298828125","114.87456512451172","114.87456512451172","114.87456512451172","10774.392578125","10774.392578125","10774.392578125","100","100","100","10745.1728515625","10745.1728515625","10745.1728515625","114.4024658203125","114.4024658203125","114.4024658203125"
"19799","12067.8779296875","12067.8779296875","12067.8779296875","100","100","100","12083.6943359375","12083.6943359375","12083.6943359375","110.90874481201172","110.90874481201172","110.90874481201172","10770.8388671875","10770.8388671875","10770.8388671875","100","100","100","10748.4921875","10748.4921875","10748.4921875","110.36360168457031","110.36360168457031","110.36360168457031"
