"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","1.2625654935836792","1.2625654935836792","1.2625654935836792","1.2112102508544922","1.2112102508544922","1.2112102508544922","1.262560248374939","1.262560248374939","1.262560248374939","1.2530888319015503","1.2530888319015503","1.2530888319015503","1.2625406980514526","1.2625406980514526","1.2625406980514526","1.2112993001937866","1.2112993001937866","1.2112993001937866","1.2624790668487549","1.2624790668487549","1.2624790668487549","1.2520338296890259","1.2520338296890259","1.2520338296890259"
"1199","1.2673362493515015","1.2673362493515015","1.2673362493515015","1.2275575399398804","1.2275575399398804","1.2275575399398804","1.2673110961914062","1.2673110961914062","1.2673110961914062","1.2592843770980835","1.2592843770980835","1.2592843770980835","1.2687153816223145","1.2687153816223145","1.2687153816223145","1.2283867597579956","1.2283867597579956","1.2283867597579956","1.2686855792999268","1.2686855792999268","1.2686855792999268","1.2598031759262085","1.2598031759262085","1.2598031759262085"
"1799","1.2696932554244995","1.2696932554244995","1.2696932554244995","1.2372335195541382","1.2372335195541382","1.2372335195541382","1.2696765661239624","1.2696765661239624","1.2696765661239624","1.2590501308441162","1.2590501308441162","1.2590501308441162","1.2700303792953491","1.2700303792953491","1.2700303792953491","1.2363780736923218","1.2363780736923218","1.2363780736923218","1.2700899839401245","1.2700899839401245","1.2700899839401245","1.2543890476226807","1.2543890476226807","1.2543890476226807"
"2399","1.2694600820541382","1.2694600820541382","1.2694600820541382","1.2436189651489258","1.2436189651489258","1.2436189651489258","1.2694514989852905","1.2694514989852905","1.2694514989852905","1.2595975399017334","1.2595975399017334","1.2595975399017334","1.2701114416122437","1.2701114416122437","1.2701114416122437","1.2433193922042847","1.2433193922042847","1.2433193922042847","1.270328164100647","1.270328164100647","1.270328164100647","1.2568578720092773","1.2568578720092773","1.2568578720092773"
"2999","1.2706800699234009","1.2706800699234009","1.2706800699234009","1.2520402669906616","1.2520402669906616","1.2520402669906616","1.2707244157791138","1.2707244157791138","1.2707244157791138","1.2568074464797974","1.2568074464797974","1.2568074464797974","1.2709494829177856","1.2709494829177856","1.2709494829177856","1.2530028820037842","1.2530028820037842","1.2530028820037842","1.2707791328430176","1.2707791328430176","1.2707791328430176","1.2588082551956177","1.2588082551956177","1.2588082551956177"
"3599","1.2714382410049438","1.2714382410049438","1.2714382410049438","1.2505775690078735","1.2505775690078735","1.2505775690078735","1.2714089155197144","1.2714089155197144","1.2714089155197144","1.2587946653366089","1.2587946653366089","1.2587946653366089","1.27069890499115","1.27069890499115","1.27069890499115","1.2519025802612305","1.2519025802612305","1.2519025802612305","1.2710986137390137","1.2710986137390137","1.2710986137390137","1.2581976652145386","1.2581976652145386","1.2581976652145386"
"4199","1.271830439567566","1.271830439567566","1.271830439567566","1.2569401264190674","1.2569401264190674","1.2569401264190674","1.2713422775268555","1.2713422775268555","1.2713422775268555","1.2630131244659424","1.2630131244659424","1.2630131244659424","1.2719814777374268","1.2719814777374268","1.2719814777374268","1.255748987197876","1.255748987197876","1.255748987197876","1.2720037698745728","1.2720037698745728","1.2720037698745728","1.2624472379684448","1.2624472379684448","1.2624472379684448"
"4799","1.2706302404403687","1.2706302404403687","1.2706302404403687","1.2563377618789673","1.2563377618789673","1.2563377618789673","1.2710622549057007","1.2710622549057007","1.2710622549057007","1.2602428197860718","1.2602428197860718","1.2602428197860718","1.2705992460250854","1.2705992460250854","1.2705992460250854","1.2559325695037842","1.2559325695037842","1.2559325695037842","1.2704030275344849","1.2704030275344849","1.2704030275344849","1.2604511976242065","1.2604511976242065","1.2604511976242065"
"5399","1.2704895734786987","1.2704895734786987","1.2704895734786987","1.2578227519989014","1.2578227519989014","1.2578227519989014","1.2708698511123657","1.2708698511123657","1.2708698511123657","1.261365532875061","1.261365532875061","1.261365532875061","1.2706125974655151","1.2706125974655151","1.2706125974655151","1.2564152479171753","1.2564152479171753","1.2564152479171753","1.2705538272857666","1.2705538272857666","1.2705538272857666","1.2622238397598267","1.2622238397598267","1.2622238397598267"
"5999","1.2714699506759644","1.2714699506759644","1.2714699506759644","1.257843017578125","1.257843017578125","1.257843017578125","1.2707700729370117","1.2707700729370117","1.2707700729370117","1.2647961378097534","1.2647961378097534","1.2647961378097534","1.2713574171066284","1.2713574171066284","1.2713574171066284","1.2566732168197632","1.2566732168197632","1.2566732168197632","1.2709438800811768","1.2709438800811768","1.2709438800811768","1.2641855478286743","1.2641855478286743","1.2641855478286743"
