"Step","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4269.25390625","4269.25390625","4269.25390625","385.2946472167969","385.2946472167969","385.2946472167969","4273.11083984375","4273.11083984375","4273.11083984375","778.608154296875","778.608154296875","778.608154296875","3294.884521484375","3294.884521484375","3294.884521484375","385.0926513671875","385.0926513671875","385.0926513671875","3297.906982421875","3297.906982421875","3297.906982421875","776.5343017578125","776.5343017578125","776.5343017578125"
"1199","4280.91455078125","4280.91455078125","4280.91455078125","441.3436584472656","441.3436584472656","441.3436584472656","4285.32080078125","4285.32080078125","4285.32080078125","586.9114990234375","586.9114990234375","586.9114990234375","2867.87646484375","2867.87646484375","2867.87646484375","440.2948303222656","440.2948303222656","440.2948303222656","2871.079345703125","2871.079345703125","2871.079345703125","584.4310913085938","584.4310913085938","584.4310913085938"
"1799","4104.71826171875","4104.71826171875","4104.71826171875","471.5108947753906","471.5108947753906","471.5108947753906","4109.67333984375","4109.67333984375","4109.67333984375","470.376220703125","470.376220703125","470.376220703125","2634.068115234375","2634.068115234375","2634.068115234375","470.8970642089844","470.8970642089844","470.8970642089844","2637.35302734375","2637.35302734375","2637.35302734375","468.6636657714844","468.6636657714844","468.6636657714844"
"2399","4067.49609375","4067.49609375","4067.49609375","485.1045837402344","485.1045837402344","485.1045837402344","4073.079833984375","4073.079833984375","4073.079833984375","392.00970458984375","392.00970458984375","392.00970458984375","2555.00439453125","2555.00439453125","2555.00439453125","482.8998107910156","482.8998107910156","482.8998107910156","2557.868896484375","2557.868896484375","2557.868896484375","389.1841735839844","389.1841735839844","389.1841735839844"
"2999","4002.156005859375","4002.156005859375","4002.156005859375","488.3526306152344","488.3526306152344","488.3526306152344","4008.156982421875","4008.156982421875","4008.156982421875","339.2944030761719","339.2944030761719","339.2944030761719","2529.469482421875","2529.469482421875","2529.469482421875","484.78271484375","484.78271484375","484.78271484375","2531.860595703125","2531.860595703125","2531.860595703125","337.7065124511719","337.7065124511719","337.7065124511719"
"3599","3977.532958984375","3977.532958984375","3977.532958984375","481.3334045410156","481.3334045410156","481.3334045410156","3980.352294921875","3980.352294921875","3980.352294921875","297.1050720214844","297.1050720214844","297.1050720214844","2476.635009765625","2476.635009765625","2476.635009765625","477.54248046875","477.54248046875","477.54248046875","2478.86767578125","2478.86767578125","2478.86767578125","295.5230407714844","295.5230407714844","295.5230407714844"
"4199","4030.171142578125","4030.171142578125","4030.171142578125","466.7247009277344","466.7247009277344","466.7247009277344","4014.4296875","4014.4296875","4014.4296875","265.4891052246094","265.4891052246094","265.4891052246094","2614.731201171875","2614.731201171875","2614.731201171875","463.65850830078125","463.65850830078125","463.65850830078125","2615.783447265625","2615.783447265625","2615.783447265625","262.6037902832031","262.6037902832031","262.6037902832031"
"4799","4041.857177734375","4041.857177734375","4041.857177734375","445.16876220703125","445.16876220703125","445.16876220703125","4041.92578125","4041.92578125","4041.92578125","239.8836212158203","239.8836212158203","239.8836212158203","2780.596435546875","2780.596435546875","2780.596435546875","441.3964538574219","441.3964538574219","441.3964538574219","2777.309326171875","2777.309326171875","2777.309326171875","238.7395782470703","238.7395782470703","238.7395782470703"
"5399","3944.529052734375","3944.529052734375","3944.529052734375","421.4268493652344","421.4268493652344","421.4268493652344","3949.944580078125","3949.944580078125","3949.944580078125","221.0719451904297","221.0719451904297","221.0719451904297","2851.098388671875","2851.098388671875","2851.098388671875","417.9070739746094","417.9070739746094","417.9070739746094","2855.909423828125","2855.909423828125","2855.909423828125","220.08779907226562","220.08779907226562","220.08779907226562"
"5999","3963.07470703125","3963.07470703125","3963.07470703125","404.9908142089844","404.9908142089844","404.9908142089844","3971.06494140625","3971.06494140625","3971.06494140625","205.80088806152344","205.80088806152344","205.80088806152344","3087.550537109375","3087.550537109375","3087.550537109375","401.9307861328125","401.9307861328125","401.9307861328125","3062.480712890625","3062.480712890625","3062.480712890625","204.6110076904297","204.6110076904297","204.6110076904297"
