"Step","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","6.31227970123291","6.31227970123291","6.31227970123291","5.834023952484131","5.834023952484131","5.834023952484131","6.3122687339782715","6.3122687339782715","6.3122687339782715","6.4644975662231445","6.4644975662231445","6.4644975662231445","6.331062316894531","6.331062316894531","6.331062316894531","5.833220481872559","5.833220481872559","5.833220481872559","6.331052780151367","6.331052780151367","6.331052780151367","6.465757846832275","6.465757846832275","6.465757846832275"
"1199","6.421455383300781","6.421455383300781","6.421455383300781","5.93257474899292","5.93257474899292","5.93257474899292","6.421451568603516","6.421451568603516","6.421451568603516","6.412938594818115","6.412938594818115","6.412938594818115","6.453985691070557","6.453985691070557","6.453985691070557","5.933365821838379","5.933365821838379","5.933365821838379","6.454038143157959","6.454038143157959","6.454038143157959","6.416360378265381","6.416360378265381","6.416360378265381"
"1799","6.453253269195557","6.453253269195557","6.453253269195557","6.008471965789795","6.008471965789795","6.008471965789795","6.453226566314697","6.453226566314697","6.453226566314697","6.332675457000732","6.332675457000732","6.332675457000732","6.487815856933594","6.487815856933594","6.487815856933594","6.005349636077881","6.005349636077881","6.005349636077881","6.487756252288818","6.487756252288818","6.487756252288818","6.339341640472412","6.339341640472412","6.339341640472412"
"2399","6.46035099029541","6.46035099029541","6.46035099029541","6.046778202056885","6.046778202056885","6.046778202056885","6.460488796234131","6.460488796234131","6.460488796234131","6.138063907623291","6.138063907623291","6.138063907623291","6.488473415374756","6.488473415374756","6.488473415374756","6.043538570404053","6.043538570404053","6.043538570404053","6.489013671875","6.489013671875","6.489013671875","6.144303798675537","6.144303798675537","6.144303798675537"
"2999","6.485988140106201","6.485988140106201","6.485988140106201","6.088382244110107","6.088382244110107","6.088382244110107","6.485861301422119","6.485861301422119","6.485861301422119","6.150813579559326","6.150813579559326","6.150813579559326","6.539657115936279","6.539657115936279","6.539657115936279","6.095153331756592","6.095153331756592","6.095153331756592","6.539498805999756","6.539498805999756","6.539498805999756","6.155309200286865","6.155309200286865","6.155309200286865"
"3599","6.5272746086120605","6.5272746086120605","6.5272746086120605","6.106773853302002","6.106773853302002","6.106773853302002","6.527229309082031","6.527229309082031","6.527229309082031","6.275063991546631","6.275063991546631","6.275063991546631","6.53230619430542","6.53230619430542","6.53230619430542","6.101724147796631","6.101724147796631","6.101724147796631","6.532299995422363","6.532299995422363","6.532299995422363","6.27821683883667","6.27821683883667","6.27821683883667"
"4199","6.535168647766113","6.535168647766113","6.535168647766113","6.161297798156738","6.161297798156738","6.161297798156738","6.53529691696167","6.53529691696167","6.53529691696167","6.287757396697998","6.287757396697998","6.287757396697998","6.561370849609375","6.561370849609375","6.561370849609375","6.157595157623291","6.157595157623291","6.157595157623291","6.562858581542969","6.562858581542969","6.562858581542969","6.287879467010498","6.287879467010498","6.287879467010498"
"4799","6.5290117263793945","6.5290117263793945","6.5290117263793945","6.170562744140625","6.170562744140625","6.170562744140625","6.528695583343506","6.528695583343506","6.528695583343506","6.240440368652344","6.240440368652344","6.240440368652344","6.566581726074219","6.566581726074219","6.566581726074219","6.169580936431885","6.169580936431885","6.169580936431885","6.567759990692139","6.567759990692139","6.567759990692139","6.241237163543701","6.241237163543701","6.241237163543701"
"5399","6.541501045227051","6.541501045227051","6.541501045227051","6.180201530456543","6.180201530456543","6.180201530456543","6.544236660003662","6.544236660003662","6.544236660003662","6.253051280975342","6.253051280975342","6.253051280975342","6.518710613250732","6.518710613250732","6.518710613250732","6.179530620574951","6.179530620574951","6.179530620574951","6.516819953918457","6.516819953918457","6.516819953918457","6.254634380340576","6.254634380340576","6.254634380340576"
"5999","6.53985595703125","6.53985595703125","6.53985595703125","6.209665775299072","6.209665775299072","6.209665775299072","6.555854797363281","6.555854797363281","6.555854797363281","6.270578861236572","6.270578861236572","6.270578861236572","6.549388408660889","6.549388408660889","6.549388408660889","6.207714080810547","6.207714080810547","6.207714080810547","6.550680637359619","6.550680637359619","6.550680637359619","6.273627758026123","6.273627758026123","6.273627758026123"
