"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_10_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","22.9265079498291","22.9265079498291","22.9265079498291","0.03266783431172371","0.03266783431172371","0.03266783431172371","22.925819396972656","22.925819396972656","22.925819396972656","20.39212417602539","20.39212417602539","20.39212417602539"
"59","21.40167999267578","21.40167999267578","21.40167999267578","0.039840951561927795","0.039840951561927795","0.039840951561927795","21.40032196044922","21.40032196044922","21.40032196044922","18.504241943359375","18.504241943359375","18.504241943359375"
"89","16.489730834960938","16.489730834960938","16.489730834960938","0.03908265382051468","0.03908265382051468","0.03908265382051468","16.487834930419922","16.487834930419922","16.487834930419922","14.124906539916992","14.124906539916992","14.124906539916992"
"119","12.838862419128418","12.838862419128418","12.838862419128418","0.03866748511791229","0.03866748511791229","0.03866748511791229","12.838258743286133","12.838258743286133","12.838258743286133","9.389753341674805","9.389753341674805","9.389753341674805"
"149","39.368309020996094","39.368309020996094","39.368309020996094","0.04098222032189369","0.04098222032189369","0.04098222032189369","39.37165451049805","39.37165451049805","39.37165451049805","35.8988151550293","35.8988151550293","35.8988151550293"
"179","41.38115310668945","41.38115310668945","41.38115310668945","0.04076213762164116","0.04076213762164116","0.04076213762164116","41.383914947509766","41.383914947509766","41.383914947509766","36.756065368652344","36.756065368652344","36.756065368652344"
"209","10.115987777709961","10.115987777709961","10.115987777709961","0.032965436577796936","0.032965436577796936","0.032965436577796936","10.115653038024902","10.115653038024902","10.115653038024902","6.651956558227539","6.651956558227539","6.651956558227539"
"239","10.454949378967285","10.454949378967285","10.454949378967285","0.032158203423023224","0.032158203423023224","0.032158203423023224","10.454704284667969","10.454704284667969","10.454704284667969","6.721502304077148","6.721502304077148","6.721502304077148"
"269","10.55916976928711","10.55916976928711","10.55916976928711","0.027729881927371025","0.027729881927371025","0.027729881927371025","10.56002426147461","10.56002426147461","10.56002426147461","6.297823905944824","6.297823905944824","6.297823905944824"
"299","8.333857536315918","8.333857536315918","8.333857536315918","0.026407064869999886","0.026407064869999886","0.026407064869999886","8.334088325500488","8.334088325500488","8.334088325500488","5.101411819458008","5.101411819458008","5.101411819458008"
