"Step","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12053.015625","12053.015625","12053.015625","100","100","100","12050.0703125","12050.0703125","12050.0703125","2583.525146484375","2583.525146484375","2583.525146484375","11332.8720703125","11332.8720703125","11332.8720703125","100","100","100","11322.64453125","11322.64453125","11322.64453125","2573.765625","2573.765625","2573.765625"
"1199","12016.5810546875","12016.5810546875","12016.5810546875","100","100","100","12013.1201171875","12013.1201171875","12013.1201171875","1646.073486328125","1646.073486328125","1646.073486328125","10470.4501953125","10470.4501953125","10470.4501953125","100","100","100","10455.1767578125","10455.1767578125","10455.1767578125","1632.509033203125","1632.509033203125","1632.509033203125"
"1799","11931.814453125","11931.814453125","11931.814453125","100","100","100","11927.3583984375","11927.3583984375","11927.3583984375","1200.1253662109375","1200.1253662109375","1200.1253662109375","10036.0146484375","10036.0146484375","10036.0146484375","100","100","100","10019.2060546875","10019.2060546875","10019.2060546875","1187.9161376953125","1187.9161376953125","1187.9161376953125"
"2399","11935.74609375","11935.74609375","11935.74609375","100","100","100","11931.35546875","11931.35546875","11931.35546875","917.2210083007812","917.2210083007812","917.2210083007812","9913.2958984375","9913.2958984375","9913.2958984375","100","100","100","9895.5849609375","9895.5849609375","9895.5849609375","905.2069702148438","905.2069702148438","905.2069702148438"
"2999","11943.6865234375","11943.6865234375","11943.6865234375","100","100","100","11939.408203125","11939.408203125","11939.408203125","731.64501953125","731.64501953125","731.64501953125","9977.3896484375","9977.3896484375","9977.3896484375","100","100","100","9958.4765625","9958.4765625","9958.4765625","722.6824951171875","722.6824951171875","722.6824951171875"
"3599","11954.02734375","11954.02734375","11954.02734375","100","100","100","11945.4599609375","11945.4599609375","11945.4599609375","596.933349609375","596.933349609375","596.933349609375","10042.2294921875","10042.2294921875","10042.2294921875","100","100","100","10022.5439453125","10022.5439453125","10022.5439453125","589.2989501953125","589.2989501953125","589.2989501953125"
"4199","11988.7802734375","11988.7802734375","11988.7802734375","100","100","100","11978.734375","11978.734375","11978.734375","493.7798767089844","493.7798767089844","493.7798767089844","10406.9541015625","10406.9541015625","10406.9541015625","100","100","100","10387.6298828125","10387.6298828125","10387.6298828125","487.9125061035156","487.9125061035156","487.9125061035156"
"4799","12008.6435546875","12008.6435546875","12008.6435546875","100","100","100","12002.900390625","12002.900390625","12002.900390625","424.6505432128906","424.6505432128906","424.6505432128906","10658.796875","10658.796875","10658.796875","100","100","100","10637.9814453125","10637.9814453125","10637.9814453125","419.619140625","419.619140625","419.619140625"
"5399","11944.8271484375","11944.8271484375","11944.8271484375","100","100","100","11947.4375","11947.4375","11947.4375","376.5670471191406","376.5670471191406","376.5670471191406","10838.0693359375","10838.0693359375","10838.0693359375","100","100","100","10818.103515625","10818.103515625","10818.103515625","372.5152282714844","372.5152282714844","372.5152282714844"
"5999","11969.458984375","11969.458984375","11969.458984375","100","100","100","11969.1591796875","11969.1591796875","11969.1591796875","332.0013122558594","332.0013122558594","332.0013122558594","11086.26171875","11086.26171875","11086.26171875","100","100","100","11050.5849609375","11050.5849609375","11050.5849609375","327.8117370605469","327.8117370605469","327.8117370605469"
