"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"599","4181.037109375","4181.037109375","4181.037109375","2583.525146484375","2583.525146484375","2583.525146484375","2093.19287109375","2093.19287109375","2093.19287109375","4168.8525390625","4168.8525390625","4168.8525390625","2573.765625","2573.765625","2573.765625","1861.729736328125","1861.729736328125","1861.729736328125"
"1199","2655.485595703125","2655.485595703125","2655.485595703125","1646.073486328125","1646.073486328125","1646.073486328125","1626.74169921875","1626.74169921875","1626.74169921875","2641.581298828125","2641.581298828125","2641.581298828125","1632.509033203125","1632.509033203125","1632.509033203125","1397.1124267578125","1397.1124267578125","1397.1124267578125"
"1799","1852.2562255859375","1852.2562255859375","1852.2562255859375","1200.1253662109375","1200.1253662109375","1200.1253662109375","1380.5543212890625","1380.5543212890625","1380.5543212890625","1835.1455078125","1835.1455078125","1835.1455078125","1187.9161376953125","1187.9161376953125","1187.9161376953125","1161.5963134765625","1161.5963134765625","1161.5963134765625"
"2399","1290.2242431640625","1290.2242431640625","1290.2242431640625","917.2210083007812","917.2210083007812","917.2210083007812","1224.960205078125","1224.960205078125","1224.960205078125","1272.5980224609375","1272.5980224609375","1272.5980224609375","905.2069702148438","905.2069702148438","905.2069702148438","1020.7797241210938","1020.7797241210938","1020.7797241210938"
"2999","974.9693603515625","974.9693603515625","974.9693603515625","731.64501953125","731.64501953125","731.64501953125","1093.385009765625","1093.385009765625","1093.385009765625","961.080078125","961.080078125","961.080078125","722.6824951171875","722.6824951171875","722.6824951171875","902.8244018554688","902.8244018554688","902.8244018554688"
"3599","796.1488647460938","796.1488647460938","796.1488647460938","596.933349609375","596.933349609375","596.933349609375","1008.7553100585938","1008.7553100585938","1008.7553100585938","784.5814819335938","784.5814819335938","784.5814819335938","589.2989501953125","589.2989501953125","589.2989501953125","825.4766845703125","825.4766845703125","825.4766845703125"
"4199","608.2518310546875","608.2518310546875","608.2518310546875","493.7798767089844","493.7798767089844","493.7798767089844","936.1692504882812","936.1692504882812","936.1692504882812","602.459716796875","602.459716796875","602.459716796875","487.9125061035156","487.9125061035156","487.9125061035156","757.6683959960938","757.6683959960938","757.6683959960938"
"4799","497.9761657714844","497.9761657714844","497.9761657714844","424.6505432128906","424.6505432128906","424.6505432128906","880.6985473632812","880.6985473632812","880.6985473632812","494.14678955078125","494.14678955078125","494.14678955078125","419.619140625","419.619140625","419.619140625","710.4185180664062","710.4185180664062","710.4185180664062"
"5399","422.50225830078125","422.50225830078125","422.50225830078125","376.5670471191406","376.5670471191406","376.5670471191406","838.3400268554688","838.3400268554688","838.3400268554688","420.1915588378906","420.1915588378906","420.1915588378906","372.5152282714844","372.5152282714844","372.5152282714844","672.3834228515625","672.3834228515625","672.3834228515625"
"5999","359.893798828125","359.893798828125","359.893798828125","332.0013122558594","332.0013122558594","332.0013122558594","795.2079467773438","795.2079467773438","795.2079467773438","358.5452575683594","358.5452575683594","358.5452575683594","327.8117370605469","327.8117370605469","327.8117370605469","634.0906372070312","634.0906372070312","634.0906372070312"
