"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4381.88525390625","4381.88525390625","4381.88525390625","375.63140869140625","375.63140869140625","375.63140869140625","4389.15625","4389.15625","4389.15625","673.2105712890625","673.2105712890625","673.2105712890625","3697.173583984375","3697.173583984375","3697.173583984375","375.6275939941406","375.6275939941406","375.6275939941406","3713.393310546875","3713.393310546875","3713.393310546875","647.5580444335938","647.5580444335938","647.5580444335938"
"1199","4265.65283203125","4265.65283203125","4265.65283203125","396.5966491699219","396.5966491699219","396.5966491699219","4273.77685546875","4273.77685546875","4273.77685546875","529.9235229492188","529.9235229492188","529.9235229492188","3373.799560546875","3373.799560546875","3373.799560546875","396.2281799316406","396.2281799316406","396.2281799316406","3389.50244140625","3389.50244140625","3389.50244140625","501.6654357910156","501.6654357910156","501.6654357910156"
"1799","4092.68408203125","4092.68408203125","4092.68408203125","417.85400390625","417.85400390625","417.85400390625","4100.6552734375","4100.6552734375","4100.6552734375","450.5015563964844","450.5015563964844","450.5015563964844","3234.61328125","3234.61328125","3234.61328125","416.52471923828125","416.52471923828125","416.52471923828125","3248.73486328125","3248.73486328125","3248.73486328125","421.1787109375","421.1787109375","421.1787109375"
"2399","3943.909423828125","3943.909423828125","3943.909423828125","420.3033752441406","420.3033752441406","420.3033752441406","3951.45361328125","3951.45361328125","3951.45361328125","395.93536376953125","395.93536376953125","395.93536376953125","3195.02783203125","3195.02783203125","3195.02783203125","419.97369384765625","419.97369384765625","419.97369384765625","3212.925537109375","3212.925537109375","3212.925537109375","368.9032287597656","368.9032287597656","368.9032287597656"
"2999","3826.571044921875","3826.571044921875","3826.571044921875","410.6092224121094","410.6092224121094","410.6092224121094","3833.25390625","3833.25390625","3833.25390625","355.345947265625","355.345947265625","355.345947265625","3210.470458984375","3210.470458984375","3210.470458984375","409.3810119628906","409.3810119628906","409.3810119628906","3227.12939453125","3227.12939453125","3227.12939453125","330.24591064453125","330.24591064453125","330.24591064453125"
"3599","3701.032470703125","3701.032470703125","3701.032470703125","392.1734313964844","392.1734313964844","392.1734313964844","3707.74609375","3707.74609375","3707.74609375","325.60650634765625","325.60650634765625","325.60650634765625","3203.87109375","3203.87109375","3203.87109375","392.3319396972656","392.3319396972656","392.3319396972656","3225.948974609375","3225.948974609375","3225.948974609375","300.5407409667969","300.5407409667969","300.5407409667969"
"4199","3620.482177734375","3620.482177734375","3620.482177734375","377.67486572265625","377.67486572265625","377.67486572265625","3622.279052734375","3622.279052734375","3622.279052734375","302.5696716308594","302.5696716308594","302.5696716308594","3219.035888671875","3219.035888671875","3219.035888671875","377.7777099609375","377.7777099609375","377.7777099609375","3244.728515625","3244.728515625","3244.728515625","277.9441833496094","277.9441833496094","277.9441833496094"
"4799","3562.26611328125","3562.26611328125","3562.26611328125","363.3224792480469","363.3224792480469","363.3224792480469","3563.51416015625","3563.51416015625","3563.51416015625","282.9185485839844","282.9185485839844","282.9185485839844","3170.674560546875","3170.674560546875","3170.674560546875","364.06561279296875","364.06561279296875","364.06561279296875","3210.615966796875","3210.615966796875","3210.615966796875","259.9607849121094","259.9607849121094","259.9607849121094"
"5399","3481.543701171875","3481.543701171875","3481.543701171875","349.908447265625","349.908447265625","349.908447265625","3488.463623046875","3488.463623046875","3488.463623046875","268.1274108886719","268.1274108886719","268.1274108886719","3134.934814453125","3134.934814453125","3134.934814453125","351.4449157714844","351.4449157714844","351.4449157714844","3168.458984375","3168.458984375","3168.458984375","246.01113891601562","246.01113891601562","246.01113891601562"
"5999","3448.853271484375","3448.853271484375","3448.853271484375","339.6575622558594","339.6575622558594","339.6575622558594","3453.2109375","3453.2109375","3453.2109375","253.1278839111328","253.1278839111328","253.1278839111328","3114.23095703125","3114.23095703125","3114.23095703125","341.48297119140625","341.48297119140625","341.48297119140625","3152.23291015625","3152.23291015625","3152.23291015625","231.9359588623047","231.9359588623047","231.9359588623047"
