"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12113.2685546875","12113.2685546875","12113.2685546875","12053.015625","12053.015625","12053.015625","12080.69140625","12080.69140625","12080.69140625","11877.8486328125","11877.8486328125","11877.8486328125","11332.8720703125","11332.8720703125","11332.8720703125","11789.71484375","11789.71484375","11789.71484375"
"1199","12068.908203125","12068.908203125","12068.908203125","12016.5810546875","12016.5810546875","12016.5810546875","12122.748046875","12122.748046875","12122.748046875","11327.2685546875","11327.2685546875","11327.2685546875","10470.4501953125","10470.4501953125","10470.4501953125","11671.3037109375","11671.3037109375","11671.3037109375"
"1799","11986.8642578125","11986.8642578125","11986.8642578125","11931.814453125","11931.814453125","11931.814453125","12126.7607421875","12126.7607421875","12126.7607421875","10572.2392578125","10572.2392578125","10572.2392578125","10036.0146484375","10036.0146484375","10036.0146484375","11540.3271484375","11540.3271484375","11540.3271484375"
"2399","11925.0498046875","11925.0498046875","11925.0498046875","11935.74609375","11935.74609375","11935.74609375","12126.400390625","12126.400390625","12126.400390625","9934.7763671875","9934.7763671875","9934.7763671875","9913.2958984375","9913.2958984375","9913.2958984375","11210.2119140625","11210.2119140625","11210.2119140625"
"2999","11889.5869140625","11889.5869140625","11889.5869140625","11943.6865234375","11943.6865234375","11943.6865234375","12129.537109375","12129.537109375","12129.537109375","9741.0341796875","9741.0341796875","9741.0341796875","9977.3896484375","9977.3896484375","9977.3896484375","10738.171875","10738.171875","10738.171875"
"3599","11870.03125","11870.03125","11870.03125","11954.02734375","11954.02734375","11954.02734375","12130.4755859375","12130.4755859375","12130.4755859375","9298.9267578125","9298.9267578125","9298.9267578125","10042.2294921875","10042.2294921875","10042.2294921875","10270.828125","10270.828125","10270.828125"
"4199","11924.9755859375","11924.9755859375","11924.9755859375","11988.7802734375","11988.7802734375","11988.7802734375","12134.2919921875","12134.2919921875","12134.2919921875","9471.6376953125","9471.6376953125","9471.6376953125","10406.9541015625","10406.9541015625","10406.9541015625","9932.1015625","9932.1015625","9932.1015625"
"4799","11993.2177734375","11993.2177734375","11993.2177734375","12008.6435546875","12008.6435546875","12008.6435546875","12125.3037109375","12125.3037109375","12125.3037109375","9679.443359375","9679.443359375","9679.443359375","10658.796875","10658.796875","10658.796875","9599.9111328125","9599.9111328125","9599.9111328125"
"5399","12015.2744140625","12015.2744140625","12015.2744140625","11944.8271484375","11944.8271484375","11944.8271484375","12113.8369140625","12113.8369140625","12113.8369140625","9852.7841796875","9852.7841796875","9852.7841796875","10838.0693359375","10838.0693359375","10838.0693359375","9301.4755859375","9301.4755859375","9301.4755859375"
"5999","12072.1240234375","12072.1240234375","12072.1240234375","11969.458984375","11969.458984375","11969.458984375","12117.7607421875","12117.7607421875","12117.7607421875","10136.947265625","10136.947265625","10136.947265625","11086.26171875","11086.26171875","11086.26171875","9065.0908203125","9065.0908203125","9065.0908203125"
