"Step","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","22.514789581298828","22.514789581298828","22.514789581298828","0.026349632069468498","0.026349632069468498","0.026349632069468498","22.856531143188477","22.856531143188477","22.856531143188477","8.944287300109863","8.944287300109863","8.944287300109863"
"59","26.572423934936523","26.572423934936523","26.572423934936523","0.0296354740858078","0.0296354740858078","0.0296354740858078","27.015960693359375","27.015960693359375","27.015960693359375","11.1596040725708","11.1596040725708","11.1596040725708"
"89","20.988855361938477","20.988855361938477","20.988855361938477","0.026278512552380562","0.026278512552380562","0.026278512552380562","21.24123764038086","21.24123764038086","21.24123764038086","10.313068389892578","10.313068389892578","10.313068389892578"
"119","17.075571060180664","17.075571060180664","17.075571060180664","0.02279624342918396","0.02279624342918396","0.02279624342918396","17.20508575439453","17.20508575439453","17.20508575439453","8.74077033996582","8.74077033996582","8.74077033996582"
"149","14.823847770690918","14.823847770690918","14.823847770690918","0.023331234231591225","0.023331234231591225","0.023331234231591225","14.881928443908691","14.881928443908691","14.881928443908691","7.848089218139648","7.848089218139648","7.848089218139648"
"179","12.902515411376953","12.902515411376953","12.902515411376953","0.020649274811148643","0.020649274811148643","0.020649274811148643","12.942553520202637","12.942553520202637","12.942553520202637","7.266096591949463","7.266096591949463","7.266096591949463"
"209","12.290793418884277","12.290793418884277","12.290793418884277","0.015206918120384216","0.015206918120384216","0.015206918120384216","12.324213981628418","12.324213981628418","12.324213981628418","7.060420989990234","7.060420989990234","7.060420989990234"
"239","10.694021224975586","10.694021224975586","10.694021224975586","0.014482694678008556","0.014482694678008556","0.014482694678008556","10.713623046875","10.713623046875","10.713623046875","6.884249687194824","6.884249687194824","6.884249687194824"
"269","10.298910140991211","10.298910140991211","10.298910140991211","0.014211859554052353","0.014211859554052353","0.014211859554052353","10.329808235168457","10.329808235168457","10.329808235168457","6.521820068359375","6.521820068359375","6.521820068359375"
"299","8.855765342712402","8.855765342712402","8.855765342712402","0.013225466944277287","0.013225466944277287","0.013225466944277287","8.862432479858398","8.862432479858398","8.862432479858398","6.160586833953857","6.160586833953857","6.160586833953857"
