"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX"
"419","1418.142333984375","1418.142333984375","1418.142333984375","391.6851501464844","391.6851501464844","391.6851501464844","41.09246826171875","41.09246826171875","41.09246826171875","1419.6697998046875","1419.6697998046875","1419.6697998046875","391.97564697265625","391.97564697265625","391.97564697265625","40.252197265625","40.252197265625","40.252197265625"
"449","1301.370849609375","1301.370849609375","1301.370849609375","341.4830322265625","341.4830322265625","341.4830322265625","35.17378234863281","35.17378234863281","35.17378234863281","1303.0736083984375","1303.0736083984375","1303.0736083984375","341.33526611328125","341.33526611328125","341.33526611328125","34.32510757446289","34.32510757446289","34.32510757446289"
"479","1316.9681396484375","1316.9681396484375","1316.9681396484375","397.5975036621094","397.5975036621094","397.5975036621094","42.42768478393555","42.42768478393555","42.42768478393555","1317.90576171875","1317.90576171875","1317.90576171875","397.6013488769531","397.6013488769531","397.6013488769531","41.49429702758789","41.49429702758789","41.49429702758789"
"509","1039.803955078125","1039.803955078125","1039.803955078125","297.9803161621094","297.9803161621094","297.9803161621094","30.112186431884766","30.112186431884766","30.112186431884766","1040.4923095703125","1040.4923095703125","1040.4923095703125","297.8282775878906","297.8282775878906","297.8282775878906","29.364036560058594","29.364036560058594","29.364036560058594"
"539","1237.5137939453125","1237.5137939453125","1237.5137939453125","371.7287292480469","371.7287292480469","371.7287292480469","36.96448516845703","36.96448516845703","36.96448516845703","1238.2646484375","1238.2646484375","1238.2646484375","371.23944091796875","371.23944091796875","371.23944091796875","35.96748733520508","35.96748733520508","35.96748733520508"
"569","1200.031494140625","1200.031494140625","1200.031494140625","341.2775573730469","341.2775573730469","341.2775573730469","32.5191535949707","32.5191535949707","32.5191535949707","1201.474609375","1201.474609375","1201.474609375","341.2302551269531","341.2302551269531","341.2302551269531","31.562875747680664","31.562875747680664","31.562875747680664"
"599","1080.87158203125","1080.87158203125","1080.87158203125","307.781494140625","307.781494140625","307.781494140625","35.9268798828125","35.9268798828125","35.9268798828125","1082.348876953125","1082.348876953125","1082.348876953125","307.79937744140625","307.79937744140625","307.79937744140625","35.194297790527344","35.194297790527344","35.194297790527344"
"629","1116.916748046875","1116.916748046875","1116.916748046875","304.2191467285156","304.2191467285156","304.2191467285156","34.12953186035156","34.12953186035156","34.12953186035156","1118.0509033203125","1118.0509033203125","1118.0509033203125","304.1728515625","304.1728515625","304.1728515625","33.043766021728516","33.043766021728516","33.043766021728516"
"659","883.426513671875","883.426513671875","883.426513671875","241.04165649414062","241.04165649414062","241.04165649414062","28.29203224182129","28.29203224182129","28.29203224182129","884.6997680664062","884.6997680664062","884.6997680664062","240.97406005859375","240.97406005859375","240.97406005859375","27.04608917236328","27.04608917236328","27.04608917236328"
"689","1029.4989013671875","1029.4989013671875","1029.4989013671875","306.1869812011719","306.1869812011719","306.1869812011719","30.986339569091797","30.986339569091797","30.986339569091797","1029.696533203125","1029.696533203125","1029.696533203125","306.17987060546875","306.17987060546875","306.17987060546875","29.68901824951172","29.68901824951172","29.68901824951172"
"719","845.0291137695312","845.0291137695312","845.0291137695312","239.5126495361328","239.5126495361328","239.5126495361328","26.930150985717773","26.930150985717773","26.930150985717773","845.5588989257812","845.5588989257812","845.5588989257812","239.395263671875","239.395263671875","239.395263671875","26.15288543701172","26.15288543701172","26.15288543701172"
"749","875.6068725585938","875.6068725585938","875.6068725585938","252.7558135986328","252.7558135986328","252.7558135986328","31.777591705322266","31.777591705322266","31.777591705322266","876.494384765625","876.494384765625","876.494384765625","252.66807556152344","252.66807556152344","252.66807556152344","30.719038009643555","30.719038009643555","30.719038009643555"
"779","872.3118286132812","872.3118286132812","872.3118286132812","282.470703125","282.470703125","282.470703125","34.261600494384766","34.261600494384766","34.261600494384766","872.8449096679688","872.8449096679688","872.8449096679688","282.3411560058594","282.3411560058594","282.3411560058594","32.851898193359375","32.851898193359375","32.851898193359375"
"809","1375.6988525390625","1375.6988525390625","1375.6988525390625","637.9645385742188","637.9645385742188","637.9645385742188","32.36293029785156","32.36293029785156","32.36293029785156","1375.3511962890625","1375.3511962890625","1375.3511962890625","640.6185913085938","640.6185913085938","640.6185913085938","31.022621154785156","31.022621154785156","31.022621154785156"
"839","898.4493408203125","898.4493408203125","898.4493408203125","274.0784606933594","274.0784606933594","274.0784606933594","29.608877182006836","29.608877182006836","29.608877182006836","899.3626098632812","899.3626098632812","899.3626098632812","274.1485900878906","274.1485900878906","274.1485900878906","28.608510971069336","28.608510971069336","28.608510971069336"
"869","1199.7757568359375","1199.7757568359375","1199.7757568359375","320.8351135253906","320.8351135253906","320.8351135253906","29.10687255859375","29.10687255859375","29.10687255859375","1199.875732421875","1199.875732421875","1199.875732421875","320.8116760253906","320.8116760253906","320.8116760253906","28.034931182861328","28.034931182861328","28.034931182861328"
"899","822.8703002929688","822.8703002929688","822.8703002929688","241.13339233398438","241.13339233398438","241.13339233398438","29.884042739868164","29.884042739868164","29.884042739868164","823.6387939453125","823.6387939453125","823.6387939453125","241.07028198242188","241.07028198242188","241.07028198242188","28.941913604736328","28.941913604736328","28.941913604736328"
"929","947.6115112304688","947.6115112304688","947.6115112304688","293.02642822265625","293.02642822265625","293.02642822265625","30.202594757080078","30.202594757080078","30.202594757080078","948.8800048828125","948.8800048828125","948.8800048828125","292.8543395996094","292.8543395996094","292.8543395996094","29.03731346130371","29.03731346130371","29.03731346130371"
"959","1053.745849609375","1053.745849609375","1053.745849609375","285.3821716308594","285.3821716308594","285.3821716308594","28.382221221923828","28.382221221923828","28.382221221923828","1055.1131591796875","1055.1131591796875","1055.1131591796875","285.3424072265625","285.3424072265625","285.3424072265625","27.144866943359375","27.144866943359375","27.144866943359375"
"989","612.9017333984375","612.9017333984375","612.9017333984375","189.0749969482422","189.0749969482422","189.0749969482422","25.07181167602539","25.07181167602539","25.07181167602539","614.0941772460938","614.0941772460938","614.0941772460938","189.01165771484375","189.01165771484375","189.01165771484375","24.047998428344727","24.047998428344727","24.047998428344727"
"1019","842.0274047851562","842.0274047851562","842.0274047851562","411.10284423828125","411.10284423828125","411.10284423828125","22.36676788330078","22.36676788330078","22.36676788330078","831.1520385742188","831.1520385742188","831.1520385742188","400.321044921875","400.321044921875","400.321044921875","21.861894607543945","21.861894607543945","21.861894607543945"
"1049","469.2980651855469","469.2980651855469","469.2980651855469","156.10699462890625","156.10699462890625","156.10699462890625","23.14737319946289","23.14737319946289","23.14737319946289","470.2574768066406","470.2574768066406","470.2574768066406","156.08363342285156","156.08363342285156","156.08363342285156","22.243242263793945","22.243242263793945","22.243242263793945"
"1079","407.3013916015625","407.3013916015625","407.3013916015625","142.84925842285156","142.84925842285156","142.84925842285156","22.57406234741211","22.57406234741211","22.57406234741211","407.9855041503906","407.9855041503906","407.9855041503906","143.07240295410156","143.07240295410156","143.07240295410156","21.7052001953125","21.7052001953125","21.7052001953125"
"1109","669.5772705078125","669.5772705078125","669.5772705078125","185.1648406982422","185.1648406982422","185.1648406982422","22.267831802368164","22.267831802368164","22.267831802368164","670.2146606445312","670.2146606445312","670.2146606445312","184.30105590820312","184.30105590820312","184.30105590820312","21.58812141418457","21.58812141418457","21.58812141418457"
"1139","566.7356567382812","566.7356567382812","566.7356567382812","159.93141174316406","159.93141174316406","159.93141174316406","23.929948806762695","23.929948806762695","23.929948806762695","567.52734375","567.52734375","567.52734375","159.885009765625","159.885009765625","159.885009765625","22.958251953125","22.958251953125","22.958251953125"
"1169","723.390380859375","723.390380859375","723.390380859375","217.8177032470703","217.8177032470703","217.8177032470703","26.62954330444336","26.62954330444336","26.62954330444336","725.3974609375","725.3974609375","725.3974609375","218.0584259033203","218.0584259033203","218.0584259033203","25.77267074584961","25.77267074584961","25.77267074584961"
"1199","626.6318969726562","626.6318969726562","626.6318969726562","195.025390625","195.025390625","195.025390625","23.728532791137695","23.728532791137695","23.728532791137695","627.9398803710938","627.9398803710938","627.9398803710938","195.08956909179688","195.08956909179688","195.08956909179688","22.582651138305664","22.582651138305664","22.582651138305664"
"1229","774.224365234375","774.224365234375","774.224365234375","190.62452697753906","190.62452697753906","190.62452697753906","16.265766143798828","16.265766143798828","16.265766143798828","769.0963134765625","769.0963134765625","769.0963134765625","188.21734619140625","188.21734619140625","188.21734619140625","15.577672958374023","15.577672958374023","15.577672958374023"
"1259","497.6095275878906","497.6095275878906","497.6095275878906","176.82167053222656","176.82167053222656","176.82167053222656","24.63639259338379","24.63639259338379","24.63639259338379","498.8054504394531","498.8054504394531","498.8054504394531","177.0395050048828","177.0395050048828","177.0395050048828","23.90279769897461","23.90279769897461","23.90279769897461"
"1289","473.72967529296875","473.72967529296875","473.72967529296875","153.58924865722656","153.58924865722656","153.58924865722656","21.69685935974121","21.69685935974121","21.69685935974121","474.6678161621094","474.6678161621094","474.6678161621094","153.54869079589844","153.54869079589844","153.54869079589844","20.896156311035156","20.896156311035156","20.896156311035156"
"1319","502.89593505859375","502.89593505859375","502.89593505859375","211.34890747070312","211.34890747070312","211.34890747070312","22.42300796508789","22.42300796508789","22.42300796508789","504.1121826171875","504.1121826171875","504.1121826171875","212.50302124023438","212.50302124023438","212.50302124023438","21.284282684326172","21.284282684326172","21.284282684326172"
"1349","482.0088806152344","482.0088806152344","482.0088806152344","163.96421813964844","163.96421813964844","163.96421813964844","19.792556762695312","19.792556762695312","19.792556762695312","483.2086181640625","483.2086181640625","483.2086181640625","164.33990478515625","164.33990478515625","164.33990478515625","19.111797332763672","19.111797332763672","19.111797332763672"
"1379","463.8105773925781","463.8105773925781","463.8105773925781","157.15585327148438","157.15585327148438","157.15585327148438","22.431665420532227","22.431665420532227","22.431665420532227","464.7035827636719","464.7035827636719","464.7035827636719","157.25033569335938","157.25033569335938","157.25033569335938","21.610736846923828","21.610736846923828","21.610736846923828"
"1409","407.2662048339844","407.2662048339844","407.2662048339844","136.61634826660156","136.61634826660156","136.61634826660156","21.417705535888672","21.417705535888672","21.417705535888672","407.98858642578125","407.98858642578125","407.98858642578125","136.6309051513672","136.6309051513672","136.6309051513672","20.57616424560547","20.57616424560547","20.57616424560547"
"1439","443.47161865234375","443.47161865234375","443.47161865234375","134.99050903320312","134.99050903320312","134.99050903320312","20.09811782836914","20.09811782836914","20.09811782836914","444.25982666015625","444.25982666015625","444.25982666015625","134.76345825195312","134.76345825195312","134.76345825195312","19.579729080200195","19.579729080200195","19.579729080200195"
"1469","456.83648681640625","456.83648681640625","456.83648681640625","139.81690979003906","139.81690979003906","139.81690979003906","16.796144485473633","16.796144485473633","16.796144485473633","457.58984375","457.58984375","457.58984375","139.66184997558594","139.66184997558594","139.66184997558594","16.16307258605957","16.16307258605957","16.16307258605957"
"1499","496.0509948730469","496.0509948730469","496.0509948730469","170.86447143554688","170.86447143554688","170.86447143554688","23.791263580322266","23.791263580322266","23.791263580322266","497.8221740722656","497.8221740722656","497.8221740722656","170.91757202148438","170.91757202148438","170.91757202148438","22.94266128540039","22.94266128540039","22.94266128540039"
"1529","326.3719787597656","326.3719787597656","326.3719787597656","102.52268981933594","102.52268981933594","102.52268981933594","17.762590408325195","17.762590408325195","17.762590408325195","326.7608337402344","326.7608337402344","326.7608337402344","102.51106262207031","102.51106262207031","102.51106262207031","17.040090560913086","17.040090560913086","17.040090560913086"
"1559","364.79791259765625","364.79791259765625","364.79791259765625","122.39105987548828","122.39105987548828","122.39105987548828","22.71367073059082","22.71367073059082","22.71367073059082","365.3182678222656","365.3182678222656","365.3182678222656","122.20773315429688","122.20773315429688","122.20773315429688","22.0306396484375","22.0306396484375","22.0306396484375"
"1589","447.46185302734375","447.46185302734375","447.46185302734375","135.364501953125","135.364501953125","135.364501953125","18.541339874267578","18.541339874267578","18.541339874267578","448.5787658691406","448.5787658691406","448.5787658691406","135.28904724121094","135.28904724121094","135.28904724121094","17.82485580444336","17.82485580444336","17.82485580444336"
"1619","483.62945556640625","483.62945556640625","483.62945556640625","156.7864990234375","156.7864990234375","156.7864990234375","17.85158348083496","17.85158348083496","17.85158348083496","484.13421630859375","484.13421630859375","484.13421630859375","156.45071411132812","156.45071411132812","156.45071411132812","17.18023109436035","17.18023109436035","17.18023109436035"
"1649","244.9784393310547","244.9784393310547","244.9784393310547","86.25196838378906","86.25196838378906","86.25196838378906","18.350868225097656","18.350868225097656","18.350868225097656","245.57725524902344","245.57725524902344","245.57725524902344","86.26570129394531","86.26570129394531","86.26570129394531","17.66338539123535","17.66338539123535","17.66338539123535"
"1679","207.29006958007812","207.29006958007812","207.29006958007812","87.4345474243164","87.4345474243164","87.4345474243164","18.79836654663086","18.79836654663086","18.79836654663086","207.55239868164062","207.55239868164062","207.55239868164062","87.59780883789062","87.59780883789062","87.59780883789062","18.030818939208984","18.030818939208984","18.030818939208984"
"1709","220.04351806640625","220.04351806640625","220.04351806640625","79.10179138183594","79.10179138183594","79.10179138183594","18.093217849731445","18.093217849731445","18.093217849731445","220.78964233398438","220.78964233398438","220.78964233398438","79.15647888183594","79.15647888183594","79.15647888183594","17.53551483154297","17.53551483154297","17.53551483154297"
"1739","210.89878845214844","210.89878845214844","210.89878845214844","80.62281799316406","80.62281799316406","80.62281799316406","16.28792953491211","16.28792953491211","16.28792953491211","212.1318359375","212.1318359375","212.1318359375","80.63529968261719","80.63529968261719","80.63529968261719","15.469144821166992","15.469144821166992","15.469144821166992"
"1769","212.4784393310547","212.4784393310547","212.4784393310547","84.1579360961914","84.1579360961914","84.1579360961914","17.037960052490234","17.037960052490234","17.037960052490234","213.14056396484375","213.14056396484375","213.14056396484375","84.22190856933594","84.22190856933594","84.22190856933594","16.523822784423828","16.523822784423828","16.523822784423828"
"1799","280.35797119140625","280.35797119140625","280.35797119140625","104.66851043701172","104.66851043701172","104.66851043701172","22.15852928161621","22.15852928161621","22.15852928161621","281.755615234375","281.755615234375","281.755615234375","104.65462493896484","104.65462493896484","104.65462493896484","21.2631778717041","21.2631778717041","21.2631778717041"
"1829","464.6228332519531","464.6228332519531","464.6228332519531","176.51486206054688","176.51486206054688","176.51486206054688","25.430362701416016","25.430362701416016","25.430362701416016","466.71240234375","466.71240234375","466.71240234375","176.84579467773438","176.84579467773438","176.84579467773438","24.64993667602539","24.64993667602539","24.64993667602539"
"1859","299.8479919433594","299.8479919433594","299.8479919433594","114.70816802978516","114.70816802978516","114.70816802978516","18.831594467163086","18.831594467163086","18.831594467163086","301.0911560058594","301.0911560058594","301.0911560058594","114.70166015625","114.70166015625","114.70166015625","18.02094841003418","18.02094841003418","18.02094841003418"
"1889","223.65362548828125","223.65362548828125","223.65362548828125","90.67132568359375","90.67132568359375","90.67132568359375","16.539127349853516","16.539127349853516","16.539127349853516","224.51315307617188","224.51315307617188","224.51315307617188","90.7469482421875","90.7469482421875","90.7469482421875","15.732550621032715","15.732550621032715","15.732550621032715"
"1919","233.2515106201172","233.2515106201172","233.2515106201172","126.95257568359375","126.95257568359375","126.95257568359375","15.48182487487793","15.48182487487793","15.48182487487793","233.915771484375","233.915771484375","233.915771484375","129.15011596679688","129.15011596679688","129.15011596679688","14.9707612991333","14.9707612991333","14.9707612991333"
"1949","208.16204833984375","208.16204833984375","208.16204833984375","87.53324127197266","87.53324127197266","87.53324127197266","18.705490112304688","18.705490112304688","18.705490112304688","209.098388671875","209.098388671875","209.098388671875","87.53456115722656","87.53456115722656","87.53456115722656","17.833539962768555","17.833539962768555","17.833539962768555"
"1979","237.52235412597656","237.52235412597656","237.52235412597656","105.58785247802734","105.58785247802734","105.58785247802734","19.993703842163086","19.993703842163086","19.993703842163086","238.5669403076172","238.5669403076172","238.5669403076172","105.8157958984375","105.8157958984375","105.8157958984375","19.30101203918457","19.30101203918457","19.30101203918457"
"2009","210.78619384765625","210.78619384765625","210.78619384765625","89.03548431396484","89.03548431396484","89.03548431396484","19.589582443237305","19.589582443237305","19.589582443237305","211.93704223632812","211.93704223632812","211.93704223632812","88.92627716064453","88.92627716064453","88.92627716064453","19.015642166137695","19.015642166137695","19.015642166137695"
"2039","224.86729431152344","224.86729431152344","224.86729431152344","90.4500961303711","90.4500961303711","90.4500961303711","21.138174057006836","21.138174057006836","21.138174057006836","225.82424926757812","225.82424926757812","225.82424926757812","90.46935272216797","90.46935272216797","90.46935272216797","20.543025970458984","20.543025970458984","20.543025970458984"
"2069","240.8943634033203","240.8943634033203","240.8943634033203","86.07449340820312","86.07449340820312","86.07449340820312","17.33431625366211","17.33431625366211","17.33431625366211","241.98703002929688","241.98703002929688","241.98703002929688","86.17949676513672","86.17949676513672","86.17949676513672","16.935041427612305","16.935041427612305","16.935041427612305"
"2099","405.1900634765625","405.1900634765625","405.1900634765625","127.97795867919922","127.97795867919922","127.97795867919922","20.487760543823242","20.487760543823242","20.487760543823242","407.1352233886719","407.1352233886719","407.1352233886719","127.94689178466797","127.94689178466797","127.94689178466797","19.87466812133789","19.87466812133789","19.87466812133789"
"2129","203.25245666503906","203.25245666503906","203.25245666503906","84.32896423339844","84.32896423339844","84.32896423339844","15.403168678283691","15.403168678283691","15.403168678283691","204.0965118408203","204.0965118408203","204.0965118408203","84.1474380493164","84.1474380493164","84.1474380493164","15.16222858428955","15.16222858428955","15.16222858428955"
"2159","112.7154769897461","112.7154769897461","112.7154769897461","71.8675308227539","71.8675308227539","71.8675308227539","19.2083740234375","19.2083740234375","19.2083740234375","113.2030029296875","113.2030029296875","113.2030029296875","71.905029296875","71.905029296875","71.905029296875","18.70651626586914","18.70651626586914","18.70651626586914"
"2189","243.5381622314453","243.5381622314453","243.5381622314453","98.92124938964844","98.92124938964844","98.92124938964844","19.203004837036133","19.203004837036133","19.203004837036133","244.59835815429688","244.59835815429688","244.59835815429688","99.0157470703125","99.0157470703125","99.0157470703125","18.506437301635742","18.506437301635742","18.506437301635742"
"2219","191.4607391357422","191.4607391357422","191.4607391357422","76.76133728027344","76.76133728027344","76.76133728027344","14.675402641296387","14.675402641296387","14.675402641296387","192.14027404785156","192.14027404785156","192.14027404785156","76.72305297851562","76.72305297851562","76.72305297851562","14.152873992919922","14.152873992919922","14.152873992919922"
"2249","191.8465576171875","191.8465576171875","191.8465576171875","89.27964782714844","89.27964782714844","89.27964782714844","21.74480628967285","21.74480628967285","21.74480628967285","192.60145568847656","192.60145568847656","192.60145568847656","89.48863983154297","89.48863983154297","89.48863983154297","21.175731658935547","21.175731658935547","21.175731658935547"
"2279","289.8586120605469","289.8586120605469","289.8586120605469","114.43682098388672","114.43682098388672","114.43682098388672","22.534202575683594","22.534202575683594","22.534202575683594","291.67724609375","291.67724609375","291.67724609375","114.59195709228516","114.59195709228516","114.59195709228516","21.509891510009766","21.509891510009766","21.509891510009766"
"2309","215.7822265625","215.7822265625","215.7822265625","98.05937194824219","98.05937194824219","98.05937194824219","17.437707901000977","17.437707901000977","17.437707901000977","217.13511657714844","217.13511657714844","217.13511657714844","98.25755310058594","98.25755310058594","98.25755310058594","17.009017944335938","17.009017944335938","17.009017944335938"
"2339","133.57113647460938","133.57113647460938","133.57113647460938","67.7655258178711","67.7655258178711","67.7655258178711","18.371280670166016","18.371280670166016","18.371280670166016","134.28955078125","134.28955078125","134.28955078125","65.41472625732422","65.41472625732422","65.41472625732422","17.82485008239746","17.82485008239746","17.82485008239746"
"2369","182.8045196533203","182.8045196533203","182.8045196533203","84.25816345214844","84.25816345214844","84.25816345214844","15.859772682189941","15.859772682189941","15.859772682189941","183.58331298828125","183.58331298828125","183.58331298828125","84.56507873535156","84.56507873535156","84.56507873535156","15.329839706420898","15.329839706420898","15.329839706420898"
"2399","243.0251922607422","243.0251922607422","243.0251922607422","152.2294921875","152.2294921875","152.2294921875","15.898815155029297","15.898815155029297","15.898815155029297","243.8309326171875","243.8309326171875","243.8309326171875","158.872314453125","158.872314453125","158.872314453125","15.639328002929688","15.639328002929688","15.639328002929688"
"2429","99.68663024902344","99.68663024902344","99.68663024902344","69.84797668457031","69.84797668457031","69.84797668457031","19.538328170776367","19.538328170776367","19.538328170776367","100.5080337524414","100.5080337524414","100.5080337524414","70.02897644042969","70.02897644042969","70.02897644042969","18.85051155090332","18.85051155090332","18.85051155090332"
"2459","137.04954528808594","137.04954528808594","137.04954528808594","67.38269805908203","67.38269805908203","67.38269805908203","15.6453218460083","15.6453218460083","15.6453218460083","137.70384216308594","137.70384216308594","137.70384216308594","67.33985900878906","67.33985900878906","67.33985900878906","15.17913818359375","15.17913818359375","15.17913818359375"
"2489","192.63381958007812","192.63381958007812","192.63381958007812","90.62197875976562","90.62197875976562","90.62197875976562","20.04747200012207","20.04747200012207","20.04747200012207","194.02980041503906","194.02980041503906","194.02980041503906","90.8047866821289","90.8047866821289","90.8047866821289","19.511926651000977","19.511926651000977","19.511926651000977"
