"Step","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4721.42724609375","4721.42724609375","4721.42724609375","364.6580505371094","364.6580505371094","364.6580505371094","4723.03369140625","4723.03369140625","4723.03369140625","1074.0150146484375","1074.0150146484375","1074.0150146484375","4239.35693359375","4239.35693359375","4239.35693359375","364.6481628417969","364.6481628417969","364.6481628417969","4241.1533203125","4241.1533203125","4241.1533203125","1072.8896484375","1072.8896484375","1072.8896484375"
"1199","4942.65380859375","4942.65380859375","4942.65380859375","378.5540466308594","378.5540466308594","378.5540466308594","4944.72900390625","4944.72900390625","4944.72900390625","828.83642578125","828.83642578125","828.83642578125","3707.055419921875","3707.055419921875","3707.055419921875","378.5635681152344","378.5635681152344","378.5635681152344","3709.01171875","3709.01171875","3709.01171875","827.7509155273438","827.7509155273438","827.7509155273438"
"1799","4874.24169921875","4874.24169921875","4874.24169921875","403.95721435546875","403.95721435546875","403.95721435546875","4876.55712890625","4876.55712890625","4876.55712890625","680.6725463867188","680.6725463867188","680.6725463867188","3103.1640625","3103.1640625","3103.1640625","404.05615234375","404.05615234375","404.05615234375","3104.837646484375","3104.837646484375","3104.837646484375","678.9081420898438","678.9081420898438","678.9081420898438"
"2399","4780.5595703125","4780.5595703125","4780.5595703125","419.06597900390625","419.06597900390625","419.06597900390625","4783.00634765625","4783.00634765625","4783.00634765625","589.9574584960938","589.9574584960938","589.9574584960938","2722.004638671875","2722.004638671875","2722.004638671875","420.8800354003906","420.8800354003906","420.8800354003906","2723.578125","2723.578125","2723.578125","587.0975952148438","587.0975952148438","587.0975952148438"
"2999","4657.63818359375","4657.63818359375","4657.63818359375","426.12939453125","426.12939453125","426.12939453125","4660.47412109375","4660.47412109375","4660.47412109375","493.2731628417969","493.2731628417969","493.2731628417969","2543.197509765625","2543.197509765625","2543.197509765625","428.33917236328125","428.33917236328125","428.33917236328125","2544.763427734375","2544.763427734375","2544.763427734375","490.38134765625","490.38134765625","490.38134765625"
"3599","4543.70556640625","4543.70556640625","4543.70556640625","430.782470703125","430.782470703125","430.782470703125","4546.67626953125","4546.67626953125","4546.67626953125","438.3482360839844","438.3482360839844","438.3482360839844","2368.463623046875","2368.463623046875","2368.463623046875","432.4818420410156","432.4818420410156","432.4818420410156","2369.591552734375","2369.591552734375","2369.591552734375","435.17877197265625","435.17877197265625","435.17877197265625"
"4199","4593.1787109375","4593.1787109375","4593.1787109375","428.0850524902344","428.0850524902344","428.0850524902344","4596.1376953125","4596.1376953125","4596.1376953125","367.0167541503906","367.0167541503906","367.0167541503906","2321.29150390625","2321.29150390625","2321.29150390625","429.262451171875","429.262451171875","429.262451171875","2321.907470703125","2321.907470703125","2321.907470703125","365.0206604003906","365.0206604003906","365.0206604003906"
"4799","4650.18505859375","4650.18505859375","4650.18505859375","421.7841796875","421.7841796875","421.7841796875","4653.51318359375","4653.51318359375","4653.51318359375","303.0333557128906","303.0333557128906","303.0333557128906","2332.40478515625","2332.40478515625","2332.40478515625","421.36181640625","421.36181640625","421.36181640625","2332.31982421875","2332.31982421875","2332.31982421875","301.9811706542969","301.9811706542969","301.9811706542969"
"5399","4661.89013671875","4661.89013671875","4661.89013671875","412.293701171875","412.293701171875","412.293701171875","4672.453125","4672.453125","4672.453125","253.41616821289062","253.41616821289062","253.41616821289062","2432.676513671875","2432.676513671875","2432.676513671875","411.2083435058594","411.2083435058594","411.2083435058594","2431.14697265625","2431.14697265625","2431.14697265625","252.944091796875","252.944091796875","252.944091796875"
"5999","4710.42822265625","4710.42822265625","4710.42822265625","398.6461181640625","398.6461181640625","398.6461181640625","4726.90771484375","4726.90771484375","4726.90771484375","221.8659210205078","221.8659210205078","221.8659210205078","2632.577880859375","2632.577880859375","2632.577880859375","397.5715026855469","397.5715026855469","397.5715026855469","2629.581787109375","2629.581787109375","2629.581787109375","221.6410369873047","221.6410369873047","221.6410369873047"
