"Step","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12101.9287109375","12101.9287109375","12101.9287109375","100","100","100","12099.2900390625","12099.2900390625","12099.2900390625","4947.99365234375","4947.99365234375","4947.99365234375","11950.8779296875","11950.8779296875","11950.8779296875","100","100","100","11946.6767578125","11946.6767578125","11946.6767578125","4937.5107421875","4937.5107421875","4937.5107421875"
"1199","12100.1748046875","12100.1748046875","12100.1748046875","100","100","100","12097.8583984375","12097.8583984375","12097.8583984375","3176.50244140625","3176.50244140625","3176.50244140625","11502.1982421875","11502.1982421875","11502.1982421875","100","100","100","11494.5546875","11494.5546875","11494.5546875","3164.815185546875","3164.815185546875","3164.815185546875"
"1799","12071.2490234375","12071.2490234375","12071.2490234375","100","100","100","12068.6748046875","12068.6748046875","12068.6748046875","2164.384765625","2164.384765625","2164.384765625","10685.115234375","10685.115234375","10685.115234375","100","100","100","10672.4501953125","10672.4501953125","10672.4501953125","2150.243896484375","2150.243896484375","2150.243896484375"
"2399","12043.0341796875","12043.0341796875","12043.0341796875","100","100","100","12040.171875","12040.171875","12040.171875","1575.97998046875","1575.97998046875","1575.97998046875","9887.447265625","9887.447265625","9887.447265625","100","100","100","9871.4765625","9871.4765625","9871.4765625","1558.7470703125","1558.7470703125","1558.7470703125"
"2999","12002.392578125","12002.392578125","12002.392578125","100","100","100","11999.2578125","11999.2578125","11999.2578125","1153.0926513671875","1153.0926513671875","1153.0926513671875","9432.3916015625","9432.3916015625","9432.3916015625","100","100","100","9414.9765625","9414.9765625","9414.9765625","1137.7484130859375","1137.7484130859375","1137.7484130859375"
"3599","11969.517578125","11969.517578125","11969.517578125","100","100","100","11966.025390625","11966.025390625","11966.025390625","938.4411010742188","938.4411010742188","938.4411010742188","9049.439453125","9049.439453125","9049.439453125","100","100","100","9029.88671875","9029.88671875","9029.88671875","924.34716796875","924.34716796875","924.34716796875"
"4199","11989.267578125","11989.267578125","11989.267578125","100","100","100","11985.9345703125","11985.9345703125","11985.9345703125","724.640380859375","724.640380859375","724.640380859375","9033.7685546875","9033.7685546875","9033.7685546875","100","100","100","9012.0732421875","9012.0732421875","9012.0732421875","715.9384155273438","715.9384155273438","715.9384155273438"
"4799","12017.212890625","12017.212890625","12017.212890625","100","100","100","12014.228515625","12014.228515625","12014.228515625","569.3768920898438","569.3768920898438","569.3768920898438","9151.9033203125","9151.9033203125","9151.9033203125","100","100","100","9127.5537109375","9127.5537109375","9127.5537109375","564.2393798828125","564.2393798828125","564.2393798828125"
"5399","12028.814453125","12028.814453125","12028.814453125","100","100","100","12028.0546875","12028.0546875","12028.0546875","446.9826354980469","446.9826354980469","446.9826354980469","9402.1953125","9402.1953125","9402.1953125","100","100","100","9375.251953125","9375.251953125","9375.251953125","443.9573669433594","443.9573669433594","443.9573669433594"
"5999","12048.33984375","12048.33984375","12048.33984375","100","100","100","12049.25","12049.25","12049.25","369.26055908203125","369.26055908203125","369.26055908203125","9698.240234375","9698.240234375","9698.240234375","100","100","100","9669.4169921875","9669.4169921875","9669.4169921875","367.2466735839844","367.2466735839844","367.2466735839844"
