"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","16.734962463378906","16.734962463378906","16.734962463378906","13.579277038574219","13.579277038574219","13.579277038574219","8.865426063537598","8.865426063537598","8.865426063537598"
"59","14.350817680358887","14.350817680358887","14.350817680358887","9.914426803588867","9.914426803588867","9.914426803588867","11.706315994262695","11.706315994262695","11.706315994262695"
"89","11.2704439163208","11.2704439163208","11.2704439163208","8.925957679748535","8.925957679748535","8.925957679748535","10.745058059692383","10.745058059692383","10.745058059692383"
"119","8.944380760192871","8.944380760192871","8.944380760192871","7.2954630851745605","7.2954630851745605","7.2954630851745605","9.099868774414062","9.099868774414062","9.099868774414062"
"149","37.01531982421875","37.01531982421875","37.01531982421875","39.138206481933594","39.138206481933594","39.138206481933594","8.09577465057373","8.09577465057373","8.09577465057373"
"179","37.75814437866211","37.75814437866211","37.75814437866211","38.354515075683594","38.354515075683594","38.354515075683594","7.777729511260986","7.777729511260986","7.777729511260986"
"209","5.368745803833008","5.368745803833008","5.368745803833008","5.353426456451416","5.353426456451416","5.353426456451416","7.431081295013428","7.431081295013428","7.431081295013428"
"239","4.960464000701904","4.960464000701904","4.960464000701904","4.613542556762695","4.613542556762695","4.613542556762695","6.887983322143555","6.887983322143555","6.887983322143555"
"269","4.847714424133301","4.847714424133301","4.847714424133301","4.70963716506958","4.70963716506958","4.70963716506958","6.939630031585693","6.939630031585693","6.939630031585693"
"299","4.8979411125183105","4.8979411125183105","4.8979411125183105","4.670552730560303","4.670552730560303","4.670552730560303","6.586304187774658","6.586304187774658","6.586304187774658"
"329","10.71054458618164","10.71054458618164","10.71054458618164","5.82465934753418","5.82465934753418","5.82465934753418","6.311161994934082","6.311161994934082","6.311161994934082"
"359","10.696799278259277","10.696799278259277","10.696799278259277","5.513344764709473","5.513344764709473","5.513344764709473","6.009271621704102","6.009271621704102","6.009271621704102"
"389","8.445527076721191","8.445527076721191","8.445527076721191","5.010385513305664","5.010385513305664","5.010385513305664","6.035869121551514","6.035869121551514","6.035869121551514"
"419","8.686690330505371","8.686690330505371","8.686690330505371","5.157552242279053","5.157552242279053","5.157552242279053","5.8138933181762695","5.8138933181762695","5.8138933181762695"
"449","8.199117660522461","8.199117660522461","8.199117660522461","4.630702495574951","4.630702495574951","4.630702495574951","5.657615661621094","5.657615661621094","5.657615661621094"
"479","7.05666446685791","7.05666446685791","7.05666446685791","4.529046058654785","4.529046058654785","4.529046058654785","5.5285186767578125","5.5285186767578125","5.5285186767578125"
"509","8.117266654968262","8.117266654968262","8.117266654968262","4.520392894744873","4.520392894744873","4.520392894744873","5.540622234344482","5.540622234344482","5.540622234344482"
"539","12.83115005493164","12.83115005493164","12.83115005493164","22.11464500427246","22.11464500427246","22.11464500427246","5.442997455596924","5.442997455596924","5.442997455596924"
