"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","20.613027572631836","20.613027572631836","20.613027572631836","21.190698623657227","21.190698623657227","21.190698623657227","21.982357025146484","21.982357025146484","21.982357025146484"
"59","18.145780563354492","18.145780563354492","18.145780563354492","12.31886100769043","12.31886100769043","12.31886100769043","26.267656326293945","26.267656326293945","26.267656326293945"
"89","14.232892990112305","14.232892990112305","14.232892990112305","11.058690071105957","11.058690071105957","11.058690071105957","20.726619720458984","20.726619720458984","20.726619720458984"
"119","12.486906051635742","12.486906051635742","12.486906051635742","9.494157791137695","9.494157791137695","9.494157791137695","16.825834274291992","16.825834274291992","16.825834274291992"
"149","40.72211837768555","40.72211837768555","40.72211837768555","53.81654357910156","53.81654357910156","53.81654357910156","14.799230575561523","14.799230575561523","14.799230575561523"
"179","43.03990173339844","43.03990173339844","43.03990173339844","55.119911193847656","55.119911193847656","55.119911193847656","13.17059326171875","13.17059326171875","13.17059326171875"
"209","7.994167327880859","7.994167327880859","7.994167327880859","7.214761734008789","7.214761734008789","7.214761734008789","11.832110404968262","11.832110404968262","11.832110404968262"
"239","7.174075603485107","7.174075603485107","7.174075603485107","6.290942192077637","6.290942192077637","6.290942192077637","10.293890953063965","10.293890953063965","10.293890953063965"
"269","6.998420715332031","6.998420715332031","6.998420715332031","6.662450790405273","6.662450790405273","6.662450790405273","10.208593368530273","10.208593368530273","10.208593368530273"
"299","7.553353309631348","7.553353309631348","7.553353309631348","6.565209865570068","6.565209865570068","6.565209865570068","9.100919723510742","9.100919723510742","9.100919723510742"
"329","67.55138397216797","67.55138397216797","67.55138397216797","36.457359313964844","36.457359313964844","36.457359313964844","9.589101791381836","9.589101791381836","9.589101791381836"
"359","59.03197479248047","59.03197479248047","59.03197479248047","29.36324119567871","29.36324119567871","29.36324119567871","8.351125717163086","8.351125717163086","8.351125717163086"
"389","58.63935470581055","58.63935470581055","58.63935470581055","26.350345611572266","26.350345611572266","26.350345611572266","7.816792011260986","7.816792011260986","7.816792011260986"
"419","58.80206298828125","58.80206298828125","58.80206298828125","25.108007431030273","25.108007431030273","25.108007431030273","7.639113426208496","7.639113426208496","7.639113426208496"
"449","52.98936080932617","52.98936080932617","52.98936080932617","22.11915397644043","22.11915397644043","22.11915397644043","7.179086685180664","7.179086685180664","7.179086685180664"
"479","48.84718322753906","48.84718322753906","48.84718322753906","22.633100509643555","22.633100509643555","22.633100509643555","6.927880764007568","6.927880764007568","6.927880764007568"
"509","53.404579162597656","53.404579162597656","53.404579162597656","23.173524856567383","23.173524856567383","23.173524856567383","6.643058776855469","6.643058776855469","6.643058776855469"
"539","41.857566833496094","41.857566833496094","41.857566833496094","44.77314376831055","44.77314376831055","44.77314376831055","6.551237106323242","6.551237106323242","6.551237106323242"
