"Step","layer0_mlp_gpt2_singular_fisher - losses/fisher_reg_term","layer0_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer0_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MAX","layer10_mlp_gpt2_singular_fisher - losses/fisher_reg_term","layer10_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer10_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MAX","layer5_mlp_gpt2_singular_fisher - losses/fisher_reg_term","layer5_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MIN","layer5_mlp_gpt2_singular_fisher - losses/fisher_reg_term__MAX"
"29","19.76102066040039","19.76102066040039","19.76102066040039","315.0352783203125","315.0352783203125","315.0352783203125","4.381520748138428","4.381520748138428","4.381520748138428"
"59","24.538942337036133","24.538942337036133","24.538942337036133","452.8374328613281","452.8374328613281","452.8374328613281","7.9942708015441895","7.9942708015441895","7.9942708015441895"
"89","31.48579216003418","31.48579216003418","31.48579216003418","520.0052490234375","520.0052490234375","520.0052490234375","11.820868492126465","11.820868492126465","11.820868492126465"
"119","21.54104995727539","21.54104995727539","21.54104995727539","338.9489440917969","338.9489440917969","338.9489440917969","5.782864570617676","5.782864570617676","5.782864570617676"
"149","15.615070343017578","15.615070343017578","15.615070343017578","442.96923828125","442.96923828125","442.96923828125","5.701837539672852","5.701837539672852","5.701837539672852"
"179","17.270170211791992","17.270170211791992","17.270170211791992","368.7246398925781","368.7246398925781","368.7246398925781","5.129410266876221","5.129410266876221","5.129410266876221"
"209","36.22596740722656","36.22596740722656","36.22596740722656","319.3367614746094","319.3367614746094","319.3367614746094","16.572986602783203","16.572986602783203","16.572986602783203"
"239","37.3901481628418","37.3901481628418","37.3901481628418","259.31610107421875","259.31610107421875","259.31610107421875","16.278423309326172","16.278423309326172","16.278423309326172"
"269","11.502178192138672","11.502178192138672","11.502178192138672","128.7322235107422","128.7322235107422","128.7322235107422","4.4659271240234375","4.4659271240234375","4.4659271240234375"
"299","11.071246147155762","11.071246147155762","11.071246147155762","174.364013671875","174.364013671875","174.364013671875","5.235572338104248","5.235572338104248","5.235572338104248"
"329","10.421244621276855","10.421244621276855","10.421244621276855","120.20990753173828","120.20990753173828","120.20990753173828","4.396481990814209","4.396481990814209","4.396481990814209"
"359","10.735816955566406","10.735816955566406","10.735816955566406","201.52316284179688","201.52316284179688","201.52316284179688","4.179060935974121","4.179060935974121","4.179060935974121"
