"Step","layer0_mlp_gpt2_jumprelu - sparsity.l0","layer0_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer0_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer0_mlp_gpt2_singular_fisher - sparsity.l0","layer0_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer0_mlp_gpt2_singular_fisher - sparsity.l0__MAX","layer10_mlp_gpt2_jumprelu - sparsity.l0","layer10_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer10_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer10_mlp_gpt2_singular_fisher - sparsity.l0","layer10_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer10_mlp_gpt2_singular_fisher - sparsity.l0__MAX","layer5_mlp_gpt2_jumprelu - sparsity.l0","layer5_mlp_gpt2_jumprelu - sparsity.l0__MIN","layer5_mlp_gpt2_jumprelu - sparsity.l0__MAX","layer5_mlp_gpt2_singular_fisher - sparsity.l0","layer5_mlp_gpt2_singular_fisher - sparsity.l0__MIN","layer5_mlp_gpt2_singular_fisher - sparsity.l0__MAX"
"6599","12164.7802734375","12164.7802734375","12164.7802734375","6660.43310546875","6660.43310546875","6660.43310546875","12208.078125","12208.078125","12208.078125","7484.40185546875","7484.40185546875","7484.40185546875","12188.2880859375","12188.2880859375","12188.2880859375","6900.26171875","6900.26171875","6900.26171875"
"7199","12160.3720703125","12160.3720703125","12160.3720703125","6692.0439453125","6692.0439453125","6692.0439453125","12202.7265625","12202.7265625","12202.7265625","7513.4111328125","7513.4111328125","7513.4111328125","12171.71875","12171.71875","12171.71875","6923.3955078125","6923.3955078125","6923.3955078125"
"7799","12170.6435546875","12170.6435546875","12170.6435546875","6624.5986328125","6624.5986328125","6624.5986328125","12201.4716796875","12201.4716796875","12201.4716796875","7510.61279296875","7510.61279296875","7510.61279296875","12193.298828125","12193.298828125","12193.298828125","6917.81640625","6917.81640625","6917.81640625"
"8399","12180.705078125","12180.705078125","12180.705078125","6641.7744140625","6641.7744140625","6641.7744140625","12210.0751953125","12210.0751953125","12210.0751953125","7481.9892578125","7481.9892578125","7481.9892578125","12204.0732421875","12204.0732421875","12204.0732421875","6936.02685546875","6936.02685546875","6936.02685546875"
"8999","12175.6708984375","12175.6708984375","12175.6708984375","6614.82666015625","6614.82666015625","6614.82666015625","12208.46875","12208.46875","12208.46875","7494.07763671875","7494.07763671875","7494.07763671875","12208.6064453125","12208.6064453125","12208.6064453125","6931.72119140625","6931.72119140625","6931.72119140625"
"9599","12178.41796875","12178.41796875","12178.41796875","6564.515625","6564.515625","6564.515625","12204.2490234375","12204.2490234375","12204.2490234375","7481.05419921875","7481.05419921875","7481.05419921875","12200.20703125","12200.20703125","12200.20703125","6943.93115234375","6943.93115234375","6943.93115234375"
"10199","12171.5595703125","12171.5595703125","12171.5595703125","6617.30810546875","6617.30810546875","6617.30810546875","12198.2607421875","12198.2607421875","12198.2607421875","7492.85498046875","7492.85498046875","7492.85498046875","12204.1123046875","12204.1123046875","12204.1123046875","6932.83154296875","6932.83154296875","6932.83154296875"
"10799","12178.6689453125","12178.6689453125","12178.6689453125","6536.5478515625","6536.5478515625","6536.5478515625","12202.9990234375","12202.9990234375","12202.9990234375","7484.0859375","7484.0859375","7484.0859375","12190.6279296875","12190.6279296875","12190.6279296875","6968.96875","6968.96875","6968.96875"
"11399","12185.7333984375","12185.7333984375","12185.7333984375","6549.2353515625","6549.2353515625","6549.2353515625","12202.6298828125","12202.6298828125","12202.6298828125","7481.89013671875","7481.89013671875","7481.89013671875","12199.162109375","12199.162109375","12199.162109375","6936.16748046875","6936.16748046875","6936.16748046875"
"11999","12181.3095703125","12181.3095703125","12181.3095703125","6619.72802734375","6619.72802734375","6619.72802734375","12200.7998046875","12200.7998046875","12200.7998046875","7517.6572265625","7517.6572265625","7517.6572265625","12205.703125","12205.703125","12205.703125","6962.2421875","6962.2421875","6962.2421875"
"12599","12182.8115234375","12182.8115234375","12182.8115234375","6623.19287109375","6623.19287109375","6623.19287109375","12205.4873046875","12205.4873046875","12205.4873046875","7486.31591796875","7486.31591796875","7486.31591796875","12211.1943359375","12211.1943359375","12211.1943359375","6966.7470703125","6966.7470703125","6966.7470703125"
"13199","12182.1943359375","12182.1943359375","12182.1943359375","6592.28125","6592.28125","6592.28125","12199.3623046875","12199.3623046875","12199.3623046875","7506.84716796875","7506.84716796875","7506.84716796875","12200.99609375","12200.99609375","12200.99609375","6977.45166015625","6977.45166015625","6977.45166015625"
"13799","12188.1650390625","12188.1650390625","12188.1650390625","6606.86572265625","6606.86572265625","6606.86572265625","12202.2919921875","12202.2919921875","12202.2919921875","7465.97021484375","7465.97021484375","7465.97021484375","12217.8701171875","12217.8701171875","12217.8701171875","6986.47216796875","6986.47216796875","6986.47216796875"
"14399","12177.759765625","12177.759765625","12177.759765625","6587.5947265625","6587.5947265625","6587.5947265625","12196.9912109375","12196.9912109375","12196.9912109375","7438.08740234375","7438.08740234375","7438.08740234375","12210.2568359375","12210.2568359375","12210.2568359375","6981.43310546875","6981.43310546875","6981.43310546875"
"14999","12176.41796875","12176.41796875","12176.41796875","6569.58935546875","6569.58935546875","6569.58935546875","12192.2099609375","12192.2099609375","12192.2099609375","7478.05810546875","7478.05810546875","7478.05810546875","12211.484375","12211.484375","12211.484375","7007.67822265625","7007.67822265625","7007.67822265625"
"15599","12183.7236328125","12183.7236328125","12183.7236328125","6543.51220703125","6543.51220703125","6543.51220703125","12192.2822265625","12192.2822265625","12192.2822265625","7511.67333984375","7511.67333984375","7511.67333984375","12211.4912109375","12211.4912109375","12211.4912109375","7000.42529296875","7000.42529296875","7000.42529296875"
"16199","12180.8623046875","12180.8623046875","12180.8623046875","6462.44921875","6462.44921875","6462.44921875","12198.7529296875","12198.7529296875","12198.7529296875","7498.3134765625","7498.3134765625","7498.3134765625","12212.3662109375","12212.3662109375","12212.3662109375","7026.8486328125","7026.8486328125","7026.8486328125"
"16799","12183.8310546875","12183.8310546875","12183.8310546875","6407.97607421875","6407.97607421875","6407.97607421875","12199.5791015625","12199.5791015625","12199.5791015625","7473.29248046875","7473.29248046875","7473.29248046875","12207.048828125","12207.048828125","12207.048828125","7013.0234375","7013.0234375","7013.0234375"
"17399","12176.541015625","12176.541015625","12176.541015625","6529.17138671875","6529.17138671875","6529.17138671875","12197.8740234375","12197.8740234375","12197.8740234375","7479.25634765625","7479.25634765625","7479.25634765625","12217.8837890625","12217.8837890625","12217.8837890625","7036.75537109375","7036.75537109375","7036.75537109375"
"17999","12183.84375","12183.84375","12183.84375","6494.54541015625","6494.54541015625","6494.54541015625","12192.2724609375","12192.2724609375","12192.2724609375","7481.06396484375","7481.06396484375","7481.06396484375","12214.8974609375","12214.8974609375","12214.8974609375","7034.27197265625","7034.27197265625","7034.27197265625"
"18599","12171.380859375","12171.380859375","12171.380859375","6560.91162109375","6560.91162109375","6560.91162109375","12189.4677734375","12189.4677734375","12189.4677734375","7495.1015625","7495.1015625","7495.1015625","12213.919921875","12213.919921875","12213.919921875","7044.58447265625","7044.58447265625","7044.58447265625"
"19199","12176.7607421875","12176.7607421875","12176.7607421875","6445.16748046875","6445.16748046875","6445.16748046875","12193.9814453125","12193.9814453125","12193.9814453125","7466.00341796875","7466.00341796875","7466.00341796875","12218.1513671875","12218.1513671875","12218.1513671875","7028.25","7028.25","7028.25"
"19799","12173.0380859375","12173.0380859375","12173.0380859375","6455.15966796875","6455.15966796875","6455.15966796875","12192.4169921875","12192.4169921875","12192.4169921875","7450.74072265625","7450.74072265625","7450.74072265625","12213.2470703125","12213.2470703125","12213.2470703125","7061.7001953125","7061.7001953125","7061.7001953125"
