"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","2.606490135192871","2.606490135192871","2.606490135192871","0.5494956374168396","0.5494956374168396","0.5494956374168396","0.907294750213623","0.907294750213623","0.907294750213623","2.628862142562866","2.628862142562866","2.628862142562866","0.5574076175689697","0.5574076175689697","0.5574076175689697","0.9098507165908813","0.9098507165908813","0.9098507165908813"
"1199","2.6782493591308594","2.6782493591308594","2.6782493591308594","0.5990744233131409","0.5990744233131409","0.5990744233131409","0.928828239440918","0.928828239440918","0.928828239440918","2.7034220695495605","2.7034220695495605","2.7034220695495605","0.6046643257141113","0.6046643257141113","0.6046643257141113","0.9307125210762024","0.9307125210762024","0.9307125210762024"
"1799","2.6949357986450195","2.6949357986450195","2.6949357986450195","0.6131324172019958","0.6131324172019958","0.6131324172019958","0.9347551465034485","0.9347551465034485","0.9347551465034485","2.7095448970794678","2.7095448970794678","2.7095448970794678","0.6173116564750671","0.6173116564750671","0.6173116564750671","0.935681164264679","0.935681164264679","0.935681164264679"
"2399","2.7093985080718994","2.7093985080718994","2.7093985080718994","0.6172990202903748","0.6172990202903748","0.6172990202903748","0.9364967346191406","0.9364967346191406","0.9364967346191406","2.709841012954712","2.709841012954712","2.709841012954712","0.6196727752685547","0.6196727752685547","0.6196727752685547","0.9374309778213501","0.9374309778213501","0.9374309778213501"
"2999","2.7125296592712402","2.7125296592712402","2.7125296592712402","0.6174481511116028","0.6174481511116028","0.6174481511116028","0.9373559951782227","0.9373559951782227","0.9373559951782227","2.7282302379608154","2.7282302379608154","2.7282302379608154","0.6193893551826477","0.6193893551826477","0.6193893551826477","0.938571572303772","0.938571572303772","0.938571572303772"
"3599","2.715147018432617","2.715147018432617","2.715147018432617","0.6174557209014893","0.6174557209014893","0.6174557209014893","0.9392207264900208","0.9392207264900208","0.9392207264900208","2.724945068359375","2.724945068359375","2.724945068359375","0.6188693642616272","0.6188693642616272","0.6188693642616272","0.9402143359184265","0.9402143359184265","0.9402143359184265"
"4199","2.7145020961761475","2.7145020961761475","2.7145020961761475","0.617810845375061","0.617810845375061","0.617810845375061","0.9392778277397156","0.9392778277397156","0.9392778277397156","2.722149610519409","2.722149610519409","2.722149610519409","0.6193118095397949","0.6193118095397949","0.6193118095397949","0.9390222430229187","0.9390222430229187","0.9390222430229187"
"4799","2.7159438133239746","2.7159438133239746","2.7159438133239746","0.6183287501335144","0.6183287501335144","0.6183287501335144","0.93939608335495","0.93939608335495","0.93939608335495","2.720884084701538","2.720884084701538","2.720884084701538","0.6195158958435059","0.6195158958435059","0.6195158958435059","0.9391855597496033","0.9391855597496033","0.9391855597496033"
"5399","2.71763014793396","2.71763014793396","2.71763014793396","0.6183091998100281","0.6183091998100281","0.6183091998100281","0.9397940635681152","0.9397940635681152","0.9397940635681152","2.7175252437591553","2.7175252437591553","2.7175252437591553","0.6193267703056335","0.6193267703056335","0.6193267703056335","0.9400280117988586","0.9400280117988586","0.9400280117988586"
"5999","2.717346668243408","2.717346668243408","2.717346668243408","0.6183290481567383","0.6183290481567383","0.6183290481567383","0.9397283792495728","0.9397283792495728","0.9397283792495728","2.7178618907928467","2.7178618907928467","2.7178618907928467","0.6195977330207825","0.6195977330207825","0.6195977330207825","0.9400274157524109","0.9400274157524109","0.9400274157524109"
