"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX"
"10199","12213.6943359375","12213.6943359375","12213.6943359375","12207","12207","12207","12218.5625","12218.5625","12218.5625","11052.4560546875","11052.4560546875","11052.4560546875","11510.689453125","11510.689453125","11510.689453125","12102.103515625","12102.103515625","12102.103515625"
"10799","12214.2646484375","12214.2646484375","12214.2646484375","12214.6181640625","12214.6181640625","12214.6181640625","12220.734375","12220.734375","12220.734375","11063.2548828125","11063.2548828125","11063.2548828125","11523.8984375","11523.8984375","11523.8984375","12106.9970703125","12106.9970703125","12106.9970703125"
"11399","12213.837890625","12213.837890625","12213.837890625","12212.6474609375","12212.6474609375","12212.6474609375","12219.9677734375","12219.9677734375","12219.9677734375","11066.7685546875","11066.7685546875","11066.7685546875","11525.5078125","11525.5078125","11525.5078125","12110.3662109375","12110.3662109375","12110.3662109375"
"11999","12212.017578125","12212.017578125","12212.017578125","12211.703125","12211.703125","12211.703125","12214.244140625","12214.244140625","12214.244140625","11072.7294921875","11072.7294921875","11072.7294921875","11520.9541015625","11520.9541015625","11520.9541015625","12105.7431640625","12105.7431640625","12105.7431640625"
"12599","12214.4716796875","12214.4716796875","12214.4716796875","12218.2802734375","12218.2802734375","12218.2802734375","12214.0185546875","12214.0185546875","12214.0185546875","11086.2451171875","11086.2451171875","11086.2451171875","11535.5859375","11535.5859375","11535.5859375","12113.2294921875","12113.2294921875","12113.2294921875"
"13199","12214.8544921875","12214.8544921875","12214.8544921875","12211.8955078125","12211.8955078125","12211.8955078125","12213.6220703125","12213.6220703125","12213.6220703125","11092.7861328125","11092.7861328125","11092.7861328125","11532.6416015625","11532.6416015625","11532.6416015625","12115.365234375","12115.365234375","12115.365234375"
"13799","12217.5107421875","12217.5107421875","12217.5107421875","12219.9765625","12219.9765625","12219.9765625","12214.3134765625","12214.3134765625","12214.3134765625","11093.958984375","11093.958984375","11093.958984375","11543.2763671875","11543.2763671875","11543.2763671875","12120.078125","12120.078125","12120.078125"
"14399","12216.01171875","12216.01171875","12216.01171875","12221.3701171875","12221.3701171875","12221.3701171875","12214.3154296875","12214.3154296875","12214.3154296875","11109.8994140625","11109.8994140625","11109.8994140625","11549.0546875","11549.0546875","11549.0546875","12121.8857421875","12121.8857421875","12121.8857421875"
"14999","12212.1552734375","12212.1552734375","12212.1552734375","12219.0595703125","12219.0595703125","12219.0595703125","12212.8095703125","12212.8095703125","12212.8095703125","11099.328125","11099.328125","11099.328125","11538.7412109375","11538.7412109375","11538.7412109375","12119.1318359375","12119.1318359375","12119.1318359375"
"15599","12209.490234375","12209.490234375","12209.490234375","12216.17578125","12216.17578125","12216.17578125","12206.2529296875","12206.2529296875","12206.2529296875","11103.5810546875","11103.5810546875","11103.5810546875","11542.4462890625","11542.4462890625","11542.4462890625","12116.564453125","12116.564453125","12116.564453125"
"16199","12211.6689453125","12211.6689453125","12211.6689453125","12223.1513671875","12223.1513671875","12223.1513671875","12210.95703125","12210.95703125","12210.95703125","11109.3505859375","11109.3505859375","11109.3505859375","11548.5068359375","11548.5068359375","11548.5068359375","12121.6123046875","12121.6123046875","12121.6123046875"
"16799","12210.8212890625","12210.8212890625","12210.8212890625","12220.2587890625","12220.2587890625","12220.2587890625","12204.228515625","12204.228515625","12204.228515625","11105.9013671875","11105.9013671875","11105.9013671875","11550.1708984375","11550.1708984375","11550.1708984375","12117.845703125","12117.845703125","12117.845703125"
"17399","12213.6513671875","12213.6513671875","12213.6513671875","12226.5654296875","12226.5654296875","12226.5654296875","12210.8544921875","12210.8544921875","12210.8544921875","11115.5625","11115.5625","11115.5625","11568.240234375","11568.240234375","11568.240234375","12126.9677734375","12126.9677734375","12126.9677734375"
"17999","12204.203125","12204.203125","12204.203125","12216.0263671875","12216.0263671875","12216.0263671875","12202.994140625","12202.994140625","12202.994140625","11101.3232421875","11101.3232421875","11101.3232421875","11558.458984375","11558.458984375","11558.458984375","12119.6591796875","12119.6591796875","12119.6591796875"
"18599","12213.4296875","12213.4296875","12213.4296875","12227.244140625","12227.244140625","12227.244140625","12208.15625","12208.15625","12208.15625","11119.751953125","11119.751953125","11119.751953125","11579.3671875","11579.3671875","11579.3671875","12126.8388671875","12126.8388671875","12126.8388671875"
"19199","12210.845703125","12210.845703125","12210.845703125","12223.90625","12223.90625","12223.90625","12206.177734375","12206.177734375","12206.177734375","11120.4775390625","11120.4775390625","11120.4775390625","11582.7763671875","11582.7763671875","11582.7763671875","12127.6591796875","12127.6591796875","12127.6591796875"
"19799","12211.81640625","12211.81640625","12211.81640625","12227.22265625","12227.22265625","12227.22265625","12204.076171875","12204.076171875","12204.076171875","11124.970703125","11124.970703125","11124.970703125","11584.6630859375","11584.6630859375","11584.6630859375","12125.056640625","12125.056640625","12125.056640625"
