"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","3684.968017578125","3684.968017578125","3684.968017578125","2058.973876953125","2058.973876953125","2058.973876953125","1601.606689453125","1601.606689453125","1601.606689453125","3659.859375","3659.859375","3659.859375","2084.874267578125","2084.874267578125","2084.874267578125","1588.4832763671875","1588.4832763671875","1588.4832763671875"
"1199","2539.76904296875","2539.76904296875","2539.76904296875","1538.142578125","1538.142578125","1538.142578125","1077.209228515625","1077.209228515625","1077.209228515625","2502.20361328125","2502.20361328125","2502.20361328125","1539.2261962890625","1539.2261962890625","1539.2261962890625","1055.3505859375","1055.3505859375","1055.3505859375"
"1799","1962.4996337890625","1962.4996337890625","1962.4996337890625","1205.36865234375","1205.36865234375","1205.36865234375","842.10791015625","842.10791015625","842.10791015625","1914.526611328125","1914.526611328125","1914.526611328125","1205.5042724609375","1205.5042724609375","1205.5042724609375","815.0400390625","815.0400390625","815.0400390625"
"2399","1631.9371337890625","1631.9371337890625","1631.9371337890625","982.3079223632812","982.3079223632812","982.3079223632812","706.226806640625","706.226806640625","706.226806640625","1575.670166015625","1575.670166015625","1575.670166015625","983.693359375","983.693359375","983.693359375","674.8583984375","674.8583984375","674.8583984375"
"2999","1417.578369140625","1417.578369140625","1417.578369140625","840.7734375","840.7734375","840.7734375","616.9794311523438","616.9794311523438","616.9794311523438","1354.4278564453125","1354.4278564453125","1354.4278564453125","842.3972778320312","842.3972778320312","842.3972778320312","583.3710327148438","583.3710327148438","583.3710327148438"
"3599","1259.6282958984375","1259.6282958984375","1259.6282958984375","724.2008666992188","724.2008666992188","724.2008666992188","555.7205810546875","555.7205810546875","555.7205810546875","1192.0467529296875","1192.0467529296875","1192.0467529296875","724.8477783203125","724.8477783203125","724.8477783203125","520.8857421875","520.8857421875","520.8857421875"
"4199","1153.5970458984375","1153.5970458984375","1153.5970458984375","642.6541137695312","642.6541137695312","642.6541137695312","503.2809753417969","503.2809753417969","503.2809753417969","1082.75927734375","1082.75927734375","1082.75927734375","643.0914306640625","643.0914306640625","643.0914306640625","468.77227783203125","468.77227783203125","468.77227783203125"
"4799","1067.2972412109375","1067.2972412109375","1067.2972412109375","573.8645629882812","573.8645629882812","573.8645629882812","460.8195495605469","460.8195495605469","460.8195495605469","993.3411254882812","993.3411254882812","993.3411254882812","573.9451293945312","573.9451293945312","573.9451293945312","427.7720642089844","427.7720642089844","427.7720642089844"
"5399","1004.7765502929688","1004.7765502929688","1004.7765502929688","509.1483459472656","509.1483459472656","509.1483459472656","428.08233642578125","428.08233642578125","428.08233642578125","928.0149536132812","928.0149536132812","928.0149536132812","509.28759765625","509.28759765625","509.28759765625","396.2462158203125","396.2462158203125","396.2462158203125"
"5999","951.1427612304688","951.1427612304688","951.1427612304688","470.5888671875","470.5888671875","470.5888671875","396.2677307128906","396.2677307128906","396.2677307128906","873.1837768554688","873.1837768554688","873.1837768554688","470.2899475097656","470.2899475097656","470.2899475097656","366.1695861816406","366.1695861816406","366.1695861816406"
