"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"6599","904.3525390625","904.3525390625","904.3525390625","435.2579040527344","435.2579040527344","435.2579040527344","373.0362243652344","373.0362243652344","373.0362243652344","824.2703247070312","824.2703247070312","824.2703247070312","434.52374267578125","434.52374267578125","434.52374267578125","344.230224609375","344.230224609375","344.230224609375"
"7199","863.3591918945312","863.3591918945312","863.3591918945312","394.6792907714844","394.6792907714844","394.6792907714844","349.1171875","349.1171875","349.1171875","780.3336791992188","780.3336791992188","780.3336791992188","393.7039489746094","393.7039489746094","393.7039489746094","321.6911926269531","321.6911926269531","321.6911926269531"
"7799","826.9115600585938","826.9115600585938","826.9115600585938","368.05609130859375","368.05609130859375","368.05609130859375","331.49908447265625","331.49908447265625","331.49908447265625","743.3427124023438","743.3427124023438","743.3427124023438","366.9744567871094","366.9744567871094","366.9744567871094","305.5997314453125","305.5997314453125","305.5997314453125"
"8399","795.0282592773438","795.0282592773438","795.0282592773438","347.9675598144531","347.9675598144531","347.9675598144531","311.61767578125","311.61767578125","311.61767578125","711.4290161132812","711.4290161132812","711.4290161132812","346.53759765625","346.53759765625","346.53759765625","287.0285949707031","287.0285949707031","287.0285949707031"
"8999","760.6006469726562","760.6006469726562","760.6006469726562","326.28265380859375","326.28265380859375","326.28265380859375","298.7540283203125","298.7540283203125","298.7540283203125","676.8933715820312","676.8933715820312","676.8933715820312","325.056884765625","325.056884765625","325.056884765625","275.6168518066406","275.6168518066406","275.6168518066406"
"9599","742.5925903320312","742.5925903320312","742.5925903320312","304.62481689453125","304.62481689453125","304.62481689453125","286.04736328125","286.04736328125","286.04736328125","657.6332397460938","657.6332397460938","657.6332397460938","303.0584411621094","303.0584411621094","303.0584411621094","263.7867126464844","263.7867126464844","263.7867126464844"
"10199","711.1182250976562","711.1182250976562","711.1182250976562","290.26922607421875","290.26922607421875","290.26922607421875","272.54620361328125","272.54620361328125","272.54620361328125","627.7918090820312","627.7918090820312","627.7918090820312","288.7322082519531","288.7322082519531","288.7322082519531","251.5327606201172","251.5327606201172","251.5327606201172"
"10799","689.7311401367188","689.7311401367188","689.7311401367188","270.6989440917969","270.6989440917969","270.6989440917969","262.35491943359375","262.35491943359375","262.35491943359375","606.98486328125","606.98486328125","606.98486328125","269.0097351074219","269.0097351074219","269.0097351074219","242.60107421875","242.60107421875","242.60107421875"
"11399","662.3588256835938","662.3588256835938","662.3588256835938","264.13531494140625","264.13531494140625","264.13531494140625","251.044921875","251.044921875","251.044921875","578.8051147460938","578.8051147460938","578.8051147460938","262.4624938964844","262.4624938964844","262.4624938964844","232.2056884765625","232.2056884765625","232.2056884765625"
"11999","643.1129150390625","643.1129150390625","643.1129150390625","251.83018493652344","251.83018493652344","251.83018493652344","243.4589385986328","243.4589385986328","243.4589385986328","561.3617553710938","561.3617553710938","561.3617553710938","250.2646026611328","250.2646026611328","250.2646026611328","225.2375030517578","225.2375030517578","225.2375030517578"
"12599","622.7965087890625","622.7965087890625","622.7965087890625","238.10159301757812","238.10159301757812","238.10159301757812","233.49868774414062","233.49868774414062","233.49868774414062","542.7731323242188","542.7731323242188","542.7731323242188","236.3749237060547","236.3749237060547","236.3749237060547","216.0848388671875","216.0848388671875","216.0848388671875"
"13199","604.6013793945312","604.6013793945312","604.6013793945312","231.27749633789062","231.27749633789062","231.27749633789062","225.0691375732422","225.0691375732422","225.0691375732422","524.6052856445312","524.6052856445312","524.6052856445312","229.79019165039062","229.79019165039062","229.79019165039062","208.4086456298828","208.4086456298828","208.4086456298828"
"13799","584.7545776367188","584.7545776367188","584.7545776367188","219.1212158203125","219.1212158203125","219.1212158203125","217.2386474609375","217.2386474609375","217.2386474609375","505.7901306152344","505.7901306152344","505.7901306152344","217.66287231445312","217.66287231445312","217.66287231445312","201.3514862060547","201.3514862060547","201.3514862060547"
"14399","560.1563720703125","560.1563720703125","560.1563720703125","211.9307403564453","211.9307403564453","211.9307403564453","210.1802520751953","210.1802520751953","210.1802520751953","483.61328125","483.61328125","483.61328125","210.286376953125","210.286376953125","210.286376953125","194.9882354736328","194.9882354736328","194.9882354736328"
"14999","551.9682006835938","551.9682006835938","551.9682006835938","206.55149841308594","206.55149841308594","206.55149841308594","205.43557739257812","205.43557739257812","205.43557739257812","475.78955078125","475.78955078125","475.78955078125","204.53652954101562","204.53652954101562","204.53652954101562","190.5727996826172","190.5727996826172","190.5727996826172"
"15599","534.2678833007812","534.2678833007812","534.2678833007812","199.3955078125","199.3955078125","199.3955078125","198.9393310546875","198.9393310546875","198.9393310546875","458.78857421875","458.78857421875","458.78857421875","197.6640625","197.6640625","197.6640625","184.8976593017578","184.8976593017578","184.8976593017578"
"16199","509.02056884765625","509.02056884765625","509.02056884765625","190.2926788330078","190.2926788330078","190.2926788330078","193.1182861328125","193.1182861328125","193.1182861328125","434.8769226074219","434.8769226074219","434.8769226074219","188.3543243408203","188.3543243408203","188.3543243408203","179.26609802246094","179.26609802246094","179.26609802246094"
"16799","503.6198425292969","503.6198425292969","503.6198425292969","185.55455017089844","185.55455017089844","185.55455017089844","187.1761016845703","187.1761016845703","187.1761016845703","430.9984436035156","430.9984436035156","430.9984436035156","183.4147491455078","183.4147491455078","183.4147491455078","173.99954223632812","173.99954223632812","173.99954223632812"
"17399","482.00616455078125","482.00616455078125","482.00616455078125","175.72630310058594","175.72630310058594","175.72630310058594","181.47898864746094","181.47898864746094","181.47898864746094","411.7271423339844","411.7271423339844","411.7271423339844","173.7447967529297","173.7447967529297","173.7447967529297","168.7638702392578","168.7638702392578","168.7638702392578"
"17999","472.4751892089844","472.4751892089844","472.4751892089844","176.40478515625","176.40478515625","176.40478515625","176.49290466308594","176.49290466308594","176.49290466308594","402.1325378417969","402.1325378417969","402.1325378417969","174.3818817138672","174.3818817138672","174.3818817138672","164.5555419921875","164.5555419921875","164.5555419921875"
"18599","457.86505126953125","457.86505126953125","457.86505126953125","164.2261199951172","164.2261199951172","164.2261199951172","171.4003448486328","171.4003448486328","171.4003448486328","390.2698669433594","390.2698669433594","390.2698669433594","161.96702575683594","161.96702575683594","161.96702575683594","159.8057403564453","159.8057403564453","159.8057403564453"
"19199","445.3998107910156","445.3998107910156","445.3998107910156","161.6578369140625","161.6578369140625","161.6578369140625","166.48045349121094","166.48045349121094","166.48045349121094","378.84619140625","378.84619140625","378.84619140625","159.6731414794922","159.6731414794922","159.6731414794922","155.44790649414062","155.44790649414062","155.44790649414062"
"19799","428.90020751953125","428.90020751953125","428.90020751953125","155.2535858154297","155.2535858154297","155.2535858154297","162.4127960205078","162.4127960205078","162.4127960205078","364.0697937011719","364.0697937011719","364.0697937011719","153.27159118652344","153.27159118652344","153.27159118652344","151.8352508544922","151.8352508544922","151.8352508544922"
