"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX"
"6599","6156.2744140625","6156.2744140625","6156.2744140625","8359.0224609375","8359.0224609375","8359.0224609375","6316.51513671875","6316.51513671875","6316.51513671875","3720.461669921875","3720.461669921875","3720.461669921875","5094.02685546875","5094.02685546875","5094.02685546875","5753.595703125","5753.595703125","5753.595703125"
"7199","6112.92919921875","6112.92919921875","6112.92919921875","8465.173828125","8465.173828125","8465.173828125","6313.50927734375","6313.50927734375","6313.50927734375","3831.618896484375","3831.618896484375","3831.618896484375","5136.73291015625","5136.73291015625","5136.73291015625","5771.58837890625","5771.58837890625","5771.58837890625"
"7799","6041.58447265625","6041.58447265625","6041.58447265625","8519.921875","8519.921875","8519.921875","6259.02490234375","6259.02490234375","6259.02490234375","3894.763671875","3894.763671875","3894.763671875","5147.51318359375","5147.51318359375","5147.51318359375","5779.29052734375","5779.29052734375","5779.29052734375"
"8399","6048.31005859375","6048.31005859375","6048.31005859375","8560.31640625","8560.31640625","8560.31640625","6146.31591796875","6146.31591796875","6146.31591796875","3969.339111328125","3969.339111328125","3969.339111328125","5169.1982421875","5169.1982421875","5169.1982421875","5762.37255859375","5762.37255859375","5762.37255859375"
"8999","5997.85400390625","5997.85400390625","5997.85400390625","8532.9111328125","8532.9111328125","8532.9111328125","6126.15478515625","6126.15478515625","6126.15478515625","4006.796142578125","4006.796142578125","4006.796142578125","5144.14453125","5144.14453125","5144.14453125","5774.177734375","5774.177734375","5774.177734375"
"9599","6007.345703125","6007.345703125","6007.345703125","8611.9599609375","8611.9599609375","8611.9599609375","6067.1328125","6067.1328125","6067.1328125","4051.766357421875","4051.766357421875","4051.766357421875","5174.15771484375","5174.15771484375","5174.15771484375","5767.017578125","5767.017578125","5767.017578125"
"10199","5981.38427734375","5981.38427734375","5981.38427734375","8634.193359375","8634.193359375","8634.193359375","6038.1337890625","6038.1337890625","6038.1337890625","4066.841796875","4066.841796875","4066.841796875","5191.8037109375","5191.8037109375","5191.8037109375","5773.51025390625","5773.51025390625","5773.51025390625"
"10799","5945.13232421875","5945.13232421875","5945.13232421875","8653.1611328125","8653.1611328125","8653.1611328125","5982.51318359375","5982.51318359375","5982.51318359375","4087.061279296875","4087.061279296875","4087.061279296875","5189.20263671875","5189.20263671875","5189.20263671875","5779.84912109375","5779.84912109375","5779.84912109375"
"11399","5911.62646484375","5911.62646484375","5911.62646484375","8640.236328125","8640.236328125","8640.236328125","5934.06982421875","5934.06982421875","5934.06982421875","4083.72265625","4083.72265625","4083.72265625","5198.43505859375","5198.43505859375","5198.43505859375","5777.3828125","5777.3828125","5777.3828125"
"11999","5908.49609375","5908.49609375","5908.49609375","8639.298828125","8639.298828125","8639.298828125","5868.25","5868.25","5868.25","4120.40673828125","4120.40673828125","4120.40673828125","5202.939453125","5202.939453125","5202.939453125","5761.69384765625","5761.69384765625","5761.69384765625"
"12599","5961.68212890625","5961.68212890625","5961.68212890625","8723.447265625","8723.447265625","8723.447265625","5812.45166015625","5812.45166015625","5812.45166015625","4153.59228515625","4153.59228515625","4153.59228515625","5229.7001953125","5229.7001953125","5229.7001953125","5767.92529296875","5767.92529296875","5767.92529296875"
"13199","5884.60302734375","5884.60302734375","5884.60302734375","8651.7529296875","8651.7529296875","8651.7529296875","5760.96044921875","5760.96044921875","5760.96044921875","4149.04248046875","4149.04248046875","4149.04248046875","5208.96875","5208.96875","5208.96875","5770.4755859375","5770.4755859375","5770.4755859375"
"13799","5877.91357421875","5877.91357421875","5877.91357421875","8730.705078125","8730.705078125","8730.705078125","5725.86083984375","5725.86083984375","5725.86083984375","4152.23046875","4152.23046875","4152.23046875","5224.4267578125","5224.4267578125","5224.4267578125","5784.27099609375","5784.27099609375","5784.27099609375"
"14399","5816.44677734375","5816.44677734375","5816.44677734375","8698.3359375","8698.3359375","8698.3359375","5677.80078125","5677.80078125","5677.80078125","4158.35107421875","4158.35107421875","4158.35107421875","5218.92431640625","5218.92431640625","5218.92431640625","5776.25146484375","5776.25146484375","5776.25146484375"
"14999","5804.85693359375","5804.85693359375","5804.85693359375","8654.5537109375","8654.5537109375","8654.5537109375","5642.93115234375","5642.93115234375","5642.93115234375","4144.7578125","4144.7578125","4144.7578125","5193.0126953125","5193.0126953125","5193.0126953125","5758.5224609375","5758.5224609375","5758.5224609375"
"15599","5788.58984375","5788.58984375","5788.58984375","8628.0810546875","8628.0810546875","8628.0810546875","5582.72607421875","5582.72607421875","5582.72607421875","4145.53271484375","4145.53271484375","4145.53271484375","5204.73388671875","5204.73388671875","5204.73388671875","5734.0205078125","5734.0205078125","5734.0205078125"
"16199","5763.76318359375","5763.76318359375","5763.76318359375","8700.2998046875","8700.2998046875","8700.2998046875","5569.4375","5569.4375","5569.4375","4148.75732421875","4148.75732421875","4148.75732421875","5210.74462890625","5210.74462890625","5210.74462890625","5739.00927734375","5739.00927734375","5739.00927734375"
"16799","5734.48291015625","5734.48291015625","5734.48291015625","8678.2958984375","8678.2958984375","8678.2958984375","5526.625","5526.625","5526.625","4137.41943359375","4137.41943359375","4137.41943359375","5207.00244140625","5207.00244140625","5207.00244140625","5742.7333984375","5742.7333984375","5742.7333984375"
"17399","5730.54296875","5730.54296875","5730.54296875","8706.8828125","8706.8828125","8706.8828125","5481.447265625","5481.447265625","5481.447265625","4150.75927734375","4150.75927734375","4150.75927734375","5225.19677734375","5225.19677734375","5225.19677734375","5740.3515625","5740.3515625","5740.3515625"
"17999","5695.93896484375","5695.93896484375","5695.93896484375","8619.697265625","8619.697265625","8619.697265625","5446.578125","5446.578125","5446.578125","4132.87841796875","4132.87841796875","4132.87841796875","5204.40625","5204.40625","5204.40625","5731.43603515625","5731.43603515625","5731.43603515625"
"18599","5713.09130859375","5713.09130859375","5713.09130859375","8689.3916015625","8689.3916015625","8689.3916015625","5436.0244140625","5436.0244140625","5436.0244140625","4157.97021484375","4157.97021484375","4157.97021484375","5232.72802734375","5232.72802734375","5232.72802734375","5731.359375","5731.359375","5731.359375"
"19199","5681.421875","5681.421875","5681.421875","8638.8984375","8638.8984375","8638.8984375","5384.60400390625","5384.60400390625","5384.60400390625","4166.73046875","4166.73046875","4166.73046875","5231.83447265625","5231.83447265625","5231.83447265625","5724.64990234375","5724.64990234375","5724.64990234375"
"19799","5648.97509765625","5648.97509765625","5648.97509765625","8693.1064453125","8693.1064453125","8693.1064453125","5353.98583984375","5353.98583984375","5353.98583984375","4156.2080078125","4156.2080078125","4156.2080078125","5237.36083984375","5237.36083984375","5237.36083984375","5706.7470703125","5706.7470703125","5706.7470703125"
