"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","11.969696044921875","11.969696044921875","11.969696044921875","3.319167375564575","3.319167375564575","3.319167375564575","5.11381196975708","5.11381196975708","5.11381196975708"
"59","19.21828269958496","19.21828269958496","19.21828269958496","5.08340311050415","5.08340311050415","5.08340311050415","6.40889310836792","6.40889310836792","6.40889310836792"
"89","22.63481330871582","22.63481330871582","22.63481330871582","4.583519458770752","4.583519458770752","4.583519458770752","5.449938774108887","5.449938774108887","5.449938774108887"
"119","21.50739860534668","21.50739860534668","21.50739860534668","4.394772052764893","4.394772052764893","4.394772052764893","5.637863636016846","5.637863636016846","5.637863636016846"
"149","17.066587448120117","17.066587448120117","17.066587448120117","10.122528076171875","10.122528076171875","10.122528076171875","7.344300746917725","7.344300746917725","7.344300746917725"
"179","19.78810691833496","19.78810691833496","19.78810691833496","11.932453155517578","11.932453155517578","11.932453155517578","8.586573600769043","8.586573600769043","8.586573600769043"
"209","11.122162818908691","11.122162818908691","11.122162818908691","4.105247497558594","4.105247497558594","4.105247497558594","4.621050834655762","4.621050834655762","4.621050834655762"
"239","14.868029594421387","14.868029594421387","14.868029594421387","3.8522093296051025","3.8522093296051025","3.8522093296051025","4.540157794952393","4.540157794952393","4.540157794952393"
"269","11.985527038574219","11.985527038574219","11.985527038574219","3.7945945262908936","3.7945945262908936","3.7945945262908936","4.703693866729736","4.703693866729736","4.703693866729736"
"299","13.197819709777832","13.197819709777832","13.197819709777832","4.09597635269165","4.09597635269165","4.09597635269165","4.479740619659424","4.479740619659424","4.479740619659424"
"329","40.57691955566406","40.57691955566406","40.57691955566406","5.407883167266846","5.407883167266846","5.407883167266846","4.420302867889404","4.420302867889404","4.420302867889404"
"359","36.529136657714844","36.529136657714844","36.529136657714844","8.265326499938965","8.265326499938965","8.265326499938965","4.115443706512451","4.115443706512451","4.115443706512451"
"389","27.55789566040039","27.55789566040039","27.55789566040039","6.448662757873535","6.448662757873535","6.448662757873535","4.27657413482666","4.27657413482666","4.27657413482666"
"419","26.32206153869629","26.32206153869629","26.32206153869629","5.9030961990356445","5.9030961990356445","5.9030961990356445","3.87847638130188","3.87847638130188","3.87847638130188"
"449","22.41006851196289","22.41006851196289","22.41006851196289","6.835231781005859","6.835231781005859","6.835231781005859","4.095892429351807","4.095892429351807","4.095892429351807"
"479","22.17797088623047","22.17797088623047","22.17797088623047","4.988714694976807","4.988714694976807","4.988714694976807","3.77640962600708","3.77640962600708","3.77640962600708"
"509","21.960329055786133","21.960329055786133","21.960329055786133","6.333593845367432","6.333593845367432","6.333593845367432","3.641062021255493","3.641062021255493","3.641062021255493"
"539","20.177337646484375","20.177337646484375","20.177337646484375","12.710954666137695","12.710954666137695","12.710954666137695","6.992669582366943","6.992669582366943","6.992669582366943"
"569","18.65237045288086","18.65237045288086","18.65237045288086","5.986382961273193","5.986382961273193","5.986382961273193","4.034318923950195","4.034318923950195","4.034318923950195"
"599","19.855527877807617","19.855527877807617","19.855527877807617","7.30110502243042","7.30110502243042","7.30110502243042","3.482886552810669","3.482886552810669","3.482886552810669"
"629","16.932626724243164","16.932626724243164","16.932626724243164","5.744540691375732","5.744540691375732","5.744540691375732","3.723942279815674","3.723942279815674","3.723942279815674"
"659","23.368621826171875","23.368621826171875","23.368621826171875","6.094899654388428","6.094899654388428","6.094899654388428","3.7438225746154785","3.7438225746154785","3.7438225746154785"
"689","23.775699615478516","23.775699615478516","23.775699615478516","6.597731113433838","6.597731113433838","6.597731113433838","5.940913677215576","5.940913677215576","5.940913677215576"
"719","21.052637100219727","21.052637100219727","21.052637100219727","5.163222312927246","5.163222312927246","5.163222312927246","3.3624424934387207","3.3624424934387207","3.3624424934387207"
"749","19.539812088012695","19.539812088012695","19.539812088012695","6.949199199676514","6.949199199676514","6.949199199676514","3.6982505321502686","3.6982505321502686","3.6982505321502686"
"779","20.669872283935547","20.669872283935547","20.669872283935547","4.118700981140137","4.118700981140137","4.118700981140137","3.2689366340637207","3.2689366340637207","3.2689366340637207"
"809","17.640365600585938","17.640365600585938","17.640365600585938","5.336923599243164","5.336923599243164","5.336923599243164","5.217524528503418","5.217524528503418","5.217524528503418"
"839","17.560911178588867","17.560911178588867","17.560911178588867","5.496819972991943","5.496819972991943","5.496819972991943","3.0784060955047607","3.0784060955047607","3.0784060955047607"
"869","16.26278305053711","16.26278305053711","16.26278305053711","6.40488862991333","6.40488862991333","6.40488862991333","4.542897701263428","4.542897701263428","4.542897701263428"
"899","15.769314765930176","15.769314765930176","15.769314765930176","4.692531108856201","4.692531108856201","4.692531108856201","3.560896635055542","3.560896635055542","3.560896635055542"
"929","17.241920471191406","17.241920471191406","17.241920471191406","5.379449844360352","5.379449844360352","5.379449844360352","3.18778920173645","3.18778920173645","3.18778920173645"
"959","16.404586791992188","16.404586791992188","16.404586791992188","8.871546745300293","8.871546745300293","8.871546745300293","4.580385208129883","4.580385208129883","4.580385208129883"
"989","17.506410598754883","17.506410598754883","17.506410598754883","3.732241153717041","3.732241153717041","3.732241153717041","3.0583040714263916","3.0583040714263916","3.0583040714263916"
"1019","14.181894302368164","14.181894302368164","14.181894302368164","3.9604690074920654","3.9604690074920654","3.9604690074920654","4.739878177642822","4.739878177642822","4.739878177642822"
"1049","17.097124099731445","17.097124099731445","17.097124099731445","4.748585224151611","4.748585224151611","4.748585224151611","3.258479118347168","3.258479118347168","3.258479118347168"
"1079","15.025214195251465","15.025214195251465","15.025214195251465","4.161577224731445","4.161577224731445","4.161577224731445","2.9340691566467285","2.9340691566467285","2.9340691566467285"
"1109","13.183612823486328","13.183612823486328","13.183612823486328","4.364105701446533","4.364105701446533","4.364105701446533","4.268890857696533","4.268890857696533","4.268890857696533"
"1139","14.02449893951416","14.02449893951416","14.02449893951416","4.505030632019043","4.505030632019043","4.505030632019043","3.4629967212677","3.4629967212677","3.4629967212677"
"1169","13.383939743041992","13.383939743041992","13.383939743041992","3.943087100982666","3.943087100982666","3.943087100982666","2.8220739364624023","2.8220739364624023","2.8220739364624023"
"1199","12.389901161193848","12.389901161193848","12.389901161193848","6.032176494598389","6.032176494598389","6.032176494598389","2.996910333633423","2.996910333633423","2.996910333633423"
"1229","12.7916841506958","12.7916841506958","12.7916841506958","4.819794654846191","4.819794654846191","4.819794654846191","5.917633056640625","5.917633056640625","5.917633056640625"
"1259","15.466723442077637","15.466723442077637","15.466723442077637","5.282303333282471","5.282303333282471","5.282303333282471","3.697249174118042","3.697249174118042","3.697249174118042"
"1289","12.558920860290527","12.558920860290527","12.558920860290527","3.9880359172821045","3.9880359172821045","3.9880359172821045","2.9066762924194336","2.9066762924194336","2.9066762924194336"
"1319","12.498331069946289","12.498331069946289","12.498331069946289","5.851647853851318","5.851647853851318","5.851647853851318","4.270678520202637","4.270678520202637","4.270678520202637"
"1349","12.533300399780273","12.533300399780273","12.533300399780273","3.9345927238464355","3.9345927238464355","3.9345927238464355","3.0211613178253174","3.0211613178253174","3.0211613178253174"
"1379","11.54365062713623","11.54365062713623","11.54365062713623","3.4262003898620605","3.4262003898620605","3.4262003898620605","2.788418769836426","2.788418769836426","2.788418769836426"
"1409","13.92507553100586","13.92507553100586","13.92507553100586","4.8336920738220215","4.8336920738220215","4.8336920738220215","2.9267210960388184","2.9267210960388184","2.9267210960388184"
"1439","10.855464935302734","10.855464935302734","10.855464935302734","4.30479097366333","4.30479097366333","4.30479097366333","3.4775280952453613","3.4775280952453613","3.4775280952453613"
"1469","12.826149940490723","12.826149940490723","12.826149940490723","4.231235027313232","4.231235027313232","4.231235027313232","3.053234100341797","3.053234100341797","3.053234100341797"
"1499","11.5532808303833","11.5532808303833","11.5532808303833","4.334661960601807","4.334661960601807","4.334661960601807","2.9102730751037598","2.9102730751037598","2.9102730751037598"
"1529","11.356000900268555","11.356000900268555","11.356000900268555","3.7827401161193848","3.7827401161193848","3.7827401161193848","3.0582973957061768","3.0582973957061768","3.0582973957061768"
