"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX"
"599","12014.5205078125","12014.5205078125","12014.5205078125","11345.4052734375","11345.4052734375","11345.4052734375","11971.525390625","11971.525390625","11971.525390625","11447.54296875","11447.54296875","11447.54296875","10842.681640625","10842.681640625","10842.681640625","11893.15625","11893.15625","11893.15625"
"1199","12093.4482421875","12093.4482421875","12093.4482421875","11665.6552734375","11665.6552734375","11665.6552734375","12083.4521484375","12083.4521484375","12083.4521484375","10759.8349609375","10759.8349609375","10759.8349609375","10892.4677734375","10892.4677734375","10892.4677734375","11967.923828125","11967.923828125","11967.923828125"
"1799","12134.443359375","12134.443359375","12134.443359375","11881.7099609375","11881.7099609375","11881.7099609375","12135.6396484375","12135.6396484375","12135.6396484375","10286.6064453125","10286.6064453125","10286.6064453125","10975.9541015625","10975.9541015625","10975.9541015625","11997.2255859375","11997.2255859375","11997.2255859375"
"2399","12158.6689453125","12158.6689453125","12158.6689453125","12019.125","12019.125","12019.125","12174.7890625","12174.7890625","12174.7890625","10083.4599609375","10083.4599609375","10083.4599609375","11071.5439453125","11071.5439453125","11071.5439453125","12029.248046875","12029.248046875","12029.248046875"
"2999","12181.931640625","12181.931640625","12181.931640625","12059.4208984375","12059.4208984375","12059.4208984375","12185.275390625","12185.275390625","12185.275390625","10050.8984375","10050.8984375","10050.8984375","11149.0517578125","11149.0517578125","11149.0517578125","12035.2529296875","12035.2529296875","12035.2529296875"
"3599","12192.40625","12192.40625","12192.40625","12106.6005859375","12106.6005859375","12106.6005859375","12199.1796875","12199.1796875","12199.1796875","10085.5888671875","10085.5888671875","10085.5888671875","11254.8603515625","11254.8603515625","11254.8603515625","12045.6025390625","12045.6025390625","12045.6025390625"
"4199","12198.8115234375","12198.8115234375","12198.8115234375","12121.7548828125","12121.7548828125","12121.7548828125","12207.75","12207.75","12207.75","10321.5732421875","10321.5732421875","10321.5732421875","11335.181640625","11335.181640625","11335.181640625","12060.8505859375","12060.8505859375","12060.8505859375"
"4799","12203.6904296875","12203.6904296875","12203.6904296875","12146.01953125","12146.01953125","12146.01953125","12213.158203125","12213.158203125","12213.158203125","10490.5185546875","10490.5185546875","10490.5185546875","11384.423828125","11384.423828125","11384.423828125","12065.3583984375","12065.3583984375","12065.3583984375"
"5399","12211.5595703125","12211.5595703125","12211.5595703125","12163.095703125","12163.095703125","12163.095703125","12219.017578125","12219.017578125","12219.017578125","10691.2939453125","10691.2939453125","10691.2939453125","11433.2275390625","11433.2275390625","11433.2275390625","12074.515625","12074.515625","12074.515625"
"5999","12215.6826171875","12215.6826171875","12215.6826171875","12169.7607421875","12169.7607421875","12169.7607421875","12218.4296875","12218.4296875","12218.4296875","10828.986328125","10828.986328125","10828.986328125","11448.7294921875","11448.7294921875","11448.7294921875","12078.017578125","12078.017578125","12078.017578125"
