"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"6599","353.4051513671875","353.4051513671875","353.4051513671875","288.7255554199219","288.7255554199219","288.7255554199219","248.699951171875","248.699951171875","248.699951171875","344.11004638671875","344.11004638671875","344.11004638671875","287.6513366699219","287.6513366699219","287.6513366699219","243.1321258544922","243.1321258544922","243.1321258544922"
"7199","331.3881530761719","331.3881530761719","331.3881530761719","270.1054992675781","270.1054992675781","270.1054992675781","236.7473602294922","236.7473602294922","236.7473602294922","322.0890808105469","322.0890808105469","322.0890808105469","269.1444396972656","269.1444396972656","269.1444396972656","231.47119140625","231.47119140625","231.47119140625"
"7799","312.5196838378906","312.5196838378906","312.5196838378906","258.97869873046875","258.97869873046875","258.97869873046875","228.4352264404297","228.4352264404297","228.4352264404297","303.7125549316406","303.7125549316406","303.7125549316406","258.1355895996094","258.1355895996094","258.1355895996094","223.39566040039062","223.39566040039062","223.39566040039062"
"8399","297.2881774902344","297.2881774902344","297.2881774902344","251.00840759277344","251.00840759277344","251.00840759277344","217.0275421142578","217.0275421142578","217.0275421142578","288.994140625","288.994140625","288.994140625","250.072509765625","250.072509765625","250.072509765625","212.29238891601562","212.29238891601562","212.29238891601562"
"8999","281.3233337402344","281.3233337402344","281.3233337402344","241.03457641601562","241.03457641601562","241.03457641601562","211.02513122558594","211.02513122558594","211.02513122558594","273.4206237792969","273.4206237792969","273.4206237792969","240.2841796875","240.2841796875","240.2841796875","206.58958435058594","206.58958435058594","206.58958435058594"
"9599","270.7472839355469","270.7472839355469","270.7472839355469","229.80601501464844","229.80601501464844","229.80601501464844","203.74644470214844","203.74644470214844","203.74644470214844","263.1595458984375","263.1595458984375","263.1595458984375","229.00315856933594","229.00315856933594","229.00315856933594","199.31564331054688","199.31564331054688","199.31564331054688"
"10199","258.6667175292969","258.6667175292969","258.6667175292969","224.2104949951172","224.2104949951172","224.2104949951172","196.27162170410156","196.27162170410156","196.27162170410156","251.50950622558594","251.50950622558594","251.50950622558594","223.416015625","223.416015625","223.416015625","192.15769958496094","192.15769958496094","192.15769958496094"
"10799","248.00767517089844","248.00767517089844","248.00767517089844","212.64268493652344","212.64268493652344","212.64268493652344","190.93936157226562","190.93936157226562","190.93936157226562","241.36924743652344","241.36924743652344","241.36924743652344","211.79006958007812","211.79006958007812","211.79006958007812","187.0609893798828","187.0609893798828","187.0609893798828"
"11399","236.5491943359375","236.5491943359375","236.5491943359375","210.4441680908203","210.4441680908203","210.4441680908203","184.4747772216797","184.4747772216797","184.4747772216797","230.18716430664062","230.18716430664062","230.18716430664062","209.70654296875","209.70654296875","209.70654296875","180.7327117919922","180.7327117919922","180.7327117919922"
"11999","231.72317504882812","231.72317504882812","231.72317504882812","205.14414978027344","205.14414978027344","205.14414978027344","180.72239685058594","180.72239685058594","180.72239685058594","225.3484344482422","225.3484344482422","225.3484344482422","204.40516662597656","204.40516662597656","204.40516662597656","177.0017852783203","177.0017852783203","177.0017852783203"
"12599","222.82469177246094","222.82469177246094","222.82469177246094","198.07691955566406","198.07691955566406","198.07691955566406","174.8907928466797","174.8907928466797","174.8907928466797","217.0670928955078","217.0670928955078","217.0670928955078","197.1519317626953","197.1519317626953","197.1519317626953","171.3939666748047","171.3939666748047","171.3939666748047"
"13199","217.22390747070312","217.22390747070312","217.22390747070312","194.85093688964844","194.85093688964844","194.85093688964844","169.58853149414062","169.58853149414062","169.58853149414062","211.26084899902344","211.26084899902344","211.26084899902344","194.02810668945312","194.02810668945312","194.02810668945312","166.26834106445312","166.26834106445312","166.26834106445312"
"13799","209.69017028808594","209.69017028808594","209.69017028808594","187.70977783203125","187.70977783203125","187.70977783203125","165.6040802001953","165.6040802001953","165.6040802001953","203.9209442138672","203.9209442138672","203.9209442138672","186.8915557861328","186.8915557861328","186.8915557861328","162.44798278808594","162.44798278808594","162.44798278808594"
"14399","202.8714141845703","202.8714141845703","202.8714141845703","183.3663787841797","183.3663787841797","183.3663787841797","160.94955444335938","160.94955444335938","160.94955444335938","197.2721710205078","197.2721710205078","197.2721710205078","182.5893096923828","182.5893096923828","182.5893096923828","157.96304321289062","157.96304321289062","157.96304321289062"
"14999","199.1634521484375","199.1634521484375","199.1634521484375","180.79808044433594","180.79808044433594","180.79808044433594","158.55470275878906","158.55470275878906","158.55470275878906","193.67520141601562","193.67520141601562","193.67520141601562","179.7456817626953","179.7456817626953","179.7456817626953","155.50057983398438","155.50057983398438","155.50057983398438"
"15599","192.62840270996094","192.62840270996094","192.62840270996094","177.5176544189453","177.5176544189453","177.5176544189453","155.29800415039062","155.29800415039062","155.29800415039062","187.3604736328125","187.3604736328125","187.3604736328125","176.7371063232422","176.7371063232422","176.7371063232422","152.45147705078125","152.45147705078125","152.45147705078125"
"16199","185.6726837158203","185.6726837158203","185.6726837158203","172.2064666748047","172.2064666748047","172.2064666748047","152.05206298828125","152.05206298828125","152.05206298828125","180.39073181152344","180.39073181152344","180.39073181152344","171.39649963378906","171.39649963378906","171.39649963378906","149.18406677246094","149.18406677246094","149.18406677246094"
"16799","183.4254913330078","183.4254913330078","183.4254913330078","169.68563842773438","169.68563842773438","169.68563842773438","148.8394012451172","148.8394012451172","148.8394012451172","178.72727966308594","178.72727966308594","178.72727966308594","168.76153564453125","168.76153564453125","168.76153564453125","146.0525360107422","146.0525360107422","146.0525360107422"
"17399","177.5475311279297","177.5475311279297","177.5475311279297","162.6988067626953","162.6988067626953","162.6988067626953","144.9986572265625","144.9986572265625","144.9986572265625","172.8569793701172","172.8569793701172","172.8569793701172","161.92822265625","161.92822265625","161.92822265625","142.3837432861328","142.3837432861328","142.3837432861328"
"17999","174.06349182128906","174.06349182128906","174.06349182128906","164.8876190185547","164.8876190185547","164.8876190185547","141.8838348388672","141.8838348388672","141.8838348388672","169.24697875976562","169.24697875976562","169.24697875976562","164.11900329589844","164.11900329589844","164.11900329589844","139.4718017578125","139.4718017578125","139.4718017578125"
"18599","170.28985595703125","170.28985595703125","170.28985595703125","156.2086944580078","156.2086944580078","156.2086944580078","139.6455078125","139.6455078125","139.6455078125","165.90396118164062","165.90396118164062","165.90396118164062","155.30979919433594","155.30979919433594","155.30979919433594","137.19580078125","137.19580078125","137.19580078125"
"19199","166.7229461669922","166.7229461669922","166.7229461669922","155.20555114746094","155.20555114746094","155.20555114746094","136.4545135498047","136.4545135498047","136.4545135498047","162.14633178710938","162.14633178710938","162.14633178710938","154.48995971679688","154.48995971679688","154.48995971679688","134.1924591064453","134.1924591064453","134.1924591064453"
"19799","162.8638153076172","162.8638153076172","162.8638153076172","151.6277313232422","151.6277313232422","151.6277313232422","134.49282836914062","134.49282836914062","134.49282836914062","158.2974853515625","158.2974853515625","158.2974853515625","150.92320251464844","150.92320251464844","150.92320251464844","132.26632690429688","132.26632690429688","132.26632690429688"
