"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","11.966959953308105","11.966959953308105","11.966959953308105","3.313380241394043","3.313380241394043","3.313380241394043","5.107689380645752","5.107689380645752","5.107689380645752"
"59","19.21172523498535","19.21172523498535","19.21172523498535","5.066555023193359","5.066555023193359","5.066555023193359","6.397638320922852","6.397638320922852","6.397638320922852"
"89","22.62773323059082","22.62773323059082","22.62773323059082","4.5690178871154785","4.5690178871154785","4.5690178871154785","5.445888519287109","5.445888519287109","5.445888519287109"
"119","21.49772834777832","21.49772834777832","21.49772834777832","4.375426292419434","4.375426292419434","4.375426292419434","5.636751651763916","5.636751651763916","5.636751651763916"
"149","17.05951690673828","17.05951690673828","17.05951690673828","10.114142417907715","10.114142417907715","10.114142417907715","7.340912342071533","7.340912342071533","7.340912342071533"
"179","19.773574829101562","19.773574829101562","19.773574829101562","11.912033081054688","11.912033081054688","11.912033081054688","8.5810546875","8.5810546875","8.5810546875"
"209","11.117751121520996","11.117751121520996","11.117751121520996","4.088374614715576","4.088374614715576","4.088374614715576","4.616769313812256","4.616769313812256","4.616769313812256"
"239","14.858235359191895","14.858235359191895","14.858235359191895","3.8369479179382324","3.8369479179382324","3.8369479179382324","4.534404277801514","4.534404277801514","4.534404277801514"
"269","11.978737831115723","11.978737831115723","11.978737831115723","3.7811858654022217","3.7811858654022217","3.7811858654022217","4.7002129554748535","4.7002129554748535","4.7002129554748535"
"299","13.188036918640137","13.188036918640137","13.188036918640137","4.078489303588867","4.078489303588867","4.078489303588867","4.4741034507751465","4.4741034507751465","4.4741034507751465"
"329","40.53401565551758","40.53401565551758","40.53401565551758","5.383296012878418","5.383296012878418","5.383296012878418","4.415473937988281","4.415473937988281","4.415473937988281"
"359","36.48416519165039","36.48416519165039","36.48416519165039","8.221975326538086","8.221975326538086","8.221975326538086","4.1116132736206055","4.1116132736206055","4.1116132736206055"
"389","27.518173217773438","27.518173217773438","27.518173217773438","6.42083215713501","6.42083215713501","6.42083215713501","4.272023677825928","4.272023677825928","4.272023677825928"
"419","26.283885955810547","26.283885955810547","26.283885955810547","5.881137371063232","5.881137371063232","5.881137371063232","3.8745837211608887","3.8745837211608887","3.8745837211608887"
"449","22.3735294342041","22.3735294342041","22.3735294342041","6.805730819702148","6.805730819702148","6.805730819702148","4.092205047607422","4.092205047607422","4.092205047607422"
