"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","21.947967529296875","21.947967529296875","21.947967529296875","20.761810302734375","20.761810302734375","20.761810302734375","22.69620132446289","22.69620132446289","22.69620132446289"
"59","15.796360969543457","15.796360969543457","15.796360969543457","12.005058288574219","12.005058288574219","12.005058288574219","26.080196380615234","26.080196380615234","26.080196380615234"
"89","15.642169952392578","15.642169952392578","15.642169952392578","10.589008331298828","10.589008331298828","10.589008331298828","20.849985122680664","20.849985122680664","20.849985122680664"
"119","13.663893699645996","13.663893699645996","13.663893699645996","8.623945236206055","8.623945236206055","8.623945236206055","17.54177474975586","17.54177474975586","17.54177474975586"
"149","38.611778259277344","38.611778259277344","38.611778259277344","52.152889251708984","52.152889251708984","52.152889251708984","14.677281379699707","14.677281379699707","14.677281379699707"
"179","41.23737335205078","41.23737335205078","41.23737335205078","53.477718353271484","53.477718353271484","53.477718353271484","12.37468433380127","12.37468433380127","12.37468433380127"
"209","9.383126258850098","9.383126258850098","9.383126258850098","7.257028579711914","7.257028579711914","7.257028579711914","12.44067096710205","12.44067096710205","12.44067096710205"
"239","8.13405704498291","8.13405704498291","8.13405704498291","6.124704360961914","6.124704360961914","6.124704360961914","10.406250953674316","10.406250953674316","10.406250953674316"
"269","7.613808631896973","7.613808631896973","7.613808631896973","6.209943771362305","6.209943771362305","6.209943771362305","9.888253211975098","9.888253211975098","9.888253211975098"
"299","7.059293270111084","7.059293270111084","7.059293270111084","4.912391185760498","4.912391185760498","4.912391185760498","8.21539306640625","8.21539306640625","8.21539306640625"
"329","65.96442413330078","65.96442413330078","65.96442413330078","37.28451156616211","37.28451156616211","37.28451156616211","9.51601791381836","9.51601791381836","9.51601791381836"
"359","57.93841552734375","57.93841552734375","57.93841552734375","28.72584342956543","28.72584342956543","28.72584342956543","8.177483558654785","8.177483558654785","8.177483558654785"
"389","60.76927947998047","60.76927947998047","60.76927947998047","25.825748443603516","25.825748443603516","25.825748443603516","7.545709133148193","7.545709133148193","7.545709133148193"
"419","55.81548309326172","55.81548309326172","55.81548309326172","24.37084197998047","24.37084197998047","24.37084197998047","7.446704387664795","7.446704387664795","7.446704387664795"
"449","52.369564056396484","52.369564056396484","52.369564056396484","20.767108917236328","20.767108917236328","20.767108917236328","7.21397590637207","7.21397590637207","7.21397590637207"
"479","51.113826751708984","51.113826751708984","51.113826751708984","22.740673065185547","22.740673065185547","22.740673065185547","6.618628978729248","6.618628978729248","6.618628978729248"
"509","52.79825210571289","52.79825210571289","52.79825210571289","22.36377716064453","22.36377716064453","22.36377716064453","6.517077445983887","6.517077445983887","6.517077445983887"
"539","43.197021484375","43.197021484375","43.197021484375","43.45663070678711","43.45663070678711","43.45663070678711","6.223772048950195","6.223772048950195","6.223772048950195"
