"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","21.947242736816406","21.947242736816406","21.947242736816406","20.759990692138672","20.759990692138672","20.759990692138672","22.444120407104492","22.444120407104492","22.444120407104492"
"59","15.796061515808105","15.796061515808105","15.796061515808105","12.002062797546387","12.002062797546387","12.002062797546387","25.681142807006836","25.681142807006836","25.681142807006836"
"89","15.640265464782715","15.640265464782715","15.640265464782715","10.587270736694336","10.587270736694336","10.587270736694336","20.672611236572266","20.672611236572266","20.672611236572266"
"119","13.662429809570312","13.662429809570312","13.662429809570312","8.623160362243652","8.623160362243652","8.623160362243652","17.433473587036133","17.433473587036133","17.433473587036133"
"149","38.60631561279297","38.60631561279297","38.60631561279297","52.14480972290039","52.14480972290039","52.14480972290039","14.592426300048828","14.592426300048828","14.592426300048828"
"179","41.228031158447266","41.228031158447266","41.228031158447266","53.46833038330078","53.46833038330078","53.46833038330078","12.334311485290527","12.334311485290527","12.334311485290527"
"209","9.382585525512695","9.382585525512695","9.382585525512695","7.256783485412598","7.256783485412598","7.256783485412598","12.409892082214355","12.409892082214355","12.409892082214355"
"239","8.133467674255371","8.133467674255371","8.133467674255371","6.123997688293457","6.123997688293457","6.123997688293457","10.389214515686035","10.389214515686035","10.389214515686035"
"269","7.613072395324707","7.613072395324707","7.613072395324707","6.209178924560547","6.209178924560547","6.209178924560547","9.87666130065918","9.87666130065918","9.87666130065918"
"299","7.05732536315918","7.05732536315918","7.05732536315918","4.911421775817871","4.911421775817871","4.911421775817871","8.205406188964844","8.205406188964844","8.205406188964844"
"329","65.93364715576172","65.93364715576172","65.93364715576172","37.23672103881836","37.23672103881836","37.23672103881836","9.485058784484863","9.485058784484863","9.485058784484863"
"359","57.90747833251953","57.90747833251953","57.90747833251953","28.683168411254883","28.683168411254883","28.683168411254883","8.152565956115723","8.152565956115723","8.152565956115723"
