"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","17.586273193359375","17.586273193359375","17.586273193359375","14.043890953063965","14.043890953063965","14.043890953063965","9.716017723083496","9.716017723083496","9.716017723083496"
"59","12.77995777130127","12.77995777130127","12.77995777130127","9.051465034484863","9.051465034484863","9.051465034484863","11.98226261138916","11.98226261138916","11.98226261138916"
"89","11.084460258483887","11.084460258483887","11.084460258483887","8.249528884887695","8.249528884887695","8.249528884887695","10.992605209350586","10.992605209350586","10.992605209350586"
"119","9.548049926757812","9.548049926757812","9.548049926757812","6.632091999053955","6.632091999053955","6.632091999053955","9.374845504760742","9.374845504760742","9.374845504760742"
"149","35.4847412109375","35.4847412109375","35.4847412109375","38.30742263793945","38.30742263793945","38.30742263793945","8.519887924194336","8.519887924194336","8.519887924194336"
"179","36.18996810913086","36.18996810913086","36.18996810913086","37.257469177246094","37.257469177246094","37.257469177246094","7.855000019073486","7.855000019073486","7.855000019073486"
"209","6.184309482574463","6.184309482574463","6.184309482574463","5.198678970336914","5.198678970336914","5.198678970336914","7.6457977294921875","7.6457977294921875","7.6457977294921875"
"239","5.189431190490723","5.189431190490723","5.189431190490723","4.448213577270508","4.448213577270508","4.448213577270508","6.938124179840088","6.938124179840088","6.938124179840088"
"269","4.974611759185791","4.974611759185791","4.974611759185791","4.31766414642334","4.31766414642334","4.31766414642334","7.05108118057251","7.05108118057251","7.05108118057251"
"299","3.835698127746582","3.835698127746582","3.835698127746582","3.4986517429351807","3.4986517429351807","3.4986517429351807","6.210792541503906","6.210792541503906","6.210792541503906"
"329","10.591728210449219","10.591728210449219","10.591728210449219","5.417483329772949","5.417483329772949","5.417483329772949","6.26887321472168","6.26887321472168","6.26887321472168"
"359","8.858353614807129","8.858353614807129","8.858353614807129","4.722548007965088","4.722548007965088","4.722548007965088","5.94055700302124","5.94055700302124","5.94055700302124"
"389","8.521245956420898","8.521245956420898","8.521245956420898","4.3916778564453125","4.3916778564453125","4.3916778564453125","5.784506797790527","5.784506797790527","5.784506797790527"
"419","8.216525077819824","8.216525077819824","8.216525077819824","4.681966304779053","4.681966304779053","4.681966304779053","5.826613426208496","5.826613426208496","5.826613426208496"
