"Step","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer0_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer0_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer10_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer10_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss__MIN","layer5_residual_mid_gpt2_jumprelu - losses/mse_loss__MAX","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss__MIN","layer5_residual_mid_gpt2_singular_fisher - losses/mse_loss__MAX"
"329","16.57015609741211","16.57015609741211","16.57015609741211","18.67271614074707","18.67271614074707","18.67271614074707","1801.0552978515625","1801.0552978515625","1801.0552978515625","3112.79052734375","3112.79052734375","3112.79052734375","349.8810729980469","349.8810729980469","349.8810729980469","509.556396484375","509.556396484375","509.556396484375"
"359","16.520200729370117","16.520200729370117","16.520200729370117","18.154565811157227","18.154565811157227","18.154565811157227","1623.376220703125","1623.376220703125","1623.376220703125","2861.742431640625","2861.742431640625","2861.742431640625","338.0537414550781","338.0537414550781","338.0537414550781","478.3479919433594","478.3479919433594","478.3479919433594"
"389","15.706488609313965","15.706488609313965","15.706488609313965","17.979406356811523","17.979406356811523","17.979406356811523","1793.345458984375","1793.345458984375","1793.345458984375","3064.107177734375","3064.107177734375","3064.107177734375","354.6901550292969","354.6901550292969","354.6901550292969","500.97998046875","500.97998046875","500.97998046875"
"419","14.10966968536377","14.10966968536377","14.10966968536377","16.38570213317871","16.38570213317871","16.38570213317871","1647.4984130859375","1647.4984130859375","1647.4984130859375","63606.4921875","63606.4921875","63606.4921875","1037.609619140625","1037.609619140625","1037.609619140625","51596.00390625","51596.00390625","51596.00390625"
"449","13.010894775390625","13.010894775390625","13.010894775390625","15.006327629089355","15.006327629089355","15.006327629089355","1403.083984375","1403.083984375","1403.083984375","2480.48193359375","2480.48193359375","2480.48193359375","287.2183837890625","287.2183837890625","287.2183837890625","415.87841796875","415.87841796875","415.87841796875"
"479","11.082602500915527","11.082602500915527","11.082602500915527","12.559704780578613","12.559704780578613","12.559704780578613","1378.2081298828125","1378.2081298828125","1378.2081298828125","2371.203125","2371.203125","2371.203125","294.59197998046875","294.59197998046875","294.59197998046875","429.27154541015625","429.27154541015625","429.27154541015625"
"509","9.95421028137207","9.95421028137207","9.95421028137207","11.520283699035645","11.520283699035645","11.520283699035645","1208.9129638671875","1208.9129638671875","1208.9129638671875","2228.127197265625","2228.127197265625","2228.127197265625","229.13912963867188","229.13912963867188","229.13912963867188","341.341796875","341.341796875","341.341796875"
"539","7.945507526397705","7.945507526397705","7.945507526397705","9.06352424621582","9.06352424621582","9.06352424621582","1069.984619140625","1069.984619140625","1069.984619140625","2039.212158203125","2039.212158203125","2039.212158203125","188.802490234375","188.802490234375","188.802490234375","279.3996887207031","279.3996887207031","279.3996887207031"
"569","10.700634956359863","10.700634956359863","10.700634956359863","12.39601993560791","12.39601993560791","12.39601993560791","1345.935791015625","1345.935791015625","1345.935791015625","2459.727294921875","2459.727294921875","2459.727294921875","264.2626037597656","264.2626037597656","264.2626037597656","387.769287109375","387.769287109375","387.769287109375"
"599","8.803973197937012","8.803973197937012","8.803973197937012","10.408076286315918","10.408076286315918","10.408076286315918","1135.78369140625","1135.78369140625","1135.78369140625","55721.46484375","55721.46484375","55721.46484375","344.15936279296875","344.15936279296875","344.15936279296875","45012.8984375","45012.8984375","45012.8984375"
"629","8.045486450195312","8.045486450195312","8.045486450195312","9.669930458068848","9.669930458068848","9.669930458068848","944.2662963867188","944.2662963867188","944.2662963867188","1801.813720703125","1801.813720703125","1801.813720703125","194.61573791503906","194.61573791503906","194.61573791503906","290.5723876953125","290.5723876953125","290.5723876953125"
"659","7.089788436889648","7.089788436889648","7.089788436889648","8.711615562438965","8.711615562438965","8.711615562438965","865.23388671875","865.23388671875","865.23388671875","1704.693359375","1704.693359375","1704.693359375","184.50669860839844","184.50669860839844","184.50669860839844","282.3948059082031","282.3948059082031","282.3948059082031"
"689","7.105753421783447","7.105753421783447","7.105753421783447","8.617680549621582","8.617680549621582","8.617680549621582","1138.880615234375","1138.880615234375","1138.880615234375","53923.6171875","53923.6171875","53923.6171875","464.8598327636719","464.8598327636719","464.8598327636719","43955.1484375","43955.1484375","43955.1484375"
"719","6.136638641357422","6.136638641357422","6.136638641357422","7.498101234436035","7.498101234436035","7.498101234436035","791.6565551757812","791.6565551757812","791.6565551757812","1660.261474609375","1660.261474609375","1660.261474609375","165.1598663330078","165.1598663330078","165.1598663330078","261.58935546875","261.58935546875","261.58935546875"
"749","5.290274143218994","5.290274143218994","5.290274143218994","6.526767253875732","6.526767253875732","6.526767253875732","833.6600341796875","833.6600341796875","833.6600341796875","1866.5189208984375","1866.5189208984375","1866.5189208984375","162.0703125","162.0703125","162.0703125","260.6015319824219","260.6015319824219","260.6015319824219"
"779","7.080253601074219","7.080253601074219","7.080253601074219","9.477776527404785","9.477776527404785","9.477776527404785","1066.34814453125","1066.34814453125","1066.34814453125","50743.10546875","50743.10546875","50743.10546875","337.46435546875","337.46435546875","337.46435546875","40617.3046875","40617.3046875","40617.3046875"
"809","5.285792350769043","5.285792350769043","5.285792350769043","6.838046550750732","6.838046550750732","6.838046550750732","757.1509399414062","757.1509399414062","757.1509399414062","1681.7501220703125","1681.7501220703125","1681.7501220703125","158.46463012695312","158.46463012695312","158.46463012695312","263.09771728515625","263.09771728515625","263.09771728515625"
"839","5.891740798950195","5.891740798950195","5.891740798950195","7.898141860961914","7.898141860961914","7.898141860961914","955.5380249023438","955.5380249023438","955.5380249023438","48144.2890625","48144.2890625","48144.2890625","371.9636535644531","371.9636535644531","371.9636535644531","39136.02734375","39136.02734375","39136.02734375"
"869","5.681676387786865","5.681676387786865","5.681676387786865","7.536904335021973","7.536904335021973","7.536904335021973","813.6690673828125","813.6690673828125","813.6690673828125","47506.33203125","47506.33203125","47506.33203125","198.71267700195312","198.71267700195312","198.71267700195312","37924.44921875","37924.44921875","37924.44921875"
"899","5.551646709442139","5.551646709442139","5.551646709442139","7.867436408996582","7.867436408996582","7.867436408996582","687.6454467773438","687.6454467773438","687.6454467773438","1559.63720703125","1559.63720703125","1559.63720703125","151.1503448486328","151.1503448486328","151.1503448486328","259.9095458984375","259.9095458984375","259.9095458984375"
"929","4.494440078735352","4.494440078735352","4.494440078735352","6.056305885314941","6.056305885314941","6.056305885314941","578.7621459960938","578.7621459960938","578.7621459960938","1284.88916015625","1284.88916015625","1284.88916015625","121.39229583740234","121.39229583740234","121.39229583740234","233.50924682617188","233.50924682617188","233.50924682617188"
"959","5.044601917266846","5.044601917266846","5.044601917266846","6.81334924697876","6.81334924697876","6.81334924697876","676.0687866210938","676.0687866210938","676.0687866210938","1552.0921630859375","1552.0921630859375","1552.0921630859375","162.5235137939453","162.5235137939453","162.5235137939453","277.0172119140625","277.0172119140625","277.0172119140625"
"989","4.2023606300354","4.2023606300354","4.2023606300354","5.571728229522705","5.571728229522705","5.571728229522705","579.16064453125","579.16064453125","579.16064453125","1423.7908935546875","1423.7908935546875","1423.7908935546875","129.0906982421875","129.0906982421875","129.0906982421875","229.75057983398438","229.75057983398438","229.75057983398438"
"1019","4.666759014129639","4.666759014129639","4.666759014129639","6.74458122253418","6.74458122253418","6.74458122253418","617.378173828125","617.378173828125","617.378173828125","1477.808349609375","1477.808349609375","1477.808349609375","136.7186737060547","136.7186737060547","136.7186737060547","251.10577392578125","251.10577392578125","251.10577392578125"
"1049","3.2290704250335693","3.2290704250335693","3.2290704250335693","4.293090343475342","4.293090343475342","4.293090343475342","499.728515625","499.728515625","499.728515625","1245.2283935546875","1245.2283935546875","1245.2283935546875","97.37660217285156","97.37660217285156","97.37660217285156","174.93421936035156","174.93421936035156","174.93421936035156"
"1079","4.180026531219482","4.180026531219482","4.180026531219482","6.0038580894470215","6.0038580894470215","6.0038580894470215","548.4244995117188","548.4244995117188","548.4244995117188","1424.7064208984375","1424.7064208984375","1424.7064208984375","122.03042602539062","122.03042602539062","122.03042602539062","215.5021209716797","215.5021209716797","215.5021209716797"
"1109","3.6195526123046875","3.6195526123046875","3.6195526123046875","5.20421028137207","5.20421028137207","5.20421028137207","611.649169921875","611.649169921875","611.649169921875","1512.6876220703125","1512.6876220703125","1512.6876220703125","144.25975036621094","144.25975036621094","144.25975036621094","231.09780883789062","231.09780883789062","231.09780883789062"
"1139","3.3091466426849365","3.3091466426849365","3.3091466426849365","4.421615123748779","4.421615123748779","4.421615123748779","511.9775695800781","511.9775695800781","511.9775695800781","1355.77587890625","1355.77587890625","1355.77587890625","103.71475982666016","103.71475982666016","103.71475982666016","179.75616455078125","179.75616455078125","179.75616455078125"
"1169","3.1308770179748535","3.1308770179748535","3.1308770179748535","4.493623733520508","4.493623733520508","4.493623733520508","468.7789611816406","468.7789611816406","468.7789611816406","1064.4569091796875","1064.4569091796875","1064.4569091796875","105.76377868652344","105.76377868652344","105.76377868652344","173.73095703125","173.73095703125","173.73095703125"
"1199","3.1445443630218506","3.1445443630218506","3.1445443630218506","4.72061014175415","4.72061014175415","4.72061014175415","441.7213439941406","441.7213439941406","441.7213439941406","1076.4180908203125","1076.4180908203125","1076.4180908203125","105.57987976074219","105.57987976074219","105.57987976074219","181.44686889648438","181.44686889648438","181.44686889648438"
"1229","2.920844078063965","2.920844078063965","2.920844078063965","4.4113593101501465","4.4113593101501465","4.4113593101501465","544.1563720703125","544.1563720703125","544.1563720703125","34963.1875","34963.1875","34963.1875","206.53851318359375","206.53851318359375","206.53851318359375","28622.080078125","28622.080078125","28622.080078125"
"1259","2.9283828735351562","2.9283828735351562","2.9283828735351562","4.47868013381958","4.47868013381958","4.47868013381958","411.43115234375","411.43115234375","411.43115234375","1110.2139892578125","1110.2139892578125","1110.2139892578125","105.0941390991211","105.0941390991211","105.0941390991211","183.808349609375","183.808349609375","183.808349609375"
"1289","3.0314910411834717","3.0314910411834717","3.0314910411834717","4.613948822021484","4.613948822021484","4.613948822021484","429.82366943359375","429.82366943359375","429.82366943359375","1127.11181640625","1127.11181640625","1127.11181640625","95.51683044433594","95.51683044433594","95.51683044433594","171.21389770507812","171.21389770507812","171.21389770507812"
"1319","2.771852731704712","2.771852731704712","2.771852731704712","4.404325485229492","4.404325485229492","4.404325485229492","389.5198669433594","389.5198669433594","389.5198669433594","1091.84130859375","1091.84130859375","1091.84130859375","92.31365966796875","92.31365966796875","92.31365966796875","172.23464965820312","172.23464965820312","172.23464965820312"
"1349","2.92669415473938","2.92669415473938","2.92669415473938","4.53749418258667","4.53749418258667","4.53749418258667","389.2850036621094","389.2850036621094","389.2850036621094","1073.7198486328125","1073.7198486328125","1073.7198486328125","98.10733795166016","98.10733795166016","98.10733795166016","176.29039001464844","176.29039001464844","176.29039001464844"
"1379","2.329331636428833","2.329331636428833","2.329331636428833","3.4724221229553223","3.4724221229553223","3.4724221229553223","360.58978271484375","360.58978271484375","360.58978271484375","1054.8043212890625","1054.8043212890625","1054.8043212890625","81.52825927734375","81.52825927734375","81.52825927734375","151.06724548339844","151.06724548339844","151.06724548339844"
"1409","2.4509007930755615","2.4509007930755615","2.4509007930755615","3.832728385925293","3.832728385925293","3.832728385925293","397.5004577636719","397.5004577636719","397.5004577636719","1151.364990234375","1151.364990234375","1151.364990234375","95.05228424072266","95.05228424072266","95.05228424072266","171.8491973876953","171.8491973876953","171.8491973876953"
"1439","2.2075002193450928","2.2075002193450928","2.2075002193450928","3.646498441696167","3.646498441696167","3.646498441696167","305.7356262207031","305.7356262207031","305.7356262207031","906.65234375","906.65234375","906.65234375","79.09078979492188","79.09078979492188","79.09078979492188","161.7916717529297","161.7916717529297","161.7916717529297"
"1469","2.574430465698242","2.574430465698242","2.574430465698242","4.397743225097656","4.397743225097656","4.397743225097656","399.7856140136719","399.7856140136719","399.7856140136719","1237.375732421875","1237.375732421875","1237.375732421875","102.24405670166016","102.24405670166016","102.24405670166016","184.68609619140625","184.68609619140625","184.68609619140625"
"1499","2.59340500831604","2.59340500831604","2.59340500831604","4.101716995239258","4.101716995239258","4.101716995239258","332.3782043457031","332.3782043457031","332.3782043457031","950.2335205078125","950.2335205078125","950.2335205078125","82.38185119628906","82.38185119628906","82.38185119628906","171.24624633789062","171.24624633789062","171.24624633789062"
"1529","1.900804042816162","1.900804042816162","1.900804042816162","3.0194969177246094","3.0194969177246094","3.0194969177246094","276.39471435546875","276.39471435546875","276.39471435546875","832.6821899414062","832.6821899414062","832.6821899414062","58.98701095581055","58.98701095581055","58.98701095581055","120.72569274902344","120.72569274902344","120.72569274902344"
"1559","2.4584996700286865","2.4584996700286865","2.4584996700286865","4.062434673309326","4.062434673309326","4.062434673309326","308.7776794433594","308.7776794433594","308.7776794433594","968.3687133789062","968.3687133789062","968.3687133789062","76.0939712524414","76.0939712524414","76.0939712524414","150.79501342773438","150.79501342773438","150.79501342773438"
"1589","1.941805124282837","1.941805124282837","1.941805124282837","3.284017324447632","3.284017324447632","3.284017324447632","299.7013244628906","299.7013244628906","299.7013244628906","934.8168334960938","934.8168334960938","934.8168334960938","75.13249969482422","75.13249969482422","75.13249969482422","153.158203125","153.158203125","153.158203125"
"1619","2.0649259090423584","2.0649259090423584","2.0649259090423584","3.278926372528076","3.278926372528076","3.278926372528076","293.6076354980469","293.6076354980469","293.6076354980469","887.2849731445312","887.2849731445312","887.2849731445312","68.76475524902344","68.76475524902344","68.76475524902344","136.4480438232422","136.4480438232422","136.4480438232422"
"1649","1.6510287523269653","1.6510287523269653","1.6510287523269653","2.6858394145965576","2.6858394145965576","2.6858394145965576","148.759765625","148.759765625","148.759765625","428.76898193359375","428.76898193359375","428.76898193359375","39.896995544433594","39.896995544433594","39.896995544433594","76.7532730102539","76.7532730102539","76.7532730102539"
"1679","1.7406014204025269","1.7406014204025269","1.7406014204025269","3.377162456512451","3.377162456512451","3.377162456512451","119.29386138916016","119.29386138916016","119.29386138916016","856.22021484375","856.22021484375","856.22021484375","33.967803955078125","33.967803955078125","33.967803955078125","1823.0072021484375","1823.0072021484375","1823.0072021484375"
"1709","1.5297057628631592","1.5297057628631592","1.5297057628631592","2.382246971130371","2.382246971130371","2.382246971130371","205.42803955078125","205.42803955078125","205.42803955078125","11811.7373046875","11811.7373046875","11811.7373046875","176.4560546875","176.4560546875","176.4560546875","8055.61962890625","8055.61962890625","8055.61962890625"
"1739","1.4797731637954712","1.4797731637954712","1.4797731637954712","2.2910454273223877","2.2910454273223877","2.2910454273223877","172.87460327148438","172.87460327148438","172.87460327148438","489.5484313964844","489.5484313964844","489.5484313964844","42.83403396606445","42.83403396606445","42.83403396606445","86.48957061767578","86.48957061767578","86.48957061767578"
"1769","1.2120814323425293","1.2120814323425293","1.2120814323425293","2.141906976699829","2.141906976699829","2.141906976699829","94.46531677246094","94.46531677246094","94.46531677246094","272.8514099121094","272.8514099121094","272.8514099121094","28.040477752685547","28.040477752685547","28.040477752685547","55.103729248046875","55.103729248046875","55.103729248046875"
"1799","1.300806999206543","1.300806999206543","1.300806999206543","2.2020952701568604","2.2020952701568604","2.2020952701568604","141.25958251953125","141.25958251953125","141.25958251953125","481.6409912109375","481.6409912109375","481.6409912109375","41.49514389038086","41.49514389038086","41.49514389038086","82.9356689453125","82.9356689453125","82.9356689453125"
"1829","1.2125039100646973","1.2125039100646973","1.2125039100646973","2.1914327144622803","2.1914327144622803","2.1914327144622803","109.84083557128906","109.84083557128906","109.84083557128906","360.5818786621094","360.5818786621094","360.5818786621094","31.08806610107422","31.08806610107422","31.08806610107422","59.002723693847656","59.002723693847656","59.002723693847656"
"1859","1.4544237852096558","1.4544237852096558","1.4544237852096558","2.5010225772857666","2.5010225772857666","2.5010225772857666","135.9157257080078","135.9157257080078","135.9157257080078","415.33392333984375","415.33392333984375","415.33392333984375","36.60196304321289","36.60196304321289","36.60196304321289","74.541748046875","74.541748046875","74.541748046875"
"1889","1.1476223468780518","1.1476223468780518","1.1476223468780518","2.0663094520568848","2.0663094520568848","2.0663094520568848","126.27523803710938","126.27523803710938","126.27523803710938","431.134765625","431.134765625","431.134765625","33.38569259643555","33.38569259643555","33.38569259643555","64.33771514892578","64.33771514892578","64.33771514892578"
"1919","1.3762120008468628","1.3762120008468628","1.3762120008468628","2.3172967433929443","2.3172967433929443","2.3172967433929443","152.26766967773438","152.26766967773438","152.26766967773438","24709.34765625","24709.34765625","24709.34765625","88.47029876708984","88.47029876708984","88.47029876708984","21081.306640625","21081.306640625","21081.306640625"
"1949","1.0498223304748535","1.0498223304748535","1.0498223304748535","1.7832732200622559","1.7832732200622559","1.7832732200622559","100.52632904052734","100.52632904052734","100.52632904052734","343.9414367675781","343.9414367675781","343.9414367675781","27.09111785888672","27.09111785888672","27.09111785888672","57.100379943847656","57.100379943847656","57.100379943847656"
"1979","1.6800950765609741","1.6800950765609741","1.6800950765609741","2.9135735034942627","2.9135735034942627","2.9135735034942627","133.8685760498047","133.8685760498047","133.8685760498047","450.95703125","450.95703125","450.95703125","44.88539505004883","44.88539505004883","44.88539505004883","93.70718383789062","93.70718383789062","93.70718383789062"
"2009","1.1591389179229736","1.1591389179229736","1.1591389179229736","2.174429178237915","2.174429178237915","2.174429178237915","272.12103271484375","272.12103271484375","272.12103271484375","19514.494140625","19514.494140625","19514.494140625","170.70892333984375","170.70892333984375","170.70892333984375","16386.10546875","16386.10546875","16386.10546875"
"2039","1.2023234367370605","1.2023234367370605","1.2023234367370605","2.3147809505462646","2.3147809505462646","2.3147809505462646","92.2554702758789","92.2554702758789","92.2554702758789","346.3297119140625","346.3297119140625","346.3297119140625","30.491493225097656","30.491493225097656","30.491493225097656","61.96897888183594","61.96897888183594","61.96897888183594"
"2069","1.2311204671859741","1.2311204671859741","1.2311204671859741","2.3466742038726807","2.3466742038726807","2.3466742038726807","98.29855346679688","98.29855346679688","98.29855346679688","338.4441833496094","338.4441833496094","338.4441833496094","28.21025276184082","28.21025276184082","28.21025276184082","61.22227478027344","61.22227478027344","61.22227478027344"
"2099","1.0203304290771484","1.0203304290771484","1.0203304290771484","1.878064513206482","1.878064513206482","1.878064513206482","92.68301391601562","92.68301391601562","92.68301391601562","365.0067443847656","365.0067443847656","365.0067443847656","24.864843368530273","24.864843368530273","24.864843368530273","54.65522766113281","54.65522766113281","54.65522766113281"
"2129","1.0388662815093994","1.0388662815093994","1.0388662815093994","1.7934545278549194","1.7934545278549194","1.7934545278549194","108.22675323486328","108.22675323486328","108.22675323486328","776.7771606445312","776.7771606445312","776.7771606445312","39.72441482543945","39.72441482543945","39.72441482543945","1402.845703125","1402.845703125","1402.845703125"
"2159","1.1115741729736328","1.1115741729736328","1.1115741729736328","2.1462860107421875","2.1462860107421875","2.1462860107421875","72.22101593017578","72.22101593017578","72.22101593017578","275.2235412597656","275.2235412597656","275.2235412597656","22.194570541381836","22.194570541381836","22.194570541381836","46.03272247314453","46.03272247314453","46.03272247314453"
"2189","1.0843119621276855","1.0843119621276855","1.0843119621276855","2.078857898712158","2.078857898712158","2.078857898712158","84.2657241821289","84.2657241821289","84.2657241821289","349.021240234375","349.021240234375","349.021240234375","19.683198928833008","19.683198928833008","19.683198928833008","43.53525924682617","43.53525924682617","43.53525924682617"
"2219","0.960829496383667","0.960829496383667","0.960829496383667","1.9705452919006348","1.9705452919006348","1.9705452919006348","74.54812622070312","74.54812622070312","74.54812622070312","289.9742126464844","289.9742126464844","289.9742126464844","23.091815948486328","23.091815948486328","23.091815948486328","50.07688522338867","50.07688522338867","50.07688522338867"
"2249","0.9135931134223938","0.9135931134223938","0.9135931134223938","1.870284080505371","1.870284080505371","1.870284080505371","85.54964447021484","85.54964447021484","85.54964447021484","314.85076904296875","314.85076904296875","314.85076904296875","23.64312171936035","23.64312171936035","23.64312171936035","50.85189437866211","50.85189437866211","50.85189437866211"
"2279","1.1201797723770142","1.1201797723770142","1.1201797723770142","2.143226385116577","2.143226385116577","2.143226385116577","94.96401977539062","94.96401977539062","94.96401977539062","376.89996337890625","376.89996337890625","376.89996337890625","29.6435546875","29.6435546875","29.6435546875","67.18914794921875","67.18914794921875","67.18914794921875"
"2309","0.8923943638801575","0.8923943638801575","0.8923943638801575","1.7155892848968506","1.7155892848968506","1.7155892848968506","78.95228576660156","78.95228576660156","78.95228576660156","341.7160949707031","341.7160949707031","341.7160949707031","23.46424102783203","23.46424102783203","23.46424102783203","52.04476547241211","52.04476547241211","52.04476547241211"
"2339","0.9943546652793884","0.9943546652793884","0.9943546652793884","2.0032899379730225","2.0032899379730225","2.0032899379730225","65.77552795410156","65.77552795410156","65.77552795410156","263.03692626953125","263.03692626953125","263.03692626953125","19.72835350036621","19.72835350036621","19.72835350036621","47.620487213134766","47.620487213134766","47.620487213134766"
"2369","0.9260489344596863","0.9260489344596863","0.9260489344596863","1.9270293712615967","1.9270293712615967","1.9270293712615967","67.97537231445312","67.97537231445312","67.97537231445312","267.57379150390625","267.57379150390625","267.57379150390625","20.597755432128906","20.597755432128906","20.597755432128906","69.1888427734375","69.1888427734375","69.1888427734375"
"2399","0.9986521005630493","0.9986521005630493","0.9986521005630493","2.0796616077423096","2.0796616077423096","2.0796616077423096","232.75564575195312","232.75564575195312","232.75564575195312","13389.380859375","13389.380859375","13389.380859375","162.40948486328125","162.40948486328125","162.40948486328125","7357.154296875","7357.154296875","7357.154296875"
"2429","0.7809922099113464","0.7809922099113464","0.7809922099113464","1.7202352285385132","1.7202352285385132","1.7202352285385132","72.04271697998047","72.04271697998047","72.04271697998047","698.7728881835938","698.7728881835938","698.7728881835938","26.2018985748291","26.2018985748291","26.2018985748291","1040.525390625","1040.525390625","1040.525390625"
"2459","0.7894341945648193","0.7894341945648193","0.7894341945648193","1.787566065788269","1.787566065788269","1.787566065788269","65.6843490600586","65.6843490600586","65.6843490600586","270.71441650390625","270.71441650390625","270.71441650390625","21.956003189086914","21.956003189086914","21.956003189086914","51.49248504638672","51.49248504638672","51.49248504638672"
"2489","0.763326108455658","0.763326108455658","0.763326108455658","1.4538516998291016","1.4538516998291016","1.4538516998291016","75.52593231201172","75.52593231201172","75.52593231201172","308.4821472167969","308.4821472167969","308.4821472167969","23.941198348999023","23.941198348999023","23.941198348999023","59.56511688232422","59.56511688232422","59.56511688232422"
"2519","0.8458764553070068","0.8458764553070068","0.8458764553070068","1.8726142644882202","1.8726142644882202","1.8726142644882202","65.47537994384766","65.47537994384766","65.47537994384766","635.8414916992188","635.8414916992188","635.8414916992188","27.12781524658203","27.12781524658203","27.12781524658203","1523.83984375","1523.83984375","1523.83984375"
"2549","0.7324971556663513","0.7324971556663513","0.7324971556663513","1.637418270111084","1.637418270111084","1.637418270111084","59.40559387207031","59.40559387207031","59.40559387207031","259.62445068359375","259.62445068359375","259.62445068359375","17.961606979370117","17.961606979370117","17.961606979370117","43.69450759887695","43.69450759887695","43.69450759887695"
"2579","0.7756875157356262","0.7756875157356262","0.7756875157356262","1.7179523706436157","1.7179523706436157","1.7179523706436157","63.321922302246094","63.321922302246094","63.321922302246094","257.6599426269531","257.6599426269531","257.6599426269531","16.965654373168945","16.965654373168945","16.965654373168945","39.73672103881836","39.73672103881836","39.73672103881836"
