"Step","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer0_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer10_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss__MIN","layer5_residual_mid_gpt2_jumprelu - losses/l0_loss__MAX","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_residual_mid_gpt2_singular_fisher - losses/l0_loss__MAX"
"1079","60601.296875","60601.296875","60601.296875","38937.44921875","38937.44921875","38937.44921875","60747.046875","60747.046875","60747.046875","35270.59765625","35270.59765625","35270.59765625","60242.09765625","60242.09765625","60242.09765625","35877.1484375","35877.1484375","35877.1484375"
"1109","60737.6484375","60737.6484375","60737.6484375","38998.44921875","38998.44921875","38998.44921875","60714.046875","60714.046875","60714.046875","35143.05078125","35143.05078125","35143.05078125","60193.84765625","60193.84765625","60193.84765625","35225.59765625","35225.59765625","35225.59765625"
"1139","60769.84765625","60769.84765625","60769.84765625","38913.30078125","38913.30078125","38913.30078125","60829.19921875","60829.19921875","60829.19921875","35108.44921875","35108.44921875","35108.44921875","60304.5","60304.5","60304.5","35314.84765625","35314.84765625","35314.84765625"
"1169","60763.8984375","60763.8984375","60763.8984375","39168.44921875","39168.44921875","39168.44921875","60922.8984375","60922.8984375","60922.8984375","36242.1484375","36242.1484375","36242.1484375","60316.8984375","60316.8984375","60316.8984375","36021.34765625","36021.34765625","36021.34765625"
"1199","60642.25","60642.25","60642.25","38669.75","38669.75","38669.75","60913.5","60913.5","60913.5","36256.30078125","36256.30078125","36256.30078125","60176.1484375","60176.1484375","60176.1484375","35868.55078125","35868.55078125","35868.55078125"
"1229","60553.046875","60553.046875","60553.046875","38728.6484375","38728.6484375","38728.6484375","60704.25","60704.25","60704.25","35694.1484375","35694.1484375","35694.1484375","60260.296875","60260.296875","60260.296875","36025.59765625","36025.59765625","36025.59765625"
"1259","60618.6484375","60618.6484375","60618.6484375","38472.44921875","38472.44921875","38472.44921875","60684.5","60684.5","60684.5","35224.80078125","35224.80078125","35224.80078125","59964.5","59964.5","59964.5","35113.69921875","35113.69921875","35113.69921875"
"1289","60708.3984375","60708.3984375","60708.3984375","38446.84765625","38446.84765625","38446.84765625","60732.75","60732.75","60732.75","34768","34768","34768","59911.84765625","59911.84765625","59911.84765625","35465.94921875","35465.94921875","35465.94921875"
"1319","60685.6484375","60685.6484375","60685.6484375","38636.75","38636.75","38636.75","60648.5","60648.5","60648.5","35577.80078125","35577.80078125","35577.80078125","59927.25","59927.25","59927.25","35620.44921875","35620.44921875","35620.44921875"
"1349","60623.8984375","60623.8984375","60623.8984375","38961.25","38961.25","38961.25","60773.25","60773.25","60773.25","35706.25","35706.25","35706.25","60206.94921875","60206.94921875","60206.94921875","36277.3984375","36277.3984375","36277.3984375"
"1379","60732.1484375","60732.1484375","60732.1484375","38780.30078125","38780.30078125","38780.30078125","60755.3984375","60755.3984375","60755.3984375","35243","35243","35243","60233.046875","60233.046875","60233.046875","35740.6484375","35740.6484375","35740.6484375"
"1409","60739","60739","60739","38814.05078125","38814.05078125","38814.05078125","60722.546875","60722.546875","60722.546875","35185.05078125","35185.05078125","35185.05078125","60220.5","60220.5","60220.5","35729.75","35729.75","35729.75"
"1439","60776.69921875","60776.69921875","60776.69921875","38700.75","38700.75","38700.75","60819.69921875","60819.69921875","60819.69921875","35517","35517","35517","60272.19921875","60272.19921875","60272.19921875","34903.3984375","34903.3984375","34903.3984375"
"1469","60689.296875","60689.296875","60689.296875","38504.44921875","38504.44921875","38504.44921875","60697.796875","60697.796875","60697.796875","35342.5","35342.5","35342.5","60185.5","60185.5","60185.5","35310.8984375","35310.8984375","35310.8984375"
"1499","60758.3984375","60758.3984375","60758.3984375","38574.84765625","38574.84765625","38574.84765625","60782.5","60782.5","60782.5","35360.34765625","35360.34765625","35360.34765625","60350.796875","60350.796875","60350.796875","35360.69921875","35360.69921875","35360.69921875"
"1529","60715.046875","60715.046875","60715.046875","38203.34765625","38203.34765625","38203.34765625","60885.34765625","60885.34765625","60885.34765625","35858.6484375","35858.6484375","35858.6484375","60219.09765625","60219.09765625","60219.09765625","35251.59765625","35251.59765625","35251.59765625"
"1559","60673.94921875","60673.94921875","60673.94921875","38615.30078125","38615.30078125","38615.30078125","60802.546875","60802.546875","60802.546875","35183.6484375","35183.6484375","35183.6484375","60176.69921875","60176.69921875","60176.69921875","35560.25","35560.25","35560.25"
"1589","60758.75","60758.75","60758.75","38435.69921875","38435.69921875","38435.69921875","60720.8984375","60720.8984375","60720.8984375","35893.25","35893.25","35893.25","60097.5","60097.5","60097.5","35179.84765625","35179.84765625","35179.84765625"
"1619","60788.44921875","60788.44921875","60788.44921875","38692.5","38692.5","38692.5","60834.84765625","60834.84765625","60834.84765625","35979.55078125","35979.55078125","35979.55078125","60314.296875","60314.296875","60314.296875","35496.55078125","35496.55078125","35496.55078125"
"1649","60682.34765625","60682.34765625","60682.34765625","38546.05078125","38546.05078125","38546.05078125","60722.34765625","60722.34765625","60722.34765625","35797.1484375","35797.1484375","35797.1484375","60245.94921875","60245.94921875","60245.94921875","35848.75","35848.75","35848.75"
"1679","60465.796875","60465.796875","60465.796875","37898.55078125","37898.55078125","37898.55078125","60562","60562","60562","35285.69921875","35285.69921875","35285.69921875","60014.546875","60014.546875","60014.546875","35945.80078125","35945.80078125","35945.80078125"
"1709","60624.69921875","60624.69921875","60624.69921875","38391.09765625","38391.09765625","38391.09765625","60678.6484375","60678.6484375","60678.6484375","35807.84765625","35807.84765625","35807.84765625","60229.546875","60229.546875","60229.546875","36433.19921875","36433.19921875","36433.19921875"
"1739","60728.09765625","60728.09765625","60728.09765625","38657.84765625","38657.84765625","38657.84765625","60684.34765625","60684.34765625","60684.34765625","36403.44921875","36403.44921875","36403.44921875","60162.5","60162.5","60162.5","36172.09765625","36172.09765625","36172.09765625"
"1769","60654.75","60654.75","60654.75","38550.8984375","38550.8984375","38550.8984375","60726.69921875","60726.69921875","60726.69921875","36227.59765625","36227.59765625","36227.59765625","60132.34765625","60132.34765625","60132.34765625","36177.6484375","36177.6484375","36177.6484375"
"1799","60727.84765625","60727.84765625","60727.84765625","38523.94921875","38523.94921875","38523.94921875","60716","60716","60716","36265.19921875","36265.19921875","36265.19921875","60122.3984375","60122.3984375","60122.3984375","35704.94921875","35704.94921875","35704.94921875"
"1829","60729.25","60729.25","60729.25","38687.3984375","38687.3984375","38687.3984375","60770.44921875","60770.44921875","60770.44921875","35901.05078125","35901.05078125","35901.05078125","60182.5","60182.5","60182.5","36122.75","36122.75","36122.75"
"1859","60639.84765625","60639.84765625","60639.84765625","38425.84765625","38425.84765625","38425.84765625","60793.3984375","60793.3984375","60793.3984375","37284.44921875","37284.44921875","37284.44921875","60120.1484375","60120.1484375","60120.1484375","35989.05078125","35989.05078125","35989.05078125"
"1889","60722","60722","60722","38644.44921875","38644.44921875","38644.44921875","60676.09765625","60676.09765625","60676.09765625","35807.80078125","35807.80078125","35807.80078125","60040.09765625","60040.09765625","60040.09765625","36034.84765625","36034.84765625","36034.84765625"
"1919","60618.046875","60618.046875","60618.046875","38221.1484375","38221.1484375","38221.1484375","60652.1484375","60652.1484375","60652.1484375","36403.25","36403.25","36403.25","60179.94921875","60179.94921875","60179.94921875","36464.94921875","36464.94921875","36464.94921875"
"1949","60789.94921875","60789.94921875","60789.94921875","38595.05078125","38595.05078125","38595.05078125","60769.09765625","60769.09765625","60769.09765625","36372.25","36372.25","36372.25","60189.6484375","60189.6484375","60189.6484375","36221.94921875","36221.94921875","36221.94921875"
"1979","60637","60637","60637","38413.80078125","38413.80078125","38413.80078125","60737.44921875","60737.44921875","60737.44921875","36570.05078125","36570.05078125","36570.05078125","60153.84765625","60153.84765625","60153.84765625","36053.6484375","36053.6484375","36053.6484375"
"2009","60603.25","60603.25","60603.25","38157.05078125","38157.05078125","38157.05078125","60399.046875","60399.046875","60399.046875","35909.05078125","35909.05078125","35909.05078125","60074.19921875","60074.19921875","60074.19921875","35880.80078125","35880.80078125","35880.80078125"
"2039","60576.59765625","60576.59765625","60576.59765625","38502.30078125","38502.30078125","38502.30078125","60531.3984375","60531.3984375","60531.3984375","36739.94921875","36739.94921875","36739.94921875","59938.296875","59938.296875","59938.296875","36158.44921875","36158.44921875","36158.44921875"
"2069","60742.8984375","60742.8984375","60742.8984375","38352.94921875","38352.94921875","38352.94921875","60485.3984375","60485.3984375","60485.3984375","35929.1484375","35929.1484375","35929.1484375","60003","60003","60003","36039.5","36039.5","36039.5"
"2099","60726.34765625","60726.34765625","60726.34765625","38433.75","38433.75","38433.75","60589.3984375","60589.3984375","60589.3984375","36303.94921875","36303.94921875","36303.94921875","60065.296875","60065.296875","60065.296875","36371.3984375","36371.3984375","36371.3984375"
"2129","60618.84765625","60618.84765625","60618.84765625","38196.05078125","38196.05078125","38196.05078125","60512.09765625","60512.09765625","60512.09765625","36434.30078125","36434.30078125","36434.30078125","60181.09765625","60181.09765625","60181.09765625","36396.69921875","36396.69921875","36396.69921875"
"2159","60748","60748","60748","38723.30078125","38723.30078125","38723.30078125","60729.94921875","60729.94921875","60729.94921875","36375.59765625","36375.59765625","36375.59765625","60366.19921875","60366.19921875","60366.19921875","36489.1484375","36489.1484375","36489.1484375"
"2189","60760.44921875","60760.44921875","60760.44921875","38494.80078125","38494.80078125","38494.80078125","60601.59765625","60601.59765625","60601.59765625","36347.3984375","36347.3984375","36347.3984375","60151.19921875","60151.19921875","60151.19921875","36168.59765625","36168.59765625","36168.59765625"
"2219","60713.44921875","60713.44921875","60713.44921875","38455.75","38455.75","38455.75","60742.75","60742.75","60742.75","36653.19921875","36653.19921875","36653.19921875","60199.8984375","60199.8984375","60199.8984375","36390.19921875","36390.19921875","36390.19921875"
"2249","60708.8984375","60708.8984375","60708.8984375","38344.5","38344.5","38344.5","60748.09765625","60748.09765625","60748.09765625","36597.1484375","36597.1484375","36597.1484375","60223.94921875","60223.94921875","60223.94921875","36070.3984375","36070.3984375","36070.3984375"
"2279","60670.59765625","60670.59765625","60670.59765625","38154.34765625","38154.34765625","38154.34765625","60752.94921875","60752.94921875","60752.94921875","36709.19921875","36709.19921875","36709.19921875","60098.3984375","60098.3984375","60098.3984375","36313.30078125","36313.30078125","36313.30078125"
"2309","60639.3984375","60639.3984375","60639.3984375","38395.69921875","38395.69921875","38395.69921875","60639.546875","60639.546875","60639.546875","36390.8984375","36390.8984375","36390.8984375","60098.75","60098.75","60098.75","36021.80078125","36021.80078125","36021.80078125"
"2339","60729","60729","60729","38219.05078125","38219.05078125","38219.05078125","60807.1484375","60807.1484375","60807.1484375","36491.6484375","36491.6484375","36491.6484375","60171","60171","60171","36112.19921875","36112.19921875","36112.19921875"
"2369","60733.34765625","60733.34765625","60733.34765625","38285.84765625","38285.84765625","38285.84765625","60633.84765625","60633.84765625","60633.84765625","36637.25","36637.25","36637.25","60134.25","60134.25","60134.25","35902.1484375","35902.1484375","35902.1484375"
"2399","60571.75","60571.75","60571.75","38269.84765625","38269.84765625","38269.84765625","60509.19921875","60509.19921875","60509.19921875","36231.3984375","36231.3984375","36231.3984375","59914.09765625","59914.09765625","59914.09765625","36247.19921875","36247.19921875","36247.19921875"
"2429","60618.796875","60618.796875","60618.796875","38215.69921875","38215.69921875","38215.69921875","60479.1484375","60479.1484375","60479.1484375","36105.1484375","36105.1484375","36105.1484375","60092","60092","60092","36045.25","36045.25","36045.25"
"2459","60622.59765625","60622.59765625","60622.59765625","38173.6484375","38173.6484375","38173.6484375","60363","60363","60363","35845.94921875","35845.94921875","35845.94921875","59747.296875","59747.296875","59747.296875","36253.05078125","36253.05078125","36253.05078125"
"2489","60729.046875","60729.046875","60729.046875","38362.09765625","38362.09765625","38362.09765625","60459.25","60459.25","60459.25","35649.19921875","35649.19921875","35649.19921875","59845.84765625","59845.84765625","59845.84765625","35702.69921875","35702.69921875","35702.69921875"
"2519","60465.25","60465.25","60465.25","37733.94921875","37733.94921875","37733.94921875","60369.046875","60369.046875","60369.046875","35640.1484375","35640.1484375","35640.1484375","59865.09765625","59865.09765625","59865.09765625","35926.8984375","35926.8984375","35926.8984375"
"2549","60746.44921875","60746.44921875","60746.44921875","38165.09765625","38165.09765625","38165.09765625","60622.3984375","60622.3984375","60622.3984375","36082.1484375","36082.1484375","36082.1484375","59952.25","59952.25","59952.25","35771.75","35771.75","35771.75"
"2579","60758.25","60758.25","60758.25","38439.05078125","38439.05078125","38439.05078125","60542.59765625","60542.59765625","60542.59765625","36819.5","36819.5","36819.5","60120.546875","60120.546875","60120.546875","36229.25","36229.25","36229.25"
"2609","60749.75","60749.75","60749.75","38255.55078125","38255.55078125","38255.55078125","60432.19921875","60432.19921875","60432.19921875","35989.6484375","35989.6484375","35989.6484375","60100.1484375","60100.1484375","60100.1484375","36007","36007","36007"
"2639","60588.546875","60588.546875","60588.546875","37824","37824","37824","60509.44921875","60509.44921875","60509.44921875","35854.3984375","35854.3984375","35854.3984375","60153.8984375","60153.8984375","60153.8984375","35850.55078125","35850.55078125","35850.55078125"
"2669","60713.59765625","60713.59765625","60713.59765625","38378.05078125","38378.05078125","38378.05078125","60518.59765625","60518.59765625","60518.59765625","36902.69921875","36902.69921875","36902.69921875","60008.19921875","60008.19921875","60008.19921875","34698.59765625","34698.59765625","34698.59765625"
"2699","60652.84765625","60652.84765625","60652.84765625","37772.5","37772.5","37772.5","60567.25","60567.25","60567.25","36255.3984375","36255.3984375","36255.3984375","59951.796875","59951.796875","59951.796875","35602.25","35602.25","35602.25"
"2729","60758.8984375","60758.8984375","60758.8984375","38143.94921875","38143.94921875","38143.94921875","60642.94921875","60642.94921875","60642.94921875","36113.44921875","36113.44921875","36113.44921875","60189","60189","60189","35914.34765625","35914.34765625","35914.34765625"
"2759","60779.296875","60779.296875","60779.296875","38183.09765625","38183.09765625","38183.09765625","60563.19921875","60563.19921875","60563.19921875","37023.19921875","37023.19921875","37023.19921875","60005.1484375","60005.1484375","60005.1484375","35967.05078125","35967.05078125","35967.05078125"
"2789","60737.796875","60737.796875","60737.796875","38269.8984375","38269.8984375","38269.8984375","60609.59765625","60609.59765625","60609.59765625","36548.44921875","36548.44921875","36548.44921875","60064.94921875","60064.94921875","60064.94921875","36004.69921875","36004.69921875","36004.69921875"
"2819","60745.94921875","60745.94921875","60745.94921875","38032.25","38032.25","38032.25","60571.84765625","60571.84765625","60571.84765625","36752.6484375","36752.6484375","36752.6484375","60131.3984375","60131.3984375","60131.3984375","35500.1484375","35500.1484375","35500.1484375"
"2849","60582.046875","60582.046875","60582.046875","37890.6484375","37890.6484375","37890.6484375","60596.09765625","60596.09765625","60596.09765625","36153.05078125","36153.05078125","36153.05078125","60136.296875","60136.296875","60136.296875","36116.44921875","36116.44921875","36116.44921875"
"2879","60727.796875","60727.796875","60727.796875","38016.05078125","38016.05078125","38016.05078125","60636.6484375","60636.6484375","60636.6484375","36571.3984375","36571.3984375","36571.3984375","60277.046875","60277.046875","60277.046875","35999.84765625","35999.84765625","35999.84765625"
"2909","60645.25","60645.25","60645.25","38290.1484375","38290.1484375","38290.1484375","60617.25","60617.25","60617.25","36554.55078125","36554.55078125","36554.55078125","60010.84765625","60010.84765625","60010.84765625","35668.84765625","35668.84765625","35668.84765625"
"2939","60647.09765625","60647.09765625","60647.09765625","37779.6484375","37779.6484375","37779.6484375","60778.84765625","60778.84765625","60778.84765625","36644.8984375","36644.8984375","36644.8984375","60163.84765625","60163.84765625","60163.84765625","36227.8984375","36227.8984375","36227.8984375"
"2969","60779.1484375","60779.1484375","60779.1484375","38512.3984375","38512.3984375","38512.3984375","60701.6484375","60701.6484375","60701.6484375","36470.6484375","36470.6484375","36470.6484375","60183.69921875","60183.69921875","60183.69921875","36166.3984375","36166.3984375","36166.3984375"
"2999","60769.44921875","60769.44921875","60769.44921875","37948.80078125","37948.80078125","37948.80078125","60673.75","60673.75","60673.75","36805.34765625","36805.34765625","36805.34765625","60158.296875","60158.296875","60158.296875","35955.6484375","35955.6484375","35955.6484375"
"3029","60569.09765625","60569.09765625","60569.09765625","37808.84765625","37808.84765625","37808.84765625","60676.84765625","60676.84765625","60676.84765625","36342.75","36342.75","36342.75","60195.34765625","60195.34765625","60195.34765625","35802.1484375","35802.1484375","35802.1484375"
"3059","60734.5","60734.5","60734.5","37767.1484375","37767.1484375","37767.1484375","60725.75","60725.75","60725.75","36319.5","36319.5","36319.5","60157.796875","60157.796875","60157.796875","35774.05078125","35774.05078125","35774.05078125"
"3089","60819.34765625","60819.34765625","60819.34765625","38174.5","38174.5","38174.5","60704.84765625","60704.84765625","60704.84765625","36325.84765625","36325.84765625","36325.84765625","60178.8984375","60178.8984375","60178.8984375","36069.44921875","36069.44921875","36069.44921875"
"3119","60606","60606","60606","37723.80078125","37723.80078125","37723.80078125","60563.75","60563.75","60563.75","36178.5","36178.5","36178.5","60152.796875","60152.796875","60152.796875","35948.25","35948.25","35948.25"
"3149","60782.796875","60782.796875","60782.796875","38146.84765625","38146.84765625","38146.84765625","60731.5","60731.5","60731.5","35801.05078125","35801.05078125","35801.05078125","60191.84765625","60191.84765625","60191.84765625","35917.84765625","35917.84765625","35917.84765625"
