"Step","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer0_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer0_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer10_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer10_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MIN","layer5_residual_mid_gpt2_jumprelu - shrinkage.l2_ratio__MAX","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MIN","layer5_residual_mid_gpt2_singular_fisher - shrinkage.l2_ratio__MAX"
"6599","1.2716542482376099","1.2716542482376099","1.2716542482376099","1.2742925882339478","1.2742925882339478","1.2742925882339478","6.549069881439209","6.549069881439209","6.549069881439209","6.4155778884887695","6.4155778884887695","6.4155778884887695","3.1364922523498535","3.1364922523498535","3.1364922523498535","3.0929226875305176","3.0929226875305176","3.0929226875305176"
"7199","1.2712475061416626","1.2712475061416626","1.2712475061416626","1.275774359703064","1.275774359703064","1.275774359703064","6.528892517089844","6.528892517089844","6.528892517089844","6.359717845916748","6.359717845916748","6.359717845916748","3.1282949447631836","3.1282949447631836","3.1282949447631836","3.091492176055908","3.091492176055908","3.091492176055908"
"7799","1.2713979482650757","1.2713979482650757","1.2713979482650757","1.2671644687652588","1.2671644687652588","1.2671644687652588","6.524233341217041","6.524233341217041","6.524233341217041","6.484138011932373","6.484138011932373","6.484138011932373","3.1254470348358154","3.1254470348358154","3.1254470348358154","3.139983892440796","3.139983892440796","3.139983892440796"
"8399","1.2725945711135864","1.2725945711135864","1.2725945711135864","1.274664282798767","1.274664282798767","1.274664282798767","6.539920806884766","6.539920806884766","6.539920806884766","6.585507392883301","6.585507392883301","6.585507392883301","3.135554075241089","3.135554075241089","3.135554075241089","3.1288678646087646","3.1288678646087646","3.1288678646087646"
"8999","1.2713829278945923","1.2713829278945923","1.2713829278945923","1.2675633430480957","1.2675633430480957","1.2675633430480957","6.542537212371826","6.542537212371826","6.542537212371826","6.359301567077637","6.359301567077637","6.359301567077637","3.135984420776367","3.135984420776367","3.135984420776367","3.136446952819824","3.136446952819824","3.136446952819824"
"9599","1.2717562913894653","1.2717562913894653","1.2717562913894653","1.2752312421798706","1.2752312421798706","1.2752312421798706","6.537613868713379","6.537613868713379","6.537613868713379","6.427367687225342","6.427367687225342","6.427367687225342","3.139798164367676","3.139798164367676","3.139798164367676","3.1333138942718506","3.1333138942718506","3.1333138942718506"
"10199","1.2713054418563843","1.2713054418563843","1.2713054418563843","1.2717841863632202","1.2717841863632202","1.2717841863632202","6.547201633453369","6.547201633453369","6.547201633453369","6.587184906005859","6.587184906005859","6.587184906005859","3.1326756477355957","3.1326756477355957","3.1326756477355957","3.1473965644836426","3.1473965644836426","3.1473965644836426"
"10799","1.2702394723892212","1.2702394723892212","1.2702394723892212","1.2634419202804565","1.2634419202804565","1.2634419202804565","6.504244327545166","6.504244327545166","6.504244327545166","6.615612983703613","6.615612983703613","6.615612983703613","3.127037763595581","3.127037763595581","3.127037763595581","3.1189098358154297","3.1189098358154297","3.1189098358154297"
"11399","1.2715660333633423","1.2715660333633423","1.2715660333633423","1.282535195350647","1.282535195350647","1.282535195350647","6.533505916595459","6.533505916595459","6.533505916595459","6.7711181640625","6.7711181640625","6.7711181640625","3.141814947128296","3.141814947128296","3.141814947128296","3.1346733570098877","3.1346733570098877","3.1346733570098877"
"11999","1.2734562158584595","1.2734562158584595","1.2734562158584595","1.2766107320785522","1.2766107320785522","1.2766107320785522","6.545838832855225","6.545838832855225","6.545838832855225","6.534865856170654","6.534865856170654","6.534865856170654","3.12518048286438","3.12518048286438","3.12518048286438","3.119697332382202","3.119697332382202","3.119697332382202"
"12599","1.271927833557129","1.271927833557129","1.271927833557129","1.2762941122055054","1.2762941122055054","1.2762941122055054","6.5317535400390625","6.5317535400390625","6.5317535400390625","6.5395827293396","6.5395827293396","6.5395827293396","3.1471545696258545","3.1471545696258545","3.1471545696258545","3.111060857772827","3.111060857772827","3.111060857772827"
"13199","1.2720626592636108","1.2720626592636108","1.2720626592636108","1.271069884300232","1.271069884300232","1.271069884300232","6.527381420135498","6.527381420135498","6.527381420135498","6.396220684051514","6.396220684051514","6.396220684051514","3.1299967765808105","3.1299967765808105","3.1299967765808105","3.0708844661712646","3.0708844661712646","3.0708844661712646"
"13799","1.2736997604370117","1.2736997604370117","1.2736997604370117","1.2692480087280273","1.2692480087280273","1.2692480087280273","6.529666423797607","6.529666423797607","6.529666423797607","6.412579536437988","6.412579536437988","6.412579536437988","3.1256206035614014","3.1256206035614014","3.1256206035614014","3.1413190364837646","3.1413190364837646","3.1413190364837646"
"14399","1.2725965976715088","1.2725965976715088","1.2725965976715088","1.2763370275497437","1.2763370275497437","1.2763370275497437","6.522131443023682","6.522131443023682","6.522131443023682","6.497752666473389","6.497752666473389","6.497752666473389","3.1268177032470703","3.1268177032470703","3.1268177032470703","3.1225788593292236","3.1225788593292236","3.1225788593292236"
"14999","1.2717602252960205","1.2717602252960205","1.2717602252960205","1.2638648748397827","1.2638648748397827","1.2638648748397827","6.50482177734375","6.50482177734375","6.50482177734375","6.529418468475342","6.529418468475342","6.529418468475342","3.1297333240509033","3.1297333240509033","3.1297333240509033","3.1289899349212646","3.1289899349212646","3.1289899349212646"
"15599","1.2720720767974854","1.2720720767974854","1.2720720767974854","1.2656677961349487","1.2656677961349487","1.2656677961349487","6.517625331878662","6.517625331878662","6.517625331878662","6.490814208984375","6.490814208984375","6.490814208984375","3.1411571502685547","3.1411571502685547","3.1411571502685547","3.115983724594116","3.115983724594116","3.115983724594116"
"16199","1.272834062576294","1.272834062576294","1.272834062576294","1.2691547870635986","1.2691547870635986","1.2691547870635986","6.504998207092285","6.504998207092285","6.504998207092285","6.535670757293701","6.535670757293701","6.535670757293701","3.13031268119812","3.13031268119812","3.13031268119812","3.1280620098114014","3.1280620098114014","3.1280620098114014"
"16799","1.2719287872314453","1.2719287872314453","1.2719287872314453","1.278495192527771","1.278495192527771","1.278495192527771","6.520298957824707","6.520298957824707","6.520298957824707","6.724730968475342","6.724730968475342","6.724730968475342","3.1442766189575195","3.1442766189575195","3.1442766189575195","3.1517562866210938","3.1517562866210938","3.1517562866210938"
"17399","1.271655559539795","1.271655559539795","1.271655559539795","1.2744932174682617","1.2744932174682617","1.2744932174682617","6.53084659576416","6.53084659576416","6.53084659576416","6.504173278808594","6.504173278808594","6.504173278808594","3.1333706378936768","3.1333706378936768","3.1333706378936768","3.138622522354126","3.138622522354126","3.138622522354126"
"17999","1.2726356983184814","1.2726356983184814","1.2726356983184814","1.277194619178772","1.277194619178772","1.277194619178772","6.502401828765869","6.502401828765869","6.502401828765869","6.518235206604004","6.518235206604004","6.518235206604004","3.1350090503692627","3.1350090503692627","3.1350090503692627","3.1031670570373535","3.1031670570373535","3.1031670570373535"
"18599","1.2721115350723267","1.2721115350723267","1.2721115350723267","1.2767986059188843","1.2767986059188843","1.2767986059188843","6.526654243469238","6.526654243469238","6.526654243469238","6.519379615783691","6.519379615783691","6.519379615783691","3.1325461864471436","3.1325461864471436","3.1325461864471436","3.138904571533203","3.138904571533203","3.138904571533203"
"19199","1.2720586061477661","1.2720586061477661","1.2720586061477661","1.26946222782135","1.26946222782135","1.26946222782135","6.506837368011475","6.506837368011475","6.506837368011475","6.585803508758545","6.585803508758545","6.585803508758545","3.1314313411712646","3.1314313411712646","3.1314313411712646","3.1598105430603027","3.1598105430603027","3.1598105430603027"
"19799","1.271838903427124","1.271838903427124","1.271838903427124","1.2842165231704712","1.2842165231704712","1.2842165231704712","6.538125514984131","6.538125514984131","6.538125514984131","6.401060581207275","6.401060581207275","6.401060581207275","3.1400554180145264","3.1400554180145264","3.1400554180145264","3.1198465824127197","3.1198465824127197","3.1198465824127197"
