"Step","layer0_residual_mid_gpt2_jumprelu - sparsity.l1","layer0_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer0_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer0_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX","layer10_residual_mid_gpt2_jumprelu - sparsity.l1","layer10_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer10_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer10_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX","layer5_residual_mid_gpt2_jumprelu - sparsity.l1","layer5_residual_mid_gpt2_jumprelu - sparsity.l1__MIN","layer5_residual_mid_gpt2_jumprelu - sparsity.l1__MAX","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1__MIN","layer5_residual_mid_gpt2_singular_fisher - sparsity.l1__MAX"
"6599","3382.245849609375","3382.245849609375","3382.245849609375","471.6346130371094","471.6346130371094","471.6346130371094","4493.7783203125","4493.7783203125","4493.7783203125","444.89483642578125","444.89483642578125","444.89483642578125","3946.656982421875","3946.656982421875","3946.656982421875","535.0758666992188","535.0758666992188","535.0758666992188"
"7199","3359.256591796875","3359.256591796875","3359.256591796875","472.6158752441406","472.6158752441406","472.6158752441406","4452.7802734375","4452.7802734375","4452.7802734375","458.03179931640625","458.03179931640625","458.03179931640625","3926.00048828125","3926.00048828125","3926.00048828125","545.6134643554688","545.6134643554688","545.6134643554688"
"7799","3319.774658203125","3319.774658203125","3319.774658203125","460.2101135253906","460.2101135253906","460.2101135253906","4396.05712890625","4396.05712890625","4396.05712890625","456.1877136230469","456.1877136230469","456.1877136230469","3889.179443359375","3889.179443359375","3889.179443359375","544.8842163085938","544.8842163085938","544.8842163085938"
"8399","3244.973388671875","3244.973388671875","3244.973388671875","451.37353515625","451.37353515625","451.37353515625","4312.33837890625","4312.33837890625","4312.33837890625","454.1124572753906","454.1124572753906","454.1124572753906","3847.8046875","3847.8046875","3847.8046875","534.18408203125","534.18408203125","534.18408203125"
"8999","3213.00830078125","3213.00830078125","3213.00830078125","443.6478576660156","443.6478576660156","443.6478576660156","4302.85888671875","4302.85888671875","4302.85888671875","435.8590393066406","435.8590393066406","435.8590393066406","3865.055419921875","3865.055419921875","3865.055419921875","525.4902954101562","525.4902954101562","525.4902954101562"
"9599","3174.15869140625","3174.15869140625","3174.15869140625","440.3526306152344","440.3526306152344","440.3526306152344","4238.1484375","4238.1484375","4238.1484375","442.81622314453125","442.81622314453125","442.81622314453125","3744.86962890625","3744.86962890625","3744.86962890625","519.5562133789062","519.5562133789062","519.5562133789062"
"10199","3143.364501953125","3143.364501953125","3143.364501953125","434.3835144042969","434.3835144042969","434.3835144042969","4147.38232421875","4147.38232421875","4147.38232421875","453.6158142089844","453.6158142089844","453.6158142089844","3772.544677734375","3772.544677734375","3772.544677734375","526.3319702148438","526.3319702148438","526.3319702148438"
"10799","3109.508544921875","3109.508544921875","3109.508544921875","426.14654541015625","426.14654541015625","426.14654541015625","4049.974365234375","4049.974365234375","4049.974365234375","457.5740661621094","457.5740661621094","457.5740661621094","3709.072021484375","3709.072021484375","3709.072021484375","515.441650390625","515.441650390625","515.441650390625"
"11399","3080.6845703125","3080.6845703125","3080.6845703125","426.1758728027344","426.1758728027344","426.1758728027344","3988.030029296875","3988.030029296875","3988.030029296875","461.6281433105469","461.6281433105469","461.6281433105469","3711.942138671875","3711.942138671875","3711.942138671875","513.5562133789062","513.5562133789062","513.5562133789062"
"11999","3047.4853515625","3047.4853515625","3047.4853515625","420.832275390625","420.832275390625","420.832275390625","3983.161865234375","3983.161865234375","3983.161865234375","447.4962463378906","447.4962463378906","447.4962463378906","3725.108642578125","3725.108642578125","3725.108642578125","509.2966003417969","509.2966003417969","509.2966003417969"
"12599","3015.818359375","3015.818359375","3015.818359375","416.1451110839844","416.1451110839844","416.1451110839844","3874.99853515625","3874.99853515625","3874.99853515625","446.9701232910156","446.9701232910156","446.9701232910156","3675.55322265625","3675.55322265625","3675.55322265625","504.385009765625","504.385009765625","504.385009765625"
"13199","2987.162841796875","2987.162841796875","2987.162841796875","414.5490417480469","414.5490417480469","414.5490417480469","3839.38330078125","3839.38330078125","3839.38330078125","442.0023498535156","442.0023498535156","442.0023498535156","3630.35400390625","3630.35400390625","3630.35400390625","500.45904541015625","500.45904541015625","500.45904541015625"
"13799","2978.501220703125","2978.501220703125","2978.501220703125","408.3942565917969","408.3942565917969","408.3942565917969","3787.628662109375","3787.628662109375","3787.628662109375","440.9620056152344","440.9620056152344","440.9620056152344","3552.46923828125","3552.46923828125","3552.46923828125","503.9203796386719","503.9203796386719","503.9203796386719"
"14399","2955.932373046875","2955.932373046875","2955.932373046875","408.5041198730469","408.5041198730469","408.5041198730469","3753.7734375","3753.7734375","3753.7734375","448.57421875","448.57421875","448.57421875","3532.957763671875","3532.957763671875","3532.957763671875","501.6893615722656","501.6893615722656","501.6893615722656"
"14999","2913.64306640625","2913.64306640625","2913.64306640625","400.4903869628906","400.4903869628906","400.4903869628906","3748.6796875","3748.6796875","3748.6796875","454.4149475097656","454.4149475097656","454.4149475097656","3551.019287109375","3551.019287109375","3551.019287109375","499.1695861816406","499.1695861816406","499.1695861816406"
"15599","2903.212890625","2903.212890625","2903.212890625","399.575927734375","399.575927734375","399.575927734375","3716.48876953125","3716.48876953125","3716.48876953125","453.8699645996094","453.8699645996094","453.8699645996094","3581.569091796875","3581.569091796875","3581.569091796875","496.43096923828125","496.43096923828125","496.43096923828125"
"16199","2889.855224609375","2889.855224609375","2889.855224609375","396.3716735839844","396.3716735839844","396.3716735839844","3728.141845703125","3728.141845703125","3728.141845703125","460.60675048828125","460.60675048828125","460.60675048828125","3479.20361328125","3479.20361328125","3479.20361328125","495.55029296875","495.55029296875","495.55029296875"
"16799","2843.017578125","2843.017578125","2843.017578125","394.8549499511719","394.8549499511719","394.8549499511719","3688.63525390625","3688.63525390625","3688.63525390625","465.5976257324219","465.5976257324219","465.5976257324219","3445.460693359375","3445.460693359375","3445.460693359375","491.4815979003906","491.4815979003906","491.4815979003906"
"17399","2833.404296875","2833.404296875","2833.404296875","393.8690185546875","393.8690185546875","393.8690185546875","3716.530029296875","3716.530029296875","3716.530029296875","459.6532897949219","459.6532897949219","459.6532897949219","3449.85205078125","3449.85205078125","3449.85205078125","498.5409851074219","498.5409851074219","498.5409851074219"
"17999","2802.41796875","2802.41796875","2802.41796875","388.50970458984375","388.50970458984375","388.50970458984375","3722.535888671875","3722.535888671875","3722.535888671875","458.7286682128906","458.7286682128906","458.7286682128906","3442.954833984375","3442.954833984375","3442.954833984375","485.70245361328125","485.70245361328125","485.70245361328125"
"18599","2816.945068359375","2816.945068359375","2816.945068359375","390.5721740722656","390.5721740722656","390.5721740722656","3803.63330078125","3803.63330078125","3803.63330078125","465.5321350097656","465.5321350097656","465.5321350097656","3471.13671875","3471.13671875","3471.13671875","497.1767272949219","497.1767272949219","497.1767272949219"
"19199","2764.397216796875","2764.397216796875","2764.397216796875","382.0166015625","382.0166015625","382.0166015625","3721.607177734375","3721.607177734375","3721.607177734375","460.404296875","460.404296875","460.404296875","3406.854736328125","3406.854736328125","3406.854736328125","493.38360595703125","493.38360595703125","493.38360595703125"
"19799","2770.007080078125","2770.007080078125","2770.007080078125","383.3354187011719","383.3354187011719","383.3354187011719","3723.36572265625","3723.36572265625","3723.36572265625","450.97833251953125","450.97833251953125","450.97833251953125","3343.199951171875","3343.199951171875","3343.199951171875","485.8993835449219","485.8993835449219","485.8993835449219"
