"Step","layer0_residual_mid_gpt2_jumprelu - sparsity.l0","layer0_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer0_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer0_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX","layer10_residual_mid_gpt2_jumprelu - sparsity.l0","layer10_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer10_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer10_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX","layer5_residual_mid_gpt2_jumprelu - sparsity.l0","layer5_residual_mid_gpt2_jumprelu - sparsity.l0__MIN","layer5_residual_mid_gpt2_jumprelu - sparsity.l0__MAX","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0__MIN","layer5_residual_mid_gpt2_singular_fisher - sparsity.l0__MAX"
"599","12088.4111328125","12088.4111328125","12088.4111328125","7935.43896484375","7935.43896484375","7935.43896484375","12139.5458984375","12139.5458984375","12139.5458984375","7157.3095703125","7157.3095703125","7157.3095703125","12055.025390625","12055.025390625","12055.025390625","7273.4921875","7273.4921875","7273.4921875"
"1199","12134.9248046875","12134.9248046875","12134.9248046875","7738.9892578125","7738.9892578125","7738.9892578125","12146.2412109375","12146.2412109375","12146.2412109375","7003.74560546875","7003.74560546875","7003.74560546875","12046.0107421875","12046.0107421875","12046.0107421875","7164.24169921875","7164.24169921875","7164.24169921875"
"1799","12144.3583984375","12144.3583984375","12144.3583984375","7695.33447265625","7695.33447265625","7695.33447265625","12140.744140625","12140.744140625","12140.744140625","7155.01123046875","7155.01123046875","7155.01123046875","12031.0859375","12031.0859375","12031.0859375","7144.82177734375","7144.82177734375","7144.82177734375"
"2399","12132.2451171875","12132.2451171875","12132.2451171875","7626.70166015625","7626.70166015625","7626.70166015625","12108.6123046875","12108.6123046875","12108.6123046875","7201.90380859375","7201.90380859375","7201.90380859375","12007.8125","12007.8125","12007.8125","7250.80712890625","7250.80712890625","7250.80712890625"
"2999","12134.5","12134.5","12134.5","7566.88818359375","7566.88818359375","7566.88818359375","12125.8525390625","12125.8525390625","12125.8525390625","7256.0595703125","7256.0595703125","7256.0595703125","12030.3115234375","12030.3115234375","12030.3115234375","7198.875","7198.875","7198.875"
"3599","12134.2861328125","12134.2861328125","12134.2861328125","7512.3056640625","7512.3056640625","7512.3056640625","12144.87109375","12144.87109375","12144.87109375","7241.734375","7241.734375","7241.734375","12038.6357421875","12038.6357421875","12038.6357421875","7116.5390625","7116.5390625","7116.5390625"
"4199","12129.78125","12129.78125","12129.78125","7526.1455078125","7526.1455078125","7526.1455078125","12116.48046875","12116.48046875","12116.48046875","7123.74853515625","7123.74853515625","7123.74853515625","12018.3642578125","12018.3642578125","12018.3642578125","7092.76904296875","7092.76904296875","7092.76904296875"
"4799","12136.3037109375","12136.3037109375","12136.3037109375","7512.8486328125","7512.8486328125","7512.8486328125","12128.3974609375","12128.3974609375","12128.3974609375","7329.50341796875","7329.50341796875","7329.50341796875","12005.228515625","12005.228515625","12005.228515625","7173.10498046875","7173.10498046875","7173.10498046875"
"5399","12133.5390625","12133.5390625","12133.5390625","7481.0283203125","7481.0283203125","7481.0283203125","12124.015625","12124.015625","12124.015625","7335.5205078125","7335.5205078125","7335.5205078125","11977.1494140625","11977.1494140625","11977.1494140625","7109.39697265625","7109.39697265625","7109.39697265625"
"5999","12127.830078125","12127.830078125","12127.830078125","7449.69677734375","7449.69677734375","7449.69677734375","12124.216796875","12124.216796875","12124.216796875","7380.0439453125","7380.0439453125","7380.0439453125","11987.46484375","11987.46484375","11987.46484375","7027.7197265625","7027.7197265625","7027.7197265625"
"6599","12131.94921875","12131.94921875","12131.94921875","7427.80322265625","7427.80322265625","7427.80322265625","12121.8076171875","12121.8076171875","12121.8076171875","7238.67333984375","7238.67333984375","7238.67333984375","11969.1376953125","11969.1376953125","11969.1376953125","6889.98291015625","6889.98291015625","6889.98291015625"
"7199","12124.8935546875","12124.8935546875","12124.8935546875","7434.19287109375","7434.19287109375","7434.19287109375","12082.7099609375","12082.7099609375","12082.7099609375","7274.1015625","7274.1015625","7274.1015625","11929.04296875","11929.04296875","11929.04296875","6940.10498046875","6940.10498046875","6940.10498046875"
"7799","12133.4013671875","12133.4013671875","12133.4013671875","7385.63134765625","7385.63134765625","7385.63134765625","12074.884765625","12074.884765625","12074.884765625","7293.4580078125","7293.4580078125","7293.4580078125","11930.330078125","11930.330078125","11930.330078125","6963.703125","6963.703125","6963.703125"
"8399","12127.2568359375","12127.2568359375","12127.2568359375","7388.3095703125","7388.3095703125","7388.3095703125","12066.494140625","12066.494140625","12066.494140625","7339.85302734375","7339.85302734375","7339.85302734375","11942.1005859375","11942.1005859375","11942.1005859375","6975.07373046875","6975.07373046875","6975.07373046875"
"8999","12135.1533203125","12135.1533203125","12135.1533203125","7374.05859375","7374.05859375","7374.05859375","12071.4072265625","12071.4072265625","12071.4072265625","7211.1376953125","7211.1376953125","7211.1376953125","11957.1904296875","11957.1904296875","11957.1904296875","6909.1689453125","6909.1689453125","6909.1689453125"
"9599","12127.8701171875","12127.8701171875","12127.8701171875","7343.60400390625","7343.60400390625","7343.60400390625","12044.1171875","12044.1171875","12044.1171875","7242.98779296875","7242.98779296875","7242.98779296875","11871.3427734375","11871.3427734375","11871.3427734375","6861.16162109375","6861.16162109375","6861.16162109375"
"10199","12119.669921875","12119.669921875","12119.669921875","7315.82666015625","7315.82666015625","7315.82666015625","11996.275390625","11996.275390625","11996.275390625","7261.28466796875","7261.28466796875","7261.28466796875","11910.505859375","11910.505859375","11910.505859375","6928.53466796875","6928.53466796875","6928.53466796875"
"10799","12129.666015625","12129.666015625","12129.666015625","7313.0986328125","7313.0986328125","7313.0986328125","11951.3837890625","11951.3837890625","11951.3837890625","7304.01123046875","7304.01123046875","7304.01123046875","11878.96484375","11878.96484375","11878.96484375","6811.81396484375","6811.81396484375","6811.81396484375"
"11399","12125.4873046875","12125.4873046875","12125.4873046875","7304.6025390625","7304.6025390625","7304.6025390625","11936.935546875","11936.935546875","11936.935546875","7336.0087890625","7336.0087890625","7336.0087890625","11902.9892578125","11902.9892578125","11902.9892578125","6862.85546875","6862.85546875","6862.85546875"
"11999","12118.8857421875","12118.8857421875","12118.8857421875","7271.72412109375","7271.72412109375","7271.72412109375","11961.5869140625","11961.5869140625","11961.5869140625","7282.14306640625","7282.14306640625","7282.14306640625","11925.4912109375","11925.4912109375","11925.4912109375","6849.39794921875","6849.39794921875","6849.39794921875"
"12599","12123.9443359375","12123.9443359375","12123.9443359375","7273.796875","7273.796875","7273.796875","11914.3017578125","11914.3017578125","11914.3017578125","7192.40966796875","7192.40966796875","7192.40966796875","11901.31640625","11901.31640625","11901.31640625","6795.23583984375","6795.23583984375","6795.23583984375"
