"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"329","132.47898864746094","132.47898864746094","132.47898864746094","84.52901458740234","84.52901458740234","84.52901458740234","61.13359069824219","61.13359069824219","61.13359069824219","128.5987548828125","128.5987548828125","128.5987548828125","77.23869323730469","77.23869323730469","77.23869323730469","58.80175018310547","58.80175018310547","58.80175018310547"
"359","121.89227294921875","121.89227294921875","121.89227294921875","76.03865814208984","76.03865814208984","76.03865814208984","51.12242889404297","51.12242889404297","51.12242889404297","117.80763244628906","117.80763244628906","117.80763244628906","70.18011474609375","70.18011474609375","70.18011474609375","49.48603820800781","49.48603820800781","49.48603820800781"
"389","121.12686920166016","121.12686920166016","121.12686920166016","67.88982391357422","67.88982391357422","67.88982391357422","61.605438232421875","61.605438232421875","61.605438232421875","118.9377212524414","118.9377212524414","118.9377212524414","62.49369812011719","62.49369812011719","62.49369812011719","59.587059020996094","59.587059020996094","59.587059020996094"
"419","105.82324981689453","105.82324981689453","105.82324981689453","58.62533950805664","58.62533950805664","58.62533950805664","45.95343780517578","45.95343780517578","45.95343780517578","102.62728118896484","102.62728118896484","102.62728118896484","53.65502166748047","53.65502166748047","53.65502166748047","44.22037887573242","44.22037887573242","44.22037887573242"
"449","135.44851684570312","135.44851684570312","135.44851684570312","52.0794563293457","52.0794563293457","52.0794563293457","43.04347229003906","43.04347229003906","43.04347229003906","127.92533874511719","127.92533874511719","127.92533874511719","47.93883514404297","47.93883514404297","47.93883514404297","41.60102844238281","41.60102844238281","41.60102844238281"
"479","114.40392303466797","114.40392303466797","114.40392303466797","49.239994049072266","49.239994049072266","49.239994049072266","42.51491165161133","42.51491165161133","42.51491165161133","111.21485900878906","111.21485900878906","111.21485900878906","45.27689743041992","45.27689743041992","45.27689743041992","41.38161849975586","41.38161849975586","41.38161849975586"
"509","107.57151794433594","107.57151794433594","107.57151794433594","54.68989181518555","54.68989181518555","54.68989181518555","44.08580780029297","44.08580780029297","44.08580780029297","102.66741943359375","102.66741943359375","102.66741943359375","49.16044998168945","49.16044998168945","49.16044998168945","42.834754943847656","42.834754943847656","42.834754943847656"
"539","89.97929382324219","89.97929382324219","89.97929382324219","43.97057342529297","43.97057342529297","43.97057342529297","28.761396408081055","28.761396408081055","28.761396408081055","83.43343353271484","83.43343353271484","83.43343353271484","41.312957763671875","41.312957763671875","41.312957763671875","27.896268844604492","27.896268844604492","27.896268844604492"
"569","98.06819915771484","98.06819915771484","98.06819915771484","36.512447357177734","36.512447357177734","36.512447357177734","31.733564376831055","31.733564376831055","31.733564376831055","94.15061950683594","94.15061950683594","94.15061950683594","32.99895477294922","32.99895477294922","32.99895477294922","30.83853530883789","30.83853530883789","30.83853530883789"
"599","78.36434173583984","78.36434173583984","78.36434173583984","38.19694137573242","38.19694137573242","38.19694137573242","27.713075637817383","27.713075637817383","27.713075637817383","74.0971450805664","74.0971450805664","74.0971450805664","34.586639404296875","34.586639404296875","34.586639404296875","27.262845993041992","27.262845993041992","27.262845993041992"
"629","63.04044723510742","63.04044723510742","63.04044723510742","46.04924774169922","46.04924774169922","46.04924774169922","28.891618728637695","28.891618728637695","28.891618728637695","59.316795349121094","59.316795349121094","59.316795349121094","42.544151306152344","42.544151306152344","42.544151306152344","28.014339447021484","28.014339447021484","28.014339447021484"
"659","54.09557342529297","54.09557342529297","54.09557342529297","52.825008392333984","52.825008392333984","52.825008392333984","24.022933959960938","24.022933959960938","24.022933959960938","50.03631591796875","50.03631591796875","50.03631591796875","46.91533660888672","46.91533660888672","46.91533660888672","23.31037139892578","23.31037139892578","23.31037139892578"
"689","49.85132598876953","49.85132598876953","49.85132598876953","36.55366134643555","36.55366134643555","36.55366134643555","22.221193313598633","22.221193313598633","22.221193313598633","45.63021469116211","45.63021469116211","45.63021469116211","31.886093139648438","31.886093139648438","31.886093139648438","21.616127014160156","21.616127014160156","21.616127014160156"
"719","58.4257698059082","58.4257698059082","58.4257698059082","32.28791809082031","32.28791809082031","32.28791809082031","20.595565795898438","20.595565795898438","20.595565795898438","55.01231384277344","55.01231384277344","55.01231384277344","28.667465209960938","28.667465209960938","28.667465209960938","19.751962661743164","19.751962661743164","19.751962661743164"
"749","61.553890228271484","61.553890228271484","61.553890228271484","28.000585556030273","28.000585556030273","28.000585556030273","24.88473892211914","24.88473892211914","24.88473892211914","59.2225456237793","59.2225456237793","59.2225456237793","25.42156219482422","25.42156219482422","25.42156219482422","24.4168701171875","24.4168701171875","24.4168701171875"
"779","57.88642120361328","57.88642120361328","57.88642120361328","37.99956512451172","37.99956512451172","37.99956512451172","25.426132202148438","25.426132202148438","25.426132202148438","53.62140655517578","53.62140655517578","53.62140655517578","32.385250091552734","32.385250091552734","32.385250091552734","24.675207138061523","24.675207138061523","24.675207138061523"
"809","56.880409240722656","56.880409240722656","56.880409240722656","29.47842788696289","29.47842788696289","29.47842788696289","19.1564998626709","19.1564998626709","19.1564998626709","52.67687225341797","52.67687225341797","52.67687225341797","25.935836791992188","25.935836791992188","25.935836791992188","18.183876037597656","18.183876037597656","18.183876037597656"
"839","58.55622482299805","58.55622482299805","58.55622482299805","27.25779151916504","27.25779151916504","27.25779151916504","20.856428146362305","20.856428146362305","20.856428146362305","55.98249816894531","55.98249816894531","55.98249816894531","23.56732940673828","23.56732940673828","23.56732940673828","20.26231575012207","20.26231575012207","20.26231575012207"
"869","51.28014373779297","51.28014373779297","51.28014373779297","27.18551254272461","27.18551254272461","27.18551254272461","21.01628875732422","21.01628875732422","21.01628875732422","46.19038772583008","46.19038772583008","46.19038772583008","23.294025421142578","23.294025421142578","23.294025421142578","20.448869705200195","20.448869705200195","20.448869705200195"
"899","47.10631561279297","47.10631561279297","47.10631561279297","20.83511734008789","20.83511734008789","20.83511734008789","16.30950927734375","16.30950927734375","16.30950927734375","44.133750915527344","44.133750915527344","44.133750915527344","19.250102996826172","19.250102996826172","19.250102996826172","16.004812240600586","16.004812240600586","16.004812240600586"
"929","46.34661102294922","46.34661102294922","46.34661102294922","22.441007614135742","22.441007614135742","22.441007614135742","20.133249282836914","20.133249282836914","20.133249282836914","43.05342102050781","43.05342102050781","43.05342102050781","19.23788070678711","19.23788070678711","19.23788070678711","19.690534591674805","19.690534591674805","19.690534591674805"
"959","45.00362014770508","45.00362014770508","45.00362014770508","18.964479446411133","18.964479446411133","18.964479446411133","14.236785888671875","14.236785888671875","14.236785888671875","42.499839782714844","42.499839782714844","42.499839782714844","15.866389274597168","15.866389274597168","15.866389274597168","13.549755096435547","13.549755096435547","13.549755096435547"
"989","31.35660171508789","31.35660171508789","31.35660171508789","22.904382705688477","22.904382705688477","22.904382705688477","17.078353881835938","17.078353881835938","17.078353881835938","29.29134750366211","29.29134750366211","29.29134750366211","21.03194236755371","21.03194236755371","21.03194236755371","16.504743576049805","16.504743576049805","16.504743576049805"
"1019","26.210458755493164","26.210458755493164","26.210458755493164","20.911664962768555","20.911664962768555","20.911664962768555","17.363971710205078","17.363971710205078","17.363971710205078","25.34197235107422","25.34197235107422","25.34197235107422","17.608057022094727","17.608057022094727","17.608057022094727","16.812456130981445","16.812456130981445","16.812456130981445"
"1049","28.710683822631836","28.710683822631836","28.710683822631836","22.980215072631836","22.980215072631836","22.980215072631836","16.329851150512695","16.329851150512695","16.329851150512695","28.350126266479492","28.350126266479492","28.350126266479492","19.742076873779297","19.742076873779297","19.742076873779297","16.11061668395996","16.11061668395996","16.11061668395996"
"1079","28.275419235229492","28.275419235229492","28.275419235229492","19.149389266967773","19.149389266967773","19.149389266967773","16.462921142578125","16.462921142578125","16.462921142578125","26.582698822021484","26.582698822021484","26.582698822021484","16.927043914794922","16.927043914794922","16.927043914794922","16.262195587158203","16.262195587158203","16.262195587158203"
"1109","25.057783126831055","25.057783126831055","25.057783126831055","21.117340087890625","21.117340087890625","21.117340087890625","13.358603477478027","13.358603477478027","13.358603477478027","24.742334365844727","24.742334365844727","24.742334365844727","18.05470848083496","18.05470848083496","18.05470848083496","12.640896797180176","12.640896797180176","12.640896797180176"
"1139","23.34990692138672","23.34990692138672","23.34990692138672","16.8223876953125","16.8223876953125","16.8223876953125","14.270383834838867","14.270383834838867","14.270383834838867","22.32181167602539","22.32181167602539","22.32181167602539","14.784624099731445","14.784624099731445","14.784624099731445","14.130044937133789","14.130044937133789","14.130044937133789"
"1169","34.647544860839844","34.647544860839844","34.647544860839844","17.459381103515625","17.459381103515625","17.459381103515625","13.217577934265137","13.217577934265137","13.217577934265137","34.2662467956543","34.2662467956543","34.2662467956543","14.867411613464355","14.867411613464355","14.867411613464355","12.739058494567871","12.739058494567871","12.739058494567871"
"1199","29.54798698425293","29.54798698425293","29.54798698425293","15.531999588012695","15.531999588012695","15.531999588012695","13.030402183532715","13.030402183532715","13.030402183532715","28.26220703125","28.26220703125","28.26220703125","13.159818649291992","13.159818649291992","13.159818649291992","12.870851516723633","12.870851516723633","12.870851516723633"
"1229","18.72545623779297","18.72545623779297","18.72545623779297","16.942928314208984","16.942928314208984","16.942928314208984","13.963855743408203","13.963855743408203","13.963855743408203","18.361454010009766","18.361454010009766","18.361454010009766","14.050456047058105","14.050456047058105","14.050456047058105","13.62747573852539","13.62747573852539","13.62747573852539"
"1259","26.13727569580078","26.13727569580078","26.13727569580078","18.446001052856445","18.446001052856445","18.446001052856445","12.63955020904541","12.63955020904541","12.63955020904541","25.0909366607666","25.0909366607666","25.0909366607666","15.642562866210938","15.642562866210938","15.642562866210938","12.13315486907959","12.13315486907959","12.13315486907959"
"1289","20.302480697631836","20.302480697631836","20.302480697631836","12.209856033325195","12.209856033325195","12.209856033325195","9.661663055419922","9.661663055419922","9.661663055419922","20.81021499633789","20.81021499633789","20.81021499633789","11.549383163452148","11.549383163452148","11.549383163452148","9.536774635314941","9.536774635314941","9.536774635314941"
"1319","20.752206802368164","20.752206802368164","20.752206802368164","11.12738037109375","11.12738037109375","11.12738037109375","8.407343864440918","8.407343864440918","8.407343864440918","19.59297752380371","19.59297752380371","19.59297752380371","9.730850219726562","9.730850219726562","9.730850219726562","8.344025611877441","8.344025611877441","8.344025611877441"
"1349","19.521276473999023","19.521276473999023","19.521276473999023","10.555352210998535","10.555352210998535","10.555352210998535","10.26806354522705","10.26806354522705","10.26806354522705","18.970849990844727","18.970849990844727","18.970849990844727","9.204940795898438","9.204940795898438","9.204940795898438","10.06344223022461","10.06344223022461","10.06344223022461"
"1379","14.629447937011719","14.629447937011719","14.629447937011719","12.825858116149902","12.825858116149902","12.825858116149902","9.3151273727417","9.3151273727417","9.3151273727417","14.317399978637695","14.317399978637695","14.317399978637695","10.368583679199219","10.368583679199219","10.368583679199219","9.096166610717773","9.096166610717773","9.096166610717773"
"1409","18.316862106323242","18.316862106323242","18.316862106323242","8.766712188720703","8.766712188720703","8.766712188720703","8.068522453308105","8.068522453308105","8.068522453308105","19.207571029663086","19.207571029663086","19.207571029663086","7.919791221618652","7.919791221618652","7.919791221618652","8.02683162689209","8.02683162689209","8.02683162689209"
"1439","28.253984451293945","28.253984451293945","28.253984451293945","8.972285270690918","8.972285270690918","8.972285270690918","7.462207317352295","7.462207317352295","7.462207317352295","20.228271484375","20.228271484375","20.228271484375","8.343414306640625","8.343414306640625","8.343414306640625","7.267859935760498","7.267859935760498","7.267859935760498"
"1469","20.180952072143555","20.180952072143555","20.180952072143555","9.739424705505371","9.739424705505371","9.739424705505371","9.245779037475586","9.245779037475586","9.245779037475586","19.789560317993164","19.789560317993164","19.789560317993164","8.258337020874023","8.258337020874023","8.258337020874023","8.52796459197998","8.52796459197998","8.52796459197998"
"1499","17.404277801513672","17.404277801513672","17.404277801513672","9.907193183898926","9.907193183898926","9.907193183898926","7.556789398193359","7.556789398193359","7.556789398193359","18.0386962890625","18.0386962890625","18.0386962890625","9.0051908493042","9.0051908493042","9.0051908493042","7.4568328857421875","7.4568328857421875","7.4568328857421875"
"1529","11.832592964172363","11.832592964172363","11.832592964172363","6.854466438293457","6.854466438293457","6.854466438293457","6.736212730407715","6.736212730407715","6.736212730407715","11.777116775512695","11.777116775512695","11.777116775512695","6.114763259887695","6.114763259887695","6.114763259887695","6.622285842895508","6.622285842895508","6.622285842895508"
"1559","11.12646484375","11.12646484375","11.12646484375","7.884611129760742","7.884611129760742","7.884611129760742","6.711973667144775","6.711973667144775","6.711973667144775","11.357295036315918","11.357295036315918","11.357295036315918","7.554772853851318","7.554772853851318","7.554772853851318","6.61322021484375","6.61322021484375","6.61322021484375"
"1589","12.75973892211914","12.75973892211914","12.75973892211914","8.558265686035156","8.558265686035156","8.558265686035156","7.102092266082764","7.102092266082764","7.102092266082764","13.167484283447266","13.167484283447266","13.167484283447266","7.553553104400635","7.553553104400635","7.553553104400635","6.866477012634277","6.866477012634277","6.866477012634277"
"1619","11.629570960998535","11.629570960998535","11.629570960998535","8.511877059936523","8.511877059936523","8.511877059936523","6.504307270050049","6.504307270050049","6.504307270050049","11.42701244354248","11.42701244354248","11.42701244354248","7.269104957580566","7.269104957580566","7.269104957580566","6.37682580947876","6.37682580947876","6.37682580947876"
"1649","8.312554359436035","8.312554359436035","8.312554359436035","7.49155855178833","7.49155855178833","7.49155855178833","6.955618858337402","6.955618858337402","6.955618858337402","8.312808990478516","8.312808990478516","8.312808990478516","6.690370559692383","6.690370559692383","6.690370559692383","6.805947780609131","6.805947780609131","6.805947780609131"
"1679","8.801259994506836","8.801259994506836","8.801259994506836","12.1064453125","12.1064453125","12.1064453125","5.70596170425415","5.70596170425415","5.70596170425415","8.958518028259277","8.958518028259277","8.958518028259277","10.192339897155762","10.192339897155762","10.192339897155762","5.554968357086182","5.554968357086182","5.554968357086182"
"1709","9.401166915893555","9.401166915893555","9.401166915893555","8.07620620727539","8.07620620727539","8.07620620727539","5.263233661651611","5.263233661651611","5.263233661651611","10.083163261413574","10.083163261413574","10.083163261413574","6.79803466796875","6.79803466796875","6.79803466796875","5.047154426574707","5.047154426574707","5.047154426574707"
"1739","6.706800937652588","6.706800937652588","6.706800937652588","6.709559917449951","6.709559917449951","6.709559917449951","5.705056667327881","5.705056667327881","5.705056667327881","6.794533729553223","6.794533729553223","6.794533729553223","6.265324592590332","6.265324592590332","6.265324592590332","5.6023783683776855","5.6023783683776855","5.6023783683776855"
"1769","7.970215320587158","7.970215320587158","7.970215320587158","5.823339939117432","5.823339939117432","5.823339939117432","5.953514099121094","5.953514099121094","5.953514099121094","8.39979362487793","8.39979362487793","8.39979362487793","5.108949661254883","5.108949661254883","5.108949661254883","5.951335906982422","5.951335906982422","5.951335906982422"
"1799","6.265871524810791","6.265871524810791","6.265871524810791","4.554433345794678","4.554433345794678","4.554433345794678","3.9472157955169678","3.9472157955169678","3.9472157955169678","6.685791015625","6.685791015625","6.685791015625","4.357028484344482","4.357028484344482","4.357028484344482","3.8169634342193604","3.8169634342193604","3.8169634342193604"
"1829","10.953539848327637","10.953539848327637","10.953539848327637","6.083391189575195","6.083391189575195","6.083391189575195","7.8914923667907715","7.8914923667907715","7.8914923667907715","11.907309532165527","11.907309532165527","11.907309532165527","6.609297752380371","6.609297752380371","6.609297752380371","7.639393329620361","7.639393329620361","7.639393329620361"
"1859","9.260159492492676","9.260159492492676","9.260159492492676","6.681879043579102","6.681879043579102","6.681879043579102","5.13983678817749","5.13983678817749","5.13983678817749","9.875763893127441","9.875763893127441","9.875763893127441","5.692614555358887","5.692614555358887","5.692614555358887","4.912563323974609","4.912563323974609","4.912563323974609"
"1889","6.090674877166748","6.090674877166748","6.090674877166748","6.669916152954102","6.669916152954102","6.669916152954102","5.160538196563721","5.160538196563721","5.160538196563721","6.757595062255859","6.757595062255859","6.757595062255859","6.640002727508545","6.640002727508545","6.640002727508545","5.108081340789795","5.108081340789795","5.108081340789795"
"1919","9.346345901489258","9.346345901489258","9.346345901489258","5.645028114318848","5.645028114318848","5.645028114318848","5.689874172210693","5.689874172210693","5.689874172210693","9.773419380187988","9.773419380187988","9.773419380187988","5.399816989898682","5.399816989898682","5.399816989898682","5.923842430114746","5.923842430114746","5.923842430114746"
"1949","8.997344970703125","8.997344970703125","8.997344970703125","9.0419282913208","9.0419282913208","9.0419282913208","5.908842086791992","5.908842086791992","5.908842086791992","10.71691608428955","10.71691608428955","10.71691608428955","6.276280879974365","6.276280879974365","6.276280879974365","6.044554233551025","6.044554233551025","6.044554233551025"
"1979","6.753200531005859","6.753200531005859","6.753200531005859","3.7824292182922363","3.7824292182922363","3.7824292182922363","3.4914019107818604","3.4914019107818604","3.4914019107818604","7.643970966339111","7.643970966339111","7.643970966339111","4.276140213012695","4.276140213012695","4.276140213012695","3.4986588954925537","3.4986588954925537","3.4986588954925537"
"2009","5.956948757171631","5.956948757171631","5.956948757171631","3.15533185005188","3.15533185005188","3.15533185005188","3.699357271194458","3.699357271194458","3.699357271194458","6.339360237121582","6.339360237121582","6.339360237121582","3.6064043045043945","3.6064043045043945","3.6064043045043945","3.7112345695495605","3.7112345695495605","3.7112345695495605"
"2039","8.426179885864258","8.426179885864258","8.426179885864258","6.2620744705200195","6.2620744705200195","6.2620744705200195","3.9642932415008545","3.9642932415008545","3.9642932415008545","10.967541694641113","10.967541694641113","10.967541694641113","5.757844924926758","5.757844924926758","5.757844924926758","4.0812554359436035","4.0812554359436035","4.0812554359436035"
"2069","6.4938554763793945","6.4938554763793945","6.4938554763793945","6.57563591003418","6.57563591003418","6.57563591003418","3.9710705280303955","3.9710705280303955","3.9710705280303955","8.382288932800293","8.382288932800293","8.382288932800293","5.39994478225708","5.39994478225708","5.39994478225708","3.8520660400390625","3.8520660400390625","3.8520660400390625"
"2099","7.039699554443359","7.039699554443359","7.039699554443359","3.5902628898620605","3.5902628898620605","3.5902628898620605","4.310158729553223","4.310158729553223","4.310158729553223","7.950575828552246","7.950575828552246","7.950575828552246","3.8223490715026855","3.8223490715026855","3.8223490715026855","4.363838195800781","4.363838195800781","4.363838195800781"
"2129","4.799555778503418","4.799555778503418","4.799555778503418","4.364950656890869","4.364950656890869","4.364950656890869","4.082259654998779","4.082259654998779","4.082259654998779","5.7611284255981445","5.7611284255981445","5.7611284255981445","4.357770919799805","4.357770919799805","4.357770919799805","3.956804037094116","3.956804037094116","3.956804037094116"
"2159","4.163959980010986","4.163959980010986","4.163959980010986","5.0396623611450195","5.0396623611450195","5.0396623611450195","3.7811098098754883","3.7811098098754883","3.7811098098754883","4.65504789352417","4.65504789352417","4.65504789352417","5.637392520904541","5.637392520904541","5.637392520904541","3.667924642562866","3.667924642562866","3.667924642562866"
"2189","4.808406352996826","4.808406352996826","4.808406352996826","3.947205066680908","3.947205066680908","3.947205066680908","3.711223602294922","3.711223602294922","3.711223602294922","5.81653356552124","5.81653356552124","5.81653356552124","3.9419848918914795","3.9419848918914795","3.9419848918914795","3.6216752529144287","3.6216752529144287","3.6216752529144287"
"2219","5.604001998901367","5.604001998901367","5.604001998901367","4.427253723144531","4.427253723144531","4.427253723144531","3.076322317123413","3.076322317123413","3.076322317123413","6.946053504943848","6.946053504943848","6.946053504943848","4.702109336853027","4.702109336853027","4.702109336853027","2.9779555797576904","2.9779555797576904","2.9779555797576904"
"2249","4.138318061828613","4.138318061828613","4.138318061828613","3.035834789276123","3.035834789276123","3.035834789276123","3.005230665206909","3.005230665206909","3.005230665206909","5.219478130340576","5.219478130340576","5.219478130340576","3.7035396099090576","3.7035396099090576","3.7035396099090576","3.1169722080230713","3.1169722080230713","3.1169722080230713"
"2279","6.199856281280518","6.199856281280518","6.199856281280518","3.669158935546875","3.669158935546875","3.669158935546875","2.7040815353393555","2.7040815353393555","2.7040815353393555","6.925629138946533","6.925629138946533","6.925629138946533","3.6168458461761475","3.6168458461761475","3.6168458461761475","2.7556395530700684","2.7556395530700684","2.7556395530700684"
"2309","4.698314189910889","4.698314189910889","4.698314189910889","3.4601898193359375","3.4601898193359375","3.4601898193359375","2.86458683013916","2.86458683013916","2.86458683013916","5.855283260345459","5.855283260345459","5.855283260345459","3.8778154850006104","3.8778154850006104","3.8778154850006104","2.844463348388672","2.844463348388672","2.844463348388672"
"2339","3.3872363567352295","3.3872363567352295","3.3872363567352295","2.1408703327178955","2.1408703327178955","2.1408703327178955","3.028491258621216","3.028491258621216","3.028491258621216","4.461632251739502","4.461632251739502","4.461632251739502","2.768399238586426","2.768399238586426","2.768399238586426","3.111699342727661","3.111699342727661","3.111699342727661"
"2369","5.753891468048096","5.753891468048096","5.753891468048096","3.044194221496582","3.044194221496582","3.044194221496582","3.258634567260742","3.258634567260742","3.258634567260742","7.3020339012146","7.3020339012146","7.3020339012146","3.958843231201172","3.958843231201172","3.958843231201172","3.572474241256714","3.572474241256714","3.572474241256714"
"2399","3.6607494354248047","3.6607494354248047","3.6607494354248047","3.8094048500061035","3.8094048500061035","3.8094048500061035","2.8515594005584717","2.8515594005584717","2.8515594005584717","5.063295841217041","5.063295841217041","5.063295841217041","4.000431537628174","4.000431537628174","4.000431537628174","2.9980809688568115","2.9980809688568115","2.9980809688568115"
"2429","2.8768160343170166","2.8768160343170166","2.8768160343170166","5.943392753601074","5.943392753601074","5.943392753601074","2.985109806060791","2.985109806060791","2.985109806060791","3.612060546875","3.612060546875","3.612060546875","5.216740608215332","5.216740608215332","5.216740608215332","2.926164388656616","2.926164388656616","2.926164388656616"
