"Step","layer0_mlp_gpt2_jumprelu - losses/l0_loss","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/l0_loss","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/l0_loss","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/l0_loss","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/l0_loss","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/l0_loss","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MAX"
"689","59387.6484375","59387.6484375","59387.6484375","35621.34765625","35621.34765625","35621.34765625","60328.59765625","60328.59765625","60328.59765625","37486.19921875","37486.19921875","37486.19921875","58901.59765625","58901.59765625","58901.59765625","37185.80078125","37185.80078125","37185.80078125"
"719","59931","59931","59931","35944.69921875","35944.69921875","35944.69921875","60558.296875","60558.296875","60558.296875","37320.25","37320.25","37320.25","59217","59217","59217","36994.09765625","36994.09765625","36994.09765625"
"749","59877.84765625","59877.84765625","59877.84765625","35230.5","35230.5","35230.5","60316.25","60316.25","60316.25","37383.30078125","37383.30078125","37383.30078125","59244.09765625","59244.09765625","59244.09765625","37067.8984375","37067.8984375","37067.8984375"
"779","59308.25","59308.25","59308.25","35104.44921875","35104.44921875","35104.44921875","59722.8984375","59722.8984375","59722.8984375","36258.69921875","36258.69921875","36258.69921875","58686.5","58686.5","58686.5","37458.30078125","37458.30078125","37458.30078125"
"809","59985.25","59985.25","59985.25","35475.80078125","35475.80078125","35475.80078125","60652.34765625","60652.34765625","60652.34765625","37938.05078125","37938.05078125","37938.05078125","58905.34765625","58905.34765625","58905.34765625","37062.69921875","37062.69921875","37062.69921875"
"839","59438.8984375","59438.8984375","59438.8984375","35335.84765625","35335.84765625","35335.84765625","60374.5","60374.5","60374.5","36647.69921875","36647.69921875","36647.69921875","59438.44921875","59438.44921875","59438.44921875","36628.8984375","36628.8984375","36628.8984375"
"869","59591.546875","59591.546875","59591.546875","35371.19921875","35371.19921875","35371.19921875","60275.296875","60275.296875","60275.296875","36502.44921875","36502.44921875","36502.44921875","58752.94921875","58752.94921875","58752.94921875","36651.19921875","36651.19921875","36651.19921875"
"899","58967.34765625","58967.34765625","58967.34765625","35703.30078125","35703.30078125","35703.30078125","60108.84765625","60108.84765625","60108.84765625","37118.19921875","37118.19921875","37118.19921875","59255.296875","59255.296875","59255.296875","36929.55078125","36929.55078125","36929.55078125"
"929","60086.09765625","60086.09765625","60086.09765625","35673.84765625","35673.84765625","35673.84765625","60769.75","60769.75","60769.75","37903.80078125","37903.80078125","37903.80078125","59327.69921875","59327.69921875","59327.69921875","36537.80078125","36537.80078125","36537.80078125"
"959","60028.34765625","60028.34765625","60028.34765625","34905.55078125","34905.55078125","34905.55078125","60439.69921875","60439.69921875","60439.69921875","37479","37479","37479","59350","59350","59350","36510.59765625","36510.59765625","36510.59765625"
