"Step","layer0_mlp_gpt2_jumprelu - losses/l0_loss","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/l0_loss","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/l0_loss","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/l0_loss","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/l0_loss","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/l0_loss","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MAX"
"5069","60844.19921875","60844.19921875","60844.19921875","33463.5","33463.5","33463.5","61102.3984375","61102.3984375","61102.3984375","37893.1484375","37893.1484375","37893.1484375","60909.6484375","60909.6484375","60909.6484375","35196.6484375","35196.6484375","35196.6484375"
"5099","60706.19921875","60706.19921875","60706.19921875","33742.09765625","33742.09765625","33742.09765625","61051.1484375","61051.1484375","61051.1484375","37621.19921875","37621.19921875","37621.19921875","60746.59765625","60746.59765625","60746.59765625","34734.75","34734.75","34734.75"
"5129","60978.1484375","60978.1484375","60978.1484375","33659.55078125","33659.55078125","33659.55078125","61199.6484375","61199.6484375","61199.6484375","37982","37982","37982","61176.5","61176.5","61176.5","34988.44921875","34988.44921875","34988.44921875"
"5159","60728.1484375","60728.1484375","60728.1484375","33632.3984375","33632.3984375","33632.3984375","61137.25","61137.25","61137.25","37657.44921875","37657.44921875","37657.44921875","61007.546875","61007.546875","61007.546875","34668.25","34668.25","34668.25"
"5189","60776.3984375","60776.3984375","60776.3984375","33351.30078125","33351.30078125","33351.30078125","61028.8984375","61028.8984375","61028.8984375","37575.30078125","37575.30078125","37575.30078125","60844.796875","60844.796875","60844.796875","35072.09765625","35072.09765625","35072.09765625"
"5219","60870.75","60870.75","60870.75","33661.8984375","33661.8984375","33661.8984375","61090.09765625","61090.09765625","61090.09765625","37606.30078125","37606.30078125","37606.30078125","60773.75","60773.75","60773.75","34730.3984375","34730.3984375","34730.3984375"
"5249","60773","60773","60773","33523","33523","33523","61112.3984375","61112.3984375","61112.3984375","37655.30078125","37655.30078125","37655.30078125","60897.3984375","60897.3984375","60897.3984375","34771.6484375","34771.6484375","34771.6484375"
"5279","60885.3984375","60885.3984375","60885.3984375","33990.05078125","33990.05078125","33990.05078125","60855.296875","60855.296875","60855.296875","37413.55078125","37413.55078125","37413.55078125","60744.1484375","60744.1484375","60744.1484375","35266.6484375","35266.6484375","35266.6484375"
"5309","60851.546875","60851.546875","60851.546875","33921.6484375","33921.6484375","33921.6484375","61093.1484375","61093.1484375","61093.1484375","37478.55078125","37478.55078125","37478.55078125","60790.6484375","60790.6484375","60790.6484375","34668.6484375","34668.6484375","34668.6484375"
"5339","60575.94921875","60575.94921875","60575.94921875","33604.80078125","33604.80078125","33604.80078125","60962","60962","60962","37297.59765625","37297.59765625","37297.59765625","60874.5","60874.5","60874.5","34745.25","34745.25","34745.25"
"5369","60467.44921875","60467.44921875","60467.44921875","33618.34765625","33618.34765625","33618.34765625","61088.25","61088.25","61088.25","37550.44921875","37550.44921875","37550.44921875","60626.3984375","60626.3984375","60626.3984375","34899.5","34899.5","34899.5"
"5399","60905.8984375","60905.8984375","60905.8984375","33007.09765625","33007.09765625","33007.09765625","61105.84765625","61105.84765625","61105.84765625","37289.69921875","37289.69921875","37289.69921875","61031.69921875","61031.69921875","61031.69921875","34499.69921875","34499.69921875","34499.69921875"
"5429","60833.25","60833.25","60833.25","33927.80078125","33927.80078125","33927.80078125","61086.75","61086.75","61086.75","37717.09765625","37717.09765625","37717.09765625","60914.6484375","60914.6484375","60914.6484375","35143.75","35143.75","35143.75"
"5459","60826.6484375","60826.6484375","60826.6484375","33419.59765625","33419.59765625","33419.59765625","61029.546875","61029.546875","61029.546875","37265.84765625","37265.84765625","37265.84765625","60748.3984375","60748.3984375","60748.3984375","34970.3984375","34970.3984375","34970.3984375"
"5489","60578.3984375","60578.3984375","60578.3984375","33553.59765625","33553.59765625","33553.59765625","60921.94921875","60921.94921875","60921.94921875","37694.34765625","37694.34765625","37694.34765625","60505.59765625","60505.59765625","60505.59765625","34769.80078125","34769.80078125","34769.80078125"
"5519","60274.3984375","60274.3984375","60274.3984375","33440.94921875","33440.94921875","33440.94921875","60866.3984375","60866.3984375","60866.3984375","37243.34765625","37243.34765625","37243.34765625","60943.5","60943.5","60943.5","34826.6484375","34826.6484375","34826.6484375"
"5549","60898.046875","60898.046875","60898.046875","33435.34765625","33435.34765625","33435.34765625","61175","61175","61175","37712.3984375","37712.3984375","37712.3984375","61050.6484375","61050.6484375","61050.6484375","34938.25","34938.25","34938.25"
"5579","60987.1484375","60987.1484375","60987.1484375","33505.69921875","33505.69921875","33505.69921875","61057.6484375","61057.6484375","61057.6484375","37190.09765625","37190.09765625","37190.09765625","60908.046875","60908.046875","60908.046875","34799.3984375","34799.3984375","34799.3984375"
"5609","60804.94921875","60804.94921875","60804.94921875","33598.25","33598.25","33598.25","61131.796875","61131.796875","61131.796875","37799.55078125","37799.55078125","37799.55078125","60983.1484375","60983.1484375","60983.1484375","34748.5","34748.5","34748.5"
"5639","60802.046875","60802.046875","60802.046875","33425.30078125","33425.30078125","33425.30078125","61015.59765625","61015.59765625","61015.59765625","37463.44921875","37463.44921875","37463.44921875","60675.94921875","60675.94921875","60675.94921875","34514.5","34514.5","34514.5"
"5669","60821.84765625","60821.84765625","60821.84765625","33737.75","33737.75","33737.75","61076.5","61076.5","61076.5","37459.94921875","37459.94921875","37459.94921875","61103.6484375","61103.6484375","61103.6484375","35098.84765625","35098.84765625","35098.84765625"
"5699","60947.75","60947.75","60947.75","33355.59765625","33355.59765625","33355.59765625","61038.796875","61038.796875","61038.796875","37676.25","37676.25","37676.25","61054.5","61054.5","61054.5","34859.19921875","34859.19921875","34859.19921875"
"5729","60920.6484375","60920.6484375","60920.6484375","33340.3984375","33340.3984375","33340.3984375","61035.796875","61035.796875","61035.796875","37667.3984375","37667.3984375","37667.3984375","61109.1484375","61109.1484375","61109.1484375","34654.30078125","34654.30078125","34654.30078125"
"5759","60927.546875","60927.546875","60927.546875","33651.69921875","33651.69921875","33651.69921875","60960.44921875","60960.44921875","60960.44921875","37195.25","37195.25","37195.25","61173.046875","61173.046875","61173.046875","34974.6484375","34974.6484375","34974.6484375"
"5789","60989.84765625","60989.84765625","60989.84765625","33142","33142","33142","61150.69921875","61150.69921875","61150.69921875","37307.3984375","37307.3984375","37307.3984375","60964.75","60964.75","60964.75","34927.55078125","34927.55078125","34927.55078125"
"5819","60881.046875","60881.046875","60881.046875","33479.94921875","33479.94921875","33479.94921875","60707.69921875","60707.69921875","60707.69921875","37434.5","37434.5","37434.5","60637.6484375","60637.6484375","60637.6484375","34740","34740","34740"
"5849","60870.296875","60870.296875","60870.296875","33450.09765625","33450.09765625","33450.09765625","60987.69921875","60987.69921875","60987.69921875","37666.80078125","37666.80078125","37666.80078125","60987.09765625","60987.09765625","60987.09765625","34860.34765625","34860.34765625","34860.34765625"
"5879","60503.84765625","60503.84765625","60503.84765625","33618","33618","33618","60842.34765625","60842.34765625","60842.34765625","37382.84765625","37382.84765625","37382.84765625","60624.796875","60624.796875","60624.796875","34994.30078125","34994.30078125","34994.30078125"
"5909","60851.3984375","60851.3984375","60851.3984375","33513.80078125","33513.80078125","33513.80078125","60984.296875","60984.296875","60984.296875","37550.34765625","37550.34765625","37550.34765625","60939.5","60939.5","60939.5","34971.5","34971.5","34971.5"
"5939","60487.44921875","60487.44921875","60487.44921875","33504.19921875","33504.19921875","33504.19921875","60932.84765625","60932.84765625","60932.84765625","37223.94921875","37223.94921875","37223.94921875","60974.296875","60974.296875","60974.296875","34609.59765625","34609.59765625","34609.59765625"
"5969","60958.1484375","60958.1484375","60958.1484375","33847.05078125","33847.05078125","33847.05078125","61199.84765625","61199.84765625","61199.84765625","37615.30078125","37615.30078125","37615.30078125","61094.8984375","61094.8984375","61094.8984375","34865.5","34865.5","34865.5"
"5999","60874.546875","60874.546875","60874.546875","33455.05078125","33455.05078125","33455.05078125","61096.046875","61096.046875","61096.046875","37573.09765625","37573.09765625","37573.09765625","60842.25","60842.25","60842.25","35042.34765625","35042.34765625","35042.34765625"
"6029","60234.8984375","60234.8984375","60234.8984375","33638.19921875","33638.19921875","33638.19921875","60820","60820","60820","37555.80078125","37555.80078125","37555.80078125","60768.34765625","60768.34765625","60768.34765625","34561.25","34561.25","34561.25"
"6059","60912.25","60912.25","60912.25","33341.25","33341.25","33341.25","60933.546875","60933.546875","60933.546875","37476.09765625","37476.09765625","37476.09765625","60989.19921875","60989.19921875","60989.19921875","35081.55078125","35081.55078125","35081.55078125"
"6089","60882.69921875","60882.69921875","60882.69921875","33767.5","33767.5","33767.5","60859.59765625","60859.59765625","60859.59765625","37446.80078125","37446.80078125","37446.80078125","60920","60920","60920","35171.8984375","35171.8984375","35171.8984375"
"6119","60387.3984375","60387.3984375","60387.3984375","33236.1484375","33236.1484375","33236.1484375","60930.44921875","60930.44921875","60930.44921875","37644.05078125","37644.05078125","37644.05078125","60823.59765625","60823.59765625","60823.59765625","34792.5","34792.5","34792.5"
"6149","60908.796875","60908.796875","60908.796875","33885.19921875","33885.19921875","33885.19921875","60938.25","60938.25","60938.25","37539.75","37539.75","37539.75","60984.09765625","60984.09765625","60984.09765625","34931","34931","34931"
"6179","60702.19921875","60702.19921875","60702.19921875","33716.8984375","33716.8984375","33716.8984375","60815.8984375","60815.8984375","60815.8984375","37206.05078125","37206.05078125","37206.05078125","60738.09765625","60738.09765625","60738.09765625","34906.6484375","34906.6484375","34906.6484375"
"6209","60881.94921875","60881.94921875","60881.94921875","33687.3984375","33687.3984375","33687.3984375","60710","60710","60710","37513.25","37513.25","37513.25","60822.3984375","60822.3984375","60822.3984375","35101.84765625","35101.84765625","35101.84765625"
"6239","60760.1484375","60760.1484375","60760.1484375","33389.75","33389.75","33389.75","61164.3984375","61164.3984375","61164.3984375","37664.69921875","37664.69921875","37664.69921875","60953.09765625","60953.09765625","60953.09765625","34727.69921875","34727.69921875","34727.69921875"
"6269","60731.3984375","60731.3984375","60731.3984375","33727.80078125","33727.80078125","33727.80078125","60961.3984375","60961.3984375","60961.3984375","37353.19921875","37353.19921875","37353.19921875","60493","60493","60493","34909.05078125","34909.05078125","34909.05078125"
"6299","60834.046875","60834.046875","60834.046875","33574.69921875","33574.69921875","33574.69921875","61017.796875","61017.796875","61017.796875","37505.1484375","37505.1484375","37505.1484375","61173.296875","61173.296875","61173.296875","35018.80078125","35018.80078125","35018.80078125"
"6329","60849.6484375","60849.6484375","60849.6484375","33512.55078125","33512.55078125","33512.55078125","61058.25","61058.25","61058.25","37422.6484375","37422.6484375","37422.6484375","60920.44921875","60920.44921875","60920.44921875","34907.8984375","34907.8984375","34907.8984375"
"6359","60952.75","60952.75","60952.75","33328.75","33328.75","33328.75","61121.59765625","61121.59765625","61121.59765625","37347.59765625","37347.59765625","37347.59765625","60764.546875","60764.546875","60764.546875","34650.25","34650.25","34650.25"
"6389","60710.25","60710.25","60710.25","33409.34765625","33409.34765625","33409.34765625","60925.1484375","60925.1484375","60925.1484375","36934.75","36934.75","36934.75","61084.1484375","61084.1484375","61084.1484375","34949.55078125","34949.55078125","34949.55078125"
"6419","60833.1484375","60833.1484375","60833.1484375","33204.3984375","33204.3984375","33204.3984375","61083.296875","61083.296875","61083.296875","37153.34765625","37153.34765625","37153.34765625","60634.19921875","60634.19921875","60634.19921875","34700.25","34700.25","34700.25"
"6449","60985.046875","60985.046875","60985.046875","33287.75","33287.75","33287.75","60893","60893","60893","37117.55078125","37117.55078125","37117.55078125","60965.046875","60965.046875","60965.046875","34731.69921875","34731.69921875","34731.69921875"
"6479","60565.84765625","60565.84765625","60565.84765625","33405.94921875","33405.94921875","33405.94921875","61032.69921875","61032.69921875","61032.69921875","37304.3984375","37304.3984375","37304.3984375","60755.59765625","60755.59765625","60755.59765625","34958.80078125","34958.80078125","34958.80078125"
"6509","60922.94921875","60922.94921875","60922.94921875","33268.34765625","33268.34765625","33268.34765625","61149.8984375","61149.8984375","61149.8984375","37372.09765625","37372.09765625","37372.09765625","61196.19921875","61196.19921875","61196.19921875","34370.19921875","34370.19921875","34370.19921875"
"6539","60780.44921875","60780.44921875","60780.44921875","33517.55078125","33517.55078125","33517.55078125","61055.75","61055.75","61055.75","37286.44921875","37286.44921875","37286.44921875","61007.69921875","61007.69921875","61007.69921875","34642.80078125","34642.80078125","34642.80078125"
"6569","60653.75","60653.75","60653.75","33636.1484375","33636.1484375","33636.1484375","61105.19921875","61105.19921875","61105.19921875","37520.05078125","37520.05078125","37520.05078125","61036.1484375","61036.1484375","61036.1484375","34845.80078125","34845.80078125","34845.80078125"
"6599","60736.1484375","60736.1484375","60736.1484375","33749.30078125","33749.30078125","33749.30078125","60945.1484375","60945.1484375","60945.1484375","37167.8984375","37167.8984375","37167.8984375","60977.19921875","60977.19921875","60977.19921875","35161.1484375","35161.1484375","35161.1484375"
"6629","60812.09765625","60812.09765625","60812.09765625","33643","33643","33643","61030.69921875","61030.69921875","61030.69921875","37298.3984375","37298.3984375","37298.3984375","61112.84765625","61112.84765625","61112.84765625","34959.34765625","34959.34765625","34959.34765625"
"6659","60973","60973","60973","33572.6484375","33572.6484375","33572.6484375","61094.34765625","61094.34765625","61094.34765625","37690.55078125","37690.55078125","37690.55078125","60807.046875","60807.046875","60807.046875","34851.05078125","34851.05078125","34851.05078125"
"6689","60855.09765625","60855.09765625","60855.09765625","33188.34765625","33188.34765625","33188.34765625","60992.8984375","60992.8984375","60992.8984375","37415.80078125","37415.80078125","37415.80078125","61052.25","61052.25","61052.25","34948.09765625","34948.09765625","34948.09765625"
"6719","60931.94921875","60931.94921875","60931.94921875","32877.3984375","32877.3984375","32877.3984375","61110.75","61110.75","61110.75","37418.84765625","37418.84765625","37418.84765625","61191.046875","61191.046875","61191.046875","34703.44921875","34703.44921875","34703.44921875"
"6749","60987.1484375","60987.1484375","60987.1484375","33194.25","33194.25","33194.25","61042.546875","61042.546875","61042.546875","37195.69921875","37195.69921875","37195.69921875","61069.5","61069.5","61069.5","35076.94921875","35076.94921875","35076.94921875"
"6779","60981.6484375","60981.6484375","60981.6484375","33376.09765625","33376.09765625","33376.09765625","61057.6484375","61057.6484375","61057.6484375","37562.94921875","37562.94921875","37562.94921875","61016.3984375","61016.3984375","61016.3984375","34893.8984375","34893.8984375","34893.8984375"
"6809","60944","60944","60944","33179.59765625","33179.59765625","33179.59765625","61136.296875","61136.296875","61136.296875","37414.19921875","37414.19921875","37414.19921875","61165.19921875","61165.19921875","61165.19921875","34845.3984375","34845.3984375","34845.3984375"
"6839","60827.19921875","60827.19921875","60827.19921875","33492.5","33492.5","33492.5","60957.6484375","60957.6484375","60957.6484375","37035.6484375","37035.6484375","37035.6484375","60977.19921875","60977.19921875","60977.19921875","35203.6484375","35203.6484375","35203.6484375"
"6869","60917.34765625","60917.34765625","60917.34765625","33250.80078125","33250.80078125","33250.80078125","61054.75","61054.75","61054.75","37247.8984375","37247.8984375","37247.8984375","60985.6484375","60985.6484375","60985.6484375","34324.09765625","34324.09765625","34324.09765625"
"6899","60955.75","60955.75","60955.75","33146.05078125","33146.05078125","33146.05078125","61057.046875","61057.046875","61057.046875","37424.6484375","37424.6484375","37424.6484375","60799.1484375","60799.1484375","60799.1484375","34797.75","34797.75","34797.75"
"6929","60695.94921875","60695.94921875","60695.94921875","32920.1484375","32920.1484375","32920.1484375","61116.19921875","61116.19921875","61116.19921875","37449.5","37449.5","37449.5","61042.5","61042.5","61042.5","34645.84765625","34645.84765625","34645.84765625"
"6959","60859.296875","60859.296875","60859.296875","33464.1484375","33464.1484375","33464.1484375","61028.84765625","61028.84765625","61028.84765625","37213.09765625","37213.09765625","37213.09765625","60681.046875","60681.046875","60681.046875","34682.44921875","34682.44921875","34682.44921875"
"6989","60886.5","60886.5","60886.5","33173.19921875","33173.19921875","33173.19921875","61016.1484375","61016.1484375","61016.1484375","37389.09765625","37389.09765625","37389.09765625","60999.25","60999.25","60999.25","34939.75","34939.75","34939.75"
"7019","60991.046875","60991.046875","60991.046875","33471.05078125","33471.05078125","33471.05078125","61156.75","61156.75","61156.75","37616.25","37616.25","37616.25","60995.69921875","60995.69921875","60995.69921875","34727.25","34727.25","34727.25"
"7049","60767","60767","60767","33712.05078125","33712.05078125","33712.05078125","61108","61108","61108","37438.80078125","37438.80078125","37438.80078125","60688.6484375","60688.6484375","60688.6484375","34807.55078125","34807.55078125","34807.55078125"
"7079","60830.8984375","60830.8984375","60830.8984375","33497.5","33497.5","33497.5","61135.94921875","61135.94921875","61135.94921875","37687.94921875","37687.94921875","37687.94921875","60986.046875","60986.046875","60986.046875","34969.3984375","34969.3984375","34969.3984375"
"7109","60741.19921875","60741.19921875","60741.19921875","32910","32910","32910","60850.75","60850.75","60850.75","37248.59765625","37248.59765625","37248.59765625","60858.84765625","60858.84765625","60858.84765625","34656.34765625","34656.34765625","34656.34765625"
"7139","60562.09765625","60562.09765625","60562.09765625","32848.25","32848.25","32848.25","60963.5","60963.5","60963.5","37355.05078125","37355.05078125","37355.05078125","60894.75","60894.75","60894.75","34690.80078125","34690.80078125","34690.80078125"
"7169","60882.59765625","60882.59765625","60882.59765625","33551.6484375","33551.6484375","33551.6484375","60741.94921875","60741.94921875","60741.94921875","37248.94921875","37248.94921875","37248.94921875","61049.09765625","61049.09765625","61049.09765625","34779.59765625","34779.59765625","34779.59765625"
"7199","60655.046875","60655.046875","60655.046875","33142","33142","33142","61072","61072","61072","37557.09765625","37557.09765625","37557.09765625","61032.046875","61032.046875","61032.046875","34748.55078125","34748.55078125","34748.55078125"
"7229","60936.44921875","60936.44921875","60936.44921875","33553.59765625","33553.59765625","33553.59765625","61141.6484375","61141.6484375","61141.6484375","37745.44921875","37745.44921875","37745.44921875","61139.5","61139.5","61139.5","34751.94921875","34751.94921875","34751.94921875"
"7259","60466.8984375","60466.8984375","60466.8984375","32661.69921875","32661.69921875","32661.69921875","61068.046875","61068.046875","61068.046875","37614.30078125","37614.30078125","37614.30078125","60842.19921875","60842.19921875","60842.19921875","34812","34812","34812"
"7289","60815.19921875","60815.19921875","60815.19921875","32987.94921875","32987.94921875","32987.94921875","61066.6484375","61066.6484375","61066.6484375","37559.84765625","37559.84765625","37559.84765625","61097.3984375","61097.3984375","61097.3984375","34828.69921875","34828.69921875","34828.69921875"
"7319","60757","60757","60757","33194.84765625","33194.84765625","33194.84765625","60996.09765625","60996.09765625","60996.09765625","37561.30078125","37561.30078125","37561.30078125","60990.59765625","60990.59765625","60990.59765625","34759.05078125","34759.05078125","34759.05078125"
"7349","60863.8984375","60863.8984375","60863.8984375","33290.1484375","33290.1484375","33290.1484375","61142.34765625","61142.34765625","61142.34765625","37625.09765625","37625.09765625","37625.09765625","60999.94921875","60999.94921875","60999.94921875","34641.30078125","34641.30078125","34641.30078125"
"7379","60992.546875","60992.546875","60992.546875","33103.19921875","33103.19921875","33103.19921875","61038.44921875","61038.44921875","61038.44921875","37379.84765625","37379.84765625","37379.84765625","61007.1484375","61007.1484375","61007.1484375","34824.5","34824.5","34824.5"
"7409","60675.75","60675.75","60675.75","33011.3984375","33011.3984375","33011.3984375","60916.046875","60916.046875","60916.046875","37256.30078125","37256.30078125","37256.30078125","61032.796875","61032.796875","61032.796875","34659.6484375","34659.6484375","34659.6484375"
"7439","60910.5","60910.5","60910.5","33091.84765625","33091.84765625","33091.84765625","61013.59765625","61013.59765625","61013.59765625","37701.8984375","37701.8984375","37701.8984375","60972.25","60972.25","60972.25","34934.59765625","34934.59765625","34934.59765625"
"7469","60880.09765625","60880.09765625","60880.09765625","32864.09765625","32864.09765625","32864.09765625","61063.44921875","61063.44921875","61063.44921875","37476.55078125","37476.55078125","37476.55078125","61046.75","61046.75","61046.75","34618.59765625","34618.59765625","34618.59765625"
"7499","60875.25","60875.25","60875.25","33006.69921875","33006.69921875","33006.69921875","61049.75","61049.75","61049.75","37122.94921875","37122.94921875","37122.94921875","61157.796875","61157.796875","61157.796875","34787.84765625","34787.84765625","34787.84765625"
"7529","60675.94921875","60675.94921875","60675.94921875","32808.55078125","32808.55078125","32808.55078125","61046.796875","61046.796875","61046.796875","37553.8984375","37553.8984375","37553.8984375","60959.8984375","60959.8984375","60959.8984375","34467.84765625","34467.84765625","34467.84765625"
"7559","60839.3984375","60839.3984375","60839.3984375","33473.09765625","33473.09765625","33473.09765625","61004.546875","61004.546875","61004.546875","37458.55078125","37458.55078125","37458.55078125","60866.546875","60866.546875","60866.546875","34775.94921875","34775.94921875","34775.94921875"
"7589","60822.3984375","60822.3984375","60822.3984375","33359.25","33359.25","33359.25","60906.59765625","60906.59765625","60906.59765625","37588.84765625","37588.84765625","37588.84765625","61024.94921875","61024.94921875","61024.94921875","34714.44921875","34714.44921875","34714.44921875"
"7619","60937.296875","60937.296875","60937.296875","33275.8984375","33275.8984375","33275.8984375","60946.6484375","60946.6484375","60946.6484375","37466.1484375","37466.1484375","37466.1484375","61111.046875","61111.046875","61111.046875","34718.84765625","34718.84765625","34718.84765625"
"7649","60970.8984375","60970.8984375","60970.8984375","32813.30078125","32813.30078125","32813.30078125","61126.84765625","61126.84765625","61126.84765625","37531.25","37531.25","37531.25","61140.046875","61140.046875","61140.046875","34320.25","34320.25","34320.25"
"7679","60914.34765625","60914.34765625","60914.34765625","32846.25","32846.25","32846.25","60941.59765625","60941.59765625","60941.59765625","37075","37075","37075","60973.1484375","60973.1484375","60973.1484375","34576.09765625","34576.09765625","34576.09765625"
"7709","60861.59765625","60861.59765625","60861.59765625","33136.05078125","33136.05078125","33136.05078125","60985.69921875","60985.69921875","60985.69921875","37838.09765625","37838.09765625","37838.09765625","61104.19921875","61104.19921875","61104.19921875","34615.80078125","34615.80078125","34615.80078125"
"7739","60476.1484375","60476.1484375","60476.1484375","33402.25","33402.25","33402.25","60910.09765625","60910.09765625","60910.09765625","37319.6484375","37319.6484375","37319.6484375","60852.546875","60852.546875","60852.546875","34733.69921875","34733.69921875","34733.69921875"
"7769","60978.1484375","60978.1484375","60978.1484375","33570.69921875","33570.69921875","33570.69921875","60898.59765625","60898.59765625","60898.59765625","37678.1484375","37678.1484375","37678.1484375","61038.25","61038.25","61038.25","35101.55078125","35101.55078125","35101.55078125"
"7799","60738.6484375","60738.6484375","60738.6484375","32966.44921875","32966.44921875","32966.44921875","61078.94921875","61078.94921875","61078.94921875","37550.59765625","37550.59765625","37550.59765625","61111.296875","61111.296875","61111.296875","34770.34765625","34770.34765625","34770.34765625"
"7829","60903.69921875","60903.69921875","60903.69921875","33391.3984375","33391.3984375","33391.3984375","60990.6484375","60990.6484375","60990.6484375","37319.75","37319.75","37319.75","60988.09765625","60988.09765625","60988.09765625","34988.55078125","34988.55078125","34988.55078125"
"7859","60837.5","60837.5","60837.5","33441.84765625","33441.84765625","33441.84765625","60982.3984375","60982.3984375","60982.3984375","37620.80078125","37620.80078125","37620.80078125","61052.5","61052.5","61052.5","34990.30078125","34990.30078125","34990.30078125"
"7889","60875.046875","60875.046875","60875.046875","33356.80078125","33356.80078125","33356.80078125","60949","60949","60949","37433.30078125","37433.30078125","37433.30078125","60542.5","60542.5","60542.5","34661.59765625","34661.59765625","34661.59765625"
"7919","60755.5","60755.5","60755.5","33351.34765625","33351.34765625","33351.34765625","60951.6484375","60951.6484375","60951.6484375","37353.1484375","37353.1484375","37353.1484375","60924.25","60924.25","60924.25","34800.6484375","34800.6484375","34800.6484375"
"7949","60548.046875","60548.046875","60548.046875","33038.80078125","33038.80078125","33038.80078125","60997","60997","60997","37572.80078125","37572.80078125","37572.80078125","61135.8984375","61135.8984375","61135.8984375","34940.05078125","34940.05078125","34940.05078125"
"7979","60861.25","60861.25","60861.25","33106.09765625","33106.09765625","33106.09765625","61029.94921875","61029.94921875","61029.94921875","37349.55078125","37349.55078125","37349.55078125","60943.59765625","60943.59765625","60943.59765625","34824.59765625","34824.59765625","34824.59765625"
"8009","60914.44921875","60914.44921875","60914.44921875","33300.34765625","33300.34765625","33300.34765625","60991.046875","60991.046875","60991.046875","37685.3984375","37685.3984375","37685.3984375","61204","61204","61204","35106.1484375","35106.1484375","35106.1484375"
"8039","60949.3984375","60949.3984375","60949.3984375","33435.34765625","33435.34765625","33435.34765625","61072.94921875","61072.94921875","61072.94921875","37603.05078125","37603.05078125","37603.05078125","61070.69921875","61070.69921875","61070.69921875","34677.59765625","34677.59765625","34677.59765625"
"8069","60772.25","60772.25","60772.25","33356.44921875","33356.44921875","33356.44921875","60836.796875","60836.796875","60836.796875","37580.59765625","37580.59765625","37580.59765625","60878.3984375","60878.3984375","60878.3984375","35032.55078125","35032.55078125","35032.55078125"
"8099","60965.84765625","60965.84765625","60965.84765625","33005.25","33005.25","33005.25","61067.44921875","61067.44921875","61067.44921875","37361.6484375","37361.6484375","37361.6484375","61049.44921875","61049.44921875","61049.44921875","34654","34654","34654"
"8129","60980.44921875","60980.44921875","60980.44921875","33116.84765625","33116.84765625","33116.84765625","61047.69921875","61047.69921875","61047.69921875","37540.05078125","37540.05078125","37540.05078125","60808.3984375","60808.3984375","60808.3984375","34882.34765625","34882.34765625","34882.34765625"
"8159","60888.25","60888.25","60888.25","32942.94921875","32942.94921875","32942.94921875","61035.796875","61035.796875","61035.796875","37421.5","37421.5","37421.5","60825.75","60825.75","60825.75","34934.5","34934.5","34934.5"
"8189","60867.09765625","60867.09765625","60867.09765625","33123.19921875","33123.19921875","33123.19921875","61075.5","61075.5","61075.5","37148.6484375","37148.6484375","37148.6484375","61087.1484375","61087.1484375","61087.1484375","34444","34444","34444"
"8219","60688","60688","60688","33151.19921875","33151.19921875","33151.19921875","61022.796875","61022.796875","61022.796875","37340.3984375","37340.3984375","37340.3984375","61060","61060","61060","34787","34787","34787"
"8249","60840.34765625","60840.34765625","60840.34765625","33381.09765625","33381.09765625","33381.09765625","61024.44921875","61024.44921875","61024.44921875","37518.94921875","37518.94921875","37518.94921875","61086.8984375","61086.8984375","61086.8984375","34771.44921875","34771.44921875","34771.44921875"
"8279","60820.69921875","60820.69921875","60820.69921875","33245.94921875","33245.94921875","33245.94921875","61013.796875","61013.796875","61013.796875","37509.44921875","37509.44921875","37509.44921875","60980.19921875","60980.19921875","60980.19921875","34924.09765625","34924.09765625","34924.09765625"
"8309","60980.84765625","60980.84765625","60980.84765625","33546.55078125","33546.55078125","33546.55078125","61132","61132","61132","37544.59765625","37544.59765625","37544.59765625","61249.34765625","61249.34765625","61249.34765625","34965.30078125","34965.30078125","34965.30078125"
"8339","60859.75","60859.75","60859.75","33164.25","33164.25","33164.25","61077.796875","61077.796875","61077.796875","37431.19921875","37431.19921875","37431.19921875","61091.6484375","61091.6484375","61091.6484375","34667","34667","34667"
"8369","60963.59765625","60963.59765625","60963.59765625","33043.6484375","33043.6484375","33043.6484375","61021.09765625","61021.09765625","61021.09765625","37371.84765625","37371.84765625","37371.84765625","60682.8984375","60682.8984375","60682.8984375","34749.5","34749.5","34749.5"
