"Step","layer0_mlp_gpt2_jumprelu - sparsity.l1","layer0_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer0_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer0_mlp_gpt2_singular_fisher - sparsity.l1","layer0_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer0_mlp_gpt2_singular_fisher - sparsity.l1__MAX","layer10_mlp_gpt2_jumprelu - sparsity.l1","layer10_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer10_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer10_mlp_gpt2_singular_fisher - sparsity.l1","layer10_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer10_mlp_gpt2_singular_fisher - sparsity.l1__MAX","layer5_mlp_gpt2_jumprelu - sparsity.l1","layer5_mlp_gpt2_jumprelu - sparsity.l1__MIN","layer5_mlp_gpt2_jumprelu - sparsity.l1__MAX","layer5_mlp_gpt2_singular_fisher - sparsity.l1","layer5_mlp_gpt2_singular_fisher - sparsity.l1__MIN","layer5_mlp_gpt2_singular_fisher - sparsity.l1__MAX"
"6599","4914.10888671875","4914.10888671875","4914.10888671875","658.0707397460938","658.0707397460938","658.0707397460938","5184.33154296875","5184.33154296875","5184.33154296875","567.0011596679688","567.0011596679688","567.0011596679688","6962.76025390625","6962.76025390625","6962.76025390625","898.2133178710938","898.2133178710938","898.2133178710938"
"7199","4933.9619140625","4933.9619140625","4933.9619140625","659.7822265625","659.7822265625","659.7822265625","5192.107421875","5192.107421875","5192.107421875","572.4627075195312","572.4627075195312","572.4627075195312","7000.28857421875","7000.28857421875","7000.28857421875","901.81640625","901.81640625","901.81640625"
"7799","4893.6884765625","4893.6884765625","4893.6884765625","644.2410278320312","644.2410278320312","644.2410278320312","5143.505859375","5143.505859375","5143.505859375","567.3432006835938","567.3432006835938","567.3432006835938","7005.6845703125","7005.6845703125","7005.6845703125","877.93505859375","877.93505859375","877.93505859375"
"8399","4870.73046875","4870.73046875","4870.73046875","620.23095703125","620.23095703125","620.23095703125","5087.58203125","5087.58203125","5087.58203125","553.7083129882812","553.7083129882812","553.7083129882812","7031.4453125","7031.4453125","7031.4453125","857.421875","857.421875","857.421875"
"8999","4790.72314453125","4790.72314453125","4790.72314453125","610.4979858398438","610.4979858398438","610.4979858398438","5062.0986328125","5062.0986328125","5062.0986328125","551.95947265625","551.95947265625","551.95947265625","7045.9765625","7045.9765625","7045.9765625","843.4108276367188","843.4108276367188","843.4108276367188"
"9599","4775.1728515625","4775.1728515625","4775.1728515625","603.4391479492188","603.4391479492188","603.4391479492188","5019.33203125","5019.33203125","5019.33203125","548.3282470703125","548.3282470703125","548.3282470703125","6967.3212890625","6967.3212890625","6967.3212890625","836.5071411132812","836.5071411132812","836.5071411132812"
"10199","4721.47216796875","4721.47216796875","4721.47216796875","594.7081298828125","594.7081298828125","594.7081298828125","4977.27099609375","4977.27099609375","4977.27099609375","547.1721801757812","547.1721801757812","547.1721801757812","6970.01123046875","6970.01123046875","6970.01123046875","821.1154174804688","821.1154174804688","821.1154174804688"
"10799","4644.89599609375","4644.89599609375","4644.89599609375","577.7780151367188","577.7780151367188","577.7780151367188","4971.4111328125","4971.4111328125","4971.4111328125","542.9920043945312","542.9920043945312","542.9920043945312","6874.60498046875","6874.60498046875","6874.60498046875","805.947265625","805.947265625","805.947265625"
"11399","4652.875","4652.875","4652.875","577.2471923828125","577.2471923828125","577.2471923828125","4916.1962890625","4916.1962890625","4916.1962890625","537.6552734375","537.6552734375","537.6552734375","6875.2236328125","6875.2236328125","6875.2236328125","799.3102416992188","799.3102416992188","799.3102416992188"
"11999","4609.56298828125","4609.56298828125","4609.56298828125","568.3643188476562","568.3643188476562","568.3643188476562","4854.82763671875","4854.82763671875","4854.82763671875","532.944580078125","532.944580078125","532.944580078125","6886.4609375","6886.4609375","6886.4609375","790.822509765625","790.822509765625","790.822509765625"
"12599","4564.81982421875","4564.81982421875","4564.81982421875","557.4389038085938","557.4389038085938","557.4389038085938","4854.1376953125","4854.1376953125","4854.1376953125","530.5270385742188","530.5270385742188","530.5270385742188","6910.81640625","6910.81640625","6910.81640625","780.220703125","780.220703125","780.220703125"
"13199","4570.54638671875","4570.54638671875","4570.54638671875","562.59912109375","562.59912109375","562.59912109375","4830.64990234375","4830.64990234375","4830.64990234375","533.1928100585938","533.1928100585938","533.1928100585938","6912.11669921875","6912.11669921875","6912.11669921875","780.22265625","780.22265625","780.22265625"
"13799","4514.73779296875","4514.73779296875","4514.73779296875","545.9110717773438","545.9110717773438","545.9110717773438","4813.3720703125","4813.3720703125","4813.3720703125","524.6817626953125","524.6817626953125","524.6817626953125","6930.91748046875","6930.91748046875","6930.91748046875","765.5227661132812","765.5227661132812","765.5227661132812"
"14399","4488.5576171875","4488.5576171875","4488.5576171875","547.0785522460938","547.0785522460938","547.0785522460938","4768.40576171875","4768.40576171875","4768.40576171875","522.4805297851562","522.4805297851562","522.4805297851562","6922.01708984375","6922.01708984375","6922.01708984375","765.2593994140625","765.2593994140625","765.2593994140625"
"14999","4435.6123046875","4435.6123046875","4435.6123046875","539.8427124023438","539.8427124023438","539.8427124023438","4712.5791015625","4712.5791015625","4712.5791015625","521.6437377929688","521.6437377929688","521.6437377929688","6943.2822265625","6943.2822265625","6943.2822265625","760.046875","760.046875","760.046875"
"15599","4404.25537109375","4404.25537109375","4404.25537109375","532.7941284179688","532.7941284179688","532.7941284179688","4681.90771484375","4681.90771484375","4681.90771484375","520.3898315429688","520.3898315429688","520.3898315429688","6832.96044921875","6832.96044921875","6832.96044921875","749.8375854492188","749.8375854492188","749.8375854492188"
"16199","4389.71630859375","4389.71630859375","4389.71630859375","529.7379760742188","529.7379760742188","529.7379760742188","4706.84619140625","4706.84619140625","4706.84619140625","520.1597290039062","520.1597290039062","520.1597290039062","6868.92919921875","6868.92919921875","6868.92919921875","748.2023315429688","748.2023315429688","748.2023315429688"
"16799","4371.99462890625","4371.99462890625","4371.99462890625","520.0023803710938","520.0023803710938","520.0023803710938","4660.9697265625","4660.9697265625","4660.9697265625","512.9187622070312","512.9187622070312","512.9187622070312","6808.50341796875","6808.50341796875","6808.50341796875","736.3070068359375","736.3070068359375","736.3070068359375"
"17399","4370.22802734375","4370.22802734375","4370.22802734375","526.5846557617188","526.5846557617188","526.5846557617188","4660.888671875","4660.888671875","4660.888671875","514.1447143554688","514.1447143554688","514.1447143554688","6903.40478515625","6903.40478515625","6903.40478515625","740.5286865234375","740.5286865234375","740.5286865234375"
"17999","4327.61962890625","4327.61962890625","4327.61962890625","514.7060546875","514.7060546875","514.7060546875","4598.52880859375","4598.52880859375","4598.52880859375","509.46002197265625","509.46002197265625","509.46002197265625","6829.4140625","6829.4140625","6829.4140625","727.3112182617188","727.3112182617188","727.3112182617188"
"18599","4324.94091796875","4324.94091796875","4324.94091796875","523.734375","523.734375","523.734375","4601.57177734375","4601.57177734375","4601.57177734375","510.267578125","510.267578125","510.267578125","6892.67431640625","6892.67431640625","6892.67431640625","736.3117065429688","736.3117065429688","736.3117065429688"
"19199","4273.6884765625","4273.6884765625","4273.6884765625","506.019775390625","506.019775390625","506.019775390625","4538.31884765625","4538.31884765625","4538.31884765625","502.73583984375","502.73583984375","502.73583984375","6806.12841796875","6806.12841796875","6806.12841796875","717.6361694335938","717.6361694335938","717.6361694335938"
"19799","4241.34716796875","4241.34716796875","4241.34716796875","506.73858642578125","506.73858642578125","506.73858642578125","4548.33447265625","4548.33447265625","4548.33447265625","502.5661315917969","502.5661315917969","502.5661315917969","6806.90625","6806.90625","6806.90625","717.4547729492188","717.4547729492188","717.4547729492188"
