"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l1__MAX"
"6599","4766.46630859375","4766.46630859375","4766.46630859375","4577.2119140625","4577.2119140625","4577.2119140625","3854.907958984375","3854.907958984375","3854.907958984375","2816.22509765625","2816.22509765625","2816.22509765625","3467.16650390625","3467.16650390625","3467.16650390625","3464.27587890625","3464.27587890625","3464.27587890625"
"7199","4749.90576171875","4749.90576171875","4749.90576171875","4579.27197265625","4579.27197265625","4579.27197265625","3799.22314453125","3799.22314453125","3799.22314453125","3067.328857421875","3067.328857421875","3067.328857421875","3599.69775390625","3599.69775390625","3599.69775390625","3446.41455078125","3446.41455078125","3446.41455078125"
"7799","4773.37939453125","4773.37939453125","4773.37939453125","4610.52734375","4610.52734375","4610.52734375","3765.440185546875","3765.440185546875","3765.440185546875","3250.0517578125","3250.0517578125","3250.0517578125","3735.520751953125","3735.520751953125","3735.520751953125","3418.005859375","3418.005859375","3418.005859375"
"8399","4709.7001953125","4709.7001953125","4709.7001953125","4491.87939453125","4491.87939453125","4491.87939453125","3738.37890625","3738.37890625","3738.37890625","3400.012451171875","3400.012451171875","3400.012451171875","3794.14697265625","3794.14697265625","3794.14697265625","3398.905517578125","3398.905517578125","3398.905517578125"
"8999","4682.16357421875","4682.16357421875","4682.16357421875","4464.37646484375","4464.37646484375","4464.37646484375","3716.453125","3716.453125","3716.453125","3599.41455078125","3599.41455078125","3599.41455078125","3786.4375","3786.4375","3786.4375","3390.51953125","3390.51953125","3390.51953125"
"9599","4657.70703125","4657.70703125","4657.70703125","4475.47412109375","4475.47412109375","4475.47412109375","3664.40625","3664.40625","3664.40625","3708.971923828125","3708.971923828125","3708.971923828125","3889.399658203125","3889.399658203125","3889.399658203125","3349.47705078125","3349.47705078125","3349.47705078125"
"10199","4641.04541015625","4641.04541015625","4641.04541015625","4443.28466796875","4443.28466796875","4443.28466796875","3660.09375","3660.09375","3660.09375","3850.28369140625","3850.28369140625","3850.28369140625","3923.3125","3923.3125","3923.3125","3340.689208984375","3340.689208984375","3340.689208984375"
"10799","4647.73291015625","4647.73291015625","4647.73291015625","4376.10400390625","4376.10400390625","4376.10400390625","3640.47900390625","3640.47900390625","3640.47900390625","3898.918701171875","3898.918701171875","3898.918701171875","3908.549560546875","3908.549560546875","3908.549560546875","3329.845703125","3329.845703125","3329.845703125"
"11399","4585.89013671875","4585.89013671875","4585.89013671875","4346.53564453125","4346.53564453125","4346.53564453125","3624.739013671875","3624.739013671875","3624.739013671875","3906.120849609375","3906.120849609375","3906.120849609375","3941.7109375","3941.7109375","3941.7109375","3323.475830078125","3323.475830078125","3323.475830078125"
"11999","4620.41552734375","4620.41552734375","4620.41552734375","4307.52734375","4307.52734375","4307.52734375","3584.958984375","3584.958984375","3584.958984375","3982.31884765625","3982.31884765625","3982.31884765625","3944.640625","3944.640625","3944.640625","3302.813232421875","3302.813232421875","3302.813232421875"
"12599","4531.50634765625","4531.50634765625","4531.50634765625","4256.185546875","4256.185546875","4256.185546875","3549.096435546875","3549.096435546875","3549.096435546875","4030.987548828125","4030.987548828125","4030.987548828125","3831.13916015625","3831.13916015625","3831.13916015625","3293.302734375","3293.302734375","3293.302734375"
"13199","4551.25341796875","4551.25341796875","4551.25341796875","4295.8798828125","4295.8798828125","4295.8798828125","3516.744140625","3516.744140625","3516.744140625","4059.840576171875","4059.840576171875","4059.840576171875","3892.90673828125","3892.90673828125","3892.90673828125","3279.550537109375","3279.550537109375","3279.550537109375"
"13799","4498.64501953125","4498.64501953125","4498.64501953125","4243.5478515625","4243.5478515625","4243.5478515625","3497.13671875","3497.13671875","3497.13671875","4070.6796875","4070.6796875","4070.6796875","3885.72900390625","3885.72900390625","3885.72900390625","3264.589111328125","3264.589111328125","3264.589111328125"
"14399","4534.87841796875","4534.87841796875","4534.87841796875","4246.7890625","4246.7890625","4246.7890625","3442.7734375","3442.7734375","3442.7734375","4099.5869140625","4099.5869140625","4099.5869140625","3912.218017578125","3912.218017578125","3912.218017578125","3251.028564453125","3251.028564453125","3251.028564453125"
"14999","4473.03515625","4473.03515625","4473.03515625","4200.4951171875","4200.4951171875","4200.4951171875","3423.724365234375","3423.724365234375","3423.724365234375","4053.079833984375","4053.079833984375","4053.079833984375","3906.556396484375","3906.556396484375","3906.556396484375","3228.037109375","3228.037109375","3228.037109375"
"15599","4484.22265625","4484.22265625","4484.22265625","4164.8408203125","4164.8408203125","4164.8408203125","3415.811279296875","3415.811279296875","3415.811279296875","4058.341064453125","4058.341064453125","4058.341064453125","3899.696533203125","3899.696533203125","3899.696533203125","3209.077392578125","3209.077392578125","3209.077392578125"
"16199","4483.22509765625","4483.22509765625","4483.22509765625","4266.43408203125","4266.43408203125","4266.43408203125","3418.86181640625","3418.86181640625","3418.86181640625","4094.364013671875","4094.364013671875","4094.364013671875","3932.5234375","3932.5234375","3932.5234375","3197.568359375","3197.568359375","3197.568359375"
"16799","4455.83056640625","4455.83056640625","4455.83056640625","4266.45361328125","4266.45361328125","4266.45361328125","3373.889892578125","3373.889892578125","3373.889892578125","4088.565185546875","4088.565185546875","4088.565185546875","3920.666748046875","3920.666748046875","3920.666748046875","3175.509521484375","3175.509521484375","3175.509521484375"
"17399","4382.142578125","4382.142578125","4382.142578125","4158.86181640625","4158.86181640625","4158.86181640625","3348.82470703125","3348.82470703125","3348.82470703125","4031.108642578125","4031.108642578125","4031.108642578125","3867.666015625","3867.666015625","3867.666015625","3166.631591796875","3166.631591796875","3166.631591796875"
"17999","4395.1337890625","4395.1337890625","4395.1337890625","4156.71484375","4156.71484375","4156.71484375","3311.44580078125","3311.44580078125","3311.44580078125","4040.048583984375","4040.048583984375","4040.048583984375","3877.321044921875","3877.321044921875","3877.321044921875","3156.14697265625","3156.14697265625","3156.14697265625"
"18599","4375.048828125","4375.048828125","4375.048828125","4143.1162109375","4143.1162109375","4143.1162109375","3319.63525390625","3319.63525390625","3319.63525390625","4027.067626953125","4027.067626953125","4027.067626953125","3886.55859375","3886.55859375","3886.55859375","3149.119384765625","3149.119384765625","3149.119384765625"
"19199","4451.4892578125","4451.4892578125","4451.4892578125","4163.0810546875","4163.0810546875","4163.0810546875","3273.383544921875","3273.383544921875","3273.383544921875","4051.083984375","4051.083984375","4051.083984375","3908.260986328125","3908.260986328125","3908.260986328125","3125.06640625","3125.06640625","3125.06640625"
"19799","4412.69921875","4412.69921875","4412.69921875","4131.5107421875","4131.5107421875","4131.5107421875","3276.020263671875","3276.020263671875","3276.020263671875","4061.20166015625","4061.20166015625","4061.20166015625","3899.413330078125","3899.413330078125","3899.413330078125","3117.148193359375","3117.148193359375","3117.148193359375"
