"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","1074.0150146484375","1074.0150146484375","1074.0150146484375","863.1923217773438","863.1923217773438","863.1923217773438","699.0097045898438","699.0097045898438","699.0097045898438","1072.8896484375","1072.8896484375","1072.8896484375","861.7803955078125","861.7803955078125","861.7803955078125","672.8892211914062","672.8892211914062","672.8892211914062"
"1199","828.83642578125","828.83642578125","828.83642578125","650.4262084960938","650.4262084960938","650.4262084960938","528.451171875","528.451171875","528.451171875","827.7509155273438","827.7509155273438","827.7509155273438","648.4070434570312","648.4070434570312","648.4070434570312","500.7897644042969","500.7897644042969","500.7897644042969"
"1799","680.6725463867188","680.6725463867188","680.6725463867188","519.0050048828125","519.0050048828125","519.0050048828125","446.3302917480469","446.3302917480469","446.3302917480469","678.9081420898438","678.9081420898438","678.9081420898438","516.5806884765625","516.5806884765625","516.5806884765625","416.36553955078125","416.36553955078125","416.36553955078125"
"2399","589.9574584960938","589.9574584960938","589.9574584960938","438.122802734375","438.122802734375","438.122802734375","392.778564453125","392.778564453125","392.778564453125","587.0975952148438","587.0975952148438","587.0975952148438","435.4356384277344","435.4356384277344","435.4356384277344","365.11004638671875","365.11004638671875","365.11004638671875"
"2999","493.2731628417969","493.2731628417969","493.2731628417969","374.8820495605469","374.8820495605469","374.8820495605469","356.6622009277344","356.6622009277344","356.6622009277344","490.38134765625","490.38134765625","490.38134765625","372.9444580078125","372.9444580078125","372.9444580078125","329.2190856933594","329.2190856933594","329.2190856933594"
"3599","438.3482360839844","438.3482360839844","438.3482360839844","331.9131774902344","331.9131774902344","331.9131774902344","326.96563720703125","326.96563720703125","326.96563720703125","435.17877197265625","435.17877197265625","435.17877197265625","329.9255065917969","329.9255065917969","329.9255065917969","300.1867370605469","300.1867370605469","300.1867370605469"
"4199","367.0167541503906","367.0167541503906","367.0167541503906","298.4779052734375","298.4779052734375","298.4779052734375","304.0927734375","304.0927734375","304.0927734375","365.0206604003906","365.0206604003906","365.0206604003906","296.7974548339844","296.7974548339844","296.7974548339844","278.6498718261719","278.6498718261719","278.6498718261719"
"4799","303.0333557128906","303.0333557128906","303.0333557128906","272.3714599609375","272.3714599609375","272.3714599609375","283.6369323730469","283.6369323730469","283.6369323730469","301.9811706542969","301.9811706542969","301.9811706542969","270.8141784667969","270.8141784667969","270.8141784667969","260.8083190917969","260.8083190917969","260.8083190917969"
"5399","253.41616821289062","253.41616821289062","253.41616821289062","250.4339599609375","250.4339599609375","250.4339599609375","267.29376220703125","267.29376220703125","267.29376220703125","252.944091796875","252.944091796875","252.944091796875","249.09341430664062","249.09341430664062","249.09341430664062","245.0968780517578","245.0968780517578","245.0968780517578"
"5999","221.8659210205078","221.8659210205078","221.8659210205078","233.6815643310547","233.6815643310547","233.6815643310547","255.85525512695312","255.85525512695312","255.85525512695312","221.6410369873047","221.6410369873047","221.6410369873047","232.33824157714844","232.33824157714844","232.33824157714844","233.80235290527344","233.80235290527344","233.80235290527344"
"6599","200.89515686035156","200.89515686035156","200.89515686035156","219.7754364013672","219.7754364013672","219.7754364013672","243.5486602783203","243.5486602783203","243.5486602783203","200.8621826171875","200.8621826171875","200.8621826171875","218.6495819091797","218.6495819091797","218.6495819091797","223.1758270263672","223.1758270263672","223.1758270263672"
"7199","184.8501739501953","184.8501739501953","184.8501739501953","207.7449951171875","207.7449951171875","207.7449951171875","232.35569763183594","232.35569763183594","232.35569763183594","184.83311462402344","184.83311462402344","184.83311462402344","206.6852569580078","206.6852569580078","206.6852569580078","212.6378936767578","212.6378936767578","212.6378936767578"
"7799","172.9220733642578","172.9220733642578","172.9220733642578","197.4703369140625","197.4703369140625","197.4703369140625","224.2184600830078","224.2184600830078","224.2184600830078","172.95703125","172.95703125","172.95703125","196.27891540527344","196.27891540527344","196.27891540527344","204.7552947998047","204.7552947998047","204.7552947998047"
"8399","163.45004272460938","163.45004272460938","163.45004272460938","188.74497985839844","188.74497985839844","188.74497985839844","216.007080078125","216.007080078125","216.007080078125","163.4825439453125","163.4825439453125","163.4825439453125","187.6334228515625","187.6334228515625","187.6334228515625","197.17807006835938","197.17807006835938","197.17807006835938"
"8999","155.58042907714844","155.58042907714844","155.58042907714844","181.41221618652344","181.41221618652344","181.41221618652344","207.6597900390625","207.6597900390625","207.6597900390625","155.534423828125","155.534423828125","155.534423828125","180.39280700683594","180.39280700683594","180.39280700683594","190.32138061523438","190.32138061523438","190.32138061523438"
"9599","149.66783142089844","149.66783142089844","149.66783142089844","173.956787109375","173.956787109375","173.956787109375","200.10227966308594","200.10227966308594","200.10227966308594","149.6674041748047","149.6674041748047","149.6674041748047","173.0299530029297","173.0299530029297","173.0299530029297","183.36534118652344","183.36534118652344","183.36534118652344"
"10199","143.21365356445312","143.21365356445312","143.21365356445312","167.95883178710938","167.95883178710938","167.95883178710938","193.22288513183594","193.22288513183594","193.22288513183594","143.22471618652344","143.22471618652344","143.22471618652344","167.0432891845703","167.0432891845703","167.0432891845703","177.58297729492188","177.58297729492188","177.58297729492188"
"10799","138.7232666015625","138.7232666015625","138.7232666015625","162.2071075439453","162.2071075439453","162.2071075439453","184.37112426757812","184.37112426757812","184.37112426757812","138.69219970703125","138.69219970703125","138.69219970703125","161.56536865234375","161.56536865234375","161.56536865234375","169.91136169433594","169.91136169433594","169.91136169433594"
"11399","133.77191162109375","133.77191162109375","133.77191162109375","157.59829711914062","157.59829711914062","157.59829711914062","181.6808624267578","181.6808624267578","181.6808624267578","133.7369384765625","133.7369384765625","133.7369384765625","156.82192993164062","156.82192993164062","156.82192993164062","167.02598571777344","167.02598571777344","167.02598571777344"
"11999","129.68870544433594","129.68870544433594","129.68870544433594","153.49876403808594","153.49876403808594","153.49876403808594","175.37149047851562","175.37149047851562","175.37149047851562","129.6355743408203","129.6355743408203","129.6355743408203","152.80552673339844","152.80552673339844","152.80552673339844","161.823974609375","161.823974609375","161.823974609375"
"12599","125.33979797363281","125.33979797363281","125.33979797363281","148.4139862060547","148.4139862060547","148.4139862060547","170.1208038330078","170.1208038330078","170.1208038330078","125.36244201660156","125.36244201660156","125.36244201660156","147.82408142089844","147.82408142089844","147.82408142089844","157.17079162597656","157.17079162597656","157.17079162597656"
"13199","122.8721694946289","122.8721694946289","122.8721694946289","144.5580291748047","144.5580291748047","144.5580291748047","166.3429412841797","166.3429412841797","166.3429412841797","122.89973449707031","122.89973449707031","122.89973449707031","144.02548217773438","144.02548217773438","144.02548217773438","153.77806091308594","153.77806091308594","153.77806091308594"
"13799","119.4422607421875","119.4422607421875","119.4422607421875","140.14492797851562","140.14492797851562","140.14492797851562","161.09080505371094","161.09080505371094","161.09080505371094","119.509033203125","119.509033203125","119.509033203125","139.6653289794922","139.6653289794922","139.6653289794922","149.3656005859375","149.3656005859375","149.3656005859375"
"14399","116.89611053466797","116.89611053466797","116.89611053466797","136.99298095703125","136.99298095703125","136.99298095703125","157.08177185058594","157.08177185058594","157.08177185058594","116.9580078125","116.9580078125","116.9580078125","136.49107360839844","136.49107360839844","136.49107360839844","145.84849548339844","145.84849548339844","145.84849548339844"
"14999","115.1615982055664","115.1615982055664","115.1615982055664","134.87930297851562","134.87930297851562","134.87930297851562","154.60488891601562","154.60488891601562","154.60488891601562","115.16680908203125","115.16680908203125","115.16680908203125","134.2852783203125","134.2852783203125","134.2852783203125","143.1717987060547","143.1717987060547","143.1717987060547"
"15599","112.87761688232422","112.87761688232422","112.87761688232422","132.03509521484375","132.03509521484375","132.03509521484375","150.75962829589844","150.75962829589844","150.75962829589844","112.88514709472656","112.88514709472656","112.88514709472656","131.51629638671875","131.51629638671875","131.51629638671875","140.3058319091797","140.3058319091797","140.3058319091797"
"16199","109.40742492675781","109.40742492675781","109.40742492675781","129.135009765625","129.135009765625","129.135009765625","146.00865173339844","146.00865173339844","146.00865173339844","109.360107421875","109.360107421875","109.360107421875","128.6660614013672","128.6660614013672","128.6660614013672","135.93106079101562","135.93106079101562","135.93106079101562"
