"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","6.7584452629089355","6.7584452629089355","6.7584452629089355","5.475076675415039","5.475076675415039","5.475076675415039","9.382566452026367","9.382566452026367","9.382566452026367"
"59","7.821749210357666","7.821749210357666","7.821749210357666","6.6931986808776855","6.6931986808776855","6.6931986808776855","13.29248046875","13.29248046875","13.29248046875"
"89","5.495439529418945","5.495439529418945","5.495439529418945","6.54943323135376","6.54943323135376","6.54943323135376","11.927173614501953","11.927173614501953","11.927173614501953"
"119","4.825247287750244","4.825247287750244","4.825247287750244","5.952286243438721","5.952286243438721","5.952286243438721","9.900347709655762","9.900347709655762","9.900347709655762"
"149","34.792667388916016","34.792667388916016","34.792667388916016","42.99112319946289","42.99112319946289","42.99112319946289","8.53785514831543","8.53785514831543","8.53785514831543"
"179","35.04734802246094","35.04734802246094","35.04734802246094","41.581546783447266","41.581546783447266","41.581546783447266","7.902934551239014","7.902934551239014","7.902934551239014"
"209","3.595306634902954","3.595306634902954","3.595306634902954","4.45976448059082","4.45976448059082","4.45976448059082","7.489624977111816","7.489624977111816","7.489624977111816"
"239","3.280320882797241","3.280320882797241","3.280320882797241","3.858893871307373","3.858893871307373","3.858893871307373","7.001297473907471","7.001297473907471","7.001297473907471"
"269","3.290304183959961","3.290304183959961","3.290304183959961","3.8982343673706055","3.8982343673706055","3.8982343673706055","6.935403823852539","6.935403823852539","6.935403823852539"
"299","2.9117000102996826","2.9117000102996826","2.9117000102996826","3.5825419425964355","3.5825419425964355","3.5825419425964355","6.422220706939697","6.422220706939697","6.422220706939697"
"329","8.607054710388184","8.607054710388184","8.607054710388184","4.401132583618164","4.401132583618164","4.401132583618164","5.99487829208374","5.99487829208374","5.99487829208374"
"359","7.67459774017334","7.67459774017334","7.67459774017334","4.288959980010986","4.288959980010986","4.288959980010986","5.96796989440918","5.96796989440918","5.96796989440918"
"389","6.795584678649902","6.795584678649902","6.795584678649902","4.0653977394104","4.0653977394104","4.0653977394104","5.7368597984313965","5.7368597984313965","5.7368597984313965"
"419","6.365171909332275","6.365171909332275","6.365171909332275","3.8039305210113525","3.8039305210113525","3.8039305210113525","5.61545991897583","5.61545991897583","5.61545991897583"
"449","6.191817283630371","6.191817283630371","6.191817283630371","3.7892909049987793","3.7892909049987793","3.7892909049987793","5.550450325012207","5.550450325012207","5.550450325012207"
"479","6.092233657836914","6.092233657836914","6.092233657836914","3.768488883972168","3.768488883972168","3.768488883972168","5.390442371368408","5.390442371368408","5.390442371368408"
"509","6.247258186340332","6.247258186340332","6.247258186340332","3.8070569038391113","3.8070569038391113","3.8070569038391113","5.351646423339844","5.351646423339844","5.351646423339844"
"539","8.307792663574219","8.307792663574219","8.307792663574219","20.543107986450195","20.543107986450195","20.543107986450195","5.313169479370117","5.313169479370117","5.313169479370117"
"569","5.029639720916748","5.029639720916748","5.029639720916748","3.666485548019409","3.666485548019409","3.666485548019409","5.050346374511719","5.050346374511719","5.050346374511719"
"599","5.419641017913818","5.419641017913818","5.419641017913818","3.5767464637756348","3.5767464637756348","3.5767464637756348","4.866119384765625","4.866119384765625","4.866119384765625"
"629","5.720498085021973","5.720498085021973","5.720498085021973","3.6444785594940186","3.6444785594940186","3.6444785594940186","5.004922866821289","5.004922866821289","5.004922866821289"
"659","6.239891052246094","6.239891052246094","6.239891052246094","3.577598810195923","3.577598810195923","3.577598810195923","4.670949459075928","4.670949459075928","4.670949459075928"
"689","24.9959716796875","24.9959716796875","24.9959716796875","23.0164794921875","23.0164794921875","23.0164794921875","4.862445831298828","4.862445831298828","4.862445831298828"
"719","5.563318729400635","5.563318729400635","5.563318729400635","3.4993700981140137","3.4993700981140137","3.4993700981140137","4.725318431854248","4.725318431854248","4.725318431854248"
"749","5.393815994262695","5.393815994262695","5.393815994262695","3.503180503845215","3.503180503845215","3.503180503845215","4.537022113800049","4.537022113800049","4.537022113800049"
"779","5.4009857177734375","5.4009857177734375","5.4009857177734375","3.2808427810668945","3.2808427810668945","3.2808427810668945","4.455015659332275","4.455015659332275","4.455015659332275"
"809","23.584150314331055","23.584150314331055","23.584150314331055","21.476186752319336","21.476186752319336","21.476186752319336","4.603247165679932","4.603247165679932","4.603247165679932"
"839","5.482479095458984","5.482479095458984","5.482479095458984","3.2529006004333496","3.2529006004333496","3.2529006004333496","4.254688262939453","4.254688262939453","4.254688262939453"
"869","22.57841682434082","22.57841682434082","22.57841682434082","20.524139404296875","20.524139404296875","20.524139404296875","4.37298583984375","4.37298583984375","4.37298583984375"
"899","5.139395713806152","5.139395713806152","5.139395713806152","3.4481968879699707","3.4481968879699707","3.4481968879699707","4.426527500152588","4.426527500152588","4.426527500152588"
"929","5.130970478057861","5.130970478057861","5.130970478057861","3.241133451461792","3.241133451461792","3.241133451461792","4.0716938972473145","4.0716938972473145","4.0716938972473145"
"959","7.404768943786621","7.404768943786621","7.404768943786621","15.694860458374023","15.694860458374023","15.694860458374023","4.473809242248535","4.473809242248535","4.473809242248535"
"989","7.509549617767334","7.509549617767334","7.509549617767334","3.582808494567871","3.582808494567871","3.582808494567871","4.050795078277588","4.050795078277588","4.050795078277588"
"1019","24.578935623168945","24.578935623168945","24.578935623168945","19.09859275817871","19.09859275817871","19.09859275817871","4.168739318847656","4.168739318847656","4.168739318847656"
"1049","7.410819053649902","7.410819053649902","7.410819053649902","3.3664214611053467","3.3664214611053467","3.3664214611053467","3.9772777557373047","3.9772777557373047","3.9772777557373047"
