"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","4723.03369140625","4723.03369140625","4723.03369140625","4780.68359375","4780.68359375","4780.68359375","4562.46435546875","4562.46435546875","4562.46435546875","4241.1533203125","4241.1533203125","4241.1533203125","3800.18359375","3800.18359375","3800.18359375","4185.96435546875","4185.96435546875","4185.96435546875"
"1199","4944.72900390625","4944.72900390625","4944.72900390625","5130.71240234375","5130.71240234375","5130.71240234375","4593.890625","4593.890625","4593.890625","3709.01171875","3709.01171875","3709.01171875","3311.039794921875","3311.039794921875","3311.039794921875","3906.625732421875","3906.625732421875","3906.625732421875"
"1799","4876.55712890625","4876.55712890625","4876.55712890625","5191.33935546875","5191.33935546875","5191.33935546875","4488.66064453125","4488.66064453125","4488.66064453125","3104.837646484375","3104.837646484375","3104.837646484375","3062.306640625","3062.306640625","3062.306640625","3732.95703125","3732.95703125","3732.95703125"
"2399","4783.00634765625","4783.00634765625","4783.00634765625","5225.92333984375","5225.92333984375","5225.92333984375","4366.87841796875","4366.87841796875","4366.87841796875","2723.578125","2723.578125","2723.578125","2944.105224609375","2944.105224609375","2944.105224609375","3685.364013671875","3685.364013671875","3685.364013671875"
"2999","4660.47412109375","4660.47412109375","4660.47412109375","5061.79541015625","5061.79541015625","5061.79541015625","4231.45556640625","4231.45556640625","4231.45556640625","2544.763427734375","2544.763427734375","2544.763427734375","2886.753173828125","2886.753173828125","2886.753173828125","3657.479736328125","3657.479736328125","3657.479736328125"
"3599","4546.67626953125","4546.67626953125","4546.67626953125","4998.912109375","4998.912109375","4998.912109375","4140.55859375","4140.55859375","4140.55859375","2369.591552734375","2369.591552734375","2369.591552734375","2877.476318359375","2877.476318359375","2877.476318359375","3630.582763671875","3630.582763671875","3630.582763671875"
"4199","4596.1376953125","4596.1376953125","4596.1376953125","4937.2041015625","4937.2041015625","4937.2041015625","4047.328857421875","4047.328857421875","4047.328857421875","2321.907470703125","2321.907470703125","2321.907470703125","2978.899658203125","2978.899658203125","2978.899658203125","3617.212158203125","3617.212158203125","3617.212158203125"
"4799","4653.51318359375","4653.51318359375","4653.51318359375","4897.19189453125","4897.19189453125","4897.19189453125","3986.292724609375","3986.292724609375","3986.292724609375","2332.31982421875","2332.31982421875","2332.31982421875","3072.15087890625","3072.15087890625","3072.15087890625","3582.379638671875","3582.379638671875","3582.379638671875"
"5399","4672.453125","4672.453125","4672.453125","4757.74267578125","4757.74267578125","4757.74267578125","3934.15234375","3934.15234375","3934.15234375","2431.14697265625","2431.14697265625","2431.14697265625","3202.021484375","3202.021484375","3202.021484375","3555.768798828125","3555.768798828125","3555.768798828125"
"5999","4726.90771484375","4726.90771484375","4726.90771484375","4675.87646484375","4675.87646484375","4675.87646484375","3894.19140625","3894.19140625","3894.19140625","2629.581787109375","2629.581787109375","2629.581787109375","3363.48486328125","3363.48486328125","3363.48486328125","3528.395263671875","3528.395263671875","3528.395263671875"
