"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"6599","314.5509033203125","314.5509033203125","314.5509033203125","325.97540283203125","325.97540283203125","325.97540283203125","790.5450439453125","790.5450439453125","790.5450439453125","313.23876953125","313.23876953125","313.23876953125","318.83892822265625","318.83892822265625","318.83892822265625","619.9225463867188","619.9225463867188","619.9225463867188"
"7199","274.36688232421875","274.36688232421875","274.36688232421875","299.61151123046875","299.61151123046875","299.61151123046875","751.4310913085938","751.4310913085938","751.4310913085938","273.201904296875","273.201904296875","273.201904296875","292.76434326171875","292.76434326171875","292.76434326171875","586.7633666992188","586.7633666992188","586.7633666992188"
"7799","246.8091583251953","246.8091583251953","246.8091583251953","278.150390625","278.150390625","278.150390625","722.009765625","722.009765625","722.009765625","245.8789825439453","245.8789825439453","245.8789825439453","271.2690124511719","271.2690124511719","271.2690124511719","561.0325927734375","561.0325927734375","561.0325927734375"
"8399","223.97349548339844","223.97349548339844","223.97349548339844","259.7991638183594","259.7991638183594","259.7991638183594","694.3967895507812","694.3967895507812","694.3967895507812","223.0760040283203","223.0760040283203","223.0760040283203","253.25439453125","253.25439453125","253.25439453125","538.3756103515625","538.3756103515625","538.3756103515625"
"8999","207.53477478027344","207.53477478027344","207.53477478027344","245.3194580078125","245.3194580078125","245.3194580078125","662.7747192382812","662.7747192382812","662.7747192382812","206.4453582763672","206.4453582763672","206.4453582763672","239.11497497558594","239.11497497558594","239.11497497558594","515.3045654296875","515.3045654296875","515.3045654296875"
"9599","194.663818359375","194.663818359375","194.663818359375","230.1396942138672","230.1396942138672","230.1396942138672","638.6493530273438","638.6493530273438","638.6493530273438","193.6736297607422","193.6736297607422","193.6736297607422","224.0476531982422","224.0476531982422","224.0476531982422","495.2275390625","495.2275390625","495.2275390625"
"10199","181.2244873046875","181.2244873046875","181.2244873046875","217.28721618652344","217.28721618652344","217.28721618652344","615.0223388671875","615.0223388671875","615.0223388671875","180.2211456298828","180.2211456298828","180.2211456298828","211.4769287109375","211.4769287109375","211.4769287109375","478.2173767089844","478.2173767089844","478.2173767089844"
"10799","171.89781188964844","171.89781188964844","171.89781188964844","206.66824340820312","206.66824340820312","206.66824340820312","583.74072265625","583.74072265625","583.74072265625","170.88291931152344","170.88291931152344","170.88291931152344","201.5431671142578","201.5431671142578","201.5431671142578","454.1154479980469","454.1154479980469","454.1154479980469"
"11399","163.08763122558594","163.08763122558594","163.08763122558594","197.44302368164062","197.44302368164062","197.44302368164062","573.5554809570312","573.5554809570312","573.5554809570312","162.08926391601562","162.08926391601562","162.08926391601562","192.26321411132812","192.26321411132812","192.26321411132812","444.6281433105469","444.6281433105469","444.6281433105469"
"11999","154.8881072998047","154.8881072998047","154.8881072998047","188.6600799560547","188.6600799560547","188.6600799560547","551.1116333007812","551.1116333007812","551.1116333007812","153.97789001464844","153.97789001464844","153.97789001464844","183.80259704589844","183.80259704589844","183.80259704589844","428.7002868652344","428.7002868652344","428.7002868652344"
"12599","146.2742156982422","146.2742156982422","146.2742156982422","179.04580688476562","179.04580688476562","179.04580688476562","532.1847534179688","532.1847534179688","532.1847534179688","145.53135681152344","145.53135681152344","145.53135681152344","174.5172119140625","174.5172119140625","174.5172119140625","413.70147705078125","413.70147705078125","413.70147705078125"
"13199","143.5540313720703","143.5540313720703","143.5540313720703","172.24551391601562","172.24551391601562","172.24551391601562","518.96435546875","518.96435546875","518.96435546875","142.88369750976562","142.88369750976562","142.88369750976562","168.0714569091797","168.0714569091797","168.0714569091797","403.3595886230469","403.3595886230469","403.3595886230469"
"13799","136.2777557373047","136.2777557373047","136.2777557373047","163.3718719482422","163.3718719482422","163.3718719482422","498.9105529785156","498.9105529785156","498.9105529785156","135.7355194091797","135.7355194091797","135.7355194091797","159.36204528808594","159.36204528808594","159.36204528808594","389.1422119140625","389.1422119140625","389.1422119140625"
"14399","132.2189483642578","132.2189483642578","132.2189483642578","156.96975708007812","156.96975708007812","156.96975708007812","484.068603515625","484.068603515625","484.068603515625","131.6619415283203","131.6619415283203","131.6619415283203","153.0891876220703","153.0891876220703","153.0891876220703","377.4380187988281","377.4380187988281","377.4380187988281"
"14999","128.705322265625","128.705322265625","128.705322265625","152.8381805419922","152.8381805419922","152.8381805419922","473.5282287597656","473.5282287597656","473.5282287597656","128.0371551513672","128.0371551513672","128.0371551513672","148.92874145507812","148.92874145507812","148.92874145507812","368.45050048828125","368.45050048828125","368.45050048828125"
"15599","124.9632568359375","124.9632568359375","124.9632568359375","147.04470825195312","147.04470825195312","147.04470825195312","459.79638671875","459.79638671875","459.79638671875","124.4430923461914","124.4430923461914","124.4430923461914","143.34153747558594","143.34153747558594","143.34153747558594","359.7076721191406","359.7076721191406","359.7076721191406"
"16199","118.79741668701172","118.79741668701172","118.79741668701172","141.6465301513672","141.6465301513672","141.6465301513672","444.2826232910156","444.2826232910156","444.2826232910156","118.2149658203125","118.2149658203125","118.2149658203125","138.16160583496094","138.16160583496094","138.16160583496094","347.3232727050781","347.3232727050781","347.3232727050781"
"16799","115.33599090576172","115.33599090576172","115.33599090576172","136.2744598388672","136.2744598388672","136.2744598388672","430.8326110839844","430.8326110839844","430.8326110839844","114.89043426513672","114.89043426513672","114.89043426513672","132.94944763183594","132.94944763183594","132.94944763183594","337.31201171875","337.31201171875","337.31201171875"
"17399","112.18367004394531","112.18367004394531","112.18367004394531","130.48472595214844","130.48472595214844","130.48472595214844","424.42950439453125","424.42950439453125","424.42950439453125","111.6468276977539","111.6468276977539","111.6468276977539","127.2841796875","127.2841796875","127.2841796875","332.96954345703125","332.96954345703125","332.96954345703125"
"17999","110.1622543334961","110.1622543334961","110.1622543334961","126.98408508300781","126.98408508300781","126.98408508300781","412.08966064453125","412.08966064453125","412.08966064453125","109.7544937133789","109.7544937133789","109.7544937133789","124.08538055419922","124.08538055419922","124.08538055419922","324.29241943359375","324.29241943359375","324.29241943359375"
"18599","105.5175552368164","105.5175552368164","105.5175552368164","122.9616928100586","122.9616928100586","122.9616928100586","399.0075378417969","399.0075378417969","399.0075378417969","105.0810546875","105.0810546875","105.0810546875","120.1592025756836","120.1592025756836","120.1592025756836","313.6667175292969","313.6667175292969","313.6667175292969"
"19199","102.90435028076172","102.90435028076172","102.90435028076172","118.39275360107422","118.39275360107422","118.39275360107422","391.3017578125","391.3017578125","391.3017578125","102.6581039428711","102.6581039428711","102.6581039428711","115.84770965576172","115.84770965576172","115.84770965576172","308.6547546386719","308.6547546386719","308.6547546386719"
"19799","100.50390625","100.50390625","100.50390625","115.3103256225586","115.3103256225586","115.3103256225586","379.8844909667969","379.8844909667969","379.8844909667969","100.2044677734375","100.2044677734375","100.2044677734375","112.87102508544922","112.87102508544922","112.87102508544922","300.12774658203125","300.12774658203125","300.12774658203125"
