"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"419","967.0349731445312","967.0349731445312","967.0349731445312","211.02804565429688","211.02804565429688","211.02804565429688","10.264175415039062","10.264175415039062","10.264175415039062","961.0111694335938","961.0111694335938","961.0111694335938","210.81497192382812","210.81497192382812","210.81497192382812","9.600396156311035","9.600396156311035","9.600396156311035"
"449","1011.0335693359375","1011.0335693359375","1011.0335693359375","190.47781372070312","190.47781372070312","190.47781372070312","9.294866561889648","9.294866561889648","9.294866561889648","1004.6828002929688","1004.6828002929688","1004.6828002929688","191.3260955810547","191.3260955810547","191.3260955810547","8.684183120727539","8.684183120727539","8.684183120727539"
"479","824.548828125","824.548828125","824.548828125","169.8743896484375","169.8743896484375","169.8743896484375","8.680334091186523","8.680334091186523","8.680334091186523","817.7269897460938","817.7269897460938","817.7269897460938","168.53208923339844","168.53208923339844","168.53208923339844","8.13238525390625","8.13238525390625","8.13238525390625"
"509","786.936767578125","786.936767578125","786.936767578125","155.36390686035156","155.36390686035156","155.36390686035156","7.838848114013672","7.838848114013672","7.838848114013672","782.0678100585938","782.0678100585938","782.0678100585938","153.12391662597656","153.12391662597656","153.12391662597656","7.32484769821167","7.32484769821167","7.32484769821167"
"539","827.852294921875","827.852294921875","827.852294921875","193.50531005859375","193.50531005859375","193.50531005859375","6.848177909851074","6.848177909851074","6.848177909851074","820.7347412109375","820.7347412109375","820.7347412109375","202.7553253173828","202.7553253173828","202.7553253173828","6.384722709655762","6.384722709655762","6.384722709655762"
"569","790.5499267578125","790.5499267578125","790.5499267578125","150.18731689453125","150.18731689453125","150.18731689453125","5.791108131408691","5.791108131408691","5.791108131408691","782.3883666992188","782.3883666992188","782.3883666992188","145.619140625","145.619140625","145.619140625","5.41776180267334","5.41776180267334","5.41776180267334"
"599","596.3797607421875","596.3797607421875","596.3797607421875","118.27406311035156","118.27406311035156","118.27406311035156","5.873126029968262","5.873126029968262","5.873126029968262","586.83740234375","586.83740234375","586.83740234375","117.44432067871094","117.44432067871094","117.44432067871094","5.500280857086182","5.500280857086182","5.500280857086182"
"629","622.5560913085938","622.5560913085938","622.5560913085938","132.23500061035156","132.23500061035156","132.23500061035156","5.771091938018799","5.771091938018799","5.771091938018799","607.4486694335938","607.4486694335938","607.4486694335938","130.0111846923828","130.0111846923828","130.0111846923828","5.436046123504639","5.436046123504639","5.436046123504639"
"659","543.5762939453125","543.5762939453125","543.5762939453125","111.36624908447266","111.36624908447266","111.36624908447266","5.203038692474365","5.203038692474365","5.203038692474365","533.9450073242188","533.9450073242188","533.9450073242188","110.23709869384766","110.23709869384766","110.23709869384766","4.856971740722656","4.856971740722656","4.856971740722656"
"689","503.3515625","503.3515625","503.3515625","120.44820404052734","120.44820404052734","120.44820404052734","4.026119232177734","4.026119232177734","4.026119232177734","488.6653137207031","488.6653137207031","488.6653137207031","117.92941284179688","117.92941284179688","117.92941284179688","3.751662492752075","3.751662492752075","3.751662492752075"
"719","535.9345092773438","535.9345092773438","535.9345092773438","100.03813934326172","100.03813934326172","100.03813934326172","4.045196533203125","4.045196533203125","4.045196533203125","524.8080444335938","524.8080444335938","524.8080444335938","96.5648193359375","96.5648193359375","96.5648193359375","3.78018856048584","3.78018856048584","3.78018856048584"
"749","533.5210571289062","533.5210571289062","533.5210571289062","97.2147445678711","97.2147445678711","97.2147445678711","3.6870782375335693","3.6870782375335693","3.6870782375335693","520.3673095703125","520.3673095703125","520.3673095703125","92.97974395751953","92.97974395751953","92.97974395751953","3.458803653717041","3.458803653717041","3.458803653717041"
"779","467.10009765625","467.10009765625","467.10009765625","96.0545654296875","96.0545654296875","96.0545654296875","3.5352423191070557","3.5352423191070557","3.5352423191070557","452.48828125","452.48828125","452.48828125","93.57342529296875","93.57342529296875","93.57342529296875","3.2880494594573975","3.2880494594573975","3.2880494594573975"
"809","559.6206665039062","559.6206665039062","559.6206665039062","330.3103332519531","330.3103332519531","330.3103332519531","2.9339513778686523","2.9339513778686523","2.9339513778686523","542.8999633789062","542.8999633789062","542.8999633789062","284.55670166015625","284.55670166015625","284.55670166015625","2.7212181091308594","2.7212181091308594","2.7212181091308594"
"839","417.45257568359375","417.45257568359375","417.45257568359375","80.61136627197266","80.61136627197266","80.61136627197266","3.5901482105255127","3.5901482105255127","3.5901482105255127","399.9555358886719","399.9555358886719","399.9555358886719","77.16890716552734","77.16890716552734","77.16890716552734","3.351412296295166","3.351412296295166","3.351412296295166"
"869","584.1619873046875","584.1619873046875","584.1619873046875","190.9441680908203","190.9441680908203","190.9441680908203","3.247559070587158","3.247559070587158","3.247559070587158","606.1192626953125","606.1192626953125","606.1192626953125","199.06398010253906","199.06398010253906","199.06398010253906","3.030642032623291","3.030642032623291","3.030642032623291"
"899","384.1189270019531","384.1189270019531","384.1189270019531","81.025634765625","81.025634765625","81.025634765625","3.3158059120178223","3.3158059120178223","3.3158059120178223","365.14874267578125","365.14874267578125","365.14874267578125","76.54651641845703","76.54651641845703","76.54651641845703","3.1065826416015625","3.1065826416015625","3.1065826416015625"
"929","326.6634216308594","326.6634216308594","326.6634216308594","64.8895492553711","64.8895492553711","64.8895492553711","2.849238157272339","2.849238157272339","2.849238157272339","313.0940246582031","313.0940246582031","313.0940246582031","59.388919830322266","59.388919830322266","59.388919830322266","2.708604335784912","2.708604335784912","2.708604335784912"
"959","355.0383605957031","355.0383605957031","355.0383605957031","81.57820892333984","81.57820892333984","81.57820892333984","2.6562554836273193","2.6562554836273193","2.6562554836273193","338.35052490234375","338.35052490234375","338.35052490234375","76.07987976074219","76.07987976074219","76.07987976074219","2.4758782386779785","2.4758782386779785","2.4758782386779785"
"989","189.5780487060547","189.5780487060547","189.5780487060547","42.093544006347656","42.093544006347656","42.093544006347656","2.3766627311706543","2.3766627311706543","2.3766627311706543","180.30377197265625","180.30377197265625","180.30377197265625","40.964805603027344","40.964805603027344","40.964805603027344","2.2663161754608154","2.2663161754608154","2.2663161754608154"
"1019","415.3954162597656","415.3954162597656","415.3954162597656","237.35623168945312","237.35623168945312","237.35623168945312","2.407247543334961","2.407247543334961","2.407247543334961","418.8524169921875","418.8524169921875","418.8524169921875","278.6046142578125","278.6046142578125","278.6046142578125","2.267364740371704","2.267364740371704","2.267364740371704"
"1049","165.01551818847656","165.01551818847656","165.01551818847656","42.12065505981445","42.12065505981445","42.12065505981445","2.005688190460205","2.005688190460205","2.005688190460205","156.5876007080078","156.5876007080078","156.5876007080078","41.70867156982422","41.70867156982422","41.70867156982422","1.861132264137268","1.861132264137268","1.861132264137268"
"1079","142.71620178222656","142.71620178222656","142.71620178222656","33.6364631652832","33.6364631652832","33.6364631652832","2.1691129207611084","2.1691129207611084","2.1691129207611084","138.14247131347656","138.14247131347656","138.14247131347656","33.05213165283203","33.05213165283203","33.05213165283203","2.054781675338745","2.054781675338745","2.054781675338745"
"1109","446.70123291015625","446.70123291015625","446.70123291015625","99.84732818603516","99.84732818603516","99.84732818603516","1.794608473777771","1.794608473777771","1.794608473777771","500.1900634765625","500.1900634765625","500.1900634765625","88.74920654296875","88.74920654296875","88.74920654296875","1.678955316543579","1.678955316543579","1.678955316543579"
"1139","188.19761657714844","188.19761657714844","188.19761657714844","40.14332580566406","40.14332580566406","40.14332580566406","1.787566900253296","1.787566900253296","1.787566900253296","183.29421997070312","183.29421997070312","183.29421997070312","38.27632141113281","38.27632141113281","38.27632141113281","1.6790602207183838","1.6790602207183838","1.6790602207183838"
"1169","232.72450256347656","232.72450256347656","232.72450256347656","41.34918212890625","41.34918212890625","41.34918212890625","1.9435876607894897","1.9435876607894897","1.9435876607894897","226.8042755126953","226.8042755126953","226.8042755126953","39.844783782958984","39.844783782958984","39.844783782958984","1.859405755996704","1.859405755996704","1.859405755996704"
"1199","167.886474609375","167.886474609375","167.886474609375","33.44181442260742","33.44181442260742","33.44181442260742","1.6501824855804443","1.6501824855804443","1.6501824855804443","162.52487182617188","162.52487182617188","162.52487182617188","33.981815338134766","33.981815338134766","33.981815338134766","1.5514627695083618","1.5514627695083618","1.5514627695083618"
"1229","407.8335876464844","407.8335876464844","407.8335876464844","220.47132873535156","220.47132873535156","220.47132873535156","1.7704474925994873","1.7704474925994873","1.7704474925994873","363.6815185546875","363.6815185546875","363.6815185546875","297.98101806640625","297.98101806640625","297.98101806640625","1.677473545074463","1.677473545074463","1.677473545074463"
"1259","163.8622589111328","163.8622589111328","163.8622589111328","32.526527404785156","32.526527404785156","32.526527404785156","1.6158645153045654","1.6158645153045654","1.6158645153045654","161.5321044921875","161.5321044921875","161.5321044921875","31.53411293029785","31.53411293029785","31.53411293029785","1.5406475067138672","1.5406475067138672","1.5406475067138672"
"1289","114.65596771240234","114.65596771240234","114.65596771240234","24.610824584960938","24.610824584960938","24.610824584960938","1.6442850828170776","1.6442850828170776","1.6442850828170776","113.00318908691406","113.00318908691406","113.00318908691406","23.436168670654297","23.436168670654297","23.436168670654297","1.5639536380767822","1.5639536380767822","1.5639536380767822"
"1319","117.22319793701172","117.22319793701172","117.22319793701172","45.46539306640625","45.46539306640625","45.46539306640625","1.5258530378341675","1.5258530378341675","1.5258530378341675","116.22482299804688","116.22482299804688","116.22482299804688","58.64327621459961","58.64327621459961","58.64327621459961","1.4290472269058228","1.4290472269058228","1.4290472269058228"
"1349","127.13043975830078","127.13043975830078","127.13043975830078","26.95265007019043","26.95265007019043","26.95265007019043","1.5615458488464355","1.5615458488464355","1.5615458488464355","126.11737823486328","126.11737823486328","126.11737823486328","26.883602142333984","26.883602142333984","26.883602142333984","1.5266125202178955","1.5266125202178955","1.5266125202178955"
"1379","104.32544708251953","104.32544708251953","104.32544708251953","26.726036071777344","26.726036071777344","26.726036071777344","1.5879414081573486","1.5879414081573486","1.5879414081573486","98.47583770751953","98.47583770751953","98.47583770751953","25.79789924621582","25.79789924621582","25.79789924621582","1.55670166015625","1.55670166015625","1.55670166015625"
"1409","125.6760482788086","125.6760482788086","125.6760482788086","26.122446060180664","26.122446060180664","26.122446060180664","1.338600993156433","1.338600993156433","1.338600993156433","121.50603485107422","121.50603485107422","121.50603485107422","25.445199966430664","25.445199966430664","25.445199966430664","1.2509056329727173","1.2509056329727173","1.2509056329727173"
"1439","136.11233520507812","136.11233520507812","136.11233520507812","29.19329071044922","29.19329071044922","29.19329071044922","1.2017388343811035","1.2017388343811035","1.2017388343811035","123.37448120117188","123.37448120117188","123.37448120117188","31.86751937866211","31.86751937866211","31.86751937866211","1.1643052101135254","1.1643052101135254","1.1643052101135254"
"1469","152.06112670898438","152.06112670898438","152.06112670898438","28.86996841430664","28.86996841430664","28.86996841430664","1.1779253482818604","1.1779253482818604","1.1779253482818604","144.1707000732422","144.1707000732422","144.1707000732422","27.524904251098633","27.524904251098633","27.524904251098633","1.1215059757232666","1.1215059757232666","1.1215059757232666"
"1499","116.16431427001953","116.16431427001953","116.16431427001953","22.70743179321289","22.70743179321289","22.70743179321289","1.3213026523590088","1.3213026523590088","1.3213026523590088","115.50454711914062","115.50454711914062","115.50454711914062","22.772550582885742","22.772550582885742","22.772550582885742","1.2856053113937378","1.2856053113937378","1.2856053113937378"
"1529","88.38113403320312","88.38113403320312","88.38113403320312","22.867212295532227","22.867212295532227","22.867212295532227","1.1496886014938354","1.1496886014938354","1.1496886014938354","85.84043884277344","85.84043884277344","85.84043884277344","22.040630340576172","22.040630340576172","22.040630340576172","1.1233893632888794","1.1233893632888794","1.1233893632888794"
"1559","99.78929138183594","99.78929138183594","99.78929138183594","21.934160232543945","21.934160232543945","21.934160232543945","1.2643262147903442","1.2643262147903442","1.2643262147903442","95.93335723876953","95.93335723876953","95.93335723876953","21.820045471191406","21.820045471191406","21.820045471191406","1.2152074575424194","1.2152074575424194","1.2152074575424194"
"1589","86.30445098876953","86.30445098876953","86.30445098876953","18.2404727935791","18.2404727935791","18.2404727935791","1.130344271659851","1.130344271659851","1.130344271659851","81.92550659179688","81.92550659179688","81.92550659179688","18.105215072631836","18.105215072631836","18.105215072631836","1.112480640411377","1.112480640411377","1.112480640411377"
"1619","102.22014617919922","102.22014617919922","102.22014617919922","46.54729461669922","46.54729461669922","46.54729461669922","0.9894638061523438","0.9894638061523438","0.9894638061523438","100.1832046508789","100.1832046508789","100.1832046508789","36.39815139770508","36.39815139770508","36.39815139770508","0.9392246603965759","0.9392246603965759","0.9392246603965759"
"1649","72.0205078125","72.0205078125","72.0205078125","19.233610153198242","19.233610153198242","19.233610153198242","1.097679615020752","1.097679615020752","1.097679615020752","69.98909759521484","69.98909759521484","69.98909759521484","20.832887649536133","20.832887649536133","20.832887649536133","1.1276435852050781","1.1276435852050781","1.1276435852050781"
"1679","76.15138244628906","76.15138244628906","76.15138244628906","16.29364013671875","16.29364013671875","16.29364013671875","1.2361013889312744","1.2361013889312744","1.2361013889312744","75.90106964111328","75.90106964111328","75.90106964111328","16.752763748168945","16.752763748168945","16.752763748168945","1.2227885723114014","1.2227885723114014","1.2227885723114014"
"1709","43.09483337402344","43.09483337402344","43.09483337402344","12.06630802154541","12.06630802154541","12.06630802154541","0.9194811582565308","0.9194811582565308","0.9194811582565308","47.22097396850586","47.22097396850586","47.22097396850586","12.380912780761719","12.380912780761719","12.380912780761719","0.8938637375831604","0.8938637375831604","0.8938637375831604"
"1739","35.110626220703125","35.110626220703125","35.110626220703125","10.953683853149414","10.953683853149414","10.953683853149414","0.7566858530044556","0.7566858530044556","0.7566858530044556","40.11298751831055","40.11298751831055","40.11298751831055","9.704181671142578","9.704181671142578","9.704181671142578","0.7074249386787415","0.7074249386787415","0.7074249386787415"
"1769","50.15915298461914","50.15915298461914","50.15915298461914","11.164494514465332","11.164494514465332","11.164494514465332","0.831294596195221","0.831294596195221","0.831294596195221","55.60774612426758","55.60774612426758","55.60774612426758","11.87640380859375","11.87640380859375","11.87640380859375","0.7866408228874207","0.7866408228874207","0.7866408228874207"
"1799","57.47597885131836","57.47597885131836","57.47597885131836","11.75556468963623","11.75556468963623","11.75556468963623","0.8991064429283142","0.8991064429283142","0.8991064429283142","63.499149322509766","63.499149322509766","63.499149322509766","11.789430618286133","11.789430618286133","11.789430618286133","0.899134635925293","0.899134635925293","0.899134635925293"
"1829","57.30121612548828","57.30121612548828","57.30121612548828","12.592710494995117","12.592710494995117","12.592710494995117","0.8719683885574341","0.8719683885574341","0.8719683885574341","64.27281188964844","64.27281188964844","64.27281188964844","14.5260009765625","14.5260009765625","14.5260009765625","0.8767616152763367","0.8767616152763367","0.8767616152763367"
"1859","83.49375915527344","83.49375915527344","83.49375915527344","15.363844871520996","15.363844871520996","15.363844871520996","0.7983872294425964","0.7983872294425964","0.7983872294425964","87.00171661376953","87.00171661376953","87.00171661376953","16.113384246826172","16.113384246826172","16.113384246826172","0.7702481150627136","0.7702481150627136","0.7702481150627136"
"1889","32.95370101928711","32.95370101928711","32.95370101928711","8.051846504211426","8.051846504211426","8.051846504211426","0.7500441074371338","0.7500441074371338","0.7500441074371338","38.75950622558594","38.75950622558594","38.75950622558594","8.448501586914062","8.448501586914062","8.448501586914062","0.7299354672431946","0.7299354672431946","0.7299354672431946"
"1919","43.01971435546875","43.01971435546875","43.01971435546875","37.91619873046875","37.91619873046875","37.91619873046875","0.8641279339790344","0.8641279339790344","0.8641279339790344","48.37001037597656","48.37001037597656","48.37001037597656","43.37888717651367","43.37888717651367","43.37888717651367","0.843999981880188","0.843999981880188","0.843999981880188"
"1949","43.263240814208984","43.263240814208984","43.263240814208984","9.647936820983887","9.647936820983887","9.647936820983887","0.789904773235321","0.789904773235321","0.789904773235321","49.05512237548828","49.05512237548828","49.05512237548828","10.026839256286621","10.026839256286621","10.026839256286621","0.7677367925643921","0.7677367925643921","0.7677367925643921"
"1979","38.691001892089844","38.691001892089844","38.691001892089844","8.335625648498535","8.335625648498535","8.335625648498535","0.6534723043441772","0.6534723043441772","0.6534723043441772","42.90082931518555","42.90082931518555","42.90082931518555","8.625508308410645","8.625508308410645","8.625508308410645","0.6207501888275146","0.6207501888275146","0.6207501888275146"
"2009","35.61126708984375","35.61126708984375","35.61126708984375","8.369963645935059","8.369963645935059","8.369963645935059","0.6649871468544006","0.6649871468544006","0.6649871468544006","40.76321792602539","40.76321792602539","40.76321792602539","9.455087661743164","9.455087661743164","9.455087661743164","0.6679461002349854","0.6679461002349854","0.6679461002349854"
"2039","33.094600677490234","33.094600677490234","33.094600677490234","6.857136249542236","6.857136249542236","6.857136249542236","0.6545412540435791","0.6545412540435791","0.6545412540435791","37.95066452026367","37.95066452026367","37.95066452026367","9.315933227539062","9.315933227539062","9.315933227539062","0.6428108215332031","0.6428108215332031","0.6428108215332031"
"2069","45.22057342529297","45.22057342529297","45.22057342529297","10.689676284790039","10.689676284790039","10.689676284790039","0.6584821939468384","0.6584821939468384","0.6584821939468384","53.35938262939453","53.35938262939453","53.35938262939453","10.975683212280273","10.975683212280273","10.975683212280273","0.6502915024757385","0.6502915024757385","0.6502915024757385"
"2099","49.244686126708984","49.244686126708984","49.244686126708984","11.30920124053955","11.30920124053955","11.30920124053955","0.6618533134460449","0.6618533134460449","0.6618533134460449","59.62978744506836","59.62978744506836","59.62978744506836","11.569462776184082","11.569462776184082","11.569462776184082","0.6679197549819946","0.6679197549819946","0.6679197549819946"
"2129","28.282676696777344","28.282676696777344","28.282676696777344","6.196587562561035","6.196587562561035","6.196587562561035","0.6261900663375854","0.6261900663375854","0.6261900663375854","35.39088439941406","35.39088439941406","35.39088439941406","7.238813400268555","7.238813400268555","7.238813400268555","0.6354506015777588","0.6354506015777588","0.6354506015777588"
"2159","24.32866668701172","24.32866668701172","24.32866668701172","6.738224506378174","6.738224506378174","6.738224506378174","0.7097125053405762","0.7097125053405762","0.7097125053405762","27.393903732299805","27.393903732299805","27.393903732299805","6.853142738342285","6.853142738342285","6.853142738342285","0.7014289498329163","0.7014289498329163","0.7014289498329163"
"2189","29.6517276763916","29.6517276763916","29.6517276763916","5.423523902893066","5.423523902893066","5.423523902893066","0.5686706304550171","0.5686706304550171","0.5686706304550171","33.549407958984375","33.549407958984375","33.549407958984375","5.932407855987549","5.932407855987549","5.932407855987549","0.5660216212272644","0.5660216212272644","0.5660216212272644"
"2219","29.639598846435547","29.639598846435547","29.639598846435547","8.243751525878906","8.243751525878906","8.243751525878906","0.6985716223716736","0.6985716223716736","0.6985716223716736","36.313560485839844","36.313560485839844","36.313560485839844","9.737049102783203","9.737049102783203","9.737049102783203","0.7044838070869446","0.7044838070869446","0.7044838070869446"
"2249","28.752363204956055","28.752363204956055","28.752363204956055","7.797208309173584","7.797208309173584","7.797208309173584","0.6671664118766785","0.6671664118766785","0.6671664118766785","34.57339859008789","34.57339859008789","34.57339859008789","9.215082168579102","9.215082168579102","9.215082168579102","0.6603502631187439","0.6603502631187439","0.6603502631187439"
"2279","79.43010711669922","79.43010711669922","79.43010711669922","14.910215377807617","14.910215377807617","14.910215377807617","0.6260414719581604","0.6260414719581604","0.6260414719581604","90.2304458618164","90.2304458618164","90.2304458618164","15.11053466796875","15.11053466796875","15.11053466796875","0.5895470976829529","0.5895470976829529","0.5895470976829529"
"2309","17.92728042602539","17.92728042602539","17.92728042602539","5.0876641273498535","5.0876641273498535","5.0876641273498535","0.5750882029533386","0.5750882029533386","0.5750882029533386","22.74973487854004","22.74973487854004","22.74973487854004","6.147126197814941","6.147126197814941","6.147126197814941","0.5938684940338135","0.5938684940338135","0.5938684940338135"
"2339","24.339345932006836","24.339345932006836","24.339345932006836","21.526479721069336","21.526479721069336","21.526479721069336","0.5727978944778442","0.5727978944778442","0.5727978944778442","31.561758041381836","31.561758041381836","31.561758041381836","14.655841827392578","14.655841827392578","14.655841827392578","0.5892288088798523","0.5892288088798523","0.5892288088798523"
"2369","21.350969314575195","21.350969314575195","21.350969314575195","9.907694816589355","9.907694816589355","9.907694816589355","0.5586355924606323","0.5586355924606323","0.5586355924606323","27.5299072265625","27.5299072265625","27.5299072265625","20.812477111816406","20.812477111816406","20.812477111816406","0.546006977558136","0.546006977558136","0.546006977558136"
"2399","21.250757217407227","21.250757217407227","21.250757217407227","47.41579055786133","47.41579055786133","47.41579055786133","0.4704322814941406","0.4704322814941406","0.4704322814941406","30.39358901977539","30.39358901977539","30.39358901977539","57.13323974609375","57.13323974609375","57.13323974609375","0.4588135778903961","0.4588135778903961","0.4588135778903961"
