"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","12483.630859375","12483.630859375","12483.630859375","2422.974365234375","2422.974365234375","2422.974365234375","323.955078125","323.955078125","323.955078125","12485.2587890625","12485.2587890625","12485.2587890625","2423.569091796875","2423.569091796875","2423.569091796875","347.771484375","347.771484375","347.771484375"
"59","6662.6650390625","6662.6650390625","6662.6650390625","1325.7196044921875","1325.7196044921875","1325.7196044921875","102.39253997802734","102.39253997802734","102.39253997802734","6655.890625","6655.890625","6655.890625","1323.14404296875","1323.14404296875","1323.14404296875","108.21957397460938","108.21957397460938","108.21957397460938"
"89","5283.84375","5283.84375","5283.84375","976.731689453125","976.731689453125","976.731689453125","55.57730484008789","55.57730484008789","55.57730484008789","5278.484375","5278.484375","5278.484375","973.1527099609375","973.1527099609375","973.1527099609375","54.52085494995117","54.52085494995117","54.52085494995117"
"119","4151.5654296875","4151.5654296875","4151.5654296875","824.9610595703125","824.9610595703125","824.9610595703125","50.11207962036133","50.11207962036133","50.11207962036133","4147.009765625","4147.009765625","4147.009765625","821.500244140625","821.500244140625","821.500244140625","48.98187255859375","48.98187255859375","48.98187255859375"
"149","43116.71484375","43116.71484375","43116.71484375","32851.8359375","32851.8359375","32851.8359375","50.77803421020508","50.77803421020508","50.77803421020508","43090.91015625","43090.91015625","43090.91015625","32802.359375","32802.359375","32802.359375","49.42070388793945","49.42070388793945","49.42070388793945"
"179","34483.453125","34483.453125","34483.453125","25876.267578125","25876.267578125","25876.267578125","33.288997650146484","33.288997650146484","33.288997650146484","34456.56640625","34456.56640625","34456.56640625","25821.333984375","25821.333984375","25821.333984375","31.778060913085938","31.778060913085938","31.778060913085938"
"209","3099.577392578125","3099.577392578125","3099.577392578125","572.9656372070312","572.9656372070312","572.9656372070312","27.422407150268555","27.422407150268555","27.422407150268555","3095.358642578125","3095.358642578125","3095.358642578125","570.1138916015625","570.1138916015625","570.1138916015625","26.308658599853516","26.308658599853516","26.308658599853516"
"239","2700.083984375","2700.083984375","2700.083984375","524.9287719726562","524.9287719726562","524.9287719726562","23.910247802734375","23.910247802734375","23.910247802734375","2696.45751953125","2696.45751953125","2696.45751953125","522.3885498046875","522.3885498046875","522.3885498046875","22.774824142456055","22.774824142456055","22.774824142456055"
"269","2623.041748046875","2623.041748046875","2623.041748046875","446.5096740722656","446.5096740722656","446.5096740722656","17.868820190429688","17.868820190429688","17.868820190429688","2618.975830078125","2618.975830078125","2618.975830078125","444.0155334472656","444.0155334472656","444.0155334472656","16.897014617919922","16.897014617919922","16.897014617919922"
"299","2384.60986328125","2384.60986328125","2384.60986328125","458.8407287597656","458.8407287597656","458.8407287597656","21.77936553955078","21.77936553955078","21.77936553955078","2380.865966796875","2380.865966796875","2380.865966796875","456.5749206542969","456.5749206542969","456.5749206542969","20.732160568237305","20.732160568237305","20.732160568237305"
"329","983.2623901367188","983.2623901367188","983.2623901367188","189.88429260253906","189.88429260253906","189.88429260253906","11.523578643798828","11.523578643798828","11.523578643798828","981.985595703125","981.985595703125","981.985595703125","189.0384063720703","189.0384063720703","189.0384063720703","10.913805961608887","10.913805961608887","10.913805961608887"
"359","1081.34423828125","1081.34423828125","1081.34423828125","214.97811889648438","214.97811889648438","214.97811889648438","12.525592803955078","12.525592803955078","12.525592803955078","1080.2967529296875","1080.2967529296875","1080.2967529296875","214.9042205810547","214.9042205810547","214.9042205810547","11.845175743103027","11.845175743103027","11.845175743103027"
"389","1145.29736328125","1145.29736328125","1145.29736328125","199.62147521972656","199.62147521972656","199.62147521972656","10.272886276245117","10.272886276245117","10.272886276245117","1145.6412353515625","1145.6412353515625","1145.6412353515625","198.601318359375","198.601318359375","198.601318359375","9.649619102478027","9.649619102478027","9.649619102478027"
"419","966.8681030273438","966.8681030273438","966.8681030273438","210.9444122314453","210.9444122314453","210.9444122314453","10.252704620361328","10.252704620361328","10.252704620361328","960.8569946289062","960.8569946289062","960.8569946289062","210.75546264648438","210.75546264648438","210.75546264648438","9.640018463134766","9.640018463134766","9.640018463134766"
"449","1010.8696899414062","1010.8696899414062","1010.8696899414062","190.3978271484375","190.3978271484375","190.3978271484375","9.283535957336426","9.283535957336426","9.283535957336426","1004.5316772460938","1004.5316772460938","1004.5316772460938","191.2755889892578","191.2755889892578","191.2755889892578","8.71349811553955","8.71349811553955","8.71349811553955"
"479","824.4099731445312","824.4099731445312","824.4099731445312","169.80784606933594","169.80784606933594","169.80784606933594","8.669142723083496","8.669142723083496","8.669142723083496","817.6002807617188","817.6002807617188","817.6002807617188","168.48204040527344","168.48204040527344","168.48204040527344","8.156757354736328","8.156757354736328","8.156757354736328"
"509","786.7984008789062","786.7984008789062","786.7984008789062","155.296142578125","155.296142578125","155.296142578125","7.827548503875732","7.827548503875732","7.827548503875732","781.9630126953125","781.9630126953125","781.9630126953125","153.0751953125","153.0751953125","153.0751953125","7.341574668884277","7.341574668884277","7.341574668884277"
"539","827.7049560546875","827.7049560546875","827.7049560546875","193.42640686035156","193.42640686035156","193.42640686035156","6.838948726654053","6.838948726654053","6.838948726654053","820.6184692382812","820.6184692382812","820.6184692382812","202.74273681640625","202.74273681640625","202.74273681640625","6.404940128326416","6.404940128326416","6.404940128326416"
"569","790.404541015625","790.404541015625","790.404541015625","150.11288452148438","150.11288452148438","150.11288452148438","5.782283306121826","5.782283306121826","5.782283306121826","782.2728881835938","782.2728881835938","782.2728881835938","145.57557678222656","145.57557678222656","145.57557678222656","5.43149995803833","5.43149995803833","5.43149995803833"
"599","596.2539672851562","596.2539672851562","596.2539672851562","118.22280883789062","118.22280883789062","118.22280883789062","5.864578723907471","5.864578723907471","5.864578723907471","586.7403564453125","586.7403564453125","586.7403564453125","117.41680145263672","117.41680145263672","117.41680145263672","5.517988204956055","5.517988204956055","5.517988204956055"
"629","622.425048828125","622.425048828125","622.425048828125","132.175048828125","132.175048828125","132.175048828125","5.762978553771973","5.762978553771973","5.762978553771973","607.3403930664062","607.3403930664062","607.3403930664062","129.973388671875","129.973388671875","129.973388671875","5.458515644073486","5.458515644073486","5.458515644073486"
