"Step","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_false_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_standard_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_topk_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l0__MAX","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MIN","layer_0_residual_mid_gpt2_gated_fisher_true_project_TinyStories - sparsity.l0__MAX"
"8399","12141.5654296875","12141.5654296875","12141.5654296875","100","100","100","12139.546875","12139.546875","12139.546875","694.3967895507812","694.3967895507812","694.3967895507812","9922.490234375","9922.490234375","9922.490234375","100","100","100","9948.5458984375","9948.5458984375","9948.5458984375","538.3756103515625","538.3756103515625","538.3756103515625"
"8999","12140.6435546875","12140.6435546875","12140.6435546875","100","100","100","12136.76171875","12136.76171875","12136.76171875","662.7747192382812","662.7747192382812","662.7747192382812","9774.3330078125","9774.3330078125","9774.3330078125","100","100","100","9805.07421875","9805.07421875","9805.07421875","515.3045654296875","515.3045654296875","515.3045654296875"
"9599","12140.25390625","12140.25390625","12140.25390625","100","100","100","12139.0341796875","12139.0341796875","12139.0341796875","638.6493530273438","638.6493530273438","638.6493530273438","9654.6943359375","9654.6943359375","9654.6943359375","100","100","100","9688.1123046875","9688.1123046875","9688.1123046875","495.2275390625","495.2275390625","495.2275390625"
"10199","12142.857421875","12142.857421875","12142.857421875","100","100","100","12138.576171875","12138.576171875","12138.576171875","615.0223388671875","615.0223388671875","615.0223388671875","9526.4970703125","9526.4970703125","9526.4970703125","100","100","100","9552.2880859375","9552.2880859375","9552.2880859375","478.2173767089844","478.2173767089844","478.2173767089844"
"10799","12147.232421875","12147.232421875","12147.232421875","100","100","100","12140.4912109375","12140.4912109375","12140.4912109375","583.74072265625","583.74072265625","583.74072265625","9421.0009765625","9421.0009765625","9421.0009765625","100","100","100","9447.4736328125","9447.4736328125","9447.4736328125","454.1154479980469","454.1154479980469","454.1154479980469"
"11399","12148.970703125","12148.970703125","12148.970703125","100","100","100","12140.0380859375","12140.0380859375","12140.0380859375","573.5554809570312","573.5554809570312","573.5554809570312","9318.1171875","9318.1171875","9318.1171875","100","100","100","9346.7490234375","9346.7490234375","9346.7490234375","444.6281433105469","444.6281433105469","444.6281433105469"
"11999","12142.8544921875","12142.8544921875","12142.8544921875","100","100","100","12139.0517578125","12139.0517578125","12139.0517578125","551.1116333007812","551.1116333007812","551.1116333007812","9217.4833984375","9217.4833984375","9217.4833984375","100","100","100","9240.4091796875","9240.4091796875","9240.4091796875","428.7002868652344","428.7002868652344","428.7002868652344"
"12599","12142.1396484375","12142.1396484375","12142.1396484375","100","100","100","12141.130859375","12141.130859375","12141.130859375","532.1847534179688","532.1847534179688","532.1847534179688","9124.30078125","9124.30078125","9124.30078125","100","100","100","9151.43359375","9151.43359375","9151.43359375","413.70147705078125","413.70147705078125","413.70147705078125"
"13199","12139.6318359375","12139.6318359375","12139.6318359375","100","100","100","12137.5263671875","12137.5263671875","12137.5263671875","518.96435546875","518.96435546875","518.96435546875","9030.818359375","9030.818359375","9030.818359375","100","100","100","9059.826171875","9059.826171875","9059.826171875","403.3595886230469","403.3595886230469","403.3595886230469"
"13799","12139.1083984375","12139.1083984375","12139.1083984375","100","100","100","12137.0732421875","12137.0732421875","12137.0732421875","498.9105529785156","498.9105529785156","498.9105529785156","8942.3720703125","8942.3720703125","8942.3720703125","100","100","100","8969.5107421875","8969.5107421875","8969.5107421875","389.1422119140625","389.1422119140625","389.1422119140625"
