"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","8.071269035339355","8.071269035339355","8.071269035339355","7.032948970794678","7.032948970794678","7.032948970794678","21.646747589111328","21.646747589111328","21.646747589111328"
"59","11.607342720031738","11.607342720031738","11.607342720031738","9.495532989501953","9.495532989501953","9.495532989501953","25.36301040649414","25.36301040649414","25.36301040649414"
"89","8.670598030090332","8.670598030090332","8.670598030090332","9.057051658630371","9.057051658630371","9.057051658630371","20.110939025878906","20.110939025878906","20.110939025878906"
"119","6.76637077331543","6.76637077331543","6.76637077331543","8.040531158447266","8.040531158447266","8.040531158447266","16.269702911376953","16.269702911376953","16.269702911376953"
"149","39.42742156982422","39.42742156982422","39.42742156982422","61.300662994384766","61.300662994384766","61.300662994384766","13.17471694946289","13.17471694946289","13.17471694946289"
"179","42.04534149169922","42.04534149169922","42.04534149169922","62.29161071777344","62.29161071777344","62.29161071777344","11.753703117370605","11.753703117370605","11.753703117370605"
"209","4.819454669952393","4.819454669952393","4.819454669952393","6.127132415771484","6.127132415771484","6.127132415771484","11.226210594177246","11.226210594177246","11.226210594177246"
"239","4.821985244750977","4.821985244750977","4.821985244750977","5.192357063293457","5.192357063293457","5.192357063293457","9.618250846862793","9.618250846862793","9.618250846862793"
"269","4.543008804321289","4.543008804321289","4.543008804321289","5.423356056213379","5.423356056213379","5.423356056213379","9.346892356872559","9.346892356872559","9.346892356872559"
"299","4.050418376922607","4.050418376922607","4.050418376922607","5.113465309143066","5.113465309143066","5.113465309143066","8.023263931274414","8.023263931274414","8.023263931274414"
