"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"6599","310.0541076660156","310.0541076660156","310.0541076660156","218.9687957763672","218.9687957763672","218.9687957763672","188.383544921875","188.383544921875","188.383544921875","299.96575927734375","299.96575927734375","299.96575927734375","216.89883422851562","216.89883422851562","216.89883422851562","185.7301483154297","185.7301483154297","185.7301483154297"
"7199","288.7458801269531","288.7458801269531","288.7458801269531","212.5679168701172","212.5679168701172","212.5679168701172","180.1795196533203","180.1795196533203","180.1795196533203","278.9625549316406","278.9625549316406","278.9625549316406","210.6504669189453","210.6504669189453","210.6504669189453","177.5553741455078","177.5553741455078","177.5553741455078"
"7799","260.1465759277344","260.1465759277344","260.1465759277344","203.83901977539062","203.83901977539062","203.83901977539062","174.52249145507812","174.52249145507812","174.52249145507812","251.44065856933594","251.44065856933594","251.44065856933594","202.0330810546875","202.0330810546875","202.0330810546875","172.1291961669922","172.1291961669922","172.1291961669922"
"8399","265.1376953125","265.1376953125","265.1376953125","188.37770080566406","188.37770080566406","188.37770080566406","161.03250122070312","161.03250122070312","161.03250122070312","255.9049835205078","255.9049835205078","255.9049835205078","186.690185546875","186.690185546875","186.690185546875","158.90966796875","158.90966796875","158.90966796875"
"8999","253.0584716796875","253.0584716796875","253.0584716796875","187.9730682373047","187.9730682373047","187.9730682373047","159.6857147216797","159.6857147216797","159.6857147216797","243.1628875732422","243.1628875732422","243.1628875732422","186.3246307373047","186.3246307373047","186.3246307373047","157.3278045654297","157.3278045654297","157.3278045654297"
"9599","240.40098571777344","240.40098571777344","240.40098571777344","178.80210876464844","178.80210876464844","178.80210876464844","150.98989868164062","150.98989868164062","150.98989868164062","231.3806915283203","231.3806915283203","231.3806915283203","177.32937622070312","177.32937622070312","177.32937622070312","148.7346954345703","148.7346954345703","148.7346954345703"
"10199","234.34280395507812","234.34280395507812","234.34280395507812","178.09793090820312","178.09793090820312","178.09793090820312","148.33740234375","148.33740234375","148.33740234375","225.42369079589844","225.42369079589844","225.42369079589844","176.551513671875","176.551513671875","176.551513671875","146.51220703125","146.51220703125","146.51220703125"
"10799","224.9900360107422","224.9900360107422","224.9900360107422","172.18682861328125","172.18682861328125","172.18682861328125","143.8732452392578","143.8732452392578","143.8732452392578","215.81460571289062","215.81460571289062","215.81460571289062","170.6399383544922","170.6399383544922","170.6399383544922","141.93980407714844","141.93980407714844","141.93980407714844"
"11399","214.8781280517578","214.8781280517578","214.8781280517578","164.10670471191406","164.10670471191406","164.10670471191406","137.13711547851562","137.13711547851562","137.13711547851562","206.5353546142578","206.5353546142578","206.5353546142578","162.72447204589844","162.72447204589844","162.72447204589844","135.64453125","135.64453125","135.64453125"
"11999","217.95860290527344","217.95860290527344","217.95860290527344","161.1105194091797","161.1105194091797","161.1105194091797","133.2493133544922","133.2493133544922","133.2493133544922","209.03726196289062","209.03726196289062","209.03726196289062","159.71572875976562","159.71572875976562","159.71572875976562","131.85484313964844","131.85484313964844","131.85484313964844"
"12599","203.3370361328125","203.3370361328125","203.3370361328125","153.7109375","153.7109375","153.7109375","127.17864227294922","127.17864227294922","127.17864227294922","195.27822875976562","195.27822875976562","195.27822875976562","152.6568603515625","152.6568603515625","152.6568603515625","125.8508529663086","125.8508529663086","125.8508529663086"
"13199","197.471435546875","197.471435546875","197.471435546875","152.0314178466797","152.0314178466797","152.0314178466797","126.07988739013672","126.07988739013672","126.07988739013672","189.2877655029297","189.2877655029297","189.2877655029297","150.70338439941406","150.70338439941406","150.70338439941406","124.73542785644531","124.73542785644531","124.73542785644531"
"13799","192.6793212890625","192.6793212890625","192.6793212890625","150.89805603027344","150.89805603027344","150.89805603027344","124.034423828125","124.034423828125","124.034423828125","184.960693359375","184.960693359375","184.960693359375","149.6893768310547","149.6893768310547","149.6893768310547","122.70122528076172","122.70122528076172","122.70122528076172"
"14399","186.99063110351562","186.99063110351562","186.99063110351562","147.20098876953125","147.20098876953125","147.20098876953125","121.557861328125","121.557861328125","121.557861328125","178.82920837402344","178.82920837402344","178.82920837402344","145.90701293945312","145.90701293945312","145.90701293945312","120.26234436035156","120.26234436035156","120.26234436035156"
"14999","181.358154296875","181.358154296875","181.358154296875","141.99777221679688","141.99777221679688","141.99777221679688","117.62794494628906","117.62794494628906","117.62794494628906","173.747802734375","173.747802734375","173.747802734375","140.8851318359375","140.8851318359375","140.8851318359375","116.4771957397461","116.4771957397461","116.4771957397461"
"15599","181.6494140625","181.6494140625","181.6494140625","137.47142028808594","137.47142028808594","137.47142028808594","113.14363861083984","113.14363861083984","113.14363861083984","173.8921661376953","173.8921661376953","173.8921661376953","136.37823486328125","136.37823486328125","136.37823486328125","111.97039794921875","111.97039794921875","111.97039794921875"
"16199","175.76234436035156","175.76234436035156","175.76234436035156","134.4826202392578","134.4826202392578","134.4826202392578","110.25830078125","110.25830078125","110.25830078125","168.12376403808594","168.12376403808594","168.12376403808594","133.49209594726562","133.49209594726562","133.49209594726562","109.1917724609375","109.1917724609375","109.1917724609375"
"16799","170.7634735107422","170.7634735107422","170.7634735107422","133.83575439453125","133.83575439453125","133.83575439453125","108.76171875","108.76171875","108.76171875","163.6017303466797","163.6017303466797","163.6017303466797","132.73583984375","132.73583984375","132.73583984375","107.8178482055664","107.8178482055664","107.8178482055664"
"17399","166.9548797607422","166.9548797607422","166.9548797607422","131.05667114257812","131.05667114257812","131.05667114257812","108.4325180053711","108.4325180053711","108.4325180053711","160.6861114501953","160.6861114501953","160.6861114501953","130.01048278808594","130.01048278808594","130.01048278808594","107.3313217163086","107.3313217163086","107.3313217163086"
"17999","167.23355102539062","167.23355102539062","167.23355102539062","131.20619201660156","131.20619201660156","131.20619201660156","106.60176849365234","106.60176849365234","106.60176849365234","161.08132934570312","161.08132934570312","161.08132934570312","130.2235565185547","130.2235565185547","130.2235565185547","105.6169662475586","105.6169662475586","105.6169662475586"
"18599","155.17576599121094","155.17576599121094","155.17576599121094","127.07897186279297","127.07897186279297","127.07897186279297","104.44426727294922","104.44426727294922","104.44426727294922","148.365478515625","148.365478515625","148.365478515625","126.20977020263672","126.20977020263672","126.20977020263672","103.27252197265625","103.27252197265625","103.27252197265625"
"19199","158.8063201904297","158.8063201904297","158.8063201904297","122.09344482421875","122.09344482421875","122.09344482421875","99.47451782226562","99.47451782226562","99.47451782226562","152.2921142578125","152.2921142578125","152.2921142578125","121.183349609375","121.183349609375","121.183349609375","98.52531433105469","98.52531433105469","98.52531433105469"
"19799","151.59178161621094","151.59178161621094","151.59178161621094","121.38079071044922","121.38079071044922","121.38079071044922","98.9655532836914","98.9655532836914","98.9655532836914","145.82244873046875","145.82244873046875","145.82244873046875","120.47002410888672","120.47002410888672","120.47002410888672","98.00129699707031","98.00129699707031","98.00129699707031"
