"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"599","2708.7490234375","2708.7490234375","2708.7490234375","1317.4046630859375","1317.4046630859375","1317.4046630859375","1186.4622802734375","1186.4622802734375","1186.4622802734375","2681.414794921875","2681.414794921875","2681.414794921875","1330.1884765625","1330.1884765625","1330.1884765625","1183.1865234375","1183.1865234375","1183.1865234375"
"1199","1925.9520263671875","1925.9520263671875","1925.9520263671875","1014.68212890625","1014.68212890625","1014.68212890625","808.5216064453125","808.5216064453125","808.5216064453125","1888.5950927734375","1888.5950927734375","1888.5950927734375","1016.0386962890625","1016.0386962890625","1016.0386962890625","807.8915405273438","807.8915405273438","807.8915405273438"
"1799","1509.313720703125","1509.313720703125","1509.313720703125","865.6910400390625","865.6910400390625","865.6910400390625","636.68212890625","636.68212890625","636.68212890625","1464.915771484375","1464.915771484375","1464.915771484375","864.1932983398438","864.1932983398438","864.1932983398438","635.57958984375","635.57958984375","635.57958984375"
"2399","1275.614501953125","1275.614501953125","1275.614501953125","718.5899658203125","718.5899658203125","718.5899658203125","534.0221557617188","534.0221557617188","534.0221557617188","1221.6778564453125","1221.6778564453125","1221.6778564453125","717.1170043945312","717.1170043945312","717.1170043945312","533.287109375","533.287109375","533.287109375"
"2999","1065.704345703125","1065.704345703125","1065.704345703125","608.7849731445312","608.7849731445312","608.7849731445312","463.4496154785156","463.4496154785156","463.4496154785156","1007.3987426757812","1007.3987426757812","1007.3987426757812","606.797607421875","606.797607421875","606.797607421875","462.67364501953125","462.67364501953125","462.67364501953125"
"3599","958.3099975585938","958.3099975585938","958.3099975585938","546.2310791015625","546.2310791015625","546.2310791015625","413.80743408203125","413.80743408203125","413.80743408203125","892.8386840820312","892.8386840820312","892.8386840820312","544.9532470703125","544.9532470703125","544.9532470703125","411.93341064453125","411.93341064453125","411.93341064453125"
"4199","858.5549926757812","858.5549926757812","858.5549926757812","484.94317626953125","484.94317626953125","484.94317626953125","374.1819763183594","374.1819763183594","374.1819763183594","788.8837280273438","788.8837280273438","788.8837280273438","483.72833251953125","483.72833251953125","483.72833251953125","370.88885498046875","370.88885498046875","370.88885498046875"
"4799","811.6890869140625","811.6890869140625","811.6890869140625","447.25439453125","447.25439453125","447.25439453125","343.1922607421875","343.1922607421875","343.1922607421875","735.5050048828125","735.5050048828125","735.5050048828125","446.2311706542969","446.2311706542969","446.2311706542969","338.8993835449219","338.8993835449219","338.8993835449219"
"5399","742.0725708007812","742.0725708007812","742.0725708007812","429.9593200683594","429.9593200683594","429.9593200683594","323.8986511230469","323.8986511230469","323.8986511230469","666.1831665039062","666.1831665039062","666.1831665039062","428.2320251464844","428.2320251464844","428.2320251464844","318.575439453125","318.575439453125","318.575439453125"
"5999","721.1935424804688","721.1935424804688","721.1935424804688","397.25396728515625","397.25396728515625","397.25396728515625","300.29779052734375","300.29779052734375","300.29779052734375","638.7787475585938","638.7787475585938","638.7787475585938","396.41607666015625","396.41607666015625","396.41607666015625","295.0364685058594","295.0364685058594","295.0364685058594"
"6599","695.5030517578125","695.5030517578125","695.5030517578125","370.64599609375","370.64599609375","370.64599609375","284.2195739746094","284.2195739746094","284.2195739746094","610.7478637695312","610.7478637695312","610.7478637695312","370.5947570800781","370.5947570800781","370.5947570800781","277.5890197753906","277.5890197753906","277.5890197753906"
"7199","650.78662109375","650.78662109375","650.78662109375","352.9612121582031","352.9612121582031","352.9612121582031","270.769287109375","270.769287109375","270.769287109375","567.9640502929688","567.9640502929688","567.9640502929688","352.6985168457031","352.6985168457031","352.6985168457031","263.5562744140625","263.5562744140625","263.5562744140625"
"7799","604.4716186523438","604.4716186523438","604.4716186523438","332.2149658203125","332.2149658203125","332.2149658203125","258.54095458984375","258.54095458984375","258.54095458984375","525.9902954101562","525.9902954101562","525.9902954101562","331.8964538574219","331.8964538574219","331.8964538574219","252.08291625976562","252.08291625976562","252.08291625976562"
"8399","604.5989379882812","604.5989379882812","604.5989379882812","307.6246032714844","307.6246032714844","307.6246032714844","244.20278930664062","244.20278930664062","244.20278930664062","521.0291137695312","521.0291137695312","521.0291137695312","307.3235778808594","307.3235778808594","307.3235778808594","238.062255859375","238.062255859375","238.062255859375"
