"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","46.67505645751953","46.67505645751953","46.67505645751953","9.003107070922852","9.003107070922852","9.003107070922852","15.085932731628418","15.085932731628418","15.085932731628418"
"59","37.242828369140625","37.242828369140625","37.242828369140625","7.578025817871094","7.578025817871094","7.578025817871094","13.325529098510742","13.325529098510742","13.325529098510742"
"89","29.13260841369629","29.13260841369629","29.13260841369629","7.026930809020996","7.026930809020996","7.026930809020996","8.846905708312988","8.846905708312988","8.846905708312988"
"119","23.53544044494629","23.53544044494629","23.53544044494629","5.868608474731445","5.868608474731445","5.868608474731445","8.100957870483398","8.100957870483398","8.100957870483398"
"149","22.87618637084961","22.87618637084961","22.87618637084961","9.233431816101074","9.233431816101074","9.233431816101074","11.29537582397461","11.29537582397461","11.29537582397461"
"179","20.62846565246582","20.62846565246582","20.62846565246582","9.686241149902344","9.686241149902344","9.686241149902344","12.153165817260742","12.153165817260742","12.153165817260742"
"209","18.699682235717773","18.699682235717773","18.699682235717773","5.289467811584473","5.289467811584473","5.289467811584473","6.923046588897705","6.923046588897705","6.923046588897705"
"239","16.15134620666504","16.15134620666504","16.15134620666504","5.203174114227295","5.203174114227295","5.203174114227295","6.981722354888916","6.981722354888916","6.981722354888916"
"269","15.750336647033691","15.750336647033691","15.750336647033691","4.716036796569824","4.716036796569824","4.716036796569824","7.085758686065674","7.085758686065674","7.085758686065674"
"299","13.036444664001465","13.036444664001465","13.036444664001465","4.44207763671875","4.44207763671875","4.44207763671875","5.77108097076416","5.77108097076416","5.77108097076416"
"329","29.56319808959961","29.56319808959961","29.56319808959961","6.106866359710693","6.106866359710693","6.106866359710693","5.67390251159668","5.67390251159668","5.67390251159668"
"359","27.052602767944336","27.052602767944336","27.052602767944336","5.2971720695495605","5.2971720695495605","5.2971720695495605","6.408907413482666","6.408907413482666","6.408907413482666"
"389","23.184101104736328","23.184101104736328","23.184101104736328","6.091647148132324","6.091647148132324","6.091647148132324","5.559586524963379","5.559586524963379","5.559586524963379"
"419","21.51498031616211","21.51498031616211","21.51498031616211","5.420868396759033","5.420868396759033","5.420868396759033","5.554808139801025","5.554808139801025","5.554808139801025"
"449","20.964452743530273","20.964452743530273","20.964452743530273","5.76603889465332","5.76603889465332","5.76603889465332","5.941501140594482","5.941501140594482","5.941501140594482"
"479","17.81260108947754","17.81260108947754","17.81260108947754","6.151212215423584","6.151212215423584","6.151212215423584","5.206591606140137","5.206591606140137","5.206591606140137"
"509","20.747690200805664","20.747690200805664","20.747690200805664","6.320715427398682","6.320715427398682","6.320715427398682","5.644322395324707","5.644322395324707","5.644322395324707"
"539","16.902692794799805","16.902692794799805","16.902692794799805","12.482172966003418","12.482172966003418","12.482172966003418","9.033896446228027","9.033896446228027","9.033896446228027"
"569","17.354232788085938","17.354232788085938","17.354232788085938","5.706249237060547","5.706249237060547","5.706249237060547","5.600028991699219","5.600028991699219","5.600028991699219"
"599","18.609683990478516","18.609683990478516","18.609683990478516","6.175581455230713","6.175581455230713","6.175581455230713","4.9020843505859375","4.9020843505859375","4.9020843505859375"
"629","17.64802360534668","17.64802360534668","17.64802360534668","5.37551212310791","5.37551212310791","5.37551212310791","4.960896015167236","4.960896015167236","4.960896015167236"
"659","17.422775268554688","17.422775268554688","17.422775268554688","5.04554557800293","5.04554557800293","5.04554557800293","4.8048553466796875","4.8048553466796875","4.8048553466796875"
"689","17.43321990966797","17.43321990966797","17.43321990966797","5.931628704071045","5.931628704071045","5.931628704071045","7.06272029876709","7.06272029876709","7.06272029876709"
"719","17.375205993652344","17.375205993652344","17.375205993652344","5.84918212890625","5.84918212890625","5.84918212890625","5.699882507324219","5.699882507324219","5.699882507324219"
"749","15.157193183898926","15.157193183898926","15.157193183898926","5.786004543304443","5.786004543304443","5.786004543304443","5.349620342254639","5.349620342254639","5.349620342254639"
"779","15.25127124786377","15.25127124786377","15.25127124786377","4.885719299316406","4.885719299316406","4.885719299316406","4.254810810089111","4.254810810089111","4.254810810089111"
"809","14.49837875366211","14.49837875366211","14.49837875366211","5.71652889251709","5.71652889251709","5.71652889251709","6.443920612335205","6.443920612335205","6.443920612335205"
"839","15.871186256408691","15.871186256408691","15.871186256408691","5.266376972198486","5.266376972198486","5.266376972198486","4.65217399597168","4.65217399597168","4.65217399597168"
"869","13.6591157913208","13.6591157913208","13.6591157913208","6.569185256958008","6.569185256958008","6.569185256958008","6.541585445404053","6.541585445404053","6.541585445404053"
"899","14.934833526611328","14.934833526611328","14.934833526611328","4.521022796630859","4.521022796630859","4.521022796630859","4.214446544647217","4.214446544647217","4.214446544647217"
"929","15.503832817077637","15.503832817077637","15.503832817077637","4.464291095733643","4.464291095733643","4.464291095733643","4.101719856262207","4.101719856262207","4.101719856262207"
"959","12.235946655273438","12.235946655273438","12.235946655273438","8.279583930969238","8.279583930969238","8.279583930969238","6.026447772979736","6.026447772979736","6.026447772979736"
"989","14.651201248168945","14.651201248168945","14.651201248168945","4.9138078689575195","4.9138078689575195","4.9138078689575195","4.865834712982178","4.865834712982178","4.865834712982178"
"1019","13.5413818359375","13.5413818359375","13.5413818359375","5.234401702880859","5.234401702880859","5.234401702880859","6.8424296379089355","6.8424296379089355","6.8424296379089355"
"1049","12.885127067565918","12.885127067565918","12.885127067565918","4.131484031677246","4.131484031677246","4.131484031677246","4.22786808013916","4.22786808013916","4.22786808013916"
"1079","14.71080493927002","14.71080493927002","14.71080493927002","5.152952671051025","5.152952671051025","5.152952671051025","4.64028787612915","4.64028787612915","4.64028787612915"
"1109","12.582868576049805","12.582868576049805","12.582868576049805","5.259492874145508","5.259492874145508","5.259492874145508","5.658010005950928","5.658010005950928","5.658010005950928"
"1139","12.967839241027832","12.967839241027832","12.967839241027832","4.912219524383545","4.912219524383545","4.912219524383545","4.496774196624756","4.496774196624756","4.496774196624756"
"1169","12.558439254760742","12.558439254760742","12.558439254760742","5.19849967956543","5.19849967956543","5.19849967956543","4.122014045715332","4.122014045715332","4.122014045715332"
"1199","11.369338989257812","11.369338989257812","11.369338989257812","4.728109836578369","4.728109836578369","4.728109836578369","3.815433979034424","3.815433979034424","3.815433979034424"
"1229","11.048971176147461","11.048971176147461","11.048971176147461","5.434283256530762","5.434283256530762","5.434283256530762","7.933596134185791","7.933596134185791","7.933596134185791"
"1259","11.65921688079834","11.65921688079834","11.65921688079834","4.787415981292725","4.787415981292725","4.787415981292725","4.854287624359131","4.854287624359131","4.854287624359131"
"1289","10.969061851501465","10.969061851501465","10.969061851501465","3.7960171699523926","3.7960171699523926","3.7960171699523926","3.861807107925415","3.861807107925415","3.861807107925415"
"1319","12.145548820495605","12.145548820495605","12.145548820495605","5.803884029388428","5.803884029388428","5.803884029388428","5.004022598266602","5.004022598266602","5.004022598266602"
