"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","46.66487503051758","46.66487503051758","46.66487503051758","8.990336418151855","8.990336418151855","8.990336418151855","15.081305503845215","15.081305503845215","15.081305503845215"
"59","37.229671478271484","37.229671478271484","37.229671478271484","7.563921928405762","7.563921928405762","7.563921928405762","13.305707931518555","13.305707931518555","13.305707931518555"
"89","29.122343063354492","29.122343063354492","29.122343063354492","7.007691383361816","7.007691383361816","7.007691383361816","8.841450691223145","8.841450691223145","8.841450691223145"
"119","23.528066635131836","23.528066635131836","23.528066635131836","5.855504512786865","5.855504512786865","5.855504512786865","8.091676712036133","8.091676712036133","8.091676712036133"
"149","22.86455535888672","22.86455535888672","22.86455535888672","9.225607872009277","9.225607872009277","9.225607872009277","11.29269790649414","11.29269790649414","11.29269790649414"
"179","20.617572784423828","20.617572784423828","20.617572784423828","9.678934097290039","9.678934097290039","9.678934097290039","12.149581909179688","12.149581909179688","12.149581909179688"
"209","18.690425872802734","18.690425872802734","18.690425872802734","5.279638767242432","5.279638767242432","5.279638767242432","6.916476726531982","6.916476726531982","6.916476726531982"
"239","16.14488410949707","16.14488410949707","16.14488410949707","5.1853227615356445","5.1853227615356445","5.1853227615356445","6.973835468292236","6.973835468292236","6.973835468292236"
"269","15.74357795715332","15.74357795715332","15.74357795715332","4.707706928253174","4.707706928253174","4.707706928253174","7.07540225982666","7.07540225982666","7.07540225982666"
"299","13.028815269470215","13.028815269470215","13.028815269470215","4.429703235626221","4.429703235626221","4.429703235626221","5.762874126434326","5.762874126434326","5.762874126434326"
"329","29.531368255615234","29.531368255615234","29.531368255615234","6.079929828643799","6.079929828643799","6.079929828643799","5.666072845458984","5.666072845458984","5.666072845458984"
"359","27.01588249206543","27.01588249206543","27.01588249206543","5.283199787139893","5.283199787139893","5.283199787139893","6.401716232299805","6.401716232299805","6.401716232299805"
