"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX"
"10199","12210.6591796875","12210.6591796875","12210.6591796875","12194.048828125","12194.048828125","12194.048828125","12167.9169921875","12167.9169921875","12167.9169921875","11440.2294921875","11440.2294921875","11440.2294921875","11836.6923828125","11836.6923828125","11836.6923828125","12015.673828125","12015.673828125","12015.673828125"
"10799","12204.2021484375","12204.2021484375","12204.2021484375","12178.8193359375","12178.8193359375","12178.8193359375","12166.6376953125","12166.6376953125","12166.6376953125","11450.7490234375","11450.7490234375","11450.7490234375","11827.287109375","11827.287109375","11827.287109375","12015.2265625","12015.2265625","12015.2265625"
"11399","12216.880859375","12216.880859375","12216.880859375","12205.171875","12205.171875","12205.171875","12174.25","12174.25","12174.25","11471.0517578125","11471.0517578125","11471.0517578125","11852.6435546875","11852.6435546875","11852.6435546875","12034.7607421875","12034.7607421875","12034.7607421875"
"11999","12209.611328125","12209.611328125","12209.611328125","12204.51953125","12204.51953125","12204.51953125","12179.6142578125","12179.6142578125","12179.6142578125","11466.6396484375","11466.6396484375","11466.6396484375","11852.1591796875","11852.1591796875","11852.1591796875","12027.26953125","12027.26953125","12027.26953125"
"12599","12215.1318359375","12215.1318359375","12215.1318359375","12212.2890625","12212.2890625","12212.2890625","12185.2578125","12185.2578125","12185.2578125","11481.8115234375","11481.8115234375","11481.8115234375","11870.5322265625","11870.5322265625","11870.5322265625","12048.7109375","12048.7109375","12048.7109375"
"13199","12217.91796875","12217.91796875","12217.91796875","12216.923828125","12216.923828125","12216.923828125","12186.7529296875","12186.7529296875","12186.7529296875","11468.0439453125","11468.0439453125","11468.0439453125","11859.2958984375","11859.2958984375","11859.2958984375","12038.501953125","12038.501953125","12038.501953125"
"13799","12210.0380859375","12210.0380859375","12210.0380859375","12208.705078125","12208.705078125","12208.705078125","12175.1953125","12175.1953125","12175.1953125","11461.5849609375","11461.5849609375","11461.5849609375","11848.384765625","11848.384765625","11848.384765625","12033.255859375","12033.255859375","12033.255859375"
"14399","12212.8984375","12212.8984375","12212.8984375","12209.2490234375","12209.2490234375","12209.2490234375","12193.875","12193.875","12193.875","11455.1064453125","11455.1064453125","11455.1064453125","11846.9990234375","11846.9990234375","11846.9990234375","12038.5966796875","12038.5966796875","12038.5966796875"
"14999","12214.4560546875","12214.4560546875","12214.4560546875","12213.0625","12213.0625","12213.0625","12182.689453125","12182.689453125","12182.689453125","11450.4853515625","11450.4853515625","11450.4853515625","11863.140625","11863.140625","11863.140625","12038.6767578125","12038.6767578125","12038.6767578125"
"15599","12215.7021484375","12215.7021484375","12215.7021484375","12214.5908203125","12214.5908203125","12214.5908203125","12180.8701171875","12180.8701171875","12180.8701171875","11442.0224609375","11442.0224609375","11442.0224609375","11872.54296875","11872.54296875","11872.54296875","12047.3544921875","12047.3544921875","12047.3544921875"
"16199","12201.9716796875","12201.9716796875","12201.9716796875","12204.642578125","12204.642578125","12204.642578125","12184.6630859375","12184.6630859375","12184.6630859375","11431.6982421875","11431.6982421875","11431.6982421875","11855.2685546875","11855.2685546875","11855.2685546875","12042.8701171875","12042.8701171875","12042.8701171875"
"16799","12212.689453125","12212.689453125","12212.689453125","12214.3740234375","12214.3740234375","12214.3740234375","12185.81640625","12185.81640625","12185.81640625","11415.177734375","11415.177734375","11415.177734375","11863.4404296875","11863.4404296875","11863.4404296875","12036.9208984375","12036.9208984375","12036.9208984375"
"17399","12201.134765625","12201.134765625","12201.134765625","12214.1083984375","12214.1083984375","12214.1083984375","12176.095703125","12176.095703125","12176.095703125","11399.9169921875","11399.9169921875","11399.9169921875","11852.9248046875","11852.9248046875","11852.9248046875","12033.158203125","12033.158203125","12033.158203125"
"17999","12212.28125","12212.28125","12212.28125","12207.3076171875","12207.3076171875","12207.3076171875","12191.462890625","12191.462890625","12191.462890625","11388.53125","11388.53125","11388.53125","11842.0068359375","11842.0068359375","11842.0068359375","12028.6865234375","12028.6865234375","12028.6865234375"
"18599","12208.4384765625","12208.4384765625","12208.4384765625","12219.689453125","12219.689453125","12219.689453125","12188.3544921875","12188.3544921875","12188.3544921875","11380.9052734375","11380.9052734375","11380.9052734375","11846.5224609375","11846.5224609375","11846.5224609375","12030.6982421875","12030.6982421875","12030.6982421875"
"19199","12203.8828125","12203.8828125","12203.8828125","12213.0830078125","12213.0830078125","12213.0830078125","12180.744140625","12180.744140625","12180.744140625","11375.0029296875","11375.0029296875","11375.0029296875","11856.5615234375","11856.5615234375","11856.5615234375","12034.5849609375","12034.5849609375","12034.5849609375"
"19799","12204.90625","12204.90625","12204.90625","12213.390625","12213.390625","12213.390625","12184.5458984375","12184.5458984375","12184.5458984375","11365.9482421875","11365.9482421875","11365.9482421875","11861.359375","11861.359375","11861.359375","12028.634765625","12028.634765625","12028.634765625"
