"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","1739.08740234375","1739.08740234375","1739.08740234375","166.39923095703125","166.39923095703125","166.39923095703125","316.0321960449219","316.0321960449219","316.0321960449219","1748.652587890625","1748.652587890625","1748.652587890625","167.0447235107422","167.0447235107422","167.0447235107422","315.0867614746094","315.0867614746094","315.0867614746094"
"59","740.5843505859375","740.5843505859375","740.5843505859375","100.81926727294922","100.81926727294922","100.81926727294922","136.67445373535156","136.67445373535156","136.67445373535156","730.3607788085938","730.3607788085938","730.3607788085938","99.0142822265625","99.0142822265625","99.0142822265625","134.2921905517578","134.2921905517578","134.2921905517578"
"89","491.20648193359375","491.20648193359375","491.20648193359375","87.4986343383789","87.4986343383789","87.4986343383789","130.8520965576172","130.8520965576172","130.8520965576172","482.75640869140625","482.75640869140625","482.75640869140625","84.2960205078125","84.2960205078125","84.2960205078125","126.79747772216797","126.79747772216797","126.79747772216797"
"119","462.61962890625","462.61962890625","462.61962890625","78.74766540527344","78.74766540527344","78.74766540527344","124.68647003173828","124.68647003173828","124.68647003173828","453.3046875","453.3046875","453.3046875","76.09722137451172","76.09722137451172","76.09722137451172","120.70936584472656","120.70936584472656","120.70936584472656"
"149","386.18463134765625","386.18463134765625","386.18463134765625","112.04769134521484","112.04769134521484","112.04769134521484","169.4326171875","169.4326171875","169.4326171875","378.2227783203125","378.2227783203125","378.2227783203125","109.47573852539062","109.47573852539062","109.47573852539062","169.003173828125","169.003173828125","169.003173828125"
"179","316.8157653808594","316.8157653808594","316.8157653808594","83.15084838867188","83.15084838867188","83.15084838867188","115.87869262695312","115.87869262695312","115.87869262695312","308.86517333984375","308.86517333984375","308.86517333984375","80.79244995117188","80.79244995117188","80.79244995117188","116.50106811523438","116.50106811523438","116.50106811523438"
"209","274.6337890625","274.6337890625","274.6337890625","48.05841064453125","48.05841064453125","48.05841064453125","65.61217498779297","65.61217498779297","65.61217498779297","267.41357421875","267.41357421875","267.41357421875","45.36655807495117","45.36655807495117","45.36655807495117","63.12323760986328","63.12323760986328","63.12323760986328"
"239","270.7894592285156","270.7894592285156","270.7894592285156","49.536014556884766","49.536014556884766","49.536014556884766","58.70840835571289","58.70840835571289","58.70840835571289","260.9623107910156","260.9623107910156","260.9623107910156","46.79836654663086","46.79836654663086","46.79836654663086","56.39773178100586","56.39773178100586","56.39773178100586"
"269","216.93153381347656","216.93153381347656","216.93153381347656","40.3620491027832","40.3620491027832","40.3620491027832","41.465965270996094","41.465965270996094","41.465965270996094","210.08612060546875","210.08612060546875","210.08612060546875","37.75027084350586","37.75027084350586","37.75027084350586","39.36998748779297","39.36998748779297","39.36998748779297"
"299","239.3711395263672","239.3711395263672","239.3711395263672","46.68023681640625","46.68023681640625","46.68023681640625","66.05094909667969","66.05094909667969","66.05094909667969","230.16647338867188","230.16647338867188","230.16647338867188","43.57390213012695","43.57390213012695","43.57390213012695","63.69392013549805","63.69392013549805","63.69392013549805"
