"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX"
"10199","12200.4111328125","12200.4111328125","12200.4111328125","12194.0966796875","12194.0966796875","12194.0966796875","12163.4677734375","12163.4677734375","12163.4677734375","11427.6005859375","11427.6005859375","11427.6005859375","11829.4345703125","11829.4345703125","11829.4345703125","12010.9970703125","12010.9970703125","12010.9970703125"
"10799","12197.33203125","12197.33203125","12197.33203125","12178.642578125","12178.642578125","12178.642578125","12164.2685546875","12164.2685546875","12164.2685546875","11435.3427734375","11435.3427734375","11435.3427734375","11819.548828125","11819.548828125","11819.548828125","12008.9765625","12008.9765625","12008.9765625"
"11399","12216.5068359375","12216.5068359375","12216.5068359375","12205.1484375","12205.1484375","12205.1484375","12174.8984375","12174.8984375","12174.8984375","11460.3095703125","11460.3095703125","11460.3095703125","11845.0126953125","11845.0126953125","11845.0126953125","12030.7890625","12030.7890625","12030.7890625"
"11999","12208.5126953125","12208.5126953125","12208.5126953125","12203.041015625","12203.041015625","12203.041015625","12171.822265625","12171.822265625","12171.822265625","11454.791015625","11454.791015625","11454.791015625","11844.103515625","11844.103515625","11844.103515625","12022.830078125","12022.830078125","12022.830078125"
"12599","12215.0322265625","12215.0322265625","12215.0322265625","12211.3701171875","12211.3701171875","12211.3701171875","12183.384765625","12183.384765625","12183.384765625","11469.5478515625","11469.5478515625","11469.5478515625","11862.43359375","11862.43359375","11862.43359375","12045.244140625","12045.244140625","12045.244140625"
"13199","12216.5498046875","12216.5498046875","12216.5498046875","12216.2763671875","12216.2763671875","12216.2763671875","12183.05078125","12183.05078125","12183.05078125","11458.099609375","11458.099609375","11458.099609375","11851.2919921875","11851.2919921875","11851.2919921875","12032.912109375","12032.912109375","12032.912109375"
"13799","12209.056640625","12209.056640625","12209.056640625","12206.5478515625","12206.5478515625","12206.5478515625","12169.6474609375","12169.6474609375","12169.6474609375","11447.0068359375","11447.0068359375","11447.0068359375","11839.486328125","11839.486328125","11839.486328125","12027.421875","12027.421875","12027.421875"
"14399","12212.4521484375","12212.4521484375","12212.4521484375","12208.3623046875","12208.3623046875","12208.3623046875","12184.98828125","12184.98828125","12184.98828125","11438.6396484375","11438.6396484375","11438.6396484375","11837.640625","11837.640625","11837.640625","12031.6884765625","12031.6884765625","12031.6884765625"
"14999","12212.4013671875","12212.4013671875","12212.4013671875","12212.3359375","12212.3359375","12212.3359375","12176.4443359375","12176.4443359375","12176.4443359375","11432.3876953125","11432.3876953125","11432.3876953125","11853.6787109375","11853.6787109375","11853.6787109375","12032.5390625","12032.5390625","12032.5390625"
"15599","12212.1923828125","12212.1923828125","12212.1923828125","12215.5224609375","12215.5224609375","12215.5224609375","12174.8544921875","12174.8544921875","12174.8544921875","11425.5849609375","11425.5849609375","11425.5849609375","11862.3076171875","11862.3076171875","11862.3076171875","12040.2783203125","12040.2783203125","12040.2783203125"
"16199","12201.6552734375","12201.6552734375","12201.6552734375","12204.875","12204.875","12204.875","12177.8310546875","12177.8310546875","12177.8310546875","11412.5576171875","11412.5576171875","11412.5576171875","11845.5419921875","11845.5419921875","11845.5419921875","12036.4384765625","12036.4384765625","12036.4384765625"
"16799","12210.68359375","12210.68359375","12210.68359375","12214.3232421875","12214.3232421875","12214.3232421875","12184.828125","12184.828125","12184.828125","11393.8359375","11393.8359375","11393.8359375","11852.1376953125","11852.1376953125","11852.1376953125","12032.0966796875","12032.0966796875","12032.0966796875"
"17399","12202.3671875","12202.3671875","12202.3671875","12214.4140625","12214.4140625","12214.4140625","12174.400390625","12174.400390625","12174.400390625","11380.3388671875","11380.3388671875","11380.3388671875","11840.1044921875","11840.1044921875","11840.1044921875","12026.3857421875","12026.3857421875","12026.3857421875"
"17999","12210.1318359375","12210.1318359375","12210.1318359375","12207.5263671875","12207.5263671875","12207.5263671875","12183.7880859375","12183.7880859375","12183.7880859375","11368.4169921875","11368.4169921875","11368.4169921875","11829.953125","11829.953125","11829.953125","12022.4111328125","12022.4111328125","12022.4111328125"
"18599","12206.1201171875","12206.1201171875","12206.1201171875","12217.6328125","12217.6328125","12217.6328125","12181.3349609375","12181.3349609375","12181.3349609375","11355.7958984375","11355.7958984375","11355.7958984375","11834.4296875","11834.4296875","11834.4296875","12024.2626953125","12024.2626953125","12024.2626953125"
"19199","12202.3779296875","12202.3779296875","12202.3779296875","12211.9609375","12211.9609375","12211.9609375","12171.5322265625","12171.5322265625","12171.5322265625","11349.6748046875","11349.6748046875","11349.6748046875","11843.9287109375","11843.9287109375","11843.9287109375","12027.494140625","12027.494140625","12027.494140625"
"19799","12205.197265625","12205.197265625","12205.197265625","12212.787109375","12212.787109375","12212.787109375","12177.7646484375","12177.7646484375","12177.7646484375","11338.7421875","11338.7421875","11338.7421875","11848.6640625","11848.6640625","11848.6640625","12023.484375","12023.484375","12023.484375"
