"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4775.8828125","4775.8828125","4775.8828125","4927.6435546875","4927.6435546875","4927.6435546875","4441.67041015625","4441.67041015625","4441.67041015625","3437.562255859375","3437.562255859375","3437.562255859375","3713.60400390625","3713.60400390625","3713.60400390625","4416.33349609375","4416.33349609375","4416.33349609375"
"1199","4830.04833984375","4830.04833984375","4830.04833984375","5603.8203125","5603.8203125","5603.8203125","4709.099609375","4709.099609375","4709.099609375","2952.09228515625","2952.09228515625","2952.09228515625","4125.57763671875","4125.57763671875","4125.57763671875","4787.29052734375","4787.29052734375","4787.29052734375"
"1799","4804.68310546875","4804.68310546875","4804.68310546875","5881.20703125","5881.20703125","5881.20703125","4837.3046875","4837.3046875","4837.3046875","2770.839111328125","2770.839111328125","2770.839111328125","4349.8671875","4349.8671875","4349.8671875","4923.41162109375","4923.41162109375","4923.41162109375"
"2399","4974.6025390625","4974.6025390625","4974.6025390625","6330.07568359375","6330.07568359375","6330.07568359375","4876.86962890625","4876.86962890625","4876.86962890625","2752.655517578125","2752.655517578125","2752.655517578125","4567.37646484375","4567.37646484375","4567.37646484375","4998.70361328125","4998.70361328125","4998.70361328125"
"2999","4914.76806640625","4914.76806640625","4914.76806640625","6733.06884765625","6733.06884765625","6733.06884765625","4964.453125","4964.453125","4964.453125","2701.26416015625","2701.26416015625","2701.26416015625","4753.34375","4753.34375","4753.34375","5125.6220703125","5125.6220703125","5125.6220703125"
"3599","5017.9228515625","5017.9228515625","5017.9228515625","6952.77978515625","6952.77978515625","6952.77978515625","4969.64892578125","4969.64892578125","4969.64892578125","2696.482177734375","2696.482177734375","2696.482177734375","4877.00537109375","4877.00537109375","4877.00537109375","5182.96142578125","5182.96142578125","5182.96142578125"
"4199","5089.841796875","5089.841796875","5089.841796875","7050.45849609375","7050.45849609375","7050.45849609375","4958.29296875","4958.29296875","4958.29296875","2818.63916015625","2818.63916015625","2818.63916015625","4994.8525390625","4994.8525390625","4994.8525390625","5210.35546875","5210.35546875","5210.35546875"
"4799","5127.66796875","5127.66796875","5127.66796875","7033.7822265625","7033.7822265625","7033.7822265625","4932.18798828125","4932.18798828125","4932.18798828125","3010.637939453125","3010.637939453125","3010.637939453125","5015.3095703125","5015.3095703125","5015.3095703125","5151.5703125","5151.5703125","5151.5703125"
"5399","5089.189453125","5089.189453125","5089.189453125","6937.79638671875","6937.79638671875","6937.79638671875","4890.2587890625","4890.2587890625","4890.2587890625","3155.300537109375","3155.300537109375","3155.300537109375","4979.04345703125","4979.04345703125","4979.04345703125","5142.67529296875","5142.67529296875","5142.67529296875"
"5999","5168.75390625","5168.75390625","5168.75390625","6996.77490234375","6996.77490234375","6996.77490234375","4970.29052734375","4970.29052734375","4970.29052734375","3337.324951171875","3337.324951171875","3337.324951171875","5042.0087890625","5042.0087890625","5042.0087890625","5196.59228515625","5196.59228515625","5196.59228515625"
"6599","5132.11083984375","5132.11083984375","5132.11083984375","7106.8515625","7106.8515625","7106.8515625","4896.60888671875","4896.60888671875","4896.60888671875","3441.190673828125","3441.190673828125","3441.190673828125","5092.9072265625","5092.9072265625","5092.9072265625","5216.84619140625","5216.84619140625","5216.84619140625"
"7199","5098.32666015625","5098.32666015625","5098.32666015625","7039.53759765625","7039.53759765625","7039.53759765625","4890.48828125","4890.48828125","4890.48828125","3528.270751953125","3528.270751953125","3528.270751953125","5107.49755859375","5107.49755859375","5107.49755859375","5201.0478515625","5201.0478515625","5201.0478515625"
"7799","5037.77783203125","5037.77783203125","5037.77783203125","7086.2109375","7086.2109375","7086.2109375","4890.46044921875","4890.46044921875","4890.46044921875","3541.87890625","3541.87890625","3541.87890625","5068.39697265625","5068.39697265625","5068.39697265625","5184.6591796875","5184.6591796875","5184.6591796875"
"8399","5114.44287109375","5114.44287109375","5114.44287109375","7020.22607421875","7020.22607421875","7020.22607421875","4768.9873046875","4768.9873046875","4768.9873046875","3620.860595703125","3620.860595703125","3620.860595703125","5104.43603515625","5104.43603515625","5104.43603515625","5192.67529296875","5192.67529296875","5192.67529296875"
"8999","5065.341796875","5065.341796875","5065.341796875","7037.66552734375","7037.66552734375","7037.66552734375","4767.33056640625","4767.33056640625","4767.33056640625","3653.324951171875","3653.324951171875","3653.324951171875","5119.25732421875","5119.25732421875","5119.25732421875","5168.45068359375","5168.45068359375","5168.45068359375"
"9599","4955.54638671875","4955.54638671875","4955.54638671875","6990.61083984375","6990.61083984375","6990.61083984375","4684.33837890625","4684.33837890625","4684.33837890625","3676.946044921875","3676.946044921875","3676.946044921875","5134.9951171875","5134.9951171875","5134.9951171875","5188.50341796875","5188.50341796875","5188.50341796875"
"10199","4903.11279296875","4903.11279296875","4903.11279296875","6944.9658203125","6944.9658203125","6944.9658203125","4698.49951171875","4698.49951171875","4698.49951171875","3678.37158203125","3678.37158203125","3678.37158203125","5113.06494140625","5113.06494140625","5113.06494140625","5148.6328125","5148.6328125","5148.6328125"
