"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","31.306406021118164","31.306406021118164","31.306406021118164","5.894997596740723","5.894997596740723","5.894997596740723","8.217331886291504","8.217331886291504","8.217331886291504"
"59","24.27280044555664","24.27280044555664","24.27280044555664","5.369840145111084","5.369840145111084","5.369840145111084","8.556644439697266","8.556644439697266","8.556644439697266"
"89","17.46808433532715","17.46808433532715","17.46808433532715","4.539831638336182","4.539831638336182","4.539831638336182","6.7140092849731445","6.7140092849731445","6.7140092849731445"
"119","12.610772132873535","12.610772132873535","12.610772132873535","3.9244704246520996","3.9244704246520996","3.9244704246520996","5.1147871017456055","5.1147871017456055","5.1147871017456055"
"149","10.567212104797363","10.567212104797363","10.567212104797363","7.221938133239746","7.221938133239746","7.221938133239746","11.345507621765137","11.345507621765137","11.345507621765137"
"179","9.574748039245605","9.574748039245605","9.574748039245605","7.353762149810791","7.353762149810791","7.353762149810791","10.969022750854492","10.969022750854492","10.969022750854492"
"209","7.899307727813721","7.899307727813721","7.899307727813721","4.043024063110352","4.043024063110352","4.043024063110352","4.918307781219482","4.918307781219482","4.918307781219482"
"239","7.0313239097595215","7.0313239097595215","7.0313239097595215","3.5595617294311523","3.5595617294311523","3.5595617294311523","4.787324905395508","4.787324905395508","4.787324905395508"
"269","6.793591022491455","6.793591022491455","6.793591022491455","3.4399611949920654","3.4399611949920654","3.4399611949920654","4.416469573974609","4.416469573974609","4.416469573974609"
"299","5.579971790313721","5.579971790313721","5.579971790313721","3.5112054347991943","3.5112054347991943","3.5112054347991943","3.772988796234131","3.772988796234131","3.772988796234131"
"329","7.290643692016602","7.290643692016602","7.290643692016602","3.386580228805542","3.386580228805542","3.386580228805542","3.75390887260437","3.75390887260437","3.75390887260437"
"359","6.365581512451172","6.365581512451172","6.365581512451172","3.46506667137146","3.46506667137146","3.46506667137146","4.418540000915527","4.418540000915527","4.418540000915527"
