"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4771.546875","4771.546875","4771.546875","4914.26513671875","4914.26513671875","4914.26513671875","4432.33984375","4432.33984375","4432.33984375","3433.83251953125","3433.83251953125","3433.83251953125","3705.337158203125","3705.337158203125","3705.337158203125","4408.17919921875","4408.17919921875","4408.17919921875"
"1199","4824.98974609375","4824.98974609375","4824.98974609375","5590.6474609375","5590.6474609375","5590.6474609375","4699.24169921875","4699.24169921875","4699.24169921875","2948.506591796875","2948.506591796875","2948.506591796875","4117.88427734375","4117.88427734375","4117.88427734375","4779.07568359375","4779.07568359375","4779.07568359375"
"1799","4798.98291015625","4798.98291015625","4798.98291015625","5869.01123046875","5869.01123046875","5869.01123046875","4827.44482421875","4827.44482421875","4827.44482421875","2767.780029296875","2767.780029296875","2767.780029296875","4343.173828125","4343.173828125","4343.173828125","4915.46337890625","4915.46337890625","4915.46337890625"
"2399","4968.58544921875","4968.58544921875","4968.58544921875","6318.17626953125","6318.17626953125","6318.17626953125","4867.2158203125","4867.2158203125","4867.2158203125","2750.170654296875","2750.170654296875","2750.170654296875","4561.58447265625","4561.58447265625","4561.58447265625","4988.35107421875","4988.35107421875","4988.35107421875"
"2999","4908.51220703125","4908.51220703125","4908.51220703125","6721.59375","6721.59375","6721.59375","4955.271484375","4955.271484375","4955.271484375","2699.717041015625","2699.717041015625","2699.717041015625","4748.26171875","4748.26171875","4748.26171875","5115.5595703125","5115.5595703125","5115.5595703125"
"3599","5011.5986328125","5011.5986328125","5011.5986328125","6945.39208984375","6945.39208984375","6945.39208984375","4960.60888671875","4960.60888671875","4960.60888671875","2695.65283203125","2695.65283203125","2695.65283203125","4872.47412109375","4872.47412109375","4872.47412109375","5178.22265625","5178.22265625","5178.22265625"
"4199","5083.47412109375","5083.47412109375","5083.47412109375","7043.96728515625","7043.96728515625","7043.96728515625","4949.36669921875","4949.36669921875","4949.36669921875","2818.360595703125","2818.360595703125","2818.360595703125","4990.63525390625","4990.63525390625","4990.63525390625","5184.31982421875","5184.31982421875","5184.31982421875"
"4799","5121.98876953125","5121.98876953125","5121.98876953125","7030.109375","7030.109375","7030.109375","4919.39208984375","4919.39208984375","4919.39208984375","3010.7421875","3010.7421875","3010.7421875","5014.10693359375","5014.10693359375","5014.10693359375","5151.1806640625","5151.1806640625","5151.1806640625"
"5399","5097.24267578125","5097.24267578125","5097.24267578125","6935.4609375","6935.4609375","6935.4609375","4883.19677734375","4883.19677734375","4883.19677734375","3156.664306640625","3156.664306640625","3156.664306640625","4975.20556640625","4975.20556640625","4975.20556640625","5135.3779296875","5135.3779296875","5135.3779296875"
"5999","5160.3798828125","5160.3798828125","5160.3798828125","7001.5517578125","7001.5517578125","7001.5517578125","4969.43115234375","4969.43115234375","4969.43115234375","3342.297607421875","3342.297607421875","3342.297607421875","5037.2783203125","5037.2783203125","5037.2783203125","5189.18798828125","5189.18798828125","5189.18798828125"
"6599","5133.58154296875","5133.58154296875","5133.58154296875","7106.80322265625","7106.80322265625","7106.80322265625","4884.3994140625","4884.3994140625","4884.3994140625","3443.768798828125","3443.768798828125","3443.768798828125","5082.9130859375","5082.9130859375","5082.9130859375","5200.8876953125","5200.8876953125","5200.8876953125"
"7199","5108.78173828125","5108.78173828125","5108.78173828125","7021.12353515625","7021.12353515625","7021.12353515625","4876.9111328125","4876.9111328125","4876.9111328125","3529.76416015625","3529.76416015625","3529.76416015625","5103.1416015625","5103.1416015625","5103.1416015625","5180.25048828125","5180.25048828125","5180.25048828125"
"7799","5034.630859375","5034.630859375","5034.630859375","7061.58837890625","7061.58837890625","7061.58837890625","4886.93505859375","4886.93505859375","4886.93505859375","3540.3046875","3540.3046875","3540.3046875","5064.14990234375","5064.14990234375","5064.14990234375","5167.53515625","5167.53515625","5167.53515625"
"8399","5098.14453125","5098.14453125","5098.14453125","7018.37744140625","7018.37744140625","7018.37744140625","4753.12646484375","4753.12646484375","4753.12646484375","3616.435302734375","3616.435302734375","3616.435302734375","5097.244140625","5097.244140625","5097.244140625","5180.73779296875","5180.73779296875","5180.73779296875"
"8999","5031.25732421875","5031.25732421875","5031.25732421875","7046.2197265625","7046.2197265625","7046.2197265625","4761.9765625","4761.9765625","4761.9765625","3649.25634765625","3649.25634765625","3649.25634765625","5112.76806640625","5112.76806640625","5112.76806640625","5160.3291015625","5160.3291015625","5160.3291015625"
"9599","4972.61279296875","4972.61279296875","4972.61279296875","6997.51416015625","6997.51416015625","6997.51416015625","4705.552734375","4705.552734375","4705.552734375","3674.39453125","3674.39453125","3674.39453125","5131.40869140625","5131.40869140625","5131.40869140625","5186.57373046875","5186.57373046875","5186.57373046875"
"10199","4963.18359375","4963.18359375","4963.18359375","6922.515625","6922.515625","6922.515625","4690.63916015625","4690.63916015625","4690.63916015625","3676.872314453125","3676.872314453125","3676.872314453125","5109.38134765625","5109.38134765625","5109.38134765625","5146.15576171875","5146.15576171875","5146.15576171875"
"10799","4917.58740234375","4917.58740234375","4917.58740234375","6772.50634765625","6772.50634765625","6772.50634765625","4643.81591796875","4643.81591796875","4643.81591796875","3703.359375","3703.359375","3703.359375","5056.66552734375","5056.66552734375","5056.66552734375","5131.45947265625","5131.45947265625","5131.45947265625"
"11399","4857.271484375","4857.271484375","4857.271484375","6905.14208984375","6905.14208984375","6905.14208984375","4613.28271484375","4613.28271484375","4613.28271484375","3707.352294921875","3707.352294921875","3707.352294921875","5110.56982421875","5110.56982421875","5110.56982421875","5149.8173828125","5149.8173828125","5149.8173828125"
"11999","4870.7900390625","4870.7900390625","4870.7900390625","6872.84375","6872.84375","6872.84375","4560.82373046875","4560.82373046875","4560.82373046875","3737.411865234375","3737.411865234375","3737.411865234375","5115.91650390625","5115.91650390625","5115.91650390625","5129.7685546875","5129.7685546875","5129.7685546875"
"12599","4779.744140625","4779.744140625","4779.744140625","6849.22998046875","6849.22998046875","6849.22998046875","4489.41796875","4489.41796875","4489.41796875","3743.739013671875","3743.739013671875","3743.739013671875","5141.68310546875","5141.68310546875","5141.68310546875","5133.7275390625","5133.7275390625","5133.7275390625"
"13199","4829.5361328125","4829.5361328125","4829.5361328125","7009.76123046875","7009.76123046875","7009.76123046875","4538.869140625","4538.869140625","4538.869140625","3743.522705078125","3743.522705078125","3743.522705078125","5122.74560546875","5122.74560546875","5122.74560546875","5140.68212890625","5140.68212890625","5140.68212890625"
"13799","4801.4853515625","4801.4853515625","4801.4853515625","6919.8212890625","6919.8212890625","6919.8212890625","4502.0888671875","4502.0888671875","4502.0888671875","3754.990966796875","3754.990966796875","3754.990966796875","5106.26123046875","5106.26123046875","5106.26123046875","5130.36279296875","5130.36279296875","5130.36279296875"
"14399","4798.8779296875","4798.8779296875","4798.8779296875","6938.2734375","6938.2734375","6938.2734375","4594.31884765625","4594.31884765625","4594.31884765625","3762.673583984375","3762.673583984375","3762.673583984375","5116.02490234375","5116.02490234375","5116.02490234375","5139.5986328125","5139.5986328125","5139.5986328125"
"14999","4770.05712890625","4770.05712890625","4770.05712890625","6915.90771484375","6915.90771484375","6915.90771484375","4499.15087890625","4499.15087890625","4499.15087890625","3754.74462890625","3754.74462890625","3754.74462890625","5150.4814453125","5150.4814453125","5150.4814453125","5130.00146484375","5130.00146484375","5130.00146484375"
"15599","4743.5009765625","4743.5009765625","4743.5009765625","6859.3359375","6859.3359375","6859.3359375","4448.728515625","4448.728515625","4448.728515625","3760.022216796875","3760.022216796875","3760.022216796875","5152.70751953125","5152.70751953125","5152.70751953125","5118.63330078125","5118.63330078125","5118.63330078125"
"16199","4591.11474609375","4591.11474609375","4591.11474609375","6669.81103515625","6669.81103515625","6669.81103515625","4339.52734375","4339.52734375","4339.52734375","3744.272705078125","3744.272705078125","3744.272705078125","5089.76953125","5089.76953125","5089.76953125","5100.45263671875","5100.45263671875","5100.45263671875"
"16799","4654.2314453125","4654.2314453125","4654.2314453125","6794.29150390625","6794.29150390625","6794.29150390625","4359.27197265625","4359.27197265625","4359.27197265625","3752.278076171875","3752.278076171875","3752.278076171875","5134.96533203125","5134.96533203125","5134.96533203125","5096.15576171875","5096.15576171875","5096.15576171875"
"17399","4590.9599609375","4590.9599609375","4590.9599609375","6812.5361328125","6812.5361328125","6812.5361328125","4347.759765625","4347.759765625","4347.759765625","3750.937255859375","3750.937255859375","3750.937255859375","5102.2138671875","5102.2138671875","5102.2138671875","5079.21826171875","5079.21826171875","5079.21826171875"
"17999","4695.22509765625","4695.22509765625","4695.22509765625","6807.47998046875","6807.47998046875","6807.47998046875","4394.78271484375","4394.78271484375","4394.78271484375","3757.050048828125","3757.050048828125","3757.050048828125","5090.9443359375","5090.9443359375","5090.9443359375","5063.9189453125","5063.9189453125","5063.9189453125"
"18599","4573.34423828125","4573.34423828125","4573.34423828125","6886.4853515625","6886.4853515625","6886.4853515625","4306.2333984375","4306.2333984375","4306.2333984375","3736.478271484375","3736.478271484375","3736.478271484375","5110.80810546875","5110.80810546875","5110.80810546875","5061.44482421875","5061.44482421875","5061.44482421875"
"19199","4490.64453125","4490.64453125","4490.64453125","6661.39794921875","6661.39794921875","6661.39794921875","4204.6171875","4204.6171875","4204.6171875","3737.016357421875","3737.016357421875","3737.016357421875","5099.4345703125","5099.4345703125","5099.4345703125","5067.23291015625","5067.23291015625","5067.23291015625"
"19799","4481.1025390625","4481.1025390625","4481.1025390625","6679.98388671875","6679.98388671875","6679.98388671875","4224.44287109375","4224.44287109375","4224.44287109375","3734.311767578125","3734.311767578125","3734.311767578125","5102.78466796875","5102.78466796875","5102.78466796875","5044.869140625","5044.869140625","5044.869140625"
