"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"839","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","","",""
"869","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","","",""
"899","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","","",""
"929","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","","",""
"959","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","","",""
"989","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","","",""
"1019","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","","",""
"1049","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","2859.303955078125","","",""
"1079","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","2899.67236328125","","",""
"1109","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","2633.490966796875","","",""
"1139","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","2501.33984375","","",""
"1169","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","2733.5693359375","","",""
"1199","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","2492.427978515625","","",""
"1229","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","2457.69189453125","","","","","",""
"1259","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","2267.701171875","","","","","",""
"1289","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","2264.830810546875","","","","","",""
"1319","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","2481.874755859375","","","","","",""
"1349","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","2370.34228515625","","","","","",""
"1379","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","2346.73779296875","","","","","",""
"1409","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","2213.0439453125","","","","","",""
"1439","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","2161.0322265625","","","","","",""
"1469","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","2278.05615234375","","","","","",""
"1499","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","2079.94482421875","","","","","",""
"1529","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","2112.4970703125","","","","","",""
"1559","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","2185.60791015625","","","","","",""
"1589","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","2071.87158203125","","","","","",""
"1619","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","2054.974609375","","","","","",""
"1649","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","1905.8670654296875","","","","","",""
"1679","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","1938.703125","","","","","",""
"1709","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","2031.838134765625","","","","","",""
"1739","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","2053.68896484375","","","","","",""
"1769","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","2024.4251708984375","","","","","",""
"1799","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","1974.7586669921875","","","","","",""
"1829","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","1966.11669921875","","","","","",""
"1859","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","1862.369873046875","","","","","",""
"1889","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","1923.789794921875","","","","","",""
"1919","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","1933.859375","","","","","",""
"1949","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","1888.980712890625","","","","","",""
"1979","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","1924.002197265625","","","","","",""
"2009","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","1971.853271484375","","","","","",""
"2039","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","1856.683349609375","","","","","",""
"2069","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","1841.97705078125","","","","","",""
"2099","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","1824.353271484375","","","","","",""
"2129","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","1939.31494140625","","","","","",""
"2159","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","1910.2642822265625","","","","","",""
"2189","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","1853.3570556640625","","","","","",""
"2219","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","1846.1658935546875","","","","","",""
"2249","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","1847.689453125","","","","","",""
"2279","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","1843.5220947265625","","","","","",""
"2309","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","1731.682861328125","","","","","",""
"2339","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","1787.7628173828125","","","","","",""
"2369","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","1783.492431640625","","","","","",""
"2399","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","1799.0450439453125","","","","","",""
"2429","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","1769.18603515625","","","","","",""
"2459","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","1768.603759765625","","","","","","","","",""
"2489","1760.68359375","1760.68359375","1760.68359375","1760.68359375","1760.68359375","1760.68359375","1760.68359375","1760.68359375","1760.68359375","","","","","","","","",""
"2519","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","1818.31005859375","","","","","","","","",""
"2549","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","1757.067138671875","","","","","","","","",""
"2579","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","1852.226806640625","","","","","","","","",""
"2609","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","1791.95263671875","","","","","","","","",""
"2639","1916.3671875","1916.3671875","1916.3671875","1916.3671875","1916.3671875","1916.3671875","1916.3671875","1916.3671875","1916.3671875","","","","","","","","",""
