"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"3419","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","1687.858154296875","","","","","","","","",""
"3449","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","1658.7880859375","","","","","","","","",""
"3479","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","1689.32177734375","","","","","","","","",""
"3509","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","1582.26318359375","","","","","","","","",""
"3539","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","1628.450927734375","","","","","","","","",""
"3569","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","1579.3192138671875","","","","","","","","",""
"3599","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","1714.648681640625","","","","","","","","",""
"3629","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","1568.876708984375","","","","","","","","",""
"3659","1586.30078125","1586.30078125","1586.30078125","1586.30078125","1586.30078125","1586.30078125","1586.30078125","1586.30078125","1586.30078125","","","","","","","","",""
"3689","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","1574.2198486328125","","","","","","","","",""
"3719","1620.013671875","1620.013671875","1620.013671875","1620.013671875","1620.013671875","1620.013671875","1620.013671875","1620.013671875","1620.013671875","","","","","","","","",""
"3749","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","1582.463623046875","","","","","","","","",""
"3779","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","1573.262451171875","","","","","","","","",""
"3809","1510.57421875","1510.57421875","1510.57421875","1510.57421875","1510.57421875","1510.57421875","1510.57421875","1510.57421875","1510.57421875","","","","","","","","",""
"3839","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","1572.084716796875","","","","","","","","",""
"3869","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","1524.26708984375","","","","","","","","",""
"3899","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","1544.4183349609375","","","","","","","","",""
"3929","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","1574.682861328125","","","","","","","","",""
"3959","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","1583.4344482421875","","","","","","","","",""
"3989","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","1499.5328369140625","","","","","","","","",""
"4019","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","1604.9259033203125","","","","","","","","",""
"4049","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","1543.10302734375","","","","","","","","",""
"4079","1595.375","1595.375","1595.375","1595.375","1595.375","1595.375","1595.375","1595.375","1595.375","","","","","","","","",""
"4109","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","1514.5966796875","","","","","","","","",""
"4139","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","1581.447509765625","","","","","","","","",""
"4169","1511.9296875","1511.9296875","1511.9296875","1511.9296875","1511.9296875","1511.9296875","1511.9296875","1511.9296875","1511.9296875","","","","","","","","",""
"4199","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","1558.2989501953125","","","","","","","","",""
"4229","1508.728515625","1508.728515625","1508.728515625","1508.728515625","1508.728515625","1508.728515625","1508.728515625","1508.728515625","1508.728515625","","","","","","","","",""
"4259","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","1541.0428466796875","","","","","","","","",""
"4289","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","1537.81591796875","","","","","","","","",""
"4319","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","1520.943115234375","","","","","","","","",""
"4349","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","1463.281982421875","","","","","","","","",""
"4379","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","1520.835693359375","","","","","","","","",""
"4409","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","1502.79150390625","","","","","","","","",""
"4439","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","1582.1800537109375","","","","","","","","",""
"4469","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","1476.928466796875","","","","","","","","",""
"4499","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","1556.8641357421875","","","","","","","","",""
"4529","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","1466.4287109375","","","","","","","","",""
"4559","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","1548.86279296875","","","","","","","","",""
"4589","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","1427.22607421875","","","","","","","","",""
"4619","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","1558.9111328125","","","","","","","","",""
"4649","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","1442.8741455078125","","","","","","","","",""
"4679","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","1505.11865234375","","","","","","","","",""
"4709","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","1503.71826171875","","","","","","","","",""
"4739","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","1529.12646484375","","","","","","","","",""
"4769","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","1426.55322265625","","","","","","","","",""
"4799","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","1500.65966796875","","","","","","","","",""
"4829","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","1544.9251708984375","","","","","","","","",""
"4859","1430.96875","1430.96875","1430.96875","1430.96875","1430.96875","1430.96875","1430.96875","1430.96875","1430.96875","","","","","","","","",""
"4889","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","1457.632568359375","","","","","","","","",""
"4919","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","1440.5335693359375","","","","","","","","",""
"4949","1467.435546875","1467.435546875","1467.435546875","1467.435546875","1467.435546875","1467.435546875","1467.435546875","1467.435546875","1467.435546875","","","","","","","","",""
"4979","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","1432.827880859375","","","","","","","","",""
"5009","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","1489.302490234375","","","","","","","","",""
"5039","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","1461.777587890625","","","","","","","","",""
"5069","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","1470.6475830078125","","","","","","","","",""
"5099","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","1435.794189453125","","","","","","","","",""
"5129","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","1492.673583984375","","","","","","","","",""
"5159","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","1490.981689453125","","","","","","","","",""
"5189","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","1460.2822265625","","","","","","","","",""
"5219","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","1447.5401611328125","","","","","","","","",""
"5249","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","1427.53173828125","","","","","","","","",""
"5279","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","1443.454345703125","","","","","","","","",""
"5309","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","1468.544677734375","","","","","","","","",""
"5339","1421.47265625","1421.47265625","1421.47265625","1421.47265625","1421.47265625","1421.47265625","1421.47265625","1421.47265625","1421.47265625","","","","","","","","",""
"5369","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","1474.2498779296875","","","","","","","","",""
"5399","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","1396.5079345703125","","","","","","","","",""
"5429","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","1383.5321044921875","","","","","","","","",""
"5459","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","1382.242919921875","","","","","","","","",""
"5489","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","1405.932373046875","","","","","","","","",""
"5519","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","1385.38525390625","","","","","","","","",""
"5549","1402.013671875","1402.013671875","1402.013671875","1402.013671875","1402.013671875","1402.013671875","1402.013671875","1402.013671875","1402.013671875","","","","","","","","",""
"5579","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","1400.0992431640625","","","","","","","","",""
"5609","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","1369.28076171875","","","","","","","","",""
"5639","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","1390.870361328125","","","","","","","","",""
"5669","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","1370.10888671875","","","","","","","","",""
"5699","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","1346.0029296875","","","","","","","","",""
"5729","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","1367.8104248046875","","","","","","","","",""
"5759","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","1318.595458984375","","","","","","","","",""
"5789","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","1376.836669921875","","","","","","","","",""
"5819","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","1404.563232421875","","","","","","","","",""
"5849","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","1354.487060546875","","","","","","","","",""
"5879","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","1309.9019775390625","","","","","","","","",""
"5909","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","1400.151123046875","","","","","","","","",""
"5939","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","1342.4700927734375","","","","","","","","",""
"5969","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","1332.2646484375","","","","","","","","",""
"5999","1381.130859375","1381.130859375","1381.130859375","1381.130859375","1381.130859375","1381.130859375","1381.130859375","1381.130859375","1381.130859375","","","","","","","","",""
"6029","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","1358.07080078125","","","","","","","","",""
"6059","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","1320.1424560546875","","","","","","","","",""
"6089","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","1368.532958984375","","","","","","","","",""
"6119","1317.795654296875","1317.795654296875","1317.795654296875","1317.795654296875","1317.795654296875","1317.795654296875","","","","","","","","","","","",""
"6149","1382.791015625","1382.791015625","1382.791015625","1382.791015625","1382.791015625","1382.791015625","","","","","","","","","","","",""
"6179","1333.679443359375","1333.679443359375","1333.679443359375","1333.679443359375","1333.679443359375","1333.679443359375","","","","","","","","","","","",""
"6209","1331.676513671875","1331.676513671875","1331.676513671875","1331.676513671875","1331.676513671875","1331.676513671875","","","","","","","","","","","",""
"6239","1297.177490234375","1297.177490234375","1297.177490234375","1297.177490234375","1297.177490234375","1297.177490234375","","","","","","","","","","","",""
"6269","1337.243896484375","1337.243896484375","1337.243896484375","1337.243896484375","1337.243896484375","1337.243896484375","","","","","","","","","","","",""
"6299","1281.371826171875","1281.371826171875","1281.371826171875","1281.371826171875","1281.371826171875","1281.371826171875","","","","","","","","","","","",""
"6329","1270.2071533203125","1270.2071533203125","1270.2071533203125","1270.2071533203125","1270.2071533203125","1270.2071533203125","","","","","","","","","","","",""
"6359","1266.4140625","1266.4140625","1266.4140625","1266.4140625","1266.4140625","1266.4140625","","","","","","","","","","","",""
"6389","1310.165771484375","1310.165771484375","1310.165771484375","1310.165771484375","1310.165771484375","1310.165771484375","","","","","","","","","","","",""
"6419","1305.4755859375","1305.4755859375","1305.4755859375","1305.4755859375","1305.4755859375","1305.4755859375","","","","","","","","","","","",""
"6449","1340.9248046875","1340.9248046875","1340.9248046875","1340.9248046875","1340.9248046875","1340.9248046875","","","","","","","","","","","",""
"6479","1305.013427734375","1305.013427734375","1305.013427734375","1305.013427734375","1305.013427734375","1305.013427734375","","","","","","","","","","","",""
"6509","1328.1124267578125","1328.1124267578125","1328.1124267578125","1328.1124267578125","1328.1124267578125","1328.1124267578125","","","","","","","","","","","",""
"6539","1302.45458984375","1302.45458984375","1302.45458984375","1302.45458984375","1302.45458984375","1302.45458984375","","","","","","","","","","","",""
"6569","1295.04931640625","1295.04931640625","1295.04931640625","1295.04931640625","1295.04931640625","1295.04931640625","","","","","","","","","","","",""
"6599","1291.8624267578125","1291.8624267578125","1291.8624267578125","1291.8624267578125","1291.8624267578125","1291.8624267578125","","","","","","","","","","","",""
"6629","1279.671142578125","1279.671142578125","1279.671142578125","1279.671142578125","1279.671142578125","1279.671142578125","","","","","","","","","","","",""
"6659","1291.75341796875","1291.75341796875","1291.75341796875","1291.75341796875","1291.75341796875","1291.75341796875","","","","","","","","","","","",""
"6689","1320.7869873046875","1320.7869873046875","1320.7869873046875","1320.7869873046875","1320.7869873046875","1320.7869873046875","","","","","","","","","","","",""
"6719","1311.61083984375","1311.61083984375","1311.61083984375","1311.61083984375","1311.61083984375","1311.61083984375","","","","","","","","","","","",""
"6749","1297.1982421875","1297.1982421875","1297.1982421875","1297.1982421875","1297.1982421875","1297.1982421875","","","","","","","","","","","",""
"6779","1320.627197265625","1320.627197265625","1320.627197265625","1320.627197265625","1320.627197265625","1320.627197265625","","","","","","","","","","","",""
"6809","1341.206298828125","1341.206298828125","1341.206298828125","1341.206298828125","1341.206298828125","1341.206298828125","","","","","","","","","","","",""
"6839","1277.115234375","1277.115234375","1277.115234375","1277.115234375","1277.115234375","1277.115234375","","","","","","","","","","","",""
"6869","1263.465087890625","1263.465087890625","1263.465087890625","1263.465087890625","1263.465087890625","1263.465087890625","","","","","","","","","","","",""
"6899","1246.79296875","1246.79296875","1246.79296875","1246.79296875","1246.79296875","1246.79296875","","","","","","","","","","","",""
"6929","1254.665771484375","1254.665771484375","1254.665771484375","1254.665771484375","1254.665771484375","1254.665771484375","","","","","","","","","","","",""
"6959","1240.775390625","1240.775390625","1240.775390625","1240.775390625","1240.775390625","1240.775390625","","","","","","","","","","","",""
"6989","1281.0224609375","1281.0224609375","1281.0224609375","1281.0224609375","1281.0224609375","1281.0224609375","","","","","","","","","","","",""
"7019","1279.743408203125","1279.743408203125","1279.743408203125","1279.743408203125","1279.743408203125","1279.743408203125","","","","","","","","","","","",""
"7049","1282.718017578125","1282.718017578125","1282.718017578125","1282.718017578125","1282.718017578125","1282.718017578125","","","","","","","","","","","",""
"7079","1264.00048828125","1264.00048828125","1264.00048828125","1264.00048828125","1264.00048828125","1264.00048828125","","","","","","","","","","","",""
"7109","1265.42041015625","1265.42041015625","1265.42041015625","1265.42041015625","1265.42041015625","1265.42041015625","","","","","","","","","","","",""
"7139","1239.0966796875","1239.0966796875","1239.0966796875","1239.0966796875","1239.0966796875","1239.0966796875","","","","","","","","","","","",""
"7169","1254.12939453125","1254.12939453125","1254.12939453125","1254.12939453125","1254.12939453125","1254.12939453125","","","","","","","","","","","",""
"7199","1256.044921875","1256.044921875","1256.044921875","1256.044921875","1256.044921875","1256.044921875","","","","","","","","","","","",""
"7229","1222.879150390625","1222.879150390625","1222.879150390625","1222.879150390625","1222.879150390625","1222.879150390625","","","","","","","","","","","",""
"7259","1186.123046875","1186.123046875","1186.123046875","1186.123046875","1186.123046875","1186.123046875","","","","","","","","","","","",""
"7289","1256.7744140625","1256.7744140625","1256.7744140625","1256.7744140625","1256.7744140625","1256.7744140625","","","","","","","","","","","",""
"7319","1282.8544921875","1282.8544921875","1282.8544921875","1282.8544921875","1282.8544921875","1282.8544921875","","","","","","","","","","","",""
"7349","1208.2999267578125","1208.2999267578125","1208.2999267578125","1208.2999267578125","1208.2999267578125","1208.2999267578125","","","","","","","","","","","",""
"7379","1183.3408203125","1183.3408203125","1183.3408203125","1183.3408203125","1183.3408203125","1183.3408203125","","","","","","","","","","","",""
"7409","1233.054443359375","1233.054443359375","1233.054443359375","1233.054443359375","1233.054443359375","1233.054443359375","","","","","","","","","","","",""
"7439","1181.1890869140625","1181.1890869140625","1181.1890869140625","1181.1890869140625","1181.1890869140625","1181.1890869140625","","","","","","","","","","","",""
"7469","1179.343017578125","1179.343017578125","1179.343017578125","1179.343017578125","1179.343017578125","1179.343017578125","","","","","","","","","","","",""
"7499","1183.2867431640625","1183.2867431640625","1183.2867431640625","1183.2867431640625","1183.2867431640625","1183.2867431640625","","","","","","","","","","","",""
"7529","1226.088134765625","1226.088134765625","1226.088134765625","1226.088134765625","1226.088134765625","1226.088134765625","","","","","","","","","","","",""
"7559","1143.427001953125","1143.427001953125","1143.427001953125","1143.427001953125","1143.427001953125","1143.427001953125","","","","","","","","","","","",""
"7589","1197.053955078125","1197.053955078125","1197.053955078125","1197.053955078125","1197.053955078125","1197.053955078125","","","","","","","","","","","",""
"7619","1163.7457275390625","1163.7457275390625","1163.7457275390625","1163.7457275390625","1163.7457275390625","1163.7457275390625","","","","","","","","","","","",""
"7649","1182.779052734375","1182.779052734375","1182.779052734375","1182.779052734375","1182.779052734375","1182.779052734375","","","","","","","","","","","",""
"7679","1171.955810546875","1171.955810546875","1171.955810546875","1171.955810546875","1171.955810546875","1171.955810546875","","","","","","","","","","","",""
"7709","1174.9151611328125","1174.9151611328125","1174.9151611328125","1174.9151611328125","1174.9151611328125","1174.9151611328125","","","","","","","","","","","",""
"7739","1165.422119140625","1165.422119140625","1165.422119140625","1165.422119140625","1165.422119140625","1165.422119140625","","","","","","","","","","","",""
"7769","1201.302490234375","1201.302490234375","1201.302490234375","1201.302490234375","1201.302490234375","1201.302490234375","","","","","","","","","","","",""
"7799","1149.126708984375","1149.126708984375","1149.126708984375","1149.126708984375","1149.126708984375","1149.126708984375","","","","","","","","","","","",""
"7829","1192.7381591796875","1192.7381591796875","1192.7381591796875","1192.7381591796875","1192.7381591796875","1192.7381591796875","","","","","","","","","","","",""
"7859","1103.3800048828125","1103.3800048828125","1103.3800048828125","1103.3800048828125","1103.3800048828125","1103.3800048828125","","","","","","","","","","","",""
"7889","1134.7301025390625","1134.7301025390625","1134.7301025390625","1134.7301025390625","1134.7301025390625","1134.7301025390625","","","","","","","","","","","",""
"7919","1109.67431640625","1109.67431640625","1109.67431640625","1109.67431640625","1109.67431640625","1109.67431640625","","","","","","","","","","","",""
"7949","1162.61767578125","1162.61767578125","1162.61767578125","1162.61767578125","1162.61767578125","1162.61767578125","","","","","","","","","","","",""
"7979","1148.242431640625","1148.242431640625","1148.242431640625","1148.242431640625","1148.242431640625","1148.242431640625","","","","","","","","","","","",""
"8009","1163.069580078125","1163.069580078125","1163.069580078125","1163.069580078125","1163.069580078125","1163.069580078125","","","","","","","","","","","",""
"8039","1147.718017578125","1147.718017578125","1147.718017578125","1147.718017578125","1147.718017578125","1147.718017578125","","","","","","","","","","","",""
"8069","1123.6474609375","1123.6474609375","1123.6474609375","1123.6474609375","1123.6474609375","1123.6474609375","","","","","","","","","","","",""
"8099","1084.31689453125","1084.31689453125","1084.31689453125","1084.31689453125","1084.31689453125","1084.31689453125","","","","","","","","","","","",""
"8129","1140.8302001953125","1140.8302001953125","1140.8302001953125","1140.8302001953125","1140.8302001953125","1140.8302001953125","","","","","","","","","","","",""
"8159","1087.270751953125","1087.270751953125","1087.270751953125","1087.270751953125","1087.270751953125","1087.270751953125","","","","","","","","","","","",""
"8189","1157.966064453125","1157.966064453125","1157.966064453125","1157.966064453125","1157.966064453125","1157.966064453125","","","","","","","","","","","",""
"8219","1072.43896484375","1072.43896484375","1072.43896484375","1072.43896484375","1072.43896484375","1072.43896484375","","","","","","","","","","","",""
"8249","1135.89892578125","1135.89892578125","1135.89892578125","1135.89892578125","1135.89892578125","1135.89892578125","","","","","","","","","","","",""
"8279","1090.617431640625","1090.617431640625","1090.617431640625","1090.617431640625","1090.617431640625","1090.617431640625","","","","","","","","","","","",""
"8309","1113.949951171875","1113.949951171875","1113.949951171875","1113.949951171875","1113.949951171875","1113.949951171875","","","","","","","","","","","",""
"8339","1127.98974609375","1127.98974609375","1127.98974609375","1127.98974609375","1127.98974609375","1127.98974609375","","","","","","","","","","","",""
"8369","1103.4034423828125","1103.4034423828125","1103.4034423828125","1103.4034423828125","1103.4034423828125","1103.4034423828125","","","","","","","","","","","",""
"8399","1102.39306640625","1102.39306640625","1102.39306640625","1102.39306640625","1102.39306640625","1102.39306640625","","","","","","","","","","","",""
"8429","1136.152587890625","1136.152587890625","1136.152587890625","1136.152587890625","1136.152587890625","1136.152587890625","","","","","","","","","","","",""
"8459","1054.4400634765625","1054.4400634765625","1054.4400634765625","1054.4400634765625","1054.4400634765625","1054.4400634765625","","","","","","","","","","","",""
"8489","1079.73828125","1079.73828125","1079.73828125","1079.73828125","1079.73828125","1079.73828125","","","","","","","","","","","",""
"8519","1043.2850341796875","1043.2850341796875","1043.2850341796875","1043.2850341796875","1043.2850341796875","1043.2850341796875","","","","","","","","","","","",""
"8549","1115.8157958984375","1115.8157958984375","1115.8157958984375","1115.8157958984375","1115.8157958984375","1115.8157958984375","","","","","","","","","","","",""
"8579","1076.423095703125","1076.423095703125","1076.423095703125","1076.423095703125","1076.423095703125","1076.423095703125","","","","","","","","","","","",""
