"Step","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_resid_pre_gpt2_jumprelu_fisher_true_project_TinyStories - sparsity.l1__MAX"
"10799","4841.23583984375","4841.23583984375","4841.23583984375","4212.88330078125","4212.88330078125","4212.88330078125","4431.8291015625","4431.8291015625","4431.8291015625","4139.439453125","4139.439453125","4139.439453125","3739.8984375","3739.8984375","3739.8984375","3092.34375","3092.34375","3092.34375"
"11399","4779.73291015625","4779.73291015625","4779.73291015625","4202.73974609375","4202.73974609375","4202.73974609375","4395.78466796875","4395.78466796875","4395.78466796875","4211.46044921875","4211.46044921875","4211.46044921875","3797.767333984375","3797.767333984375","3797.767333984375","3097.735107421875","3097.735107421875","3097.735107421875"
"11999","4802.13916015625","4802.13916015625","4802.13916015625","4179.06396484375","4179.06396484375","4179.06396484375","4380.0869140625","4380.0869140625","4380.0869140625","4233.5048828125","4233.5048828125","4233.5048828125","3743.17578125","3743.17578125","3743.17578125","3095.4755859375","3095.4755859375","3095.4755859375"
"12599","4663.87109375","4663.87109375","4663.87109375","4098.1015625","4098.1015625","4098.1015625","4317.6728515625","4317.6728515625","4317.6728515625","4289.3330078125","4289.3330078125","4289.3330078125","3685.461669921875","3685.461669921875","3685.461669921875","3097.12744140625","3097.12744140625","3097.12744140625"
"13199","4728.80419921875","4728.80419921875","4728.80419921875","4113.33447265625","4113.33447265625","4113.33447265625","4287.76123046875","4287.76123046875","4287.76123046875","4300.62255859375","4300.62255859375","4300.62255859375","3713.671630859375","3713.671630859375","3713.671630859375","3088.51123046875","3088.51123046875","3088.51123046875"
"13799","4717.76953125","4717.76953125","4717.76953125","4066.23828125","4066.23828125","4066.23828125","4223.15478515625","4223.15478515625","4223.15478515625","4361.58935546875","4361.58935546875","4361.58935546875","3701.84619140625","3701.84619140625","3701.84619140625","3079.753662109375","3079.753662109375","3079.753662109375"
"14399","4654.76025390625","4654.76025390625","4654.76025390625","4069.170654296875","4069.170654296875","4069.170654296875","4207.58837890625","4207.58837890625","4207.58837890625","4365.03173828125","4365.03173828125","4365.03173828125","3703.689208984375","3703.689208984375","3703.689208984375","3079.13720703125","3079.13720703125","3079.13720703125"
"14999","4680.17333984375","4680.17333984375","4680.17333984375","4062.16796875","4062.16796875","4062.16796875","4187.22412109375","4187.22412109375","4187.22412109375","4346.69091796875","4346.69091796875","4346.69091796875","3722.80908203125","3722.80908203125","3722.80908203125","3077.819580078125","3077.819580078125","3077.819580078125"
"15599","4655.90625","4655.90625","4655.90625","3988.09765625","3988.09765625","3988.09765625","4143.22216796875","4143.22216796875","4143.22216796875","4326.86572265625","4326.86572265625","4326.86572265625","3691.38134765625","3691.38134765625","3691.38134765625","3070.040283203125","3070.040283203125","3070.040283203125"
"16199","4601.13916015625","4601.13916015625","4601.13916015625","4016.014404296875","4016.014404296875","4016.014404296875","4117.67529296875","4117.67529296875","4117.67529296875","4398.19482421875","4398.19482421875","4398.19482421875","3723.694091796875","3723.694091796875","3723.694091796875","3072.31884765625","3072.31884765625","3072.31884765625"
"16799","4615.17724609375","4615.17724609375","4615.17724609375","4027.973388671875","4027.973388671875","4027.973388671875","4113.5400390625","4113.5400390625","4113.5400390625","4372.908203125","4372.908203125","4372.908203125","3714.270263671875","3714.270263671875","3714.270263671875","3058.325927734375","3058.325927734375","3058.325927734375"
"17399","4557.18408203125","4557.18408203125","4557.18408203125","4010.67822265625","4010.67822265625","4010.67822265625","4066.900146484375","4066.900146484375","4066.900146484375","4336.31201171875","4336.31201171875","4336.31201171875","3715.634765625","3715.634765625","3715.634765625","3054.306640625","3054.306640625","3054.306640625"
"17999","4582.2109375","4582.2109375","4582.2109375","4005.190185546875","4005.190185546875","4005.190185546875","4034.208984375","4034.208984375","4034.208984375","4329.22900390625","4329.22900390625","4329.22900390625","3716.138671875","3716.138671875","3716.138671875","3046.618408203125","3046.618408203125","3046.618408203125"
"18599","4536.31787109375","4536.31787109375","4536.31787109375","3971.72119140625","3971.72119140625","3971.72119140625","4022.8515625","4022.8515625","4022.8515625","4281.58984375","4281.58984375","4281.58984375","3720.341064453125","3720.341064453125","3720.341064453125","3049.010498046875","3049.010498046875","3049.010498046875"
"19199","4587.70654296875","4587.70654296875","4587.70654296875","3948.96728515625","3948.96728515625","3948.96728515625","3973.51171875","3973.51171875","3973.51171875","4316.57373046875","4316.57373046875","4316.57373046875","3726.05712890625","3726.05712890625","3726.05712890625","3035.3984375","3035.3984375","3035.3984375"
"19799","4543.6259765625","4543.6259765625","4543.6259765625","3950.328857421875","3950.328857421875","3950.328857421875","3971.785888671875","3971.785888671875","3971.785888671875","4295.28857421875","4295.28857421875","4295.28857421875","3748.44140625","3748.44140625","3748.44140625","3032.93115234375","3032.93115234375","3032.93115234375"
